                                                          Area Percent Report

  Data Path : C:\MSDCHEM\3\DATA\2024\KAREN APRIL24\
  Data File : PC II AH.D                                          
  Acq On    :  2 May 2024  14:59
  Operator  : KAREN
  Sample    : PC II AH
  Misc      : EGA
  ALS Vial  : 1   Sample Multiplier: 1

  Integration Parameters: autoint1.e
  Integrator: ChemStation

  Method    : C:\MSDCHEM\3\METHODS\EGA_TEST.M
  Title     :  

  Signal     : TIC: PC II AH.D\data.ms

 peak  R.T. first  max last  PK   peak      corr.   corr.    % of
   #   min   scan scan scan  TY  height     area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------  ------  -------
  1  19.564  2736 3404 3406 BV     11842 -76879597 -247.30%  18.687%
  2  19.971  3406 3475 3477 PV     14933   1683910   5.42%  -0.409%
  3  20.438  3477 3557 3564 VB     17393   2635492   8.48%  -0.641%
  4  30.553  4666 5324 5327 BV     20497 -471363879 -1516.24% 114.575%
  5  30.981  5327 5399 5402 PV    126520  16125046  51.87%  -3.920%
 
  6  31.291  5402 5453 5456 VV    199202  28459450  91.55%  -6.918%
  7  31.493  5456 5489 5492 VV    220770  24788377  79.74%  -6.025%
  8  31.750  5492 5534 5537 VV    206606  31087670 100.00%  -7.557%
  9  31.791  5537 5541 5549 VV    202636   7600748  24.45%  -1.848%
 10  31.856  5549 5552 5559 VV    180125   6127194  19.71%  -1.489%
 
 11  31.942  5559 5567 5582 VV    151757  10758064  34.61%  -2.615%
 12  32.072  5582 5590 5593 VV    105637   3429660  11.03%  -0.834%
 13  32.103  5593 5595 5609 VV     79734   3359172  10.81%  -0.817%
 14  32.192  5609 5611 5613 VV     45923    463834   1.49%  -0.113%
 15  32.219  5613 5616 5618 VV     32690    324344   1.04%  -0.079%
 
 
 
                        Sum of corrected areas:  -411400514
