Sample Name, Sample-77
Time, February 05 15:40:03 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.2324, 5.86
231.0, 1.2234, 5.98
232.0, 1.2134, 6.12
233.0, 1.2026, 6.27
234.0, 1.1896, 6.46
235.0, 1.1773, 6.65
236.0, 1.1647, 6.84
237.0, 1.1511, 7.06
238.0, 1.1370, 7.29
239.0, 1.1237, 7.52
240.0, 1.1102, 7.76
241.0, 1.0960, 8.02
242.0, 1.0838, 8.24
243.0, 1.0713, 8.48
244.0, 1.0598, 8.71
245.0, 1.0472, 8.97
246.0, 1.0337, 9.25
247.0, 1.0215, 9.52
248.0, 1.0098, 9.78
249.0, 0.9985, 10.04
250.0, 0.9873, 10.30
251.0, 0.9766, 10.55
252.0, 0.9658, 10.82
253.0, 0.9553, 11.08
254.0, 0.9457, 11.33
255.0, 0.9363, 11.58
256.0, 0.9276, 11.82
257.0, 0.9182, 12.07
258.0, 0.9128, 12.22
259.0, 0.8958, 12.71
260.0, 0.8848, 13.04
261.0, 0.8740, 13.36
262.0, 0.8630, 13.71
263.0, 0.8512, 14.09
264.0, 0.8395, 14.47
265.0, 0.8279, 14.86
266.0, 0.8167, 15.25
267.0, 0.8060, 15.63
268.0, 0.7954, 16.02
269.0, 0.7841, 16.44
270.0, 0.7724, 16.89
271.0, 0.7606, 17.35
272.0, 0.7491, 17.82
273.0, 0.7382, 18.27
274.0, 0.7281, 18.70
275.0, 0.7175, 19.16
276.0, 0.7070, 19.63
277.0, 0.6976, 20.06
278.0, 0.6887, 20.48
279.0, 0.6798, 20.90
280.0, 0.6717, 21.30
281.0, 0.6623, 21.76
282.0, 0.6535, 22.21
283.0, 0.6436, 22.72
284.0, 0.6347, 23.19
285.0, 0.6259, 23.66
286.0, 0.6174, 24.14
287.0, 0.6089, 24.61
288.0, 0.6006, 25.09
289.0, 0.5929, 25.53
290.0, 0.5856, 25.96
291.0, 0.5790, 26.36
292.0, 0.5727, 26.75
293.0, 0.5662, 27.15
294.0, 0.5594, 27.58
295.0, 0.5529, 28.00
296.0, 0.5465, 28.41
297.0, 0.5408, 28.78
298.0, 0.5377, 28.99
299.0, 0.5286, 29.61
300.0, 0.5230, 29.99
301.0, 0.5181, 30.33
302.0, 0.5132, 30.67
303.0, 0.5082, 31.03
304.0, 0.5039, 31.34
305.0, 0.4993, 31.67
306.0, 0.4942, 32.04
307.0, 0.4893, 32.41
308.0, 0.4846, 32.76
309.0, 0.4801, 33.11
310.0, 0.4756, 33.45
311.0, 0.4710, 33.81
312.0, 0.4661, 34.19
313.0, 0.4619, 34.52
