Sample Name, Sample-79
Time, February 05 15:47:04 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.6751, 2.11
231.0, 1.6772, 2.10
232.0, 1.6796, 2.09
233.0, 1.6816, 2.08
234.0, 1.6812, 2.08
235.0, 1.6798, 2.09
236.0, 1.6771, 2.10
237.0, 1.6725, 2.13
238.0, 1.6662, 2.16
239.0, 1.6593, 2.19
240.0, 1.6491, 2.24
241.0, 1.6397, 2.29
242.0, 1.6303, 2.34
243.0, 1.6213, 2.39
244.0, 1.6120, 2.44
245.0, 1.5993, 2.52
246.0, 1.5870, 2.59
247.0, 1.5759, 2.66
248.0, 1.5641, 2.73
249.0, 1.5514, 2.81
250.0, 1.5393, 2.89
251.0, 1.5263, 2.98
252.0, 1.5139, 3.06
253.0, 1.5016, 3.15
254.0, 1.4901, 3.23
255.0, 1.4774, 3.33
256.0, 1.4663, 3.42
257.0, 1.4548, 3.51
258.0, 1.4486, 3.56
259.0, 1.4258, 3.75
260.0, 1.4091, 3.90
261.0, 1.3949, 4.03
262.0, 1.3808, 4.16
263.0, 1.3650, 4.32
264.0, 1.3474, 4.49
265.0, 1.3324, 4.65
266.0, 1.3170, 4.82
267.0, 1.3021, 4.99
268.0, 1.2872, 5.16
269.0, 1.2713, 5.35
270.0, 1.2539, 5.57
271.0, 1.2368, 5.80
272.0, 1.2211, 6.01
273.0, 1.2057, 6.23
274.0, 1.1902, 6.45
275.0, 1.1755, 6.68
276.0, 1.1612, 6.90
277.0, 1.1472, 7.12
278.0, 1.1346, 7.33
279.0, 1.1220, 7.55
280.0, 1.1097, 7.77
281.0, 1.0967, 8.00
282.0, 1.0827, 8.27
283.0, 1.0679, 8.55
284.0, 1.0542, 8.83
285.0, 1.0406, 9.11
286.0, 1.0266, 9.41
287.0, 1.0129, 9.71
288.0, 1.0002, 10.00
289.0, 0.9880, 10.28
290.0, 0.9765, 10.56
291.0, 0.9658, 10.82
292.0, 0.9560, 11.07
293.0, 0.9459, 11.33
294.0, 0.9349, 11.62
295.0, 0.9231, 11.94
296.0, 0.9129, 12.22
297.0, 0.9035, 12.49
298.0, 0.8984, 12.63
299.0, 0.8831, 13.09
300.0, 0.8737, 13.38
301.0, 0.8649, 13.65
302.0, 0.8564, 13.92
303.0, 0.8485, 14.17
304.0, 0.8413, 14.41
305.0, 0.8329, 14.69
306.0, 0.8241, 14.99
307.0, 0.8156, 15.29
308.0, 0.8074, 15.58
309.0, 0.7992, 15.88
310.0, 0.7909, 16.19
311.0, 0.7828, 16.49
312.0, 0.7746, 16.80
313.0, 0.7669, 17.10
314.0, 0.7596, 17.39
315.0, 0.7519, 17.71
316.0, 0.7449, 17.99
317.0, 0.7367, 18.34
318.0, 0.7272, 18.74
319.0, 0.7178, 19.15
320.0, 0.7081, 19.58
321.0, 0.6995, 19.97
322.0, 0.6907, 20.38
323.0, 0.6811, 20.84
324.0, 0.6716, 21.30
325.0, 0.6623, 21.76
326.0, 0.6531, 22.23
327.0, 0.6438, 22.71
328.0, 0.6355, 23.15
329.0, 0.6268, 23.62
330.0, 0.6212, 23.92
331.0, 0.6034, 24.92
332.0, 0.5922, 25.58
333.0, 0.5814, 26.22
334.0, 0.5703, 26.90
335.0, 0.5587, 27.62
336.0, 0.5476, 28.34
337.0, 0.5377, 28.99
338.0, 0.5282, 29.64
339.0, 0.5210, 30.13
340.0, 0.4515, 35.36
341.0, 0.4463, 35.78
342.0, 0.4402, 36.29
343.0, 0.4347, 36.75
344.0, 0.4295, 37.20
345.0, 0.4246, 37.62
346.0, 0.4184, 38.16
347.0, 0.4131, 38.62
348.0, 0.4082, 39.07
349.0, 0.4026, 39.58
350.0, 0.3975, 40.04
351.0, 0.3926, 40.49
352.0, 0.3878, 40.95
353.0, 0.3820, 41.50
354.0, 0.3752, 42.15
355.0, 0.3689, 42.77
356.0, 0.3623, 43.43
357.0, 0.3565, 44.00
358.0, 0.3499, 44.68
359.0, 0.3437, 45.32
360.0, 0.3378, 45.94
361.0, 0.3317, 46.59
362.0, 0.3263, 47.18
363.0, 0.3209, 47.77
364.0, 0.3151, 48.41
365.0, 0.3098, 49.00
366.0, 0.3030, 49.77
367.0, 0.2965, 50.52
368.0, 0.2901, 51.28
369.0, 0.2841, 51.98
370.0, 0.2807, 52.39
371.0, 0.2837, 52.04
372.0, 0.2787, 52.64
373.0, 0.2741, 53.20
374.0, 0.2698, 53.73
375.0, 0.2656, 54.25
376.0, 0.2616, 54.76
377.0, 0.2568, 55.36
378.0, 0.2523, 55.94
379.0, 0.2480, 56.49
380.0, 0.2436, 57.07
381.0, 0.2397, 57.59
382.0, 0.2356, 58.14
383.0, 0.2319, 58.62
384.0, 0.2301, 58.87
385.0, 0.2236, 59.75
386.0, 0.2204, 60.20
387.0, 0.2168, 60.70
388.0, 0.2135, 61.16
389.0, 0.2101, 61.65
390.0, 0.2064, 62.17
391.0, 0.2030, 62.67
392.0, 0.1995, 63.17
393.0, 0.1962, 63.66
394.0, 0.1929, 64.13
395.0, 0.1897, 64.61
396.0, 0.1863, 65.13
397.0, 0.1833, 65.57
398.0, 0.1806, 65.98
