Sample Name, Sample-92
Time, February 05 16:25:03 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.9388, 11.51
231.0, 0.9245, 11.90
232.0, 0.9102, 12.30
233.0, 0.8947, 12.74
234.0, 0.8787, 13.22
235.0, 0.8626, 13.72
236.0, 0.8472, 14.22
237.0, 0.8329, 14.69
238.0, 0.8191, 15.17
239.0, 0.8055, 15.65
240.0, 0.7923, 16.13
241.0, 0.7804, 16.58
242.0, 0.7693, 17.01
243.0, 0.7590, 17.42
244.0, 0.7494, 17.81
245.0, 0.7398, 18.21
246.0, 0.7299, 18.62
247.0, 0.7210, 19.01
248.0, 0.7124, 19.39
249.0, 0.7041, 19.76
250.0, 0.6961, 20.13
251.0, 0.6889, 20.47
252.0, 0.6816, 20.82
253.0, 0.6748, 21.15
254.0, 0.6681, 21.47
255.0, 0.6617, 21.79
256.0, 0.6559, 22.09
257.0, 0.6497, 22.40
258.0, 0.6456, 22.62
259.0, 0.6340, 23.23
260.0, 0.6262, 23.65
261.0, 0.6185, 24.07
262.0, 0.6110, 24.49
263.0, 0.6026, 24.97
264.0, 0.5945, 25.44
265.0, 0.5866, 25.91
266.0, 0.5786, 26.38
267.0, 0.5707, 26.87
268.0, 0.5635, 27.32
269.0, 0.5556, 27.82
270.0, 0.5468, 28.39
271.0, 0.5381, 28.97
272.0, 0.5293, 29.56
273.0, 0.5212, 30.12
274.0, 0.5129, 30.70
275.0, 0.5047, 31.28
276.0, 0.4969, 31.85
277.0, 0.4895, 32.40
278.0, 0.4828, 32.90
279.0, 0.4760, 33.42
280.0, 0.4698, 33.90
281.0, 0.4628, 34.45
282.0, 0.4555, 35.03
283.0, 0.4484, 35.62
284.0, 0.4417, 36.17
285.0, 0.4351, 36.72
286.0, 0.4288, 37.25
287.0, 0.4221, 37.83
288.0, 0.4159, 38.38
289.0, 0.4102, 38.88
290.0, 0.4050, 39.36
291.0, 0.4000, 39.81
292.0, 0.3954, 40.23
293.0, 0.3906, 40.68
294.0, 0.3855, 41.16
295.0, 0.3807, 41.62
296.0, 0.3761, 42.07
297.0, 0.3722, 42.44
298.0, 0.3699, 42.67
299.0, 0.3632, 43.33
300.0, 0.3588, 43.77
301.0, 0.3549, 44.17
302.0, 0.3514, 44.53
303.0, 0.3478, 44.89
304.0, 0.3447, 45.21
305.0, 0.3408, 45.62
306.0, 0.3369, 46.04
307.0, 0.3332, 46.43
308.0, 0.3296, 46.81
309.0, 0.3259, 47.21
310.0, 0.3224, 47.60
311.0, 0.3188, 48.00
312.0, 0.3151, 48.40
313.0, 0.3117, 48.79
314.0, 0.3084, 49.15
315.0, 0.3051, 49.54
316.0, 0.3017, 49.92
317.0, 0.2979, 50.36
318.0, 0.2940, 50.82
319.0, 0.2901, 51.28
320.0, 0.2860, 51.77
321.0, 0.2821, 52.23
322.0, 0.2782, 52.70
323.0, 0.2742, 53.19
324.0, 0.2700, 53.70
325.0, 0.2661, 54.19
326.0, 0.2622, 54.67
327.0, 0.2585, 55.14
328.0, 0.2547, 55.63
329.0, 0.2509, 56.12
330.0, 0.2486, 56.42
331.0, 0.2415, 57.34
332.0, 0.2369, 57.95
333.0, 0.2328, 58.51
334.0, 0.2281, 59.14
335.0, 0.2235, 59.78
336.0, 0.2192, 60.37
337.0, 0.2153, 60.90
338.0, 0.2114, 61.47
339.0, 0.2090, 61.80
340.0, 0.2012, 62.93
341.0, 0.1972, 63.51
342.0, 0.1935, 64.04
343.0, 0.1900, 64.56
344.0, 0.1869, 65.04
345.0, 0.1834, 65.55
346.0, 0.1797, 66.12
347.0, 0.1762, 66.65
348.0, 0.1733, 67.10
349.0, 0.1697, 67.66
350.0, 0.1669, 68.09
351.0, 0.1638, 68.58
352.0, 0.1610, 69.02
353.0, 0.1573, 69.61
354.0, 0.1540, 70.14
355.0, 0.1513, 70.59
356.0, 0.1482, 71.10
357.0, 0.1451, 71.59
358.0, 0.1416, 72.18
359.0, 0.1388, 72.64
360.0, 0.1362, 73.08
361.0, 0.1334, 73.55
362.0, 0.1305, 74.05
363.0, 0.1283, 74.43
364.0, 0.1258, 74.84
365.0, 0.1233, 75.29
366.0, 0.1208, 75.71
367.0, 0.1186, 76.10
368.0, 0.1165, 76.47
369.0, 0.1145, 76.82
370.0, 0.1135, 77.01
371.0, 0.1066, 78.24
372.0, 0.1041, 78.69
373.0, 0.1017, 79.13
374.0, 0.0997, 79.49
375.0, 0.0979, 79.82
376.0, 0.0957, 80.23
377.0, 0.0933, 80.66
378.0, 0.0910, 81.09
379.0, 0.0889, 81.49
380.0, 0.0867, 81.90
381.0, 0.0848, 82.25
382.0, 0.0832, 82.56
383.0, 0.0814, 82.91
384.0, 0.0805, 83.08
385.0, 0.0772, 83.71
386.0, 0.0759, 83.97
387.0, 0.0743, 84.28
388.0, 0.0725, 84.62
389.0, 0.0709, 84.93
390.0, 0.0692, 85.27
391.0, 0.0677, 85.57
392.0, 0.0661, 85.89
393.0, 0.0645, 86.20
394.0, 0.0632, 86.45
395.0, 0.0619, 86.72
396.0, 0.0605, 86.99
397.0, 0.0592, 87.25
398.0, 0.0581, 87.48
399.0, 0.0567, 87.76
400.0, 0.0556, 87.99
401.0, 0.0545, 88.21
402.0, 0.0532, 88.48
403.0, 0.0521, 88.69
404.0, 0.0509, 88.94
405.0, 0.0499, 89.14
406.0, 0.0488, 89.38
407.0, 0.0478, 89.59
408.0, 0.0468, 89.78
409.0, 0.0458, 89.98
410.0, 0.0450, 90.16
411.0, 0.0441, 90.35
412.0, 0.0433, 90.51
413.0, 0.0423, 90.72
414.0, 0.0415, 90.89
415.0, 0.0407, 91.06
416.0, 0.0398, 91.25
417.0, 0.0390, 91.40
418.0, 0.0382, 91.58
419.0, 0.0375, 91.73
420.0, 0.0368, 91.88
421.0, 0.0361, 92.02
422.0, 0.0355, 92.16
423.0, 0.0349, 92.27
424.0, 0.0344, 92.39
425.0, 0.0338, 92.51
426.0, 0.0332, 92.65
427.0, 0.0325, 92.79
428.0, 0.0319, 92.92
429.0, 0.0312, 93.07
430.0, 0.0306, 93.20
431.0, 0.0300, 93.34
432.0, 0.0293, 93.47
433.0, 0.0289, 93.55
434.0, 0.0285, 93.64
435.0, 0.0282, 93.71
436.0, 0.0278, 93.81
437.0, 0.0274, 93.89
438.0, 0.0271, 93.96
439.0, 0.0268, 94.02
440.0, 0.0263, 94.13
441.0, 0.0259, 94.21
442.0, 0.0256, 94.27
443.0, 0.0252, 94.36
444.0, 0.0250, 94.40
445.0, 0.0247, 94.47
446.0, 0.0244, 94.53
447.0, 0.0242, 94.59
448.0, 0.0239, 94.64
449.0, 0.0239, 94.65
450.0, 0.0237, 94.68
451.0, 0.0231, 94.82
