Sample Name, Sample-7
Time, February 13 16:10:06 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.8601, 13.80
231.0, 0.8475, 14.21
232.0, 0.8358, 14.59
233.0, 0.8240, 15.00
234.0, 0.8112, 15.45
235.0, 0.7996, 15.86
236.0, 0.7881, 16.29
237.0, 0.7775, 16.69
238.0, 0.7676, 17.08
239.0, 0.7576, 17.48
240.0, 0.7482, 17.86
241.0, 0.7389, 18.25
242.0, 0.7306, 18.59
243.0, 0.7232, 18.92
244.0, 0.7162, 19.22
245.0, 0.7077, 19.60
246.0, 0.7000, 19.95
247.0, 0.6926, 20.29
248.0, 0.6855, 20.63
249.0, 0.6786, 20.96
250.0, 0.6721, 21.28
251.0, 0.6655, 21.60
252.0, 0.6592, 21.92
253.0, 0.6528, 22.24
254.0, 0.6474, 22.52
255.0, 0.6418, 22.81
256.0, 0.6365, 23.09
257.0, 0.6310, 23.39
258.0, 0.6279, 23.56
259.0, 0.6183, 24.08
260.0, 0.6123, 24.42
261.0, 0.6062, 24.76
262.0, 0.6001, 25.11
263.0, 0.5939, 25.47
264.0, 0.5876, 25.84
265.0, 0.5815, 26.21
266.0, 0.5755, 26.58
267.0, 0.5699, 26.92
268.0, 0.5641, 27.28
269.0, 0.5581, 27.66
270.0, 0.5513, 28.10
271.0, 0.5449, 28.52
272.0, 0.5386, 28.93
273.0, 0.5323, 29.36
274.0, 0.5257, 29.81
275.0, 0.5192, 30.26
276.0, 0.5126, 30.72
277.0, 0.5060, 31.19
278.0, 0.4999, 31.63
279.0, 0.4941, 32.06
280.0, 0.4881, 32.50
281.0, 0.4818, 32.98
282.0, 0.4750, 33.50
283.0, 0.4685, 34.00
284.0, 0.4621, 34.51
285.0, 0.4555, 35.03
286.0, 0.4489, 35.57
287.0, 0.4425, 36.10
288.0, 0.4359, 36.65
289.0, 0.4297, 37.18
290.0, 0.4239, 37.68
291.0, 0.4186, 38.14
292.0, 0.4133, 38.61
293.0, 0.4080, 39.09
294.0, 0.4019, 39.64
295.0, 0.3962, 40.16
296.0, 0.3909, 40.66
297.0, 0.3861, 41.11
298.0, 0.3832, 41.38
299.0, 0.3749, 42.18
300.0, 0.3700, 42.66
301.0, 0.3653, 43.12
302.0, 0.3610, 43.55
303.0, 0.3568, 43.98
304.0, 0.3522, 44.45
305.0, 0.3479, 44.89
306.0, 0.3435, 45.34
307.0, 0.3391, 45.80
308.0, 0.3346, 46.28
309.0, 0.3305, 46.72
310.0, 0.3262, 47.19
311.0, 0.3218, 47.66
312.0, 0.3177, 48.12
313.0, 0.3136, 48.58
314.0, 0.3101, 48.97
315.0, 0.3064, 49.38
316.0, 0.3026, 49.82
317.0, 0.2989, 50.25
318.0, 0.2950, 50.70
319.0, 0.2910, 51.17
320.0, 0.2869, 51.66
321.0, 0.2831, 52.11
322.0, 0.2794, 52.56
323.0, 0.2756, 53.02
324.0, 0.2717, 53.50
325.0, 0.2681, 53.94
326.0, 0.2646, 54.38
327.0, 0.2614, 54.78
328.0, 0.2579, 55.22
329.0, 0.2545, 55.65
330.0, 0.2526, 55.90
331.0, 0.2466, 56.68
332.0, 0.2431, 57.14
333.0, 0.2396, 57.59
334.0, 0.2362, 58.05
335.0, 0.2326, 58.53
336.0, 0.2292, 59.00
337.0, 0.2257, 59.47
338.0, 0.2229, 59.86
339.0, 0.2215, 60.05
340.0, 0.2148, 60.98
341.0, 0.2114, 61.47
342.0, 0.2081, 61.92
343.0, 0.2049, 62.39
344.0, 0.2021, 62.80
345.0, 0.1989, 63.25
346.0, 0.1960, 63.68
347.0, 0.1932, 64.10
348.0, 0.1902, 64.54
349.0, 0.1872, 64.98
350.0, 0.1851, 65.30
351.0, 0.1824, 65.70
