Sample Name, Sample-8
Time, February 13 16:12:18 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.8597, 13.81
231.0, 0.8479, 14.19
232.0, 0.8361, 14.59
233.0, 0.8241, 14.99
234.0, 0.8116, 15.43
235.0, 0.7996, 15.86
236.0, 0.7882, 16.28
237.0, 0.7778, 16.68
238.0, 0.7677, 17.07
239.0, 0.7578, 17.47
240.0, 0.7480, 17.87
241.0, 0.7390, 18.24
242.0, 0.7308, 18.59
243.0, 0.7232, 18.92
244.0, 0.7160, 19.23
245.0, 0.7078, 19.60
246.0, 0.6997, 19.97
247.0, 0.6924, 20.30
248.0, 0.6851, 20.65
249.0, 0.6783, 20.97
250.0, 0.6718, 21.29
251.0, 0.6650, 21.63
252.0, 0.6586, 21.95
253.0, 0.6523, 22.27
254.0, 0.6465, 22.57
255.0, 0.6410, 22.86
256.0, 0.6357, 23.14
257.0, 0.6304, 23.42
258.0, 0.6271, 23.60
259.0, 0.6174, 24.13
260.0, 0.6114, 24.47
261.0, 0.6052, 24.82
262.0, 0.5992, 25.16
263.0, 0.5929, 25.53
264.0, 0.5867, 25.90
265.0, 0.5804, 26.28
266.0, 0.5743, 26.65
267.0, 0.5686, 27.00
268.0, 0.5625, 27.38
269.0, 0.5567, 27.75
270.0, 0.5500, 28.19
271.0, 0.5436, 28.60
272.0, 0.5370, 29.04
273.0, 0.5305, 29.48
274.0, 0.5241, 29.91
275.0, 0.5175, 30.37
276.0, 0.5108, 30.85
277.0, 0.5043, 31.31
278.0, 0.4982, 31.75
279.0, 0.4922, 32.20
280.0, 0.4862, 32.65
281.0, 0.4800, 33.11
282.0, 0.4732, 33.64
283.0, 0.4666, 34.15
284.0, 0.4600, 34.67
285.0, 0.4534, 35.20
286.0, 0.4468, 35.74
287.0, 0.4405, 36.27
288.0, 0.4339, 36.83
289.0, 0.4278, 37.34
290.0, 0.4219, 37.86
291.0, 0.4165, 38.33
292.0, 0.4112, 38.80
293.0, 0.4058, 39.29
294.0, 0.3997, 39.84
295.0, 0.3940, 40.36
296.0, 0.3886, 40.87
297.0, 0.3837, 41.34
298.0, 0.3808, 41.61
299.0, 0.3730, 42.37
300.0, 0.3678, 42.87
301.0, 0.3632, 43.33
302.0, 0.3590, 43.75
303.0, 0.3549, 44.17
304.0, 0.3502, 44.64
305.0, 0.3459, 45.09
306.0, 0.3414, 45.57
307.0, 0.3371, 46.02
