Sample Name, Sample-113
Time, February 05 17:22:32 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.7775, 16.69
231.0, 0.7637, 17.23
232.0, 0.7509, 17.74
233.0, 0.7371, 18.32
234.0, 0.7222, 18.96
235.0, 0.7079, 19.59
236.0, 0.6941, 20.22
237.0, 0.6816, 20.82
238.0, 0.6700, 21.38
239.0, 0.6580, 21.98
240.0, 0.6469, 22.55
241.0, 0.6371, 23.06
242.0, 0.6285, 23.53
243.0, 0.6202, 23.97
244.0, 0.6128, 24.39
245.0, 0.6054, 24.81
246.0, 0.5981, 25.23
247.0, 0.5915, 25.62
248.0, 0.5855, 25.97
249.0, 0.5800, 26.31
250.0, 0.5749, 26.62
251.0, 0.5701, 26.91
252.0, 0.5655, 27.19
253.0, 0.5610, 27.48
254.0, 0.5574, 27.71
255.0, 0.5534, 27.96
256.0, 0.5497, 28.20
257.0, 0.5457, 28.46
258.0, 0.5434, 28.62
259.0, 0.5360, 29.11
260.0, 0.5308, 29.46
261.0, 0.5261, 29.78
262.0, 0.5209, 30.14
263.0, 0.5155, 30.51
264.0, 0.5099, 30.91
265.0, 0.5047, 31.28
266.0, 0.4993, 31.68
267.0, 0.4941, 32.06
268.0, 0.4889, 32.44
269.0, 0.4830, 32.88
270.0, 0.4770, 33.35
271.0, 0.4711, 33.80
272.0, 0.4648, 34.29
273.0, 0.4589, 34.76
274.0, 0.4530, 35.23
275.0, 0.4472, 35.71
276.0, 0.4412, 36.21
277.0, 0.4354, 36.69
278.0, 0.4303, 37.13
279.0, 0.4252, 37.57
280.0, 0.4203, 37.99
281.0, 0.4145, 38.51
282.0, 0.4085, 39.04
283.0, 0.4027, 39.56
284.0, 0.3969, 40.09
285.0, 0.3910, 40.64
286.0, 0.3853, 41.18
287.0, 0.3791, 41.78
288.0, 0.3733, 42.33
289.0, 0.3678, 42.88
290.0, 0.3622, 43.43
291.0, 0.3573, 43.92
292.0, 0.3525, 44.41
293.0, 0.3475, 44.93
294.0, 0.3424, 45.46
295.0, 0.3377, 45.95
296.0, 0.3332, 46.43
297.0, 0.3294, 46.84
298.0, 0.3273, 47.07
299.0, 0.3206, 47.80
300.0, 0.3166, 48.24
301.0, 0.3131, 48.63
302.0, 0.3097, 49.01
303.0, 0.3067, 49.36
304.0, 0.3038, 49.68
305.0, 0.3006, 50.05
306.0, 0.2975, 50.41
307.0, 0.2943, 50.79
308.0, 0.2912, 51.14
309.0, 0.2880, 51.53
310.0, 0.2847, 51.92
311.0, 0.2813, 52.32
312.0, 0.2780, 52.73
313.0, 0.2744, 53.16
314.0, 0.2711, 53.57
315.0, 0.2677, 53.99
316.0, 0.2644, 54.40
317.0, 0.2607, 54.86
318.0, 0.2566, 55.38
319.0, 0.2527, 55.89
320.0, 0.2486, 56.41
321.0, 0.2448, 56.91
322.0, 0.2411, 57.40
323.0, 0.2371, 57.92
324.0, 0.2332, 58.45
325.0, 0.2295, 58.95
326.0, 0.2260, 59.42
327.0, 0.2227, 59.89
328.0, 0.2193, 60.35
329.0, 0.2161, 60.79
330.0, 0.2140, 61.09
331.0, 0.2074, 62.03
332.0, 0.2034, 62.61
333.0, 0.1996, 63.15
334.0, 0.1957, 63.73
335.0, 0.1918, 64.30
336.0, 0.1881, 64.85
337.0, 0.1846, 65.38
338.0, 0.1816, 65.83
339.0, 0.1801, 66.06
340.0, 0.1742, 66.95
341.0, 0.1713, 67.40
342.0, 0.1688, 67.80
343.0, 0.1654, 68.32
344.0, 0.1627, 68.75
345.0, 0.1599, 69.20
346.0, 0.1573, 69.61
347.0, 0.1548, 70.02
348.0, 0.1522, 70.44
349.0, 0.1492, 70.93
350.0, 0.1472, 71.25
351.0, 0.1448, 71.64
352.0, 0.1430, 71.95
353.0, 0.1401, 72.43
354.0, 0.1374, 72.89
355.0, 0.1350, 73.29
356.0, 0.1323, 73.74
357.0, 0.1297, 74.18
358.0, 0.1274, 74.57
359.0, 0.1252, 74.95
360.0, 0.1229, 75.35
361.0, 0.1206, 75.76
362.0, 0.1184, 76.15
363.0, 0.1164, 76.49
364.0, 0.1144, 76.85
365.0, 0.1126, 77.16
366.0, 0.1107, 77.51
367.0, 0.1088, 77.83
368.0, 0.1072, 78.13
369.0, 0.1056, 78.42
370.0, 0.1053, 78.46
371.0, 0.0973, 79.93
372.0, 0.0951, 80.34
373.0, 0.0930, 80.72
374.0, 0.0910, 81.09
375.0, 0.0891, 81.46
376.0, 0.0872, 81.81
377.0, 0.0850, 82.23
378.0, 0.0831, 82.58
379.0, 0.0813, 82.93
380.0, 0.0793, 83.32
381.0, 0.0775, 83.66
382.0, 0.0758, 83.98
383.0, 0.0741, 84.31
384.0, 0.0733, 84.47
385.0, 0.0705, 85.01
386.0, 0.0691, 85.29
387.0, 0.0675, 85.60
388.0, 0.0661, 85.88
389.0, 0.0648, 86.14
390.0, 0.0633, 86.44
391.0, 0.0618, 86.73
392.0, 0.0606, 86.98
393.0, 0.0592, 87.26
394.0, 0.0581, 87.48
395.0, 0.0567, 87.76
396.0, 0.0555, 88.00
397.0, 0.0545, 88.20
398.0, 0.0536, 88.39
399.0, 0.0523, 88.65
400.0, 0.0514, 88.84
401.0, 0.0504, 89.05
402.0, 0.0494, 89.24
403.0, 0.0484, 89.46
404.0, 0.0474, 89.66
405.0, 0.0466, 89.82
406.0, 0.0457, 90.01
407.0, 0.0448, 90.20
408.0, 0.0439, 90.38
409.0, 0.0430, 90.56
410.0, 0.0425, 90.68
411.0, 0.0418, 90.82
412.0, 0.0411, 90.97
413.0, 0.0404, 91.11
414.0, 0.0398, 91.25
415.0, 0.0390, 91.42
416.0, 0.0384, 91.54
417.0, 0.0377, 91.68
418.0, 0.0371, 91.81
419.0, 0.0366, 91.92
420.0, 0.0360, 92.04
421.0, 0.0356, 92.12
422.0, 0.0352, 92.22
423.0, 0.0347, 92.33
424.0, 0.0343, 92.40
425.0, 0.0340, 92.48
426.0, 0.0334, 92.59
427.0, 0.0329, 92.71
428.0, 0.0324, 92.81
429.0, 0.0320, 92.89
430.0, 0.0317, 92.97
431.0, 0.0313, 93.05
432.0, 0.0309, 93.12
433.0, 0.0306, 93.19
