Sample Name, Sample-112
Time, February 05 17:19:03 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.7038, 1.98
231.0, 1.7119, 1.94
232.0, 1.7175, 1.92
233.0, 1.7241, 1.89
234.0, 1.7309, 1.86
235.0, 1.7330, 1.85
236.0, 1.7359, 1.84
237.0, 1.7363, 1.84
238.0, 1.7358, 1.84
239.0, 1.7348, 1.84
240.0, 1.7333, 1.85
241.0, 1.7292, 1.87
242.0, 1.7277, 1.87
243.0, 1.7225, 1.89
244.0, 1.7186, 1.91
245.0, 1.7096, 1.95
246.0, 1.7044, 1.98
247.0, 1.6971, 2.01
248.0, 1.6895, 2.04
249.0, 1.6816, 2.08
250.0, 1.6731, 2.12
251.0, 1.6664, 2.16
252.0, 1.6588, 2.19
253.0, 1.6508, 2.23
254.0, 1.6459, 2.26
255.0, 1.6334, 2.33
256.0, 1.6275, 2.36
257.0, 1.6193, 2.40
258.0, 1.6148, 2.43
259.0, 1.6000, 2.51
260.0, 1.5910, 2.56
261.0, 1.5815, 2.62
262.0, 1.5729, 2.67
263.0, 1.5632, 2.73
264.0, 1.5531, 2.80
265.0, 1.5435, 2.86
266.0, 1.5359, 2.91
267.0, 1.5273, 2.97
268.0, 1.5212, 3.01
269.0, 1.5120, 3.08
270.0, 1.5055, 3.12
271.0, 1.4977, 3.18
272.0, 1.4905, 3.23
273.0, 1.4853, 3.27
274.0, 1.4791, 3.32
275.0, 1.4738, 3.36
276.0, 1.4670, 3.41
277.0, 1.4608, 3.46
278.0, 1.4560, 3.50
279.0, 1.4512, 3.54
280.0, 1.4472, 3.57
281.0, 1.4437, 3.60
282.0, 1.4380, 3.65
283.0, 1.4339, 3.68
284.0, 1.4264, 3.75
285.0, 1.4224, 3.78
286.0, 1.4167, 3.83
287.0, 1.4116, 3.88
288.0, 1.4053, 3.93
289.0, 1.4005, 3.98
290.0, 1.3963, 4.02
291.0, 1.3904, 4.07
292.0, 1.3859, 4.11
293.0, 1.3797, 4.17
294.0, 1.3750, 4.22
295.0, 1.3681, 4.28
296.0, 1.3624, 4.34
297.0, 1.3575, 4.39
298.0, 1.3546, 4.42
299.0, 1.3436, 4.53
300.0, 1.3360, 4.61
301.0, 1.3280, 4.70
302.0, 1.3217, 4.77
303.0, 1.3136, 4.86
304.0, 1.3075, 4.93
305.0, 1.2996, 5.02
306.0, 1.2906, 5.12
307.0, 1.2825, 5.22
308.0, 1.2749, 5.31
309.0, 1.2658, 5.42
310.0, 1.2559, 5.55
311.0, 1.2470, 5.66
312.0, 1.2380, 5.78
313.0, 1.2287, 5.91
314.0, 1.2195, 6.03
315.0, 1.2107, 6.16
316.0, 1.2008, 6.30
317.0, 1.1900, 6.46
318.0, 1.1781, 6.64
319.0, 1.1668, 6.81
320.0, 1.1544, 7.01
321.0, 1.1425, 7.20
322.0, 1.1299, 7.41
323.0, 1.1184, 7.61
324.0, 1.1056, 7.84
325.0, 1.0930, 8.07
326.0, 1.0808, 8.30
327.0, 1.0692, 8.53
328.0, 1.0582, 8.75
329.0, 1.0473, 8.97
330.0, 1.0395, 9.13
331.0, 1.0174, 9.61
332.0, 1.0029, 9.93
333.0, 0.9888, 10.26
334.0, 0.9753, 10.59
335.0, 0.9608, 10.94
336.0, 0.9458, 11.33
337.0, 0.9321, 11.69
338.0, 0.9192, 12.05
339.0, 0.9080, 12.36
340.0, 0.7348, 18.41
341.0, 0.7333, 18.48
342.0, 0.7304, 18.60
343.0, 0.7283, 18.69
344.0, 0.7260, 18.79
345.0, 0.7234, 18.90
