Sample Name, Sample-116
Time, February 05 17:30:30 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.2701, 53.69
231.0, 0.2663, 54.16
232.0, 0.2626, 54.62
233.0, 0.2587, 55.12
234.0, 0.2544, 55.67
235.0, 0.2502, 56.21
236.0, 0.2462, 56.73
237.0, 0.2423, 57.24
238.0, 0.2387, 57.72
239.0, 0.2348, 58.24
240.0, 0.2312, 58.73
241.0, 0.2281, 59.15
242.0, 0.2249, 59.58
243.0, 0.2221, 59.97
244.0, 0.2194, 60.34
245.0, 0.2166, 60.73
246.0, 0.2138, 61.12
247.0, 0.2113, 61.48
248.0, 0.2089, 61.82
249.0, 0.2064, 62.17
250.0, 0.2043, 62.48
251.0, 0.2021, 62.79
252.0, 0.2002, 63.07
253.0, 0.1981, 63.37
254.0, 0.1964, 63.61
255.0, 0.1949, 63.84
256.0, 0.1935, 64.05
257.0, 0.1918, 64.30
258.0, 0.1908, 64.45
259.0, 0.1877, 64.92
260.0, 0.1857, 65.21
261.0, 0.1839, 65.48
262.0, 0.1819, 65.78
263.0, 0.1797, 66.11
264.0, 0.1774, 66.46
265.0, 0.1754, 66.77
266.0, 0.1733, 67.09
267.0, 0.1712, 67.42
268.0, 0.1694, 67.70
269.0, 0.1674, 68.02
270.0, 0.1650, 68.40
271.0, 0.1627, 68.76
272.0, 0.1599, 69.21
273.0, 0.1579, 69.52
274.0, 0.1557, 69.87
275.0, 0.1533, 70.25
276.0, 0.1511, 70.61
277.0, 0.1488, 70.98
278.0, 0.1469, 71.30
279.0, 0.1449, 71.64
280.0, 0.1430, 71.95
281.0, 0.1408, 72.30
282.0, 0.1386, 72.68
283.0, 0.1362, 73.09
284.0, 0.1340, 73.46
285.0, 0.1317, 73.85
286.0, 0.1298, 74.17
287.0, 0.1275, 74.56
288.0, 0.1255, 74.91
289.0, 0.1236, 75.22
290.0, 0.1218, 75.55
291.0, 0.1200, 75.86
292.0, 0.1183, 76.15
293.0, 0.1164, 76.48
294.0, 0.1146, 76.81
295.0, 0.1130, 77.09
296.0, 0.1114, 77.38
297.0, 0.1101, 77.61
298.0, 0.1093, 77.75
299.0, 0.1070, 78.16
300.0, 0.1057, 78.39
301.0, 0.1045, 78.62
302.0, 0.1036, 78.78
303.0, 0.1026, 78.95
304.0, 0.1018, 79.11
305.0, 0.1007, 79.31
306.0, 0.0997, 79.48
307.0, 0.0987, 79.67
308.0, 0.0978, 79.84
309.0, 0.0969, 80.00
310.0, 0.0959, 80.19
311.0, 0.0949, 80.36
312.0, 0.0941, 80.53
313.0, 0.0931, 80.71
314.0, 0.0924, 80.84
315.0, 0.0913, 81.03
316.0, 0.0905, 81.18
317.0, 0.0897, 81.34
318.0, 0.0887, 81.54
319.0, 0.0877, 81.72
320.0, 0.0867, 81.90
321.0, 0.0859, 82.05
322.0, 0.0849, 82.24
323.0, 0.0837, 82.47
324.0, 0.0826, 82.67
325.0, 0.0815, 82.90
326.0, 0.0804, 83.09
327.0, 0.0797, 83.24
328.0, 0.0787, 83.42
329.0, 0.0777, 83.62
330.0, 0.0772, 83.72
331.0, 0.0751, 84.12
332.0, 0.0740, 84.33
333.0, 0.0728, 84.56
334.0, 0.0718, 84.77
335.0, 0.0704, 85.04
336.0, 0.0692, 85.28
337.0, 0.0681, 85.48
338.0, 0.0672, 85.67
339.0, 0.0668, 85.74
340.0, 0.0742, 84.29
341.0, 0.0727, 84.58
342.0, 0.0713, 84.87
343.0, 0.0698, 85.15
344.0, 0.0689, 85.34
345.0, 0.0674, 85.62
346.0, 0.0657, 85.96
347.0, 0.0647, 86.15
348.0, 0.0638, 86.33
349.0, 0.0623, 86.64
350.0, 0.0614, 86.83
351.0, 0.0599, 87.11
352.0, 0.0593, 87.25
353.0, 0.0579, 87.51
354.0, 0.0569, 87.73
355.0, 0.0561, 87.89
356.0, 0.0552, 88.07
357.0, 0.0543, 88.25
358.0, 0.0531, 88.48
359.0, 0.0522, 88.67
360.0, 0.0517, 88.78
361.0, 0.0509, 88.93
362.0, 0.0502, 89.09
363.0, 0.0495, 89.23
364.0, 0.0488, 89.37
365.0, 0.0486, 89.42
366.0, 0.0483, 89.48
367.0, 0.0481, 89.51
368.0, 0.0482, 89.50
369.0, 0.0479, 89.55
370.0, 0.0482, 89.49
371.0, 0.0404, 91.12
372.0, 0.0392, 91.38
373.0, 0.0384, 91.54
374.0, 0.0377, 91.69
375.0, 0.0367, 91.89
376.0, 0.0360, 92.05
377.0, 0.0349, 92.28
378.0, 0.0341, 92.45
379.0, 0.0333, 92.61
380.0, 0.0323, 92.84
381.0, 0.0316, 92.98
382.0, 0.0308, 93.14
383.0, 0.0300, 93.33
384.0, 0.0297, 93.39
385.0, 0.0284, 93.67
386.0, 0.0280, 93.76
387.0, 0.0273, 93.90
388.0, 0.0265, 94.08
389.0, 0.0259, 94.22
390.0, 0.0252, 94.36
391.0, 0.0246, 94.49
392.0, 0.0242, 94.59
393.0, 0.0234, 94.75
394.0, 0.0230, 94.85
395.0, 0.0224, 94.97
396.0, 0.0219, 95.08
397.0, 0.0213, 95.21
398.0, 0.0210, 95.29
399.0, 0.0204, 95.42
400.0, 0.0198, 95.55
401.0, 0.0193, 95.64
402.0, 0.0190, 95.72
403.0, 0.0186, 95.82
404.0, 0.0179, 95.95
405.0, 0.0177, 96.01
406.0, 0.0172, 96.12
407.0, 0.0168, 96.20
408.0, 0.0166, 96.26
409.0, 0.0161, 96.36
410.0, 0.0159, 96.40
411.0, 0.0156, 96.48
412.0, 0.0152, 96.55
413.0, 0.0149, 96.63
414.0, 0.0146, 96.70
415.0, 0.0144, 96.74
416.0, 0.0141, 96.80
417.0, 0.0139, 96.86
418.0, 0.0135, 96.93
419.0, 0.0133, 96.99
420.0, 0.0131, 97.03
421.0, 0.0128, 97.09
422.0, 0.0126, 97.13
423.0, 0.0125, 97.17
424.0, 0.0122, 97.22
425.0, 0.0122, 97.24
426.0, 0.0119, 97.30
427.0, 0.0117, 97.35
428.0, 0.0115, 97.39
429.0, 0.0113, 97.44
430.0, 0.0112, 97.46
431.0, 0.0111, 97.48
432.0, 0.0109, 97.52
433.0, 0.0107, 97.56
434.0, 0.0107, 97.57
435.0, 0.0108, 97.54
436.0, 0.0107, 97.56
437.0, 0.0106, 97.58
438.0, 0.0106, 97.60
439.0, 0.0106, 97.58
440.0, 0.0107, 97.57
441.0, 0.0106, 97.58
442.0, 0.0106, 97.58
443.0, 0.0107, 97.57
444.0, 0.0108, 97.54
445.0, 0.0108, 97.55
446.0, 0.0110, 97.49
447.0, 0.0110, 97.49
448.0, 0.0111, 97.49
449.0, 0.0113, 97.43
450.0, 0.0113, 97.43
451.0, 0.0108, 97.53
452.0, 0.0107, 97.57
453.0, 0.0105, 97.62
454.0, 0.0103, 97.65
455.0, 0.0101, 97.69
456.0, 0.0099, 97.76
457.0, 0.0096, 97.82
458.0, 0.0093, 97.88
459.0, 0.0091, 97.93
460.0, 0.0088, 97.99
461.0, 0.0086, 98.04
462.0, 0.0085, 98.07
463.0, 0.0084, 98.09
464.0, 0.0080, 98.16
465.0, 0.0079, 98.20
466.0, 0.0077, 98.25
467.0, 0.0074, 98.31
468.0, 0.0073, 98.33
469.0, 0.0073, 98.34
470.0, 0.0071, 98.38
471.0, 0.0069, 98.42
472.0, 0.0070, 98.40
473.0, 0.0068, 98.45
474.0, 0.0066, 98.49
475.0, 0.0067, 98.47
476.0, 0.0065, 98.51
477.0, 0.0063, 98.57
478.0, 0.0062, 98.58
479.0, 0.0062, 98.59
480.0, 0.0059, 98.65
481.0, 0.0057, 98.69
482.0, 0.0059, 98.65
483.0, 0.0056, 98.71
484.0, 0.0056, 98.73
485.0, 0.0054, 98.77
486.0, 0.0052, 98.81
487.0, 0.0053, 98.79
488.0, 0.0052, 98.82
489.0, 0.0049, 98.88
490.0, 0.0049, 98.88
491.0, 0.0048, 98.89
492.0, 0.0047, 98.93
493.0, 0.0044, 98.98
494.0, 0.0045, 98.98
495.0, 0.0044, 98.99
496.0, 0.0043, 99.01
497.0, 0.0041, 99.05
498.0, 0.0040, 99.07
499.0, 0.0037, 99.15
500.0, 0.0037, 99.15
501.0, 0.0037, 99.15
502.0, 0.0036, 99.17
503.0, 0.0034, 99.21
504.0, 0.0035, 99.21
505.0, 0.0033, 99.25
506.0, 0.0031, 99.29
507.0, 0.0032, 99.26
508.0, 0.0030, 99.31
509.0, 0.0029, 99.34
510.0, 0.0030, 99.32
511.0, 0.0029, 99.33
512.0, 0.0028, 99.36
513.0, 0.0026, 99.40
514.0, 0.0027, 99.38
515.0, 0.0026, 99.40
516.0, 0.0025, 99.44
517.0, 0.0024, 99.44
518.0, 0.0023, 99.48
519.0, 0.0023, 99.48
520.0, 0.0024, 99.46
521.0, 0.0023, 99.47
522.0, 0.0022, 99.50
523.0, 0.0020, 99.55
524.0, 0.0019, 99.55
525.0, 0.0019, 99.57
526.0, 0.0018, 99.59
527.0, 0.0016, 99.63
528.0, 0.0016, 99.64
529.0, 0.0015, 99.65
530.0, 0.0014, 99.67
531.0, 0.0015, 99.66
532.0, 0.0015, 99.65
533.0, 0.0015, 99.66
534.0, 0.0014, 99.68
535.0, 0.0013, 99.71
536.0, 0.0012, 99.72
537.0, 0.0012, 99.72
538.0, 0.0012, 99.74
539.0, 0.0010, 99.78
540.0, 0.0010, 99.78
541.0, 0.0009, 99.79
542.0, 0.0010, 99.78
543.0, 0.0009, 99.79
544.0, 0.0008, 99.81
545.0, 0.0007, 99.83
546.0, 0.0006, 99.86
547.0, 0.0004, 99.92
548.0, 0.0004, 99.91
549.0, 0.0002, 99.95
550.0, 0.0001, 99.97
551.0, -0.0001, 100.02
552.0, -0.0003, 100.07
553.0, -0.0004, 100.09
554.0, -0.0004, 100.10
555.0, -0.0005, 100.12
556.0, -0.0004, 100.09
557.0, -0.0005, 100.11
558.0, -0.0002, 100.04
559.0, -0.0002, 100.05
560.0, -0.0003, 100.06
561.0, -0.0001, 100.01
562.0, 0.0002, 99.95
563.0, 0.0004, 99.90
564.0, 0.0005, 99.88
565.0, 0.0007, 99.83
566.0, 0.0009, 99.79
567.0, 0.0010, 99.77
568.0, 0.0012, 99.72
569.0, 0.0012, 99.73
570.0, 0.0012, 99.72
571.0, 0.0011, 99.75
572.0, 0.0011, 99.75
573.0, 0.0011, 99.76
574.0, 0.0009, 99.78
575.0, 0.0009, 99.80
576.0, 0.0009, 99.80
577.0, 0.0006, 99.85
578.0, 0.0004, 99.90
579.0, 0.0003, 99.93
580.0, 0.0003, 99.93
581.0, 0.0002, 99.95
582.0, 0.0002, 99.95
583.0, 0.0001, 99.98
584.0, 0.0003, 99.92
585.0, 0.0004, 99.90
586.0, -0.0007, 100.17
587.0, -0.0007, 100.16
588.0, -0.0005, 100.10
589.0, -0.0004, 100.09
590.0, -0.0003, 100.07
591.0, -0.0003, 100.08
592.0, -0.0001, 100.02
593.0, -0.0000, 100.00
594.0, 0.0001, 99.98
595.0, 0.0001, 99.97
596.0, 0.0003, 99.94
597.0, 0.0004, 99.91
598.0, 0.0003, 99.94
599.0, 0.0002, 99.96
600.0, 0.0002, 99.96
601.0, 0.0002, 99.96
602.0, 0.0002, 99.95
603.0, 0.0002, 99.95
604.0, 0.0002, 99.95
605.0, 0.0002, 99.95
606.0, 0.0002, 99.94
607.0, 0.0003, 99.94
608.0, 0.0003, 99.93
609.0, 0.0003, 99.94
610.0, 0.0003, 99.94
611.0, 0.0003, 99.93
612.0, 0.0002, 99.96
613.0, 0.0001, 99.97
614.0, 0.0001, 99.97
615.0, 0.0002, 99.96
616.0, 0.0003, 99.94
617.0, 0.0002, 99.95
618.0, 0.0003, 99.94
619.0, 0.0003, 99.94
620.0, 0.0002, 99.95
621.0, 0.0002, 99.96
622.0, 0.0002, 99.95
623.0, 0.0002, 99.94
624.0, 0.0002, 99.96
625.0, 0.0002, 99.96
626.0, 0.0001, 99.97
627.0, 0.0001, 99.97
628.0, 0.0002, 99.96
629.0, 0.0001, 99.97
630.0, 0.0002, 99.96
631.0, 0.0002, 99.95
632.0, 0.0003, 99.94
633.0, 0.0002, 99.95
634.0, 0.0003, 99.93
635.0, 0.0004, 99.92
636.0, 0.0002, 99.95
637.0, 0.0002, 99.95
638.0, 0.0002, 99.95
639.0, 0.0003, 99.92
640.0, 0.0005, 99.89
641.0, 0.0003, 99.92
642.0, 0.0004, 99.90
643.0, 0.0002, 99.95
644.0, 0.0003, 99.94
645.0, 0.0003, 99.92
646.0, 0.0004, 99.92
647.0, 0.0004, 99.91
648.0, 0.0003, 99.92
649.0, 0.0005, 99.89
650.0, 0.0003, 99.93
651.0, 0.0004, 99.91
652.0, 0.0005, 99.90
653.0, 0.0005, 99.90
654.0, 0.0003, 99.93
655.0, 0.0004, 99.92
656.0, 0.0003, 99.92
657.0, 0.0004, 99.92
658.0, 0.0004, 99.91
659.0, 0.0005, 99.90
660.0, 0.0004, 99.90
661.0, 0.0004, 99.90
662.0, 0.0004, 99.92
663.0, 0.0003, 99.94
664.0, 0.0004, 99.91
665.0, 0.0004, 99.90
666.0, 0.0003, 99.93
667.0, 0.0003, 99.93
668.0, 0.0003, 99.93
669.0, 0.0003, 99.93
670.0, 0.0002, 99.95
671.0, 0.0003, 99.92
672.0, 0.0003, 99.94
673.0, 0.0001, 99.97
674.0, 0.0002, 99.96
675.0, 0.0001, 99.98
676.0, 0.0002, 99.96
677.0, 0.0001, 99.99
678.0, 0.0001, 99.98
679.0, 0.0001, 99.99
680.0, 0.0000, 100.00
681.0, 0.0000, 100.00
682.0, -0.0000, 100.00
683.0, -0.0000, 100.01
684.0, -0.0001, 100.02
685.0, -0.0002, 100.04
686.0, -0.0001, 100.02
687.0, -0.0000, 100.01
688.0, -0.0000, 100.01
689.0, -0.0002, 100.04
690.0, -0.0003, 100.06
691.0, -0.0002, 100.04
692.0, -0.0002, 100.05
693.0, -0.0002, 100.05
694.0, -0.0002, 100.06
695.0, -0.0002, 100.04
696.0, -0.0003, 100.08
697.0, -0.0003, 100.07
698.0, -0.0004, 100.09
699.0, -0.0003, 100.08
700.0, -0.0004, 100.09
