Sample Name, Sample-124
Time, February 05 17:55:14 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.0435, 9.05
231.0, 1.0300, 9.33
232.0, 1.0158, 9.64
233.0, 1.0015, 9.96
234.0, 0.9853, 10.35
235.0, 0.9699, 10.72
236.0, 0.9549, 11.09
237.0, 0.9398, 11.49
238.0, 0.9251, 11.88
239.0, 0.9105, 12.29
240.0, 0.8965, 12.69
241.0, 0.8829, 13.09
242.0, 0.8706, 13.47
243.0, 0.8591, 13.83
244.0, 0.8482, 14.19
245.0, 0.8371, 14.55
246.0, 0.8262, 14.92
247.0, 0.8153, 15.30
248.0, 0.8052, 15.66
249.0, 0.7958, 16.00
250.0, 0.7863, 16.36
251.0, 0.7772, 16.70
252.0, 0.7686, 17.04
253.0, 0.7597, 17.39
254.0, 0.7519, 17.70
255.0, 0.7443, 18.02
256.0, 0.7359, 18.37
257.0, 0.7280, 18.71
258.0, 0.7231, 18.92
259.0, 0.7085, 19.57
260.0, 0.6989, 20.00
261.0, 0.6892, 20.45
262.0, 0.6794, 20.92
263.0, 0.6691, 21.42
264.0, 0.6592, 21.92
265.0, 0.6495, 22.41
266.0, 0.6400, 22.91
267.0, 0.6312, 23.37
268.0, 0.6219, 23.88
269.0, 0.6124, 24.41
270.0, 0.6023, 24.99
271.0, 0.5927, 25.55
272.0, 0.5828, 26.13
273.0, 0.5733, 26.71
274.0, 0.5638, 27.30
275.0, 0.5549, 27.87
276.0, 0.5460, 28.44
277.0, 0.5374, 29.01
278.0, 0.5297, 29.53
279.0, 0.5224, 30.03
280.0, 0.5150, 30.55
281.0, 0.5069, 31.12
282.0, 0.4987, 31.72
283.0, 0.4905, 32.33
284.0, 0.4827, 32.91
285.0, 0.4747, 33.52
286.0, 0.4673, 34.10
287.0, 0.4597, 34.70
288.0, 0.4526, 35.27
289.0, 0.4459, 35.82
290.0, 0.4398, 36.32
291.0, 0.4340, 36.81
292.0, 0.4283, 37.30
293.0, 0.4223, 37.82
294.0, 0.4162, 38.35
295.0, 0.4104, 38.87
296.0, 0.4050, 39.35
297.0, 0.4003, 39.79
298.0, 0.3974, 40.05
299.0, 0.3897, 40.77
300.0, 0.3847, 41.24
301.0, 0.3801, 41.68
302.0, 0.3759, 42.09
303.0, 0.3716, 42.50
304.0, 0.3678, 42.88
305.0, 0.3634, 43.31
306.0, 0.3592, 43.73
307.0, 0.3546, 44.20
308.0, 0.3506, 44.61
309.0, 0.3461, 45.07
310.0, 0.3421, 45.49
311.0, 0.3377, 45.95
312.0, 0.3334, 46.41
313.0, 0.3292, 46.86
314.0, 0.3253, 47.28
315.0, 0.3214, 47.71
316.0, 0.3177, 48.11
317.0, 0.3136, 48.58
318.0, 0.3091, 49.08
319.0, 0.3043, 49.62
320.0, 0.2998, 50.14
321.0, 0.2956, 50.63
322.0, 0.2910, 51.16
323.0, 0.2863, 51.72
324.0, 0.2815, 52.30
325.0, 0.2769, 52.86
326.0, 0.2723, 53.42
327.0, 0.2682, 53.93
328.0, 0.2640, 54.45
329.0, 0.2598, 54.98
330.0, 0.2572, 55.31
331.0, 0.2495, 56.30
332.0, 0.2443, 56.98
333.0, 0.2395, 57.61
334.0, 0.2347, 58.26
335.0, 0.2298, 58.91
336.0, 0.2248, 59.59
337.0, 0.2205, 60.18
338.0, 0.2164, 60.76
339.0, 0.2135, 61.16
340.0, 0.1976, 63.44
341.0, 0.1941, 63.96
342.0, 0.1903, 64.52
343.0, 0.1867, 65.06
344.0, 0.1838, 65.50
345.0, 0.1804, 66.01
346.0, 0.1774, 66.46
347.0, 0.1744, 66.92
348.0, 0.1716, 67.37
349.0, 0.1683, 67.87
350.0, 0.1656, 68.30
351.0, 0.1626, 68.76
352.0, 0.1602, 69.16
353.0, 0.1573, 69.62
354.0, 0.1536, 70.21
355.0, 0.1504, 70.73
356.0, 0.1471, 71.27
357.0, 0.1441, 71.77
358.0, 0.1408, 72.31
359.0, 0.1378, 72.81
360.0, 0.1350, 73.28
361.0, 0.1324, 73.73
362.0, 0.1297, 74.18
363.0, 0.1274, 74.58
364.0, 0.1247, 75.05
365.0, 0.1225, 75.43
366.0, 0.1197, 75.90
367.0, 0.1174, 76.32
368.0, 0.1152, 76.70
369.0, 0.1129, 77.10
370.0, 0.1118, 77.31
371.0, 0.1065, 78.24
372.0, 0.1042, 78.67
373.0, 0.1021, 79.06
374.0, 0.0998, 79.47
375.0, 0.0978, 79.84
376.0, 0.0959, 80.18
377.0, 0.0935, 80.63
378.0, 0.0910, 81.09
379.0, 0.0889, 81.48
380.0, 0.0866, 81.92
381.0, 0.0847, 82.27
382.0, 0.0829, 82.62
383.0, 0.0810, 82.99
384.0, 0.0801, 83.17
385.0, 0.0771, 83.74
386.0, 0.0756, 84.03
387.0, 0.0740, 84.34
388.0, 0.0724, 84.65
389.0, 0.0707, 84.97
390.0, 0.0692, 85.27
391.0, 0.0674, 85.62
392.0, 0.0659, 85.93
393.0, 0.0642, 86.26
394.0, 0.0629, 86.52
395.0, 0.0613, 86.83
396.0, 0.0598, 87.13
397.0, 0.0586, 87.39
398.0, 0.0574, 87.62
399.0, 0.0562, 87.87
400.0, 0.0549, 88.12
401.0, 0.0537, 88.37
402.0, 0.0525, 88.62
403.0, 0.0513, 88.85
404.0, 0.0501, 89.11
405.0, 0.0491, 89.31
406.0, 0.0478, 89.58
407.0, 0.0469, 89.77
408.0, 0.0460, 89.96
409.0, 0.0448, 90.20
410.0, 0.0440, 90.35
411.0, 0.0432, 90.53
412.0, 0.0424, 90.70
413.0, 0.0414, 90.90
414.0, 0.0405, 91.10
415.0, 0.0398, 91.25
416.0, 0.0388, 91.45
417.0, 0.0381, 91.60
418.0, 0.0374, 91.76
419.0, 0.0367, 91.90
420.0, 0.0360, 92.05
421.0, 0.0353, 92.19
422.0, 0.0347, 92.31
423.0, 0.0341, 92.44
424.0, 0.0336, 92.55
425.0, 0.0330, 92.67
426.0, 0.0324, 92.81
427.0, 0.0318, 92.94
428.0, 0.0312, 93.06
429.0, 0.0308, 93.16
430.0, 0.0303, 93.25
431.0, 0.0297, 93.39
432.0, 0.0292, 93.50
433.0, 0.0287, 93.60
434.0, 0.0283, 93.69
435.0, 0.0279, 93.77
436.0, 0.0275, 93.87
437.0, 0.0272, 93.93
438.0, 0.0268, 94.01
439.0, 0.0265, 94.09
440.0, 0.0261, 94.16
441.0, 0.0258, 94.23
442.0, 0.0255, 94.30
443.0, 0.0254, 94.33
444.0, 0.0252, 94.37
445.0, 0.0247, 94.47
446.0, 0.0247, 94.47
447.0, 0.0246, 94.50
448.0, 0.0245, 94.52
449.0, 0.0243, 94.55
450.0, 0.0242, 94.57
451.0, 0.0235, 94.72
452.0, 0.0231, 94.82
453.0, 0.0228, 94.89
454.0, 0.0222, 95.01
455.0, 0.0219, 95.07
456.0, 0.0214, 95.19
457.0, 0.0209, 95.30
458.0, 0.0204, 95.40
459.0, 0.0200, 95.49
460.0, 0.0196, 95.60
461.0, 0.0192, 95.67
462.0, 0.0190, 95.73
463.0, 0.0188, 95.77
464.0, 0.0184, 95.85
465.0, 0.0181, 95.92
466.0, 0.0178, 95.99
467.0, 0.0173, 96.11
468.0, 0.0170, 96.17
469.0, 0.0168, 96.21
470.0, 0.0165, 96.27
471.0, 0.0163, 96.32
472.0, 0.0160, 96.39
473.0, 0.0157, 96.45
474.0, 0.0155, 96.50
475.0, 0.0153, 96.53
476.0, 0.0149, 96.62
477.0, 0.0147, 96.67
478.0, 0.0144, 96.73
479.0, 0.0143, 96.77
480.0, 0.0139, 96.86
481.0, 0.0136, 96.92
482.0, 0.0134, 96.96
483.0, 0.0132, 97.02
484.0, 0.0128, 97.11
485.0, 0.0126, 97.15
486.0, 0.0125, 97.17
487.0, 0.0121, 97.25
488.0, 0.0120, 97.27
489.0, 0.0117, 97.33
490.0, 0.0117, 97.34
491.0, 0.0115, 97.39
492.0, 0.0112, 97.46
493.0, 0.0108, 97.55
494.0, 0.0106, 97.58
495.0, 0.0104, 97.63
496.0, 0.0101, 97.69
497.0, 0.0100, 97.73
498.0, 0.0098, 97.77
499.0, 0.0093, 97.88
500.0, 0.0093, 97.88
501.0, 0.0092, 97.90
502.0, 0.0091, 97.93
503.0, 0.0090, 97.96
504.0, 0.0087, 98.01
505.0, 0.0085, 98.06
506.0, 0.0083, 98.10
507.0, 0.0082, 98.13
508.0, 0.0081, 98.16
509.0, 0.0079, 98.20
510.0, 0.0077, 98.25
511.0, 0.0074, 98.31
512.0, 0.0071, 98.38
513.0, 0.0070, 98.40
514.0, 0.0070, 98.41
515.0, 0.0068, 98.45
516.0, 0.0066, 98.48
517.0, 0.0066, 98.49
518.0, 0.0065, 98.52
519.0, 0.0064, 98.54
520.0, 0.0063, 98.56
521.0, 0.0061, 98.61
522.0, 0.0058, 98.68
523.0, 0.0056, 98.71
524.0, 0.0056, 98.73
525.0, 0.0055, 98.75
526.0, 0.0053, 98.80
527.0, 0.0052, 98.82
528.0, 0.0050, 98.85
529.0, 0.0048, 98.91
530.0, 0.0046, 98.94
531.0, 0.0046, 98.95
532.0, 0.0047, 98.93
533.0, 0.0045, 98.97
534.0, 0.0045, 98.98
535.0, 0.0043, 99.02
536.0, 0.0043, 99.02
537.0, 0.0041, 99.07
538.0, 0.0040, 99.09
539.0, 0.0038, 99.13
540.0, 0.0036, 99.17
541.0, 0.0036, 99.18
542.0, 0.0036, 99.18
543.0, 0.0035, 99.21
544.0, 0.0034, 99.21
545.0, 0.0034, 99.22
