Sample Name, Sample-126
Time, February 05 18:01:08 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.6769, 21.04
231.0, 0.6663, 21.56
232.0, 0.6562, 22.07
233.0, 0.6456, 22.62
234.0, 0.6341, 23.22
235.0, 0.6231, 23.82
236.0, 0.6126, 24.40
237.0, 0.6022, 24.99
238.0, 0.5923, 25.57
239.0, 0.5824, 26.16
240.0, 0.5727, 26.75
241.0, 0.5635, 27.32
242.0, 0.5552, 27.85
243.0, 0.5479, 28.32
244.0, 0.5405, 28.81
245.0, 0.5333, 29.29
246.0, 0.5258, 29.80
247.0, 0.5189, 30.28
248.0, 0.5124, 30.74
249.0, 0.5060, 31.19
250.0, 0.4998, 31.64
251.0, 0.4937, 32.09
252.0, 0.4878, 32.52
253.0, 0.4820, 32.96
254.0, 0.4769, 33.35
255.0, 0.4720, 33.73
256.0, 0.4669, 34.13
257.0, 0.4619, 34.52
258.0, 0.4589, 34.76
259.0, 0.4492, 35.55
260.0, 0.4431, 36.05
261.0, 0.4371, 36.55
262.0, 0.4310, 37.07
263.0, 0.4245, 37.62
264.0, 0.4181, 38.18
265.0, 0.4119, 38.74
266.0, 0.4058, 39.28
267.0, 0.4001, 39.80
268.0, 0.3945, 40.32
269.0, 0.3885, 40.88
270.0, 0.3820, 41.49
271.0, 0.3759, 42.08
272.0, 0.3697, 42.69
273.0, 0.3636, 43.29
274.0, 0.3579, 43.87
275.0, 0.3521, 44.45
276.0, 0.3465, 45.03
277.0, 0.3410, 45.60
278.0, 0.3363, 46.10
279.0, 0.3318, 46.58
280.0, 0.3270, 47.10
281.0, 0.3219, 47.66
282.0, 0.3167, 48.23
283.0, 0.3117, 48.79
284.0, 0.3067, 49.35
285.0, 0.3017, 49.92
286.0, 0.2974, 50.42
287.0, 0.2926, 50.99
288.0, 0.2880, 51.53
289.0, 0.2835, 52.05
290.0, 0.2795, 52.54
291.0, 0.2758, 52.99
292.0, 0.2723, 53.42
293.0, 0.2684, 53.90
294.0, 0.2645, 54.39
295.0, 0.2611, 54.82
296.0, 0.2575, 55.27
297.0, 0.2543, 55.69
298.0, 0.2526, 55.90
299.0, 0.2475, 56.56
300.0, 0.2440, 57.01
301.0, 0.2411, 57.39
302.0, 0.2382, 57.78
303.0, 0.2356, 58.13
304.0, 0.2330, 58.48
305.0, 0.2299, 58.90
306.0, 0.2269, 59.31
307.0, 0.2239, 59.72
308.0, 0.2210, 60.11
309.0, 0.2181, 60.52
310.0, 0.2151, 60.94
311.0, 0.2120, 61.38
312.0, 0.2092, 61.77
313.0, 0.2062, 62.20
314.0, 0.2035, 62.59
315.0, 0.2012, 62.92
316.0, 0.1987, 63.29
317.0, 0.1962, 63.65
318.0, 0.1934, 64.06
319.0, 0.1905, 64.49
320.0, 0.1877, 64.91
321.0, 0.1851, 65.30
322.0, 0.1825, 65.70
323.0, 0.1797, 66.12
324.0, 0.1771, 66.51
325.0, 0.1744, 66.93
326.0, 0.1717, 67.35
327.0, 0.1695, 67.69
328.0, 0.1671, 68.06
329.0, 0.1648, 68.43
330.0, 0.1633, 68.66
331.0, 0.1588, 69.37
332.0, 0.1561, 69.81
333.0, 0.1532, 70.27
334.0, 0.1505, 70.71
335.0, 0.1479, 71.14
336.0, 0.1451, 71.59
337.0, 0.1427, 71.99
338.0, 0.1404, 72.37
339.0, 0.1389, 72.63
340.0, 0.1328, 73.66
341.0, 0.1309, 73.97
342.0, 0.1288, 74.34
343.0, 0.1270, 74.65
344.0, 0.1249, 75.00
345.0, 0.1231, 75.32
346.0, 0.1207, 75.73
347.0, 0.1188, 76.08
348.0, 0.1172, 76.35
