Sample Name, Sample-12
Time, February 13 16:23:59 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.0314, 9.30
231.0, 1.0195, 9.56
232.0, 1.0055, 9.87
233.0, 0.9890, 10.26
234.0, 0.9703, 10.71
235.0, 0.9519, 11.17
236.0, 0.9345, 11.63
237.0, 0.9195, 12.04
238.0, 0.9055, 12.43
239.0, 0.8925, 12.81
240.0, 0.8807, 13.16
241.0, 0.8696, 13.50
242.0, 0.8602, 13.80
243.0, 0.8512, 14.09
244.0, 0.8429, 14.36
245.0, 0.8336, 14.67
246.0, 0.8245, 14.98
247.0, 0.8167, 15.25
248.0, 0.8090, 15.52
249.0, 0.8020, 15.78
250.0, 0.7949, 16.04
251.0, 0.7882, 16.28
252.0, 0.7818, 16.53
253.0, 0.7758, 16.76
254.0, 0.7703, 16.97
255.0, 0.7655, 17.16
256.0, 0.7608, 17.35
257.0, 0.7559, 17.54
258.0, 0.7530, 17.66
259.0, 0.7447, 18.00
260.0, 0.7391, 18.24
261.0, 0.7333, 18.48
262.0, 0.7272, 18.74
263.0, 0.7207, 19.03
264.0, 0.7139, 19.33
265.0, 0.7065, 19.66
266.0, 0.6992, 19.99
267.0, 0.6920, 20.32
268.0, 0.6840, 20.70
269.0, 0.6750, 21.13
270.0, 0.6654, 21.61
271.0, 0.6555, 22.10
272.0, 0.6457, 22.61
273.0, 0.6362, 23.11
274.0, 0.6269, 23.61
275.0, 0.6174, 24.13
276.0, 0.6082, 24.65
277.0, 0.5991, 25.17
278.0, 0.5908, 25.66
279.0, 0.5830, 26.12
280.0, 0.5747, 26.63
281.0, 0.5662, 27.15
282.0, 0.5570, 27.73
283.0, 0.5484, 28.29
284.0, 0.5403, 28.82
285.0, 0.5323, 29.36
286.0, 0.5245, 29.89
287.0, 0.5168, 30.42
288.0, 0.5090, 30.97
289.0, 0.5012, 31.53
290.0, 0.4942, 32.04
291.0, 0.4878, 32.52
292.0, 0.4811, 33.03
293.0, 0.4745, 33.54
294.0, 0.4671, 34.11
295.0, 0.4599, 34.68
296.0, 0.4536, 35.19
297.0, 0.4479, 35.65
298.0, 0.4448, 35.91
299.0, 0.4356, 36.68
300.0, 0.4302, 37.14
301.0, 0.4250, 37.58
302.0, 0.4206, 37.97
303.0, 0.4163, 38.35
304.0, 0.4117, 38.76
305.0, 0.4073, 39.15
306.0, 0.4027, 39.56
307.0, 0.3983, 39.97
308.0, 0.3942, 40.35
309.0, 0.3901, 40.73
310.0, 0.3859, 41.13
311.0, 0.3815, 41.55
312.0, 0.3773, 41.95
313.0, 0.3732, 42.34
314.0, 0.3695, 42.70
315.0, 0.3659, 43.06
316.0, 0.3622, 43.43
317.0, 0.3580, 43.85
318.0, 0.3538, 44.28
319.0, 0.3497, 44.70
320.0, 0.3456, 45.13
321.0, 0.3414, 45.56
322.0, 0.3372, 46.01
323.0, 0.3334, 46.41
324.0, 0.3289, 46.90
325.0, 0.3247, 47.35
326.0, 0.3206, 47.80
327.0, 0.3168, 48.21
328.0, 0.3129, 48.65
329.0, 0.3093, 49.05
330.0, 0.3068, 49.34
331.0, 0.3002, 50.10
332.0, 0.2957, 50.62
333.0, 0.2916, 51.09
334.0, 0.2873, 51.61
335.0, 0.2829, 52.14
336.0, 0.2785, 52.66
337.0, 0.2742, 53.18
338.0, 0.2706, 53.63
339.0, 0.2685, 53.89
340.0, 0.2588, 55.10
341.0, 0.2550, 55.59
342.0, 0.2514, 56.06
343.0, 0.2475, 56.56
344.0, 0.2440, 57.01
345.0, 0.2401, 57.53
346.0, 0.2362, 58.05
347.0, 0.2329, 58.50
348.0, 0.2293, 58.98
349.0, 0.2258, 59.45
350.0, 0.2226, 59.90
351.0, 0.2194, 60.34
352.0, 0.2167, 60.72
353.0, 0.2137, 61.14
354.0, 0.2102, 61.63
355.0, 0.2067, 62.12
356.0, 0.2035, 62.59
357.0, 0.2002, 63.06
358.0, 0.1971, 63.51
359.0, 0.1942, 63.94
360.0, 0.1909, 64.43
361.0, 0.1881, 64.85
362.0, 0.1852, 65.28
363.0, 0.1827, 65.67
364.0, 0.1802, 66.04
365.0, 0.1773, 66.48
366.0, 0.1747, 66.88
367.0, 0.1716, 67.37
368.0, 0.1690, 67.77
369.0, 0.1664, 68.16
