Sample Name, Sample-95
Time, February 05 16:32:14 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.8866, 12.98
231.0, 0.8713, 13.45
232.0, 0.8564, 13.92
233.0, 0.8406, 14.44
234.0, 0.8237, 15.01
235.0, 0.8084, 15.54
236.0, 0.7932, 16.10
237.0, 0.7794, 16.62
238.0, 0.7662, 17.13
239.0, 0.7532, 17.65
240.0, 0.7408, 18.16
241.0, 0.7294, 18.65
242.0, 0.7195, 19.08
243.0, 0.7095, 19.52
244.0, 0.7003, 19.94
245.0, 0.6911, 20.36
246.0, 0.6818, 20.81
247.0, 0.6730, 21.23
248.0, 0.6647, 21.64
249.0, 0.6568, 22.04
250.0, 0.6496, 22.41
251.0, 0.6423, 22.79
252.0, 0.6353, 23.16
253.0, 0.6288, 23.51
254.0, 0.6231, 23.82
255.0, 0.6176, 24.12
256.0, 0.6119, 24.44
257.0, 0.6067, 24.73
258.0, 0.6032, 24.94
259.0, 0.5936, 25.49
260.0, 0.5874, 25.86
261.0, 0.5813, 26.22
262.0, 0.5751, 26.60
263.0, 0.5689, 26.98
264.0, 0.5628, 27.37
265.0, 0.5566, 27.76
266.0, 0.5509, 28.12
267.0, 0.5454, 28.49
268.0, 0.5400, 28.84
269.0, 0.5342, 29.23
270.0, 0.5284, 29.62
271.0, 0.5222, 30.04
272.0, 0.5164, 30.45
273.0, 0.5107, 30.86
274.0, 0.5048, 31.28
275.0, 0.4990, 31.69
276.0, 0.4934, 32.11
277.0, 0.4876, 32.54
278.0, 0.4828, 32.90
279.0, 0.4777, 33.29
280.0, 0.4727, 33.68
281.0, 0.4666, 34.15
282.0, 0.4606, 34.63
283.0, 0.4546, 35.11
284.0, 0.4487, 35.59
285.0, 0.4426, 36.09
286.0, 0.4365, 36.60
287.0, 0.4302, 37.14
288.0, 0.4241, 37.66
289.0, 0.4180, 38.19
290.0, 0.4126, 38.68
291.0, 0.4073, 39.15
292.0, 0.4022, 39.61
293.0, 0.3968, 40.11
294.0, 0.3912, 40.63
295.0, 0.3859, 41.12
296.0, 0.3809, 41.60
297.0, 0.3764, 42.03
298.0, 0.3740, 42.26
299.0, 0.3665, 43.00
300.0, 0.3622, 43.43
301.0, 0.3581, 43.85
302.0, 0.3544, 44.22
303.0, 0.3508, 44.59
304.0, 0.3476, 44.92
305.0, 0.3437, 45.32
306.0, 0.3402, 45.69
307.0, 0.3365, 46.07
308.0, 0.3332, 46.43
309.0, 0.3297, 46.81
310.0, 0.3264, 47.16
311.0, 0.3230, 47.54
312.0, 0.3194, 47.93
313.0, 0.3160, 48.30
314.0, 0.3128, 48.66
315.0, 0.3098, 49.00
316.0, 0.3070, 49.32
317.0, 0.3037, 49.69
318.0, 0.3002, 50.10
319.0, 0.2969, 50.48
320.0, 0.2933, 50.90
321.0, 0.2898, 51.31
322.0, 0.2865, 51.70
323.0, 0.2828, 52.15
324.0, 0.2794, 52.55
325.0, 0.2761, 52.96
326.0, 0.2728, 53.36
327.0, 0.2698, 53.73
328.0, 0.2665, 54.13
329.0, 0.2635, 54.52
330.0, 0.2614, 54.78
331.0, 0.2557, 55.50
332.0, 0.2521, 55.96
333.0, 0.2487, 56.40
334.0, 0.2448, 56.91
335.0, 0.2410, 57.41
336.0, 0.2373, 57.90
337.0, 0.2341, 58.33
338.0, 0.2308, 58.78
339.0, 0.2288, 59.05
340.0, 0.2216, 60.03
341.0, 0.2185, 60.46
342.0, 0.2153, 60.92
343.0, 0.2123, 61.34
344.0, 0.2091, 61.78
345.0, 0.2056, 62.28
346.0, 0.2024, 62.75
347.0, 0.1991, 63.22
348.0, 0.1963, 63.64
349.0, 0.1931, 64.10
350.0, 0.1909, 64.43
351.0, 0.1885, 64.79
352.0, 0.1860, 65.17
353.0, 0.1828, 65.65
354.0, 0.1796, 66.14
355.0, 0.1770, 66.53
356.0, 0.1739, 67.00
357.0, 0.1709, 67.48
358.0, 0.1682, 67.89
359.0, 0.1655, 68.31
360.0, 0.1625, 68.79
361.0, 0.1597, 69.23
362.0, 0.1573, 69.62
363.0, 0.1552, 69.95
364.0, 0.1528, 70.34
365.0, 0.1506, 70.70
366.0, 0.1480, 71.11
367.0, 0.1459, 71.47
368.0, 0.1438, 71.82
369.0, 0.1420, 72.11
370.0, 0.1406, 72.34
371.0, 0.1339, 73.46
372.0, 0.1314, 73.89
373.0, 0.1293, 74.26
374.0, 0.1270, 74.65
375.0, 0.1247, 75.04
376.0, 0.1228, 75.37
377.0, 0.1205, 75.78
378.0, 0.1180, 76.20
379.0, 0.1160, 76.56
380.0, 0.1135, 77.00
381.0, 0.1116, 77.34
382.0, 0.1098, 77.65
383.0, 0.1077, 78.03
384.0, 0.1068, 78.20
385.0, 0.1039, 78.72
386.0, 0.1022, 79.03
387.0, 0.1003, 79.38
388.0, 0.0985, 79.71
389.0, 0.0969, 79.99
390.0, 0.0951, 80.34
391.0, 0.0933, 80.67
392.0, 0.0917, 80.96
393.0, 0.0901, 81.26
394.0, 0.0885, 81.56
395.0, 0.0870, 81.85
396.0, 0.0854, 82.16
397.0, 0.0840, 82.42
398.0, 0.0827, 82.65
399.0, 0.0813, 82.92
400.0, 0.0801, 83.16
401.0, 0.0789, 83.39
402.0, 0.0775, 83.66
403.0, 0.0761, 83.92
404.0, 0.0748, 84.17
405.0, 0.0737, 84.39
406.0, 0.0724, 84.64
407.0, 0.0714, 84.85
408.0, 0.0702, 85.07
409.0, 0.0692, 85.27
410.0, 0.0682, 85.46
411.0, 0.0673, 85.64
412.0, 0.0664, 85.83
413.0, 0.0652, 86.05
414.0, 0.0642, 86.27
415.0, 0.0633, 86.44
416.0, 0.0624, 86.62
417.0, 0.0616, 86.77
418.0, 0.0606, 86.97
419.0, 0.0598, 87.14
420.0, 0.0590, 87.30
421.0, 0.0583, 87.44
422.0, 0.0575, 87.61
423.0, 0.0568, 87.74
424.0, 0.0562, 87.85
425.0, 0.0556, 87.99
426.0, 0.0549, 88.13
427.0, 0.0541, 88.29
428.0, 0.0534, 88.43
429.0, 0.0527, 88.58
430.0, 0.0521, 88.69
431.0, 0.0513, 88.85
432.0, 0.0507, 88.99
433.0, 0.0500, 89.12
434.0, 0.0495, 89.22
435.0, 0.0491, 89.31
436.0, 0.0485, 89.43
437.0, 0.0481, 89.51
438.0, 0.0477, 89.60
439.0, 0.0473, 89.68
440.0, 0.0467, 89.80
441.0, 0.0464, 89.87
442.0, 0.0458, 89.99
443.0, 0.0455, 90.06
444.0, 0.0451, 90.13
445.0, 0.0447, 90.23
446.0, 0.0445, 90.26
447.0, 0.0440, 90.37
448.0, 0.0437, 90.42
449.0, 0.0437, 90.43
450.0, 0.0434, 90.50
451.0, 0.0423, 90.72
452.0, 0.0416, 90.87
453.0, 0.0412, 90.96
454.0, 0.0406, 91.07
455.0, 0.0401, 91.18
456.0, 0.0396, 91.28
457.0, 0.0393, 91.35
458.0, 0.0387, 91.47
459.0, 0.0382, 91.58
460.0, 0.0376, 91.70
461.0, 0.0373, 91.77
462.0, 0.0369, 91.86
463.0, 0.0365, 91.95
464.0, 0.0360, 92.05
465.0, 0.0356, 92.13
466.0, 0.0351, 92.23
467.0, 0.0347, 92.31
468.0, 0.0344, 92.39
469.0, 0.0342, 92.43
470.0, 0.0338, 92.52
471.0, 0.0333, 92.61
472.0, 0.0329, 92.70
473.0, 0.0327, 92.74
474.0, 0.0323, 92.83
475.0, 0.0321, 92.87
476.0, 0.0315, 93.00
477.0, 0.0312, 93.06
478.0, 0.0308, 93.14
479.0, 0.0305, 93.21
480.0, 0.0301, 93.30
481.0, 0.0299, 93.35
482.0, 0.0296, 93.42
483.0, 0.0291, 93.52
484.0, 0.0288, 93.59
485.0, 0.0284, 93.66
486.0, 0.0282, 93.72
487.0, 0.0279, 93.77
488.0, 0.0276, 93.83
489.0, 0.0273, 93.91
490.0, 0.0270, 93.97
491.0, 0.0269, 94.00
492.0, 0.0266, 94.07
493.0, 0.0262, 94.15
494.0, 0.0259, 94.20
495.0, 0.0256, 94.27
496.0, 0.0254, 94.31
497.0, 0.0250, 94.40
498.0, 0.0247, 94.48
499.0, 0.0243, 94.55
500.0, 0.0241, 94.60
501.0, 0.0238, 94.66
502.0, 0.0235, 94.73
503.0, 0.0233, 94.78
504.0, 0.0231, 94.82
505.0, 0.0230, 94.84
506.0, 0.0228, 94.89
507.0, 0.0226, 94.93
508.0, 0.0222, 95.01
509.0, 0.0221, 95.03
510.0, 0.0219, 95.07
511.0, 0.0217, 95.13
512.0, 0.0214, 95.19
513.0, 0.0212, 95.24
514.0, 0.0210, 95.29
515.0, 0.0208, 95.33
516.0, 0.0205, 95.38
517.0, 0.0204, 95.42
518.0, 0.0201, 95.48
519.0, 0.0200, 95.50
520.0, 0.0199, 95.52
521.0, 0.0197, 95.57
522.0, 0.0194, 95.64
523.0, 0.0192, 95.67
524.0, 0.0190, 95.72
525.0, 0.0188, 95.77
526.0, 0.0186, 95.80
527.0, 0.0184, 95.86
528.0, 0.0182, 95.88
529.0, 0.0181, 95.92
530.0, 0.0179, 95.96
531.0, 0.0178, 95.99
532.0, 0.0177, 96.00
533.0, 0.0174, 96.07
534.0, 0.0172, 96.11
535.0, 0.0170, 96.15
536.0, 0.0170, 96.17
537.0, 0.0168, 96.21
538.0, 0.0166, 96.24
539.0, 0.0164, 96.29
540.0, 0.0162, 96.34
541.0, 0.0161, 96.36
542.0, 0.0160, 96.37
543.0, 0.0158, 96.42
544.0, 0.0156, 96.47
545.0, 0.0155, 96.49
546.0, 0.0153, 96.54
547.0, 0.0151, 96.58
548.0, 0.0150, 96.60
549.0, 0.0146, 96.69
550.0, 0.0146, 96.69
551.0, 0.0144, 96.75
552.0, 0.0141, 96.81
553.0, 0.0139, 96.85
554.0, 0.0138, 96.88
555.0, 0.0135, 96.93
556.0, 0.0135, 96.93
557.0, 0.0134, 96.96
558.0, 0.0135, 96.94
559.0, 0.0135, 96.94
560.0, 0.0133, 96.98
561.0, 0.0133, 96.97
562.0, 0.0134, 96.96
563.0, 0.0134, 96.95
564.0, 0.0134, 96.95
565.0, 0.0134, 96.95
566.0, 0.0134, 96.95
567.0, 0.0135, 96.95
568.0, 0.0135, 96.93
569.0, 0.0134, 96.97
570.0, 0.0134, 96.95
571.0, 0.0133, 96.98
572.0, 0.0131, 97.03
573.0, 0.0129, 97.07
574.0, 0.0127, 97.11
575.0, 0.0126, 97.15
576.0, 0.0125, 97.16
577.0, 0.0121, 97.26
578.0, 0.0120, 97.27
579.0, 0.0119, 97.29
580.0, 0.0119, 97.30
581.0, 0.0117, 97.34
582.0, 0.0117, 97.34
583.0, 0.0116, 97.37
584.0, 0.0117, 97.35
585.0, 0.0118, 97.33
586.0, 0.0111, 97.47
587.0, 0.0110, 97.50
588.0, 0.0110, 97.49
589.0, 0.0112, 97.46
590.0, 0.0112, 97.46
591.0, 0.0111, 97.47
592.0, 0.0111, 97.47
593.0, 0.0112, 97.46
594.0, 0.0112, 97.45
595.0, 0.0111, 97.48
596.0, 0.0111, 97.49
597.0, 0.0111, 97.48
598.0, 0.0109, 97.51
599.0, 0.0108, 97.53
600.0, 0.0108, 97.55
601.0, 0.0108, 97.55
602.0, 0.0107, 97.56
603.0, 0.0107, 97.57
604.0, 0.0105, 97.61
605.0, 0.0105, 97.61
606.0, 0.0105, 97.62
607.0, 0.0105, 97.62
608.0, 0.0104, 97.63
609.0, 0.0103, 97.65
610.0, 0.0103, 97.66
611.0, 0.0101, 97.69
612.0, 0.0101, 97.70
613.0, 0.0100, 97.73
614.0, 0.0098, 97.76
615.0, 0.0099, 97.74
616.0, 0.0099, 97.75
617.0, 0.0098, 97.78
618.0, 0.0097, 97.79
619.0, 0.0097, 97.79
620.0, 0.0096, 97.80
621.0, 0.0095, 97.83
622.0, 0.0095, 97.84
623.0, 0.0094, 97.85
624.0, 0.0094, 97.86
625.0, 0.0094, 97.87
626.0, 0.0093, 97.88
627.0, 0.0092, 97.90
628.0, 0.0092, 97.91
629.0, 0.0092, 97.90
630.0, 0.0091, 97.92
631.0, 0.0091, 97.92
632.0, 0.0091, 97.93
