Sample Name, Sample-104
Time, February 05 16:58:07 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.6804, 20.87
231.0, 0.6676, 21.50
232.0, 0.6550, 22.13
233.0, 0.6409, 22.86
234.0, 0.6270, 23.60
235.0, 0.6138, 24.33
236.0, 0.6016, 25.03
237.0, 0.5898, 25.72
238.0, 0.5790, 26.36
239.0, 0.5682, 27.03
240.0, 0.5580, 27.67
241.0, 0.5483, 28.30
242.0, 0.5402, 28.83
243.0, 0.5324, 29.35
244.0, 0.5252, 29.84
245.0, 0.5179, 30.35
246.0, 0.5106, 30.86
247.0, 0.5042, 31.32
248.0, 0.4980, 31.77
249.0, 0.4921, 32.20
250.0, 0.4866, 32.61
251.0, 0.4812, 33.02
252.0, 0.4760, 33.42
253.0, 0.4711, 33.80
254.0, 0.4669, 34.13
255.0, 0.4628, 34.45
256.0, 0.4586, 34.78
257.0, 0.4543, 35.14
258.0, 0.4515, 35.36
259.0, 0.4438, 35.99
260.0, 0.4388, 36.41
261.0, 0.4338, 36.83
262.0, 0.4285, 37.29
263.0, 0.4230, 37.76
264.0, 0.4173, 38.25
265.0, 0.4120, 38.73
266.0, 0.4067, 39.20
267.0, 0.4016, 39.66
268.0, 0.3965, 40.13
269.0, 0.3913, 40.62
270.0, 0.3855, 41.16
271.0, 0.3800, 41.69
272.0, 0.3744, 42.23
273.0, 0.3690, 42.76
274.0, 0.3637, 43.28
275.0, 0.3584, 43.81
276.0, 0.3533, 44.33
277.0, 0.3483, 44.85
278.0, 0.3436, 45.33
279.0, 0.3392, 45.80
280.0, 0.3350, 46.24
281.0, 0.3302, 46.75
282.0, 0.3250, 47.31
283.0, 0.3201, 47.85
284.0, 0.3153, 48.39
285.0, 0.3104, 48.93
286.0, 0.3058, 49.46
287.0, 0.3012, 49.98
288.0, 0.2965, 50.52
289.0, 0.2922, 51.03
290.0, 0.2881, 51.51
291.0, 0.2843, 51.96
292.0, 0.2807, 52.40
293.0, 0.2769, 52.85
294.0, 0.2729, 53.34
295.0, 0.2692, 53.80
296.0, 0.2659, 54.21
297.0, 0.2629, 54.58
298.0, 0.2611, 54.82
299.0, 0.2562, 55.44
300.0, 0.2531, 55.84
301.0, 0.2504, 56.18
302.0, 0.2478, 56.52
303.0, 0.2456, 56.80
304.0, 0.2432, 57.13
305.0, 0.2407, 57.45
306.0, 0.2382, 57.79
307.0, 0.2357, 58.12
308.0, 0.2334, 58.43
309.0, 0.2311, 58.74
310.0, 0.2286, 59.07
311.0, 0.2262, 59.40
312.0, 0.2238, 59.73
313.0, 0.2216, 60.03
314.0, 0.2195, 60.33
315.0, 0.2173, 60.63
316.0, 0.2151, 60.95
317.0, 0.2128, 61.26
318.0, 0.2100, 61.65
319.0, 0.2076, 62.00
