Sample Name, Sample-109
Time, February 05 17:10:31 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.6906, 2.04
231.0, 1.6969, 2.01
232.0, 1.7030, 1.98
233.0, 1.7088, 1.96
234.0, 1.7141, 1.93
235.0, 1.7204, 1.90
236.0, 1.7213, 1.90
237.0, 1.7239, 1.89
238.0, 1.7235, 1.89
239.0, 1.7214, 1.90
240.0, 1.7188, 1.91
241.0, 1.7169, 1.92
242.0, 1.7116, 1.94
243.0, 1.7107, 1.95
244.0, 1.7030, 1.98
245.0, 1.6977, 2.01
246.0, 1.6918, 2.03
247.0, 1.6841, 2.07
248.0, 1.6780, 2.10
249.0, 1.6697, 2.14
250.0, 1.6623, 2.18
251.0, 1.6535, 2.22
252.0, 1.6458, 2.26
253.0, 1.6377, 2.30
254.0, 1.6302, 2.34
255.0, 1.6237, 2.38
256.0, 1.6155, 2.42
257.0, 1.6080, 2.47
258.0, 1.6036, 2.49
259.0, 1.5893, 2.57
260.0, 1.5792, 2.63
261.0, 1.5694, 2.70
262.0, 1.5616, 2.74
263.0, 1.5522, 2.80
264.0, 1.5445, 2.85
265.0, 1.5346, 2.92
266.0, 1.5252, 2.98
267.0, 1.5179, 3.03
268.0, 1.5108, 3.08
269.0, 1.5032, 3.14
270.0, 1.4947, 3.20
271.0, 1.4879, 3.25
272.0, 1.4826, 3.29
273.0, 1.4773, 3.33
274.0, 1.4687, 3.40
275.0, 1.4658, 3.42
276.0, 1.4605, 3.46
277.0, 1.4563, 3.50
278.0, 1.4533, 3.52
279.0, 1.4500, 3.55
280.0, 1.4473, 3.57
281.0, 1.4442, 3.60
282.0, 1.4409, 3.62
283.0, 1.4362, 3.66
284.0, 1.4326, 3.69
285.0, 1.4289, 3.72
286.0, 1.4245, 3.76
287.0, 1.4196, 3.81
288.0, 1.4166, 3.83
289.0, 1.4141, 3.85
290.0, 1.4100, 3.89
291.0, 1.4090, 3.90
292.0, 1.4048, 3.94
293.0, 1.4022, 3.96
294.0, 1.4002, 3.98
295.0, 1.3966, 4.01
296.0, 1.3915, 4.06
297.0, 1.3894, 4.08
298.0, 1.3862, 4.11
299.0, 1.3795, 4.17
300.0, 1.3737, 4.23
301.0, 1.3695, 4.27
302.0, 1.3629, 4.34
303.0, 1.3591, 4.37
304.0, 1.3537, 4.43
305.0, 1.3480, 4.49
306.0, 1.3402, 4.57
307.0, 1.3358, 4.62
308.0, 1.3296, 4.68
309.0, 1.3232, 4.75
310.0, 1.3151, 4.84
311.0, 1.3084, 4.92
312.0, 1.3007, 5.00
313.0, 1.2950, 5.07
314.0, 1.2884, 5.15
315.0, 1.2823, 5.22
316.0, 1.2758, 5.30
317.0, 1.2699, 5.37
318.0, 1.2629, 5.46
319.0, 1.2551, 5.56
320.0, 1.2460, 5.68
321.0, 1.2391, 5.77
322.0, 1.2304, 5.88
323.0, 1.2222, 6.00
324.0, 1.2146, 6.10
325.0, 1.2071, 6.21
326.0, 1.2005, 6.30
327.0, 1.1946, 6.39
328.0, 1.1853, 6.53
329.0, 1.1773, 6.65
330.0, 1.1713, 6.74
331.0, 1.1590, 6.93
332.0, 1.1503, 7.07
333.0, 1.1399, 7.25
334.0, 1.1302, 7.41
335.0, 1.1212, 7.56
336.0, 1.1115, 7.74
337.0, 1.1015, 7.92
338.0, 1.0927, 8.08
339.0, 1.0787, 8.34
340.0, 0.8298, 14.80
341.0, 0.8343, 14.65
342.0, 0.8382, 14.51
343.0, 0.8429, 14.36
344.0, 0.8469, 14.23
345.0, 0.8519, 14.06
346.0, 0.8544, 13.98
347.0, 0.8573, 13.89
348.0, 0.8608, 13.78
349.0, 0.8643, 13.67
350.0, 0.8657, 13.62
351.0, 0.8661, 13.61
352.0, 0.8675, 13.57
353.0, 0.8669, 13.58
354.0, 0.8634, 13.70
355.0, 0.8587, 13.85
356.0, 0.8530, 14.03
357.0, 0.8461, 14.25
358.0, 0.8390, 14.49
359.0, 0.8321, 14.72
360.0, 0.8246, 14.98
361.0, 0.8160, 15.28
362.0, 0.8079, 15.56
363.0, 0.7988, 15.89
364.0, 0.7890, 16.25
365.0, 0.7770, 16.71
366.0, 0.7635, 17.24
367.0, 0.7485, 17.84
368.0, 0.7323, 18.52
369.0, 0.7164, 19.21
370.0, 0.7075, 19.61
371.0, 0.7658, 17.15
372.0, 0.7580, 17.46
373.0, 0.7504, 17.77
374.0, 0.7425, 18.09
375.0, 0.7348, 18.42
376.0, 0.7278, 18.71
377.0, 0.7198, 19.06
378.0, 0.7115, 19.43
379.0, 0.7021, 19.86
380.0, 0.6932, 20.27
381.0, 0.6852, 20.64
382.0, 0.6771, 21.03
383.0, 0.6693, 21.41
384.0, 0.6644, 21.66
385.0, 0.6509, 22.34
386.0, 0.6426, 22.77
387.0, 0.6344, 23.20
388.0, 0.6264, 23.64
389.0, 0.6182, 24.09
390.0, 0.6093, 24.59
391.0, 0.6001, 25.12
392.0, 0.5911, 25.64
393.0, 0.5828, 26.14
394.0, 0.5740, 26.67
395.0, 0.5651, 27.22
396.0, 0.5565, 27.76
397.0, 0.5489, 28.26
398.0, 0.5412, 28.76
399.0, 0.5335, 29.28
400.0, 0.5260, 29.78
401.0, 0.5185, 30.31
402.0, 0.5105, 30.87
403.0, 0.5027, 31.43
404.0, 0.4946, 32.02
405.0, 0.4871, 32.58
406.0, 0.4796, 33.14
407.0, 0.4723, 33.71
408.0, 0.4650, 34.27
409.0, 0.4587, 34.78
410.0, 0.4524, 35.29
411.0, 0.4460, 35.81
412.0, 0.4405, 36.27
413.0, 0.4342, 36.80
414.0, 0.4274, 37.37
415.0, 0.4210, 37.93
416.0, 0.4146, 38.49
417.0, 0.4086, 39.03
418.0, 0.4026, 39.58
419.0, 0.3968, 40.11
420.0, 0.3910, 40.65
421.0, 0.3856, 41.15
422.0, 0.3804, 41.64
423.0, 0.3755, 42.12
424.0, 0.3709, 42.57
425.0, 0.3661, 43.05
426.0, 0.3604, 43.61
427.0, 0.3552, 44.13
428.0, 0.3499, 44.68
429.0, 0.3451, 45.18
430.0, 0.3402, 45.69
431.0, 0.3354, 46.19
432.0, 0.3308, 46.69
433.0, 0.3262, 47.18
434.0, 0.3222, 47.62
435.0, 0.3181, 48.08
436.0, 0.3145, 48.48
437.0, 0.3106, 48.91
438.0, 0.3062, 49.40
439.0, 0.3023, 49.86
