Sample Name, Sample-9
Time, February 13 16:14:40 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.9959, 10.09
231.0, 0.9817, 10.43
232.0, 0.9675, 10.78
233.0, 0.9533, 11.14
234.0, 0.9381, 11.53
235.0, 0.9237, 11.92
236.0, 0.9101, 12.30
237.0, 0.8968, 12.68
238.0, 0.8843, 13.05
239.0, 0.8718, 13.43
240.0, 0.8601, 13.80
241.0, 0.8486, 14.17
242.0, 0.8387, 14.50
243.0, 0.8293, 14.81
244.0, 0.8206, 15.12
245.0, 0.8103, 15.48
246.0, 0.8006, 15.83
247.0, 0.7917, 16.16
248.0, 0.7830, 16.48
249.0, 0.7750, 16.79
250.0, 0.7673, 17.09
251.0, 0.7593, 17.41
252.0, 0.7519, 17.70
253.0, 0.7444, 18.01
254.0, 0.7380, 18.28
255.0, 0.7318, 18.54
256.0, 0.7258, 18.80
257.0, 0.7196, 19.07
258.0, 0.7159, 19.23
259.0, 0.7048, 19.73
260.0, 0.6982, 20.04
261.0, 0.6915, 20.35
262.0, 0.6848, 20.66
263.0, 0.6778, 21.00
264.0, 0.6709, 21.34
265.0, 0.6640, 21.67
266.0, 0.6577, 21.99
267.0, 0.6513, 22.32
268.0, 0.6447, 22.66
269.0, 0.6382, 23.01
270.0, 0.6309, 23.40
271.0, 0.6237, 23.78
272.0, 0.6169, 24.16
273.0, 0.6097, 24.56
274.0, 0.6028, 24.96
275.0, 0.5957, 25.37
276.0, 0.5884, 25.80
277.0, 0.5811, 26.24
278.0, 0.5744, 26.65
279.0, 0.5679, 27.04
280.0, 0.5613, 27.46
281.0, 0.5547, 27.88
282.0, 0.5470, 28.38
283.0, 0.5396, 28.87
284.0, 0.5324, 29.35
285.0, 0.5251, 29.84
286.0, 0.5175, 30.37
287.0, 0.5104, 30.87
288.0, 0.5029, 31.41
289.0, 0.4957, 31.94
290.0, 0.4891, 32.43
291.0, 0.4831, 32.88
292.0, 0.4769, 33.35
293.0, 0.4705, 33.84
294.0, 0.4637, 34.38
295.0, 0.4571, 34.91
296.0, 0.4511, 35.39
297.0, 0.4454, 35.86
298.0, 0.4423, 36.12
299.0, 0.4328, 36.92
300.0, 0.4269, 37.42
301.0, 0.4215, 37.89
302.0, 0.4165, 38.33
303.0, 0.4118, 38.74
304.0, 0.4066, 39.21
305.0, 0.4016, 39.66
306.0, 0.3965, 40.13
307.0, 0.3915, 40.60
308.0, 0.3865, 41.06
309.0, 0.3817, 41.52
310.0, 0.3769, 41.98
311.0, 0.3720, 42.46
312.0, 0.3672, 42.93
313.0, 0.3626, 43.39
314.0, 0.3586, 43.79
315.0, 0.3548, 44.18
316.0, 0.3504, 44.62
317.0, 0.3460, 45.08
318.0, 0.3414, 45.56
319.0, 0.3368, 46.04
320.0, 0.3324, 46.51
321.0, 0.3279, 47.00
322.0, 0.3235, 47.48
323.0, 0.3192, 47.96
324.0, 0.3144, 48.48
325.0, 0.3104, 48.93
326.0, 0.3063, 49.40
327.0, 0.3024, 49.85
328.0, 0.2985, 50.30
329.0, 0.2947, 50.73
330.0, 0.2920, 51.05
331.0, 0.2852, 51.86
332.0, 0.2809, 52.37
333.0, 0.2766, 52.89
334.0, 0.2725, 53.40
335.0, 0.2683, 53.91
336.0, 0.2639, 54.46
337.0, 0.2598, 54.98
338.0, 0.2562, 55.43
339.0, 0.2543, 55.68
340.0, 0.2459, 56.76
341.0, 0.2416, 57.34
342.0, 0.2377, 57.85
343.0, 0.2343, 58.30
344.0, 0.2309, 58.77
345.0, 0.2268, 59.33
346.0, 0.2233, 59.80
347.0, 0.2194, 60.34
348.0, 0.2161, 60.80
349.0, 0.2129, 61.26
350.0, 0.2100, 61.66
351.0, 0.2066, 62.14
352.0, 0.2036, 62.57
353.0, 0.2006, 63.01
354.0, 0.1971, 63.52
355.0, 0.1937, 64.02
356.0, 0.1905, 64.49
357.0, 0.1873, 64.97
358.0, 0.1840, 65.46
359.0, 0.1814, 65.86
360.0, 0.1780, 66.38
361.0, 0.1750, 66.83
362.0, 0.1723, 67.26
363.0, 0.1696, 67.66
364.0, 0.1670, 68.07
365.0, 0.1642, 68.51
366.0, 0.1618, 68.89
367.0, 0.1592, 69.31
368.0, 0.1565, 69.74
369.0, 0.1539, 70.16
370.0, 0.1528, 70.34
371.0, 0.1495, 70.87
372.0, 0.1469, 71.29
373.0, 0.1446, 71.67
374.0, 0.1422, 72.07
375.0, 0.1404, 72.38
376.0, 0.1385, 72.70
377.0, 0.1363, 73.06
378.0, 0.1340, 73.46
379.0, 0.1318, 73.83
380.0, 0.1294, 74.23
381.0, 0.1274, 74.57
382.0, 0.1252, 74.95
383.0, 0.1234, 75.26
384.0, 0.1224, 75.45
385.0, 0.1191, 76.01
386.0, 0.1174, 76.31
387.0, 0.1157, 76.62
388.0, 0.1140, 76.91
389.0, 0.1125, 77.19
390.0, 0.1106, 77.51
391.0, 0.1091, 77.79
392.0, 0.1071, 78.15
393.0, 0.1053, 78.47
394.0, 0.1038, 78.75
395.0, 0.1022, 79.03
396.0, 0.1005, 79.34
397.0, 0.0989, 79.63
398.0, 0.0974, 79.91
399.0, 0.0960, 80.17
400.0, 0.0946, 80.43
401.0, 0.0931, 80.71
402.0, 0.0918, 80.96
403.0, 0.0902, 81.25
404.0, 0.0889, 81.50
405.0, 0.0874, 81.77
406.0, 0.0861, 82.02
407.0, 0.0849, 82.25
408.0, 0.0836, 82.48
409.0, 0.0823, 82.73
410.0, 0.0812, 82.95
411.0, 0.0800, 83.18
412.0, 0.0789, 83.38
413.0, 0.0781, 83.55
414.0, 0.0767, 83.81
415.0, 0.0757, 84.00
416.0, 0.0745, 84.24
417.0, 0.0734, 84.45
418.0, 0.0723, 84.65
419.0, 0.0712, 84.88
420.0, 0.0702, 85.07
421.0, 0.0692, 85.26
422.0, 0.0683, 85.44
423.0, 0.0675, 85.61
424.0, 0.0667, 85.77
425.0, 0.0658, 85.94
426.0, 0.0650, 86.11
427.0, 0.0641, 86.29
428.0, 0.0631, 86.47
429.0, 0.0623, 86.63
430.0, 0.0615, 86.80
431.0, 0.0607, 86.96
