Sample Name, Sample-132
Time, February 05 18:15:58 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.1520, 7.05
231.0, 1.1389, 7.26
232.0, 1.1258, 7.48
233.0, 1.1103, 7.76
234.0, 1.0942, 8.05
235.0, 1.0779, 8.36
236.0, 1.0617, 8.68
237.0, 1.0459, 9.00
238.0, 1.0298, 9.34
239.0, 1.0135, 9.69
240.0, 0.9984, 10.04
241.0, 0.9827, 10.41
242.0, 0.9685, 10.75
243.0, 0.9557, 11.07
244.0, 0.9422, 11.42
245.0, 0.9291, 11.77
246.0, 0.9160, 12.13
247.0, 0.9034, 12.49
248.0, 0.8916, 12.84
249.0, 0.8800, 13.18
250.0, 0.8691, 13.52
251.0, 0.8585, 13.85
252.0, 0.8482, 14.19
253.0, 0.8380, 14.52
254.0, 0.8294, 14.81
255.0, 0.8206, 15.11
256.0, 0.8120, 15.42
257.0, 0.8031, 15.74
258.0, 0.7980, 15.92
259.0, 0.7817, 16.53
260.0, 0.7711, 16.94
261.0, 0.7606, 17.35
262.0, 0.7497, 17.79
263.0, 0.7385, 18.26
264.0, 0.7269, 18.76
265.0, 0.7156, 19.25
266.0, 0.7050, 19.72
267.0, 0.6946, 20.20
268.0, 0.6840, 20.70
269.0, 0.6729, 21.24
270.0, 0.6611, 21.82
271.0, 0.6499, 22.39
272.0, 0.6386, 22.98
273.0, 0.6275, 23.58
274.0, 0.6171, 24.15
275.0, 0.6064, 24.75
276.0, 0.5962, 25.34
277.0, 0.5864, 25.92
278.0, 0.5784, 26.40
279.0, 0.5698, 26.93
280.0, 0.5619, 27.42
281.0, 0.5534, 27.96
282.0, 0.5441, 28.57
283.0, 0.5352, 29.16
284.0, 0.5268, 29.73
285.0, 0.5184, 30.31
286.0, 0.5106, 30.86
287.0, 0.5026, 31.43
288.0, 0.4946, 32.02
289.0, 0.4874, 32.55
290.0, 0.4805, 33.07
291.0, 0.4743, 33.55
292.0, 0.4683, 34.02
293.0, 0.4621, 34.50
294.0, 0.4557, 35.02
295.0, 0.4498, 35.50
296.0, 0.4439, 35.98
297.0, 0.4387, 36.42
298.0, 0.4357, 36.67
299.0, 0.4272, 37.39
300.0, 0.4219, 37.85
301.0, 0.4173, 38.26
302.0, 0.4129, 38.65
303.0, 0.4090, 39.00
304.0, 0.4047, 39.39
305.0, 0.4004, 39.78
306.0, 0.3958, 40.20
307.0, 0.3912, 40.62
308.0, 0.3870, 41.02
309.0, 0.3827, 41.43
310.0, 0.3785, 41.83
311.0, 0.3739, 42.28
312.0, 0.3695, 42.71
