Sample Name, Sample-138
Time, February 05 18:29:22 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.1770, 6.65
231.0, 1.1675, 6.80
232.0, 1.1578, 6.95
233.0, 1.1455, 7.15
234.0, 1.1315, 7.39
235.0, 1.1170, 7.64
236.0, 1.1031, 7.89
237.0, 1.0878, 8.17
238.0, 1.0721, 8.47
239.0, 1.0561, 8.79
240.0, 1.0392, 9.14
241.0, 1.0230, 9.48
242.0, 1.0086, 9.80
243.0, 0.9946, 10.13
244.0, 0.9804, 10.46
245.0, 0.9660, 10.82
246.0, 0.9510, 11.19
247.0, 0.9377, 11.54
248.0, 0.9246, 11.90
249.0, 0.9120, 12.25
250.0, 0.8995, 12.60
251.0, 0.8881, 12.94
252.0, 0.8771, 13.27
253.0, 0.8663, 13.60
254.0, 0.8563, 13.92
255.0, 0.8472, 14.22
256.0, 0.8376, 14.54
257.0, 0.8283, 14.85
258.0, 0.8225, 15.05
259.0, 0.8047, 15.68
260.0, 0.7932, 16.10
261.0, 0.7821, 16.52
262.0, 0.7706, 16.96
263.0, 0.7581, 17.45
264.0, 0.7455, 17.97
265.0, 0.7332, 18.48
266.0, 0.7216, 18.99
267.0, 0.7103, 19.48
268.0, 0.6989, 20.00
269.0, 0.6870, 20.56
270.0, 0.6741, 21.18
271.0, 0.6612, 21.82
272.0, 0.6492, 22.43
273.0, 0.6375, 23.04
274.0, 0.6260, 23.66
275.0, 0.6149, 24.27
276.0, 0.6038, 24.90
277.0, 0.5934, 25.50
278.0, 0.5840, 26.06
279.0, 0.5749, 26.61
280.0, 0.5665, 27.13
281.0, 0.5571, 27.73
282.0, 0.5471, 28.37
283.0, 0.5378, 28.99
284.0, 0.5283, 29.63
285.0, 0.5190, 30.27
286.0, 0.5104, 30.88
287.0, 0.5015, 31.52
288.0, 0.4929, 32.15
289.0, 0.4851, 32.72
290.0, 0.4779, 33.28
291.0, 0.4715, 33.77
292.0, 0.4646, 34.31
293.0, 0.4582, 34.82
294.0, 0.4513, 35.37
295.0, 0.4452, 35.88
296.0, 0.4392, 36.38
297.0, 0.4338, 36.83
298.0, 0.4308, 37.09
299.0, 0.4221, 37.83
300.0, 0.4167, 38.31
301.0, 0.4118, 38.74
302.0, 0.4072, 39.16
303.0, 0.4029, 39.54
304.0, 0.3984, 39.96
305.0, 0.3937, 40.39
306.0, 0.3891, 40.83
307.0, 0.3842, 41.28
308.0, 0.3797, 41.71
309.0, 0.3749, 42.18
310.0, 0.3702, 42.63
311.0, 0.3654, 43.12
312.0, 0.3606, 43.60
313.0, 0.3561, 44.05
314.0, 0.3518, 44.49
315.0, 0.3472, 44.95
316.0, 0.3428, 45.41
317.0, 0.3382, 45.90
318.0, 0.3330, 46.45
319.0, 0.3279, 47.00
320.0, 0.3225, 47.58
321.0, 0.3176, 48.13
322.0, 0.3126, 48.68
323.0, 0.3073, 49.28
324.0, 0.3019, 49.90
325.0, 0.2968, 50.49
326.0, 0.2916, 51.09
327.0, 0.2870, 51.64
328.0, 0.2822, 52.22
329.0, 0.2773, 52.80
330.0, 0.2743, 53.18
331.0, 0.2654, 54.28
332.0, 0.2595, 55.01
333.0, 0.2539, 55.73
334.0, 0.2485, 56.43
335.0, 0.2432, 57.12
336.0, 0.2380, 57.80
337.0, 0.2333, 58.43
338.0, 0.2287, 59.06
339.0, 0.2255, 59.50
340.0, 0.2052, 62.34
341.0, 0.2022, 62.78
342.0, 0.1986, 63.29
343.0, 0.1948, 63.85
344.0, 0.1916, 64.33
345.0, 0.1885, 64.78
346.0, 0.1851, 65.30
347.0, 0.1821, 65.75
348.0, 0.1797, 66.11
349.0, 0.1764, 66.62
350.0, 0.1741, 66.98
351.0, 0.1713, 67.41
352.0, 0.1686, 67.83
353.0, 0.1652, 68.36
354.0, 0.1620, 68.87
355.0, 0.1589, 69.36
356.0, 0.1559, 69.83
357.0, 0.1532, 70.28
358.0, 0.1497, 70.84
359.0, 0.1472, 71.25
360.0, 0.1446, 71.69
361.0, 0.1418, 72.14
362.0, 0.1394, 72.55
363.0, 0.1371, 72.92
364.0, 0.1347, 73.32
365.0, 0.1327, 73.67
366.0, 0.1303, 74.08
367.0, 0.1275, 74.55
368.0, 0.1254, 74.93
369.0, 0.1234, 75.26
370.0, 0.1227, 75.40
371.0, 0.1179, 76.23
372.0, 0.1154, 76.66
373.0, 0.1136, 76.98
374.0, 0.1119, 77.29
375.0, 0.1098, 77.66
376.0, 0.1082, 77.95
377.0, 0.1060, 78.35
378.0, 0.1038, 78.74
379.0, 0.1018, 79.11
380.0, 0.0998, 79.47
381.0, 0.0980, 79.81
382.0, 0.0963, 80.11
383.0, 0.0946, 80.43
384.0, 0.0937, 80.60
385.0, 0.0909, 81.11
386.0, 0.0891, 81.45
387.0, 0.0875, 81.76
388.0, 0.0860, 82.04
389.0, 0.0844, 82.33
390.0, 0.0828, 82.64
391.0, 0.0812, 82.95
392.0, 0.0797, 83.24
393.0, 0.0781, 83.54
394.0, 0.0767, 83.81
395.0, 0.0751, 84.11
396.0, 0.0738, 84.38
397.0, 0.0726, 84.61
398.0, 0.0715, 84.82
399.0, 0.0701, 85.09
400.0, 0.0687, 85.37
401.0, 0.0675, 85.61
402.0, 0.0662, 85.85
403.0, 0.0650, 86.10
404.0, 0.0638, 86.33
405.0, 0.0626, 86.57
406.0, 0.0614, 86.81
407.0, 0.0603, 87.04
408.0, 0.0593, 87.24
409.0, 0.0583, 87.44
410.0, 0.0575, 87.60
411.0, 0.0565, 87.80
412.0, 0.0557, 87.95
413.0, 0.0548, 88.14
414.0, 0.0539, 88.34
415.0, 0.0531, 88.49
416.0, 0.0522, 88.67
417.0, 0.0515, 88.82
418.0, 0.0508, 88.97
419.0, 0.0499, 89.14
420.0, 0.0493, 89.27
421.0, 0.0486, 89.42
422.0, 0.0480, 89.53
423.0, 0.0474, 89.65
424.0, 0.0470, 89.75
425.0, 0.0464, 89.86
426.0, 0.0458, 90.00
427.0, 0.0451, 90.13
428.0, 0.0445, 90.25
429.0, 0.0441, 90.34
430.0, 0.0436, 90.45
431.0, 0.0431, 90.55
432.0, 0.0426, 90.66
433.0, 0.0421, 90.76
434.0, 0.0417, 90.84
435.0, 0.0414, 90.90
436.0, 0.0410, 90.99
437.0, 0.0406, 91.08
438.0, 0.0401, 91.17
439.0, 0.0398, 91.25
440.0, 0.0395, 91.31
441.0, 0.0392, 91.37
442.0, 0.0389, 91.44
443.0, 0.0385, 91.51
444.0, 0.0384, 91.53
445.0, 0.0381, 91.61
446.0, 0.0379, 91.64
447.0, 0.0376, 91.70
448.0, 0.0374, 91.74
449.0, 0.0374, 91.74
450.0, 0.0372, 91.78
451.0, 0.0367, 91.91
452.0, 0.0360, 92.04
453.0, 0.0357, 92.11
454.0, 0.0351, 92.24
455.0, 0.0347, 92.33
456.0, 0.0341, 92.44
457.0, 0.0338, 92.51
458.0, 0.0332, 92.63
459.0, 0.0329, 92.70
460.0, 0.0324, 92.81
461.0, 0.0321, 92.88
462.0, 0.0315, 93.00
463.0, 0.0312, 93.07
464.0, 0.0308, 93.16
465.0, 0.0304, 93.23
466.0, 0.0299, 93.34
467.0, 0.0295, 93.43
468.0, 0.0291, 93.53
469.0, 0.0287, 93.61
470.0, 0.0281, 93.73
471.0, 0.0278, 93.79
472.0, 0.0275, 93.87
473.0, 0.0270, 93.97
474.0, 0.0266, 94.06
475.0, 0.0264, 94.11
476.0, 0.0257, 94.25
477.0, 0.0252, 94.36
478.0, 0.0249, 94.42
479.0, 0.0246, 94.50
480.0, 0.0239, 94.64
481.0, 0.0235, 94.73
482.0, 0.0232, 94.79
483.0, 0.0227, 94.91
484.0, 0.0223, 95.00
485.0, 0.0219, 95.08
486.0, 0.0216, 95.14
487.0, 0.0212, 95.23
488.0, 0.0207, 95.33
489.0, 0.0205, 95.39
490.0, 0.0201, 95.47
491.0, 0.0199, 95.52
492.0, 0.0194, 95.63
493.0, 0.0190, 95.73
494.0, 0.0186, 95.81
495.0, 0.0183, 95.87
496.0, 0.0180, 95.95
497.0, 0.0176, 96.02
498.0, 0.0172, 96.11
499.0, 0.0167, 96.22
500.0, 0.0165, 96.28
501.0, 0.0161, 96.35
502.0, 0.0158, 96.43
503.0, 0.0155, 96.50
504.0, 0.0153, 96.54
505.0, 0.0149, 96.62
506.0, 0.0148, 96.65
507.0, 0.0146, 96.70
508.0, 0.0142, 96.78
509.0, 0.0140, 96.82
510.0, 0.0138, 96.86
511.0, 0.0134, 96.96
512.0, 0.0131, 97.02
513.0, 0.0129, 97.06
514.0, 0.0128, 97.10
515.0, 0.0124, 97.18
516.0, 0.0122, 97.23
517.0, 0.0120, 97.28
518.0, 0.0116, 97.37
519.0, 0.0115, 97.38
520.0, 0.0114, 97.41
521.0, 0.0113, 97.44
522.0, 0.0108, 97.54
523.0, 0.0107, 97.57
524.0, 0.0105, 97.61
525.0, 0.0102, 97.67
526.0, 0.0101, 97.71
527.0, 0.0098, 97.76
528.0, 0.0096, 97.82
529.0, 0.0094, 97.86
530.0, 0.0092, 97.89
531.0, 0.0092, 97.91
532.0, 0.0091, 97.94
533.0, 0.0089, 97.98
534.0, 0.0086, 98.04
535.0, 0.0085, 98.06
536.0, 0.0084, 98.09
537.0, 0.0082, 98.13
538.0, 0.0081, 98.16
539.0, 0.0079, 98.20
540.0, 0.0077, 98.24
541.0, 0.0076, 98.26
542.0, 0.0073, 98.32
543.0, 0.0073, 98.33
544.0, 0.0072, 98.36
545.0, 0.0070, 98.41
546.0, 0.0068, 98.44
547.0, 0.0066, 98.50
548.0, 0.0064, 98.54
549.0, 0.0061, 98.60
550.0, 0.0060, 98.63
551.0, 0.0058, 98.68
552.0, 0.0055, 98.74
553.0, 0.0053, 98.78
554.0, 0.0052, 98.81
555.0, 0.0049, 98.89
556.0, 0.0048, 98.90
557.0, 0.0047, 98.92
558.0, 0.0048, 98.89
559.0, 0.0048, 98.89
560.0, 0.0047, 98.92
561.0, 0.0048, 98.91
562.0, 0.0048, 98.90
563.0, 0.0050, 98.85
564.0, 0.0050, 98.85
565.0, 0.0050, 98.85
566.0, 0.0051, 98.83
567.0, 0.0052, 98.82
568.0, 0.0053, 98.79
569.0, 0.0052, 98.82
570.0, 0.0051, 98.82
571.0, 0.0051, 98.84
572.0, 0.0049, 98.88
573.0, 0.0049, 98.89
574.0, 0.0047, 98.91
575.0, 0.0046, 98.94
576.0, 0.0045, 98.97
577.0, 0.0043, 99.01
578.0, 0.0041, 99.06
579.0, 0.0039, 99.10
580.0, 0.0039, 99.11
581.0, 0.0036, 99.17
582.0, 0.0037, 99.16
583.0, 0.0036, 99.17
584.0, 0.0036, 99.17
585.0, 0.0038, 99.14
586.0, 0.0024, 99.45
587.0, 0.0024, 99.45
588.0, 0.0025, 99.43
589.0, 0.0026, 99.40
590.0, 0.0026, 99.41
591.0, 0.0026, 99.40
592.0, 0.0027, 99.39
593.0, 0.0027, 99.38
594.0, 0.0027, 99.37
595.0, 0.0027, 99.38
596.0, 0.0028, 99.36
597.0, 0.0029, 99.34
598.0, 0.0029, 99.34
599.0, 0.0027, 99.37
600.0, 0.0026, 99.40
601.0, 0.0026, 99.40
602.0, 0.0025, 99.42
603.0, 0.0026, 99.41
604.0, 0.0024, 99.45
605.0, 0.0023, 99.47
606.0, 0.0024, 99.44
607.0, 0.0024, 99.44
608.0, 0.0024, 99.44
609.0, 0.0024, 99.44
610.0, 0.0025, 99.43
611.0, 0.0024, 99.46
612.0, 0.0022, 99.50
613.0, 0.0021, 99.51
614.0, 0.0021, 99.52
615.0, 0.0021, 99.52
616.0, 0.0022, 99.50
617.0, 0.0021, 99.52
618.0, 0.0021, 99.52
619.0, 0.0021, 99.52
620.0, 0.0020, 99.54
621.0, 0.0019, 99.56
622.0, 0.0019, 99.56
623.0, 0.0020, 99.55
624.0, 0.0018, 99.58
625.0, 0.0018, 99.58
626.0, 0.0018, 99.59
627.0, 0.0017, 99.60
628.0, 0.0018, 99.59
629.0, 0.0018, 99.59
630.0, 0.0017, 99.60
631.0, 0.0017, 99.61
632.0, 0.0017, 99.61
633.0, 0.0016, 99.64
634.0, 0.0016, 99.63
635.0, 0.0016, 99.64
636.0, 0.0016, 99.64
637.0, 0.0016, 99.62
638.0, 0.0016, 99.63
639.0, 0.0016, 99.62
640.0, 0.0016, 99.63
641.0, 0.0016, 99.64
642.0, 0.0016, 99.63
643.0, 0.0015, 99.66
644.0, 0.0016, 99.64
645.0, 0.0016, 99.64
646.0, 0.0016, 99.64
647.0, 0.0016, 99.64
648.0, 0.0015, 99.65
649.0, 0.0015, 99.65
650.0, 0.0013, 99.69
651.0, 0.0014, 99.68
652.0, 0.0014, 99.68
653.0, 0.0015, 99.66
654.0, 0.0013, 99.70
655.0, 0.0013, 99.70
656.0, 0.0013, 99.70
657.0, 0.0012, 99.71
658.0, 0.0014, 99.68
659.0, 0.0014, 99.69
660.0, 0.0012, 99.71
661.0, 0.0013, 99.71
662.0, 0.0012, 99.71
663.0, 0.0011, 99.74
664.0, 0.0012, 99.73
665.0, 0.0012, 99.72
666.0, 0.0011, 99.75
667.0, 0.0011, 99.75
668.0, 0.0012, 99.73
669.0, 0.0012, 99.73
670.0, 0.0010, 99.78
671.0, 0.0009, 99.79
672.0, 0.0008, 99.81
673.0, 0.0008, 99.82
674.0, 0.0007, 99.83
675.0, 0.0007, 99.83
676.0, 0.0007, 99.84
677.0, 0.0008, 99.81
678.0, 0.0008, 99.81
679.0, 0.0009, 99.80
680.0, 0.0008, 99.83
681.0, 0.0008, 99.81
682.0, 0.0008, 99.83
683.0, 0.0008, 99.81
684.0, 0.0007, 99.83
685.0, 0.0007, 99.84
686.0, 0.0006, 99.87
687.0, 0.0006, 99.86
688.0, 0.0006, 99.85
689.0, 0.0005, 99.88
690.0, 0.0004, 99.91
691.0, 0.0005, 99.90
692.0, 0.0004, 99.90
693.0, 0.0004, 99.90
694.0, 0.0004, 99.91
695.0, 0.0004, 99.91
696.0, 0.0003, 99.93
697.0, 0.0003, 99.93
698.0, 0.0002, 99.96
699.0, 0.0002, 99.94
700.0, 0.0003, 99.94
