Sample Name, Sample-156
Time, February 05 19:06:54 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.9113, 12.27
231.0, 0.8996, 12.60
232.0, 0.8877, 12.95
233.0, 0.8739, 13.37
234.0, 0.8599, 13.81
235.0, 0.8462, 14.25
236.0, 0.8325, 14.71
237.0, 0.8192, 15.16
238.0, 0.8062, 15.62
239.0, 0.7928, 16.11
240.0, 0.7794, 16.62
241.0, 0.7668, 17.11
242.0, 0.7553, 17.57
243.0, 0.7446, 18.01
244.0, 0.7339, 18.46
245.0, 0.7232, 18.91
246.0, 0.7122, 19.40
247.0, 0.7018, 19.87
248.0, 0.6921, 20.32
249.0, 0.6827, 20.76
250.0, 0.6740, 21.19
251.0, 0.6653, 21.61
252.0, 0.6568, 22.04
253.0, 0.6488, 22.45
254.0, 0.6416, 22.83
255.0, 0.6348, 23.18
256.0, 0.6278, 23.56
257.0, 0.6211, 23.93
258.0, 0.6168, 24.16
259.0, 0.6041, 24.88
260.0, 0.5960, 25.35
261.0, 0.5879, 25.83
262.0, 0.5796, 26.33
263.0, 0.5708, 26.87
264.0, 0.5621, 27.41
265.0, 0.5537, 27.95
266.0, 0.5452, 28.50
267.0, 0.5371, 29.03
268.0, 0.5289, 29.58
269.0, 0.5203, 30.18
270.0, 0.5109, 30.84
271.0, 0.5018, 31.49
272.0, 0.4927, 32.16
273.0, 0.4843, 32.78
274.0, 0.4759, 33.42
275.0, 0.4673, 34.09
276.0, 0.4592, 34.74
277.0, 0.4516, 35.35
278.0, 0.4445, 35.93
279.0, 0.4380, 36.48
280.0, 0.4315, 37.02
281.0, 0.4247, 37.61
282.0, 0.4170, 38.28
283.0, 0.4098, 38.92
284.0, 0.4029, 39.54
285.0, 0.3962, 40.16
286.0, 0.3895, 40.78
287.0, 0.3831, 41.39
288.0, 0.3767, 42.00
289.0, 0.3709, 42.57
290.0, 0.3655, 43.10
291.0, 0.3604, 43.61
292.0, 0.3551, 44.14
293.0, 0.3501, 44.65
294.0, 0.3449, 45.20
295.0, 0.3402, 45.69
296.0, 0.3356, 46.17
297.0, 0.3315, 46.61
298.0, 0.3292, 46.86
299.0, 0.3225, 47.59
300.0, 0.3186, 48.02
301.0, 0.3148, 48.44
302.0, 0.3114, 48.82
303.0, 0.3084, 49.16
304.0, 0.3052, 49.52
305.0, 0.3019, 49.90
306.0, 0.2985, 50.29
307.0, 0.2952, 50.67
308.0, 0.2918, 51.07
309.0, 0.2885, 51.47
310.0, 0.2851, 51.87
311.0, 0.2817, 52.28
312.0, 0.2785, 52.67
313.0, 0.2751, 53.08
314.0, 0.2719, 53.47
315.0, 0.2688, 53.86
316.0, 0.2660, 54.20
317.0, 0.2626, 54.62
318.0, 0.2588, 55.11
319.0, 0.2551, 55.58
320.0, 0.2515, 56.05
321.0, 0.2480, 56.49
322.0, 0.2441, 57.00
323.0, 0.2403, 57.51
324.0, 0.2363, 58.03
325.0, 0.2327, 58.52
326.0, 0.2289, 59.03
327.0, 0.2257, 59.48
328.0, 0.2219, 59.99
329.0, 0.2183, 60.50
330.0, 0.2161, 60.80
331.0, 0.2092, 61.77
332.0, 0.2049, 62.39
333.0, 0.2010, 62.95
334.0, 0.1968, 63.56
335.0, 0.1926, 64.19
336.0, 0.1884, 64.80
337.0, 0.1849, 65.33
338.0, 0.1812, 65.89
339.0, 0.1787, 66.27
340.0, 0.1618, 68.89
341.0, 0.1594, 69.28
342.0, 0.1566, 69.72
343.0, 0.1539, 70.17
344.0, 0.1510, 70.64
345.0, 0.1483, 71.07
346.0, 0.1457, 71.50
347.0, 0.1434, 71.88
348.0, 0.1413, 72.23
349.0, 0.1387, 72.66
350.0, 0.1366, 73.01
351.0, 0.1344, 73.38
352.0, 0.1325, 73.70
353.0, 0.1303, 74.09
354.0, 0.1278, 74.51
355.0, 0.1251, 74.97
356.0, 0.1224, 75.44
357.0, 0.1202, 75.83
358.0, 0.1179, 76.23
359.0, 0.1159, 76.58
360.0, 0.1137, 76.96
361.0, 0.1118, 77.30
362.0, 0.1098, 77.66
363.0, 0.1082, 77.95
364.0, 0.1066, 78.24
365.0, 0.1046, 78.60
366.0, 0.1028, 78.93
367.0, 0.1008, 79.28
368.0, 0.0990, 79.62
369.0, 0.0973, 79.93
370.0, 0.0966, 80.05
371.0, 0.0929, 80.75
372.0, 0.0908, 81.13
373.0, 0.0891, 81.45
