Sample Name, Sample-160
Time, February 05 19:15:16 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.0981, 7.98
231.0, 1.0891, 8.15
232.0, 1.0797, 8.32
233.0, 1.0680, 8.55
234.0, 1.0547, 8.82
235.0, 1.0419, 9.08
236.0, 1.0285, 9.36
237.0, 1.0146, 9.67
238.0, 1.0004, 9.99
239.0, 0.9861, 10.33
240.0, 0.9713, 10.68
241.0, 0.9571, 11.04
242.0, 0.9436, 11.39
243.0, 0.9307, 11.73
244.0, 0.9184, 12.07
245.0, 0.9056, 12.43
246.0, 0.8926, 12.81
247.0, 0.8803, 13.17
248.0, 0.8688, 13.53
249.0, 0.8572, 13.89
250.0, 0.8462, 14.25
251.0, 0.8358, 14.59
252.0, 0.8257, 14.94
253.0, 0.8159, 15.28
254.0, 0.8066, 15.61
255.0, 0.7984, 15.91
256.0, 0.7895, 16.24
257.0, 0.7812, 16.55
258.0, 0.7759, 16.75
259.0, 0.7598, 17.39
260.0, 0.7495, 17.80
261.0, 0.7393, 18.23
262.0, 0.7285, 18.68
263.0, 0.7176, 19.16
264.0, 0.7061, 19.68
265.0, 0.6951, 20.18
266.0, 0.6845, 20.68
267.0, 0.6744, 21.16
268.0, 0.6645, 21.65
269.0, 0.6539, 22.19
270.0, 0.6426, 22.77
271.0, 0.6315, 23.36
272.0, 0.6208, 23.95
273.0, 0.6103, 24.53
274.0, 0.6006, 25.09
275.0, 0.5907, 25.66
276.0, 0.5812, 26.23
277.0, 0.5724, 26.76
278.0, 0.5638, 27.30
279.0, 0.5562, 27.79
280.0, 0.5487, 28.27
281.0, 0.5409, 28.78
282.0, 0.5323, 29.35
283.0, 0.5239, 29.93
284.0, 0.5154, 30.52
285.0, 0.5075, 31.08
286.0, 0.4998, 31.64
287.0, 0.4920, 32.21
288.0, 0.4846, 32.77
289.0, 0.4774, 33.32
290.0, 0.4708, 33.82
291.0, 0.4653, 34.25
292.0, 0.4592, 34.74
293.0, 0.4529, 35.24
294.0, 0.4465, 35.77
295.0, 0.4405, 36.27
296.0, 0.4346, 36.76
297.0, 0.4295, 37.20
298.0, 0.4269, 37.42
299.0, 0.4186, 38.14
300.0, 0.4133, 38.61
301.0, 0.4085, 39.04
302.0, 0.4040, 39.44
303.0, 0.4000, 39.81
304.0, 0.3959, 40.19
305.0, 0.3914, 40.61
306.0, 0.3868, 41.04
307.0, 0.3824, 41.45
308.0, 0.3782, 41.86
309.0, 0.3737, 42.30
310.0, 0.3692, 42.73
311.0, 0.3650, 43.15
312.0, 0.3607, 43.58
313.0, 0.3565, 44.00
314.0, 0.3525, 44.41
315.0, 0.3489, 44.78
316.0, 0.3450, 45.18
317.0, 0.3408, 45.62
318.0, 0.3363, 46.10
319.0, 0.3317, 46.60
320.0, 0.3272, 47.07
321.0, 0.3229, 47.54
322.0, 0.3184, 48.04
323.0, 0.3137, 48.57
324.0, 0.3087, 49.12
325.0, 0.3042, 49.64
326.0, 0.2999, 50.13
327.0, 0.2959, 50.60
328.0, 0.2917, 51.09
329.0, 0.2875, 51.58
330.0, 0.2849, 51.89
331.0, 0.2773, 52.80
332.0, 0.2725, 53.40
333.0, 0.2678, 53.97
334.0, 0.2630, 54.57
335.0, 0.2579, 55.22
336.0, 0.2533, 55.81
337.0, 0.2494, 56.31
338.0, 0.2452, 56.86
339.0, 0.2419, 57.30
340.0, 0.2127, 61.27
341.0, 0.2104, 61.60
342.0, 0.2078, 61.97
343.0, 0.2049, 62.39
344.0, 0.2028, 62.69
345.0, 0.2002, 63.07
346.0, 0.1977, 63.42
347.0, 0.1958, 63.71
348.0, 0.1942, 63.95
349.0, 0.1917, 64.32
350.0, 0.1897, 64.61
351.0, 0.1875, 64.95
352.0, 0.1855, 65.23
353.0, 0.1833, 65.58
354.0, 0.1806, 65.98
355.0, 0.1778, 66.40
356.0, 0.1750, 66.83
357.0, 0.1724, 67.23
358.0, 0.1698, 67.65
359.0, 0.1673, 68.04
360.0, 0.1648, 68.42
361.0, 0.1626, 68.78
362.0, 0.1601, 69.17
363.0, 0.1576, 69.56
364.0, 0.1553, 69.94
365.0, 0.1530, 70.30
366.0, 0.1504, 70.73
367.0, 0.1480, 71.12
368.0, 0.1455, 71.53
369.0, 0.1433, 71.89
370.0, 0.1423, 72.06
371.0, 0.1424, 72.04
372.0, 0.1404, 72.37
373.0, 0.1386, 72.67
374.0, 0.1367, 73.00
375.0, 0.1349, 73.29
376.0, 0.1335, 73.54
377.0, 0.1318, 73.83
378.0, 0.1300, 74.12
379.0, 0.1282, 74.44
380.0, 0.1262, 74.78
381.0, 0.1248, 75.03
382.0, 0.1233, 75.28
383.0, 0.1216, 75.58
384.0, 0.1210, 75.68
385.0, 0.1184, 76.13
