Sample Name, Sample-158
Time, February 05 19:10:45 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.4749, 3.35
231.0, 1.4783, 3.32
232.0, 1.4820, 3.30
233.0, 1.4845, 3.28
234.0, 1.4859, 3.27
235.0, 1.4864, 3.26
236.0, 1.4862, 3.26
237.0, 1.4826, 3.29
238.0, 1.4775, 3.33
239.0, 1.4710, 3.38
240.0, 1.4637, 3.44
241.0, 1.4553, 3.50
242.0, 1.4470, 3.57
243.0, 1.4384, 3.64
244.0, 1.4290, 3.72
245.0, 1.4182, 3.82
246.0, 1.4064, 3.92
247.0, 1.3967, 4.01
248.0, 1.3851, 4.12
249.0, 1.3736, 4.23
250.0, 1.3632, 4.33
251.0, 1.3515, 4.45
252.0, 1.3392, 4.58
253.0, 1.3278, 4.70
254.0, 1.3171, 4.82
255.0, 1.3073, 4.93
256.0, 1.2966, 5.05
257.0, 1.2862, 5.17
258.0, 1.2792, 5.26
259.0, 1.2594, 5.50
260.0, 1.2457, 5.68
261.0, 1.2323, 5.86
262.0, 1.2190, 6.04
263.0, 1.2047, 6.24
264.0, 1.1901, 6.46
265.0, 1.1768, 6.66
266.0, 1.1636, 6.86
267.0, 1.1506, 7.07
268.0, 1.1377, 7.28
269.0, 1.1245, 7.51
270.0, 1.1101, 7.76
271.0, 1.0965, 8.01
272.0, 1.0824, 8.27
273.0, 1.0694, 8.52
274.0, 1.0561, 8.79
275.0, 1.0432, 9.05
276.0, 1.0312, 9.31
277.0, 1.0198, 9.56
278.0, 1.0095, 9.78
279.0, 0.9996, 10.01
280.0, 0.9893, 10.25
281.0, 0.9782, 10.51
282.0, 0.9665, 10.80
283.0, 0.9553, 11.08
284.0, 0.9438, 11.38
285.0, 0.9328, 11.67
286.0, 0.9208, 12.00
287.0, 0.9103, 12.30
288.0, 0.8990, 12.62
289.0, 0.8883, 12.93
290.0, 0.8787, 13.22
291.0, 0.8699, 13.49
292.0, 0.8605, 13.79
293.0, 0.8508, 14.10
294.0, 0.8410, 14.42
295.0, 0.8311, 14.76
296.0, 0.8217, 15.08
297.0, 0.8137, 15.36
298.0, 0.8088, 15.53
299.0, 0.7946, 16.05
300.0, 0.7856, 16.38
301.0, 0.7769, 16.72
302.0, 0.7692, 17.01
303.0, 0.7618, 17.30
304.0, 0.7542, 17.61
305.0, 0.7463, 17.94
306.0, 0.7386, 18.26
307.0, 0.7306, 18.60
308.0, 0.7225, 18.94
309.0, 0.7145, 19.30
310.0, 0.7061, 19.68
311.0, 0.6979, 20.05
312.0, 0.6904, 20.40
313.0, 0.6823, 20.78
314.0, 0.6748, 21.15
315.0, 0.6673, 21.51
316.0, 0.6598, 21.89
317.0, 0.6521, 22.28
318.0, 0.6433, 22.73
319.0, 0.6351, 23.17
320.0, 0.6263, 23.65
321.0, 0.6185, 24.07
322.0, 0.6098, 24.56
323.0, 0.6006, 25.09
324.0, 0.5919, 25.59
325.0, 0.5836, 26.09
326.0, 0.5753, 26.59
327.0, 0.5677, 27.06
328.0, 0.5596, 27.57
329.0, 0.5518, 28.07
330.0, 0.5468, 28.39
331.0, 0.5323, 29.36
332.0, 0.5231, 29.98
333.0, 0.5141, 30.61
334.0, 0.5052, 31.25
335.0, 0.4962, 31.90
336.0, 0.4873, 32.56
337.0, 0.4793, 33.16
338.0, 0.4711, 33.80
339.0, 0.4648, 34.29
340.0, 0.3859, 41.12
341.0, 0.3829, 41.41
342.0, 0.3801, 41.68
343.0, 0.3768, 42.00
344.0, 0.3737, 42.29
345.0, 0.3704, 42.62
346.0, 0.3674, 42.92
347.0, 0.3647, 43.18
348.0, 0.3618, 43.48
349.0, 0.3588, 43.77
350.0, 0.3566, 44.00
351.0, 0.3529, 44.37
352.0, 0.3502, 44.65
353.0, 0.3464, 45.04
354.0, 0.3417, 45.53
355.0, 0.3375, 45.98
356.0, 0.3334, 46.41
357.0, 0.3287, 46.92
358.0, 0.3239, 47.43
359.0, 0.3193, 47.94
360.0, 0.3149, 48.43
361.0, 0.3108, 48.89
362.0, 0.3070, 49.32
363.0, 0.3029, 49.78
364.0, 0.2987, 50.27
365.0, 0.2945, 50.76
366.0, 0.2891, 51.39
367.0, 0.2836, 52.05
368.0, 0.2783, 52.68
369.0, 0.2734, 53.29
370.0, 0.2706, 53.63
371.0, 0.2815, 52.30
372.0, 0.2782, 52.69
373.0, 0.2754, 53.05
374.0, 0.2726, 53.39
375.0, 0.2698, 53.73
376.0, 0.2674, 54.03
377.0, 0.2644, 54.40
378.0, 0.2615, 54.77
379.0, 0.2588, 55.11
380.0, 0.2556, 55.51
381.0, 0.2532, 55.82
382.0, 0.2508, 56.13
383.0, 0.2480, 56.49
384.0, 0.2465, 56.68
385.0, 0.2428, 57.18
