Sample Name, Sample-18
Time, February 13 16:36:11 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.3222, 4.76
231.0, 1.3067, 4.93
232.0, 1.2923, 5.10
233.0, 1.2762, 5.29
234.0, 1.2590, 5.51
235.0, 1.2418, 5.73
236.0, 1.2253, 5.95
237.0, 1.2089, 6.18
238.0, 1.1925, 6.42
239.0, 1.1754, 6.68
240.0, 1.1587, 6.94
241.0, 1.1429, 7.20
242.0, 1.1284, 7.44
243.0, 1.1142, 7.69
244.0, 1.1013, 7.92
245.0, 1.0861, 8.20
246.0, 1.0709, 8.49
247.0, 1.0571, 8.77
248.0, 1.0433, 9.05
249.0, 1.0300, 9.33
250.0, 1.0174, 9.61
251.0, 1.0048, 9.89
252.0, 0.9927, 10.17
253.0, 0.9806, 10.46
254.0, 0.9701, 10.71
255.0, 0.9604, 10.95
256.0, 0.9506, 11.20
257.0, 0.9408, 11.46
258.0, 0.9348, 11.62
259.0, 0.9173, 12.10
260.0, 0.9067, 12.40
261.0, 0.8961, 12.70
262.0, 0.8854, 13.02
263.0, 0.8747, 13.35
264.0, 0.8640, 13.68
265.0, 0.8529, 14.03
266.0, 0.8432, 14.35
267.0, 0.8337, 14.66
268.0, 0.8238, 15.00
269.0, 0.8138, 15.35
270.0, 0.8028, 15.75
271.0, 0.7927, 16.12
272.0, 0.7822, 16.51
273.0, 0.7723, 16.89
274.0, 0.7622, 17.29
275.0, 0.7522, 17.69
276.0, 0.7424, 18.10
277.0, 0.7328, 18.50
278.0, 0.7238, 18.89
279.0, 0.7151, 19.27
280.0, 0.7066, 19.65
281.0, 0.6974, 20.07
282.0, 0.6878, 20.52
283.0, 0.6787, 20.95
284.0, 0.6697, 21.40
285.0, 0.6608, 21.84
286.0, 0.6514, 22.31
287.0, 0.6423, 22.79
288.0, 0.6329, 23.29
289.0, 0.6238, 23.78
290.0, 0.6157, 24.23
291.0, 0.6081, 24.65
292.0, 0.6003, 25.10
293.0, 0.5926, 25.55
294.0, 0.5844, 26.04
295.0, 0.5760, 26.55
296.0, 0.5689, 26.98
297.0, 0.5624, 27.39
298.0, 0.5585, 27.63
299.0, 0.5479, 28.32
300.0, 0.5408, 28.79
301.0, 0.5342, 29.23
302.0, 0.5283, 29.62
303.0, 0.5229, 30.00
304.0, 0.5169, 30.42
305.0, 0.5112, 30.82
306.0, 0.5053, 31.24
307.0, 0.4992, 31.68
308.0, 0.4935, 32.10
309.0, 0.4876, 32.54
310.0, 0.4819, 32.97
311.0, 0.4760, 33.42
312.0, 0.4702, 33.87
313.0, 0.4649, 34.28
314.0, 0.4598, 34.69
315.0, 0.4550, 35.08
316.0, 0.4496, 35.51
317.0, 0.4442, 35.96
318.0, 0.4386, 36.42
319.0, 0.4327, 36.92
320.0, 0.4268, 37.43
321.0, 0.4212, 37.91
322.0, 0.4158, 38.39
323.0, 0.4102, 38.88
324.0, 0.4043, 39.41
325.0, 0.3987, 39.93
326.0, 0.3936, 40.40
327.0, 0.3887, 40.86
328.0, 0.3835, 41.35
329.0, 0.3785, 41.83
330.0, 0.3754, 42.13
331.0, 0.3665, 43.00
332.0, 0.3610, 43.55
333.0, 0.3555, 44.11
334.0, 0.3501, 44.66
335.0, 0.3444, 45.25
336.0, 0.3389, 45.83
337.0, 0.3336, 46.39
338.0, 0.3292, 46.86
339.0, 0.3266, 47.14
340.0, 0.3147, 48.45
341.0, 0.3100, 48.97
342.0, 0.3050, 49.54
343.0, 0.3002, 50.10
344.0, 0.2959, 50.60
345.0, 0.2908, 51.19
346.0, 0.2861, 51.75
347.0, 0.2816, 52.29
348.0, 0.2773, 52.81
349.0, 0.2733, 53.30
350.0, 0.2694, 53.78
351.0, 0.2652, 54.30
352.0, 0.2618, 54.73
353.0, 0.2579, 55.22
354.0, 0.2536, 55.77
355.0, 0.2497, 56.28
356.0, 0.2457, 56.79
357.0, 0.2420, 57.28
358.0, 0.2380, 57.81
359.0, 0.2344, 58.29
360.0, 0.2306, 58.80
361.0, 0.2270, 59.29
362.0, 0.2234, 59.79
363.0, 0.2205, 60.18
364.0, 0.2176, 60.59
365.0, 0.2143, 61.05
366.0, 0.2112, 61.49
367.0, 0.2078, 61.98
368.0, 0.2043, 62.47
369.0, 0.2013, 62.90
370.0, 0.1997, 63.13
371.0, 0.1960, 63.68
372.0, 0.1933, 64.08
373.0, 0.1907, 64.47
374.0, 0.1878, 64.89
375.0, 0.1852, 65.28
376.0, 0.1829, 65.63
377.0, 0.1804, 66.01
378.0, 0.1778, 66.41
379.0, 0.1749, 66.84
380.0, 0.1722, 67.26
381.0, 0.1698, 67.65
382.0, 0.1673, 68.04
383.0, 0.1650, 68.40
384.0, 0.1637, 68.60
385.0, 0.1598, 69.21
386.0, 0.1578, 69.53
387.0, 0.1557, 69.88
388.0, 0.1535, 70.23
389.0, 0.1516, 70.54
390.0, 0.1492, 70.93
391.0, 0.1471, 71.27
392.0, 0.1449, 71.64
393.0, 0.1429, 71.97
394.0, 0.1408, 72.31
395.0, 0.1387, 72.67
396.0, 0.1368, 72.98
397.0, 0.1347, 73.33
398.0, 0.1329, 73.64
399.0, 0.1311, 73.94
400.0, 0.1297, 74.18
401.0, 0.1278, 74.50
402.0, 0.1260, 74.81
403.0, 0.1242, 75.12
404.0, 0.1226, 75.41
405.0, 0.1209, 75.70
406.0, 0.1193, 75.99
407.0, 0.1177, 76.25
408.0, 0.1163, 76.51
409.0, 0.1147, 76.78
410.0, 0.1134, 77.02
411.0, 0.1119, 77.28
412.0, 0.1107, 77.49
413.0, 0.1095, 77.71
414.0, 0.1079, 77.99
415.0, 0.1067, 78.21
416.0, 0.1054, 78.45
417.0, 0.1040, 78.70
418.0, 0.1028, 78.92
419.0, 0.1015, 79.15
420.0, 0.1004, 79.36
421.0, 0.0992, 79.58
422.0, 0.0981, 79.79
423.0, 0.0970, 79.98
424.0, 0.0961, 80.15
425.0, 0.0949, 80.37
426.0, 0.0939, 80.56
427.0, 0.0929, 80.73
428.0, 0.0918, 80.95
429.0, 0.0909, 81.12
430.0, 0.0899, 81.31
431.0, 0.0888, 81.50
432.0, 0.0878, 81.70
433.0, 0.0869, 81.87
434.0, 0.0861, 82.01
435.0, 0.0853, 82.16
436.0, 0.0843, 82.35
437.0, 0.0834, 82.54
438.0, 0.0824, 82.72
439.0, 0.0815, 82.89
440.0, 0.0807, 83.04
441.0, 0.0798, 83.22
442.0, 0.0790, 83.36
443.0, 0.0783, 83.51
444.0, 0.0775, 83.66
445.0, 0.0767, 83.82
446.0, 0.0759, 83.96
447.0, 0.0753, 84.08
448.0, 0.0745, 84.24
449.0, 0.0739, 84.36
450.0, 0.0734, 84.45
451.0, 0.0720, 84.72
452.0, 0.0714, 84.85
453.0, 0.0708, 84.95
454.0, 0.0701, 85.10
455.0, 0.0695, 85.22
456.0, 0.0689, 85.33
457.0, 0.0683, 85.45
458.0, 0.0675, 85.60
459.0, 0.0670, 85.71
460.0, 0.0665, 85.81
461.0, 0.0659, 85.93
462.0, 0.0651, 86.08
463.0, 0.0646, 86.17
464.0, 0.0640, 86.30
465.0, 0.0632, 86.46
466.0, 0.0628, 86.53
467.0, 0.0623, 86.64
468.0, 0.0615, 86.79
469.0, 0.0610, 86.90
470.0, 0.0605, 87.00
471.0, 0.0599, 87.12
472.0, 0.0593, 87.24
473.0, 0.0589, 87.32
474.0, 0.0582, 87.47
475.0, 0.0579, 87.52
476.0, 0.0568, 87.73
477.0, 0.0563, 87.85
478.0, 0.0556, 87.98
479.0, 0.0551, 88.08
480.0, 0.0543, 88.24
481.0, 0.0539, 88.33
482.0, 0.0533, 88.45
483.0, 0.0528, 88.55
484.0, 0.0524, 88.64
