Sample Name, Sample-142
Time, February 05 18:37:47 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.3026, 4.98
231.0, 1.2951, 5.07
232.0, 1.2859, 5.18
233.0, 1.2753, 5.31
234.0, 1.2621, 5.47
235.0, 1.2484, 5.64
236.0, 1.2346, 5.83
237.0, 1.2201, 6.02
238.0, 1.2047, 6.24
239.0, 1.1898, 6.46
240.0, 1.1740, 6.70
241.0, 1.1586, 6.94
242.0, 1.1443, 7.17
243.0, 1.1307, 7.40
244.0, 1.1171, 7.64
245.0, 1.1026, 7.90
246.0, 1.0873, 8.18
247.0, 1.0736, 8.44
248.0, 1.0603, 8.70
249.0, 1.0474, 8.97
250.0, 1.0351, 9.22
251.0, 1.0228, 9.49
252.0, 1.0113, 9.74
253.0, 1.0001, 10.00
254.0, 0.9899, 10.23
255.0, 0.9800, 10.47
256.0, 0.9701, 10.71
257.0, 0.9600, 10.97
258.0, 0.9540, 11.12
259.0, 0.9350, 11.61
260.0, 0.9224, 11.96
261.0, 0.9100, 12.30
262.0, 0.8969, 12.68
263.0, 0.8834, 13.08
264.0, 0.8695, 13.50
265.0, 0.8556, 13.94
266.0, 0.8424, 14.37
267.0, 0.8288, 14.83
268.0, 0.8156, 15.29
269.0, 0.8014, 15.80
270.0, 0.7859, 16.37
271.0, 0.7712, 16.93
272.0, 0.7567, 17.51
273.0, 0.7421, 18.11
274.0, 0.7281, 18.70
275.0, 0.7146, 19.29
276.0, 0.7019, 19.87
277.0, 0.6891, 20.46
278.0, 0.6779, 21.00
279.0, 0.6673, 21.51
280.0, 0.6571, 22.02
281.0, 0.6463, 22.58
282.0, 0.6353, 23.16
283.0, 0.6245, 23.74
284.0, 0.6139, 24.33
285.0, 0.6040, 24.89
286.0, 0.5944, 25.44
287.0, 0.5847, 26.02
288.0, 0.5754, 26.59
289.0, 0.5666, 27.13
290.0, 0.5585, 27.64
291.0, 0.5513, 28.10
292.0, 0.5440, 28.57
293.0, 0.5371, 29.03
294.0, 0.5293, 29.56
295.0, 0.5221, 30.05
296.0, 0.5151, 30.54
297.0, 0.5089, 30.98
298.0, 0.5056, 31.22
299.0, 0.4956, 31.94
300.0, 0.4895, 32.40
301.0, 0.4836, 32.84
302.0, 0.4782, 33.25
303.0, 0.4733, 33.63
304.0, 0.4681, 34.03
305.0, 0.4626, 34.47
306.0, 0.4570, 34.91
307.0, 0.4517, 35.34
308.0, 0.4463, 35.79
309.0, 0.4407, 36.25
310.0, 0.4353, 36.70
311.0, 0.4298, 37.17
312.0, 0.4244, 37.64
313.0, 0.4189, 38.12
314.0, 0.4137, 38.57
315.0, 0.4087, 39.02
316.0, 0.4036, 39.48
317.0, 0.3983, 39.96
318.0, 0.3922, 40.54
319.0, 0.3857, 41.14
320.0, 0.3798, 41.71
321.0, 0.3741, 42.26
322.0, 0.3683, 42.82
323.0, 0.3617, 43.49
324.0, 0.3554, 44.12
325.0, 0.3491, 44.77
326.0, 0.3431, 45.38
327.0, 0.3377, 45.95
328.0, 0.3317, 46.60
329.0, 0.3260, 47.20
330.0, 0.3225, 47.59
331.0, 0.3119, 48.76
332.0, 0.3053, 49.52
333.0, 0.2987, 50.27
334.0, 0.2921, 51.04
335.0, 0.2857, 51.80
336.0, 0.2793, 52.56
337.0, 0.2734, 53.28
338.0, 0.2679, 53.96
339.0, 0.2641, 54.43
340.0, 0.2338, 58.38
341.0, 0.2304, 58.83
342.0, 0.2267, 59.33
343.0, 0.2226, 59.89
344.0, 0.2189, 60.41
345.0, 0.2153, 60.91
346.0, 0.2112, 61.50
347.0, 0.2076, 62.00
348.0, 0.2043, 62.48
349.0, 0.2010, 62.95
350.0, 0.1978, 63.42
351.0, 0.1945, 63.91
352.0, 0.1914, 64.36
353.0, 0.1874, 64.95
354.0, 0.1838, 65.50
355.0, 0.1802, 66.03
356.0, 0.1763, 66.64
357.0, 0.1729, 67.16
358.0, 0.1692, 67.74
359.0, 0.1659, 68.24
360.0, 0.1631, 68.69
361.0, 0.1600, 69.19
362.0, 0.1571, 69.64
363.0, 0.1544, 70.08
364.0, 0.1517, 70.52
365.0, 0.1491, 70.94
366.0, 0.1461, 71.44
367.0, 0.1430, 71.95
368.0, 0.1401, 72.43
369.0, 0.1373, 72.89
370.0, 0.1359, 73.12
371.0, 0.1327, 73.66
372.0, 0.1299, 74.16
373.0, 0.1275, 74.56
374.0, 0.1248, 75.02
375.0, 0.1224, 75.44
376.0, 0.1204, 75.79
377.0, 0.1178, 76.24
378.0, 0.1154, 76.67
379.0, 0.1131, 77.07
380.0, 0.1107, 77.51
381.0, 0.1086, 77.88
382.0, 0.1065, 78.25
383.0, 0.1045, 78.62
384.0, 0.1036, 78.78
385.0, 0.1004, 79.36
386.0, 0.0988, 79.65
387.0, 0.0970, 79.98
388.0, 0.0955, 80.26
389.0, 0.0939, 80.55
390.0, 0.0920, 80.90
391.0, 0.0904, 81.22
392.0, 0.0887, 81.53
393.0, 0.0869, 81.86
394.0, 0.0854, 82.15
395.0, 0.0836, 82.48
396.0, 0.0821, 82.77
397.0, 0.0807, 83.04
398.0, 0.0794, 83.29
399.0, 0.0781, 83.55
400.0, 0.0767, 83.80
401.0, 0.0756, 84.03
402.0, 0.0741, 84.32
403.0, 0.0727, 84.59
404.0, 0.0712, 84.88
405.0, 0.0700, 85.11
406.0, 0.0687, 85.37
407.0, 0.0676, 85.59
408.0, 0.0664, 85.83
409.0, 0.0652, 86.06
410.0, 0.0642, 86.25
411.0, 0.0632, 86.45
412.0, 0.0623, 86.65
413.0, 0.0614, 86.81
414.0, 0.0604, 87.02
415.0, 0.0595, 87.19
416.0, 0.0585, 87.41
417.0, 0.0577, 87.56
418.0, 0.0568, 87.74
419.0, 0.0561, 87.88
420.0, 0.0553, 88.05
421.0, 0.0543, 88.24
422.0, 0.0538, 88.35
423.0, 0.0532, 88.48
424.0, 0.0527, 88.58
425.0, 0.0520, 88.72
426.0, 0.0512, 88.87
427.0, 0.0506, 89.00
428.0, 0.0498, 89.16
429.0, 0.0492, 89.29
430.0, 0.0486, 89.41
431.0, 0.0479, 89.57
432.0, 0.0473, 89.67
433.0, 0.0468, 89.78
434.0, 0.0464, 89.86
435.0, 0.0459, 89.97
436.0, 0.0455, 90.05
437.0, 0.0451, 90.14
438.0, 0.0446, 90.24
439.0, 0.0444, 90.28
440.0, 0.0440, 90.37
441.0, 0.0435, 90.46
442.0, 0.0431, 90.55
443.0, 0.0426, 90.65
444.0, 0.0424, 90.69
445.0, 0.0421, 90.77
446.0, 0.0419, 90.81
447.0, 0.0416, 90.88
448.0, 0.0414, 90.90
449.0, 0.0413, 90.92
450.0, 0.0412, 90.95
451.0, 0.0404, 91.12
452.0, 0.0399, 91.23
453.0, 0.0395, 91.31
454.0, 0.0389, 91.43
455.0, 0.0384, 91.53
456.0, 0.0379, 91.65
457.0, 0.0375, 91.73
458.0, 0.0369, 91.86
459.0, 0.0365, 91.94
460.0, 0.0361, 92.03
461.0, 0.0356, 92.12
462.0, 0.0351, 92.24
463.0, 0.0348, 92.30
464.0, 0.0342, 92.44
465.0, 0.0338, 92.51
466.0, 0.0335, 92.58
467.0, 0.0330, 92.68
468.0, 0.0327, 92.76
469.0, 0.0324, 92.81
470.0, 0.0320, 92.90
471.0, 0.0316, 92.99
472.0, 0.0311, 93.08
473.0, 0.0307, 93.18
474.0, 0.0303, 93.26
475.0, 0.0301, 93.31
476.0, 0.0295, 93.43
477.0, 0.0292, 93.51
478.0, 0.0288, 93.59
479.0, 0.0283, 93.69
480.0, 0.0278, 93.80
481.0, 0.0274, 93.88
482.0, 0.0271, 93.96
483.0, 0.0266, 94.06
484.0, 0.0263, 94.12
485.0, 0.0258, 94.22
486.0, 0.0256, 94.28
487.0, 0.0253, 94.35
488.0, 0.0249, 94.43
489.0, 0.0245, 94.52
490.0, 0.0243, 94.56
491.0, 0.0239, 94.65
492.0, 0.0235, 94.73
493.0, 0.0232, 94.79
494.0, 0.0229, 94.86
495.0, 0.0225, 94.94
496.0, 0.0223, 94.99
497.0, 0.0219, 95.07
498.0, 0.0216, 95.16
499.0, 0.0212, 95.23
500.0, 0.0209, 95.29
501.0, 0.0208, 95.33
502.0, 0.0206, 95.38
503.0, 0.0202, 95.46
504.0, 0.0199, 95.53
505.0, 0.0195, 95.61
506.0, 0.0192, 95.67
507.0, 0.0192, 95.68
508.0, 0.0187, 95.78
509.0, 0.0185, 95.84
510.0, 0.0183, 95.86
511.0, 0.0181, 95.92
512.0, 0.0177, 96.00
513.0, 0.0176, 96.04
514.0, 0.0174, 96.08
515.0, 0.0172, 96.12
516.0, 0.0170, 96.17
517.0, 0.0168, 96.20
518.0, 0.0165, 96.27
519.0, 0.0164, 96.30
520.0, 0.0162, 96.33
521.0, 0.0159, 96.40
522.0, 0.0156, 96.47
523.0, 0.0154, 96.53
524.0, 0.0151, 96.57
525.0, 0.0149, 96.62
526.0, 0.0147, 96.68
527.0, 0.0144, 96.74
528.0, 0.0143, 96.75
529.0, 0.0141, 96.80
530.0, 0.0139, 96.85
531.0, 0.0137, 96.88
532.0, 0.0138, 96.88
533.0, 0.0135, 96.95
534.0, 0.0132, 97.01
535.0, 0.0130, 97.04
536.0, 0.0129, 97.07
537.0, 0.0127, 97.12
538.0, 0.0126, 97.15
539.0, 0.0124, 97.19
540.0, 0.0121, 97.25
541.0, 0.0121, 97.25
542.0, 0.0120, 97.27
543.0, 0.0118, 97.32
544.0, 0.0117, 97.35
545.0, 0.0115, 97.38
546.0, 0.0114, 97.41
547.0, 0.0110, 97.50
548.0, 0.0108, 97.53
549.0, 0.0106, 97.59
550.0, 0.0105, 97.62
551.0, 0.0101, 97.70
552.0, 0.0098, 97.77
553.0, 0.0098, 97.78
554.0, 0.0095, 97.83
555.0, 0.0093, 97.89
556.0, 0.0092, 97.90
557.0, 0.0091, 97.93
558.0, 0.0091, 97.92
559.0, 0.0091, 97.92
560.0, 0.0090, 97.95
561.0, 0.0090, 97.94
562.0, 0.0091, 97.94
563.0, 0.0092, 97.91
564.0, 0.0091, 97.94
565.0, 0.0090, 97.95
566.0, 0.0091, 97.93
567.0, 0.0092, 97.90
568.0, 0.0093, 97.88
569.0, 0.0093, 97.89
570.0, 0.0093, 97.89
571.0, 0.0091, 97.92
572.0, 0.0089, 97.97
573.0, 0.0090, 97.95
574.0, 0.0088, 98.00
575.0, 0.0086, 98.03
576.0, 0.0084, 98.08
577.0, 0.0082, 98.14
578.0, 0.0080, 98.17
579.0, 0.0078, 98.23
580.0, 0.0077, 98.23
581.0, 0.0075, 98.29
582.0, 0.0075, 98.28
583.0, 0.0074, 98.31
584.0, 0.0074, 98.31
585.0, 0.0075, 98.30
586.0, 0.0063, 98.57
587.0, 0.0062, 98.58
588.0, 0.0063, 98.57
589.0, 0.0064, 98.53
590.0, 0.0063, 98.56
591.0, 0.0064, 98.55
592.0, 0.0063, 98.57
593.0, 0.0062, 98.58
594.0, 0.0063, 98.57
595.0, 0.0063, 98.57
596.0, 0.0063, 98.55
597.0, 0.0064, 98.54
598.0, 0.0063, 98.56
599.0, 0.0062, 98.58
600.0, 0.0061, 98.60
601.0, 0.0060, 98.62
602.0, 0.0060, 98.63
603.0, 0.0059, 98.64
604.0, 0.0059, 98.66
605.0, 0.0058, 98.67
606.0, 0.0059, 98.66
607.0, 0.0058, 98.68
608.0, 0.0057, 98.69
609.0, 0.0056, 98.71
610.0, 0.0056, 98.71
611.0, 0.0056, 98.72
612.0, 0.0054, 98.76
613.0, 0.0054, 98.77
614.0, 0.0053, 98.79
615.0, 0.0053, 98.78
616.0, 0.0053, 98.78
617.0, 0.0052, 98.81
618.0, 0.0052, 98.81
619.0, 0.0052, 98.81
620.0, 0.0052, 98.82
621.0, 0.0050, 98.87
622.0, 0.0050, 98.86
623.0, 0.0049, 98.89
624.0, 0.0048, 98.89
625.0, 0.0048, 98.90
626.0, 0.0049, 98.89
627.0, 0.0047, 98.92
628.0, 0.0048, 98.91
629.0, 0.0048, 98.91
630.0, 0.0046, 98.94
631.0, 0.0046, 98.94
632.0, 0.0047, 98.93
633.0, 0.0045, 98.96
634.0, 0.0046, 98.96
635.0, 0.0045, 98.98
636.0, 0.0044, 99.00
637.0, 0.0044, 99.00
638.0, 0.0045, 98.98
639.0, 0.0044, 98.99
640.0, 0.0045, 98.96
641.0, 0.0044, 98.99
642.0, 0.0044, 98.98
643.0, 0.0042, 99.03
644.0, 0.0043, 99.02
645.0, 0.0043, 99.02
646.0, 0.0044, 99.00
