Sample Name, Sample-145
Time, February 05 18:43:31 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.1422, 7.21
231.0, 1.1316, 7.39
232.0, 1.1210, 7.57
233.0, 1.1083, 7.79
234.0, 1.0949, 8.04
235.0, 1.0809, 8.30
236.0, 1.0662, 8.59
237.0, 1.0519, 8.87
238.0, 1.0370, 9.18
239.0, 1.0215, 9.52
240.0, 1.0054, 9.88
241.0, 0.9907, 10.22
242.0, 0.9766, 10.55
243.0, 0.9631, 10.89
244.0, 0.9500, 11.22
245.0, 0.9365, 11.58
246.0, 0.9222, 11.96
247.0, 0.9093, 12.32
248.0, 0.8965, 12.69
249.0, 0.8847, 13.04
250.0, 0.8732, 13.39
251.0, 0.8613, 13.76
252.0, 0.8507, 14.10
253.0, 0.8400, 14.45
254.0, 0.8302, 14.78
255.0, 0.8208, 15.11
256.0, 0.8118, 15.43
257.0, 0.8024, 15.76
258.0, 0.7965, 15.98
259.0, 0.7789, 16.64
260.0, 0.7673, 17.09
261.0, 0.7559, 17.54
262.0, 0.7438, 18.04
263.0, 0.7314, 18.56
264.0, 0.7190, 19.10
265.0, 0.7063, 19.66
266.0, 0.6937, 20.24
267.0, 0.6822, 20.79
268.0, 0.6706, 21.35
269.0, 0.6579, 21.99
270.0, 0.6446, 22.67
271.0, 0.6313, 23.37
272.0, 0.6182, 24.09
273.0, 0.6059, 24.78
274.0, 0.5939, 25.47
275.0, 0.5822, 26.17
276.0, 0.5709, 26.86
277.0, 0.5598, 27.56
278.0, 0.5498, 28.20
279.0, 0.5408, 28.79
280.0, 0.5322, 29.37
281.0, 0.5226, 30.02
282.0, 0.5127, 30.71
283.0, 0.5034, 31.38
284.0, 0.4942, 32.05
285.0, 0.4853, 32.71
286.0, 0.4771, 33.33
287.0, 0.4687, 33.99
288.0, 0.4608, 34.61
289.0, 0.4533, 35.21
290.0, 0.4466, 35.76
291.0, 0.4404, 36.27
292.0, 0.4338, 36.83
293.0, 0.4275, 37.36
294.0, 0.4209, 37.94
295.0, 0.4150, 38.46
296.0, 0.4089, 39.00
297.0, 0.4037, 39.48
298.0, 0.4009, 39.73
299.0, 0.3924, 40.51
300.0, 0.3870, 41.02
301.0, 0.3818, 41.51
302.0, 0.3775, 41.93
303.0, 0.3732, 42.34
304.0, 0.3690, 42.76
305.0, 0.3645, 43.21
306.0, 0.3597, 43.68
307.0, 0.3550, 44.16
308.0, 0.3505, 44.62
309.0, 0.3459, 45.09
310.0, 0.3413, 45.57
311.0, 0.3368, 46.05
312.0, 0.3322, 46.54
313.0, 0.3275, 47.04
314.0, 0.3235, 47.48
315.0, 0.3196, 47.90
316.0, 0.3156, 48.35
317.0, 0.3112, 48.85
318.0, 0.3063, 49.40
319.0, 0.3014, 49.96
320.0, 0.2965, 50.52
321.0, 0.2917, 51.08
322.0, 0.2870, 51.65
323.0, 0.2819, 52.26
324.0, 0.2772, 52.82
325.0, 0.2723, 53.41
326.0, 0.2675, 54.02
327.0, 0.2632, 54.55
328.0, 0.2587, 55.12
329.0, 0.2542, 55.70
330.0, 0.2514, 56.05
331.0, 0.2429, 57.16
332.0, 0.2377, 57.86
333.0, 0.2326, 58.54
334.0, 0.2273, 59.25
335.0, 0.2219, 59.99
336.0, 0.2169, 60.69
337.0, 0.2125, 61.30
338.0, 0.2083, 61.90
339.0, 0.2050, 62.38
340.0, 0.1850, 65.31
341.0, 0.1814, 65.85
342.0, 0.1783, 66.34
343.0, 0.1749, 66.86
344.0, 0.1715, 67.38
345.0, 0.1682, 67.89
346.0, 0.1653, 68.34
347.0, 0.1622, 68.83
348.0, 0.1595, 69.26
349.0, 0.1566, 69.72
350.0, 0.1543, 70.10
351.0, 0.1514, 70.57
352.0, 0.1492, 70.93
353.0, 0.1462, 71.42
