Sample Name, Sample-148
Time, February 05 18:50:42 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.8938, 12.77
231.0, 0.8838, 13.07
232.0, 0.8735, 13.38
233.0, 0.8617, 13.75
234.0, 0.8487, 14.17
235.0, 0.8361, 14.58
236.0, 0.8233, 15.02
237.0, 0.8105, 15.47
238.0, 0.7972, 15.95
239.0, 0.7843, 16.43
240.0, 0.7714, 16.93
241.0, 0.7589, 17.42
242.0, 0.7473, 17.89
243.0, 0.7362, 18.36
244.0, 0.7254, 18.82
245.0, 0.7146, 19.29
246.0, 0.7034, 19.79
247.0, 0.6931, 20.27
248.0, 0.6833, 20.74
249.0, 0.6736, 21.20
250.0, 0.6646, 21.65
251.0, 0.6558, 22.09
252.0, 0.6477, 22.51
253.0, 0.6392, 22.95
254.0, 0.6319, 23.34
255.0, 0.6247, 23.73
256.0, 0.6177, 24.12
257.0, 0.6104, 24.53
258.0, 0.6061, 24.77
259.0, 0.5928, 25.54
260.0, 0.5842, 26.05
261.0, 0.5755, 26.58
262.0, 0.5665, 27.13
263.0, 0.5572, 27.72
264.0, 0.5478, 28.33
265.0, 0.5383, 28.95
266.0, 0.5292, 29.57
267.0, 0.5203, 30.18
268.0, 0.5118, 30.78
269.0, 0.5025, 31.44
270.0, 0.4925, 32.18
271.0, 0.4829, 32.89
272.0, 0.4735, 33.61
273.0, 0.4646, 34.31
274.0, 0.4558, 35.01
275.0, 0.4473, 35.70
276.0, 0.4390, 36.39
277.0, 0.4311, 37.06
278.0, 0.4240, 37.67
279.0, 0.4174, 38.25
280.0, 0.4108, 38.83
281.0, 0.4039, 39.45
282.0, 0.3968, 40.11
283.0, 0.3899, 40.75
284.0, 0.3831, 41.39
285.0, 0.3766, 42.01
286.0, 0.3702, 42.64
287.0, 0.3640, 43.25
288.0, 0.3581, 43.84
289.0, 0.3524, 44.42
290.0, 0.3472, 44.95
291.0, 0.3426, 45.43
292.0, 0.3379, 45.93
293.0, 0.3333, 46.42
294.0, 0.3285, 46.93
295.0, 0.3241, 47.41
296.0, 0.3200, 47.86
297.0, 0.3160, 48.30
298.0, 0.3141, 48.52
299.0, 0.3076, 49.25
300.0, 0.3038, 49.68
301.0, 0.3001, 50.11
302.0, 0.2969, 50.48
303.0, 0.2937, 50.86
304.0, 0.2905, 51.22
305.0, 0.2873, 51.60
306.0, 0.2840, 52.00
307.0, 0.2805, 52.42
308.0, 0.2771, 52.83
309.0, 0.2739, 53.22
310.0, 0.2708, 53.60
311.0, 0.2675, 54.02
312.0, 0.2641, 54.44
313.0, 0.2609, 54.84
314.0, 0.2577, 55.24
315.0, 0.2548, 55.61
316.0, 0.2517, 56.01
317.0, 0.2484, 56.44
318.0, 0.2447, 56.92
319.0, 0.2412, 57.38
320.0, 0.2375, 57.87
321.0, 0.2341, 58.33
322.0, 0.2305, 58.81
323.0, 0.2267, 59.33
324.0, 0.2229, 59.85
325.0, 0.2194, 60.34
326.0, 0.2159, 60.83
327.0, 0.2128, 61.27
328.0, 0.2094, 61.75
329.0, 0.2059, 62.25
330.0, 0.2040, 62.52
331.0, 0.1970, 63.53
332.0, 0.1929, 64.13
333.0, 0.1890, 64.72
334.0, 0.1851, 65.29
335.0, 0.1813, 65.87
336.0, 0.1774, 66.47
337.0, 0.1739, 67.00
338.0, 0.1705, 67.52
339.0, 0.1681, 67.91
340.0, 0.1529, 70.33
341.0, 0.1507, 70.69
342.0, 0.1481, 71.11
343.0, 0.1460, 71.46
344.0, 0.1435, 71.87
345.0, 0.1410, 72.27
346.0, 0.1385, 72.69
347.0, 0.1367, 72.99
348.0, 0.1347, 73.33
349.0, 0.1326, 73.69
350.0, 0.1306, 74.02
351.0, 0.1282, 74.43
352.0, 0.1265, 74.73
353.0, 0.1238, 75.20
354.0, 0.1214, 75.61
355.0, 0.1189, 76.05
356.0, 0.1167, 76.44
357.0, 0.1146, 76.80
358.0, 0.1124, 77.20
359.0, 0.1103, 77.56
360.0, 0.1085, 77.89
361.0, 0.1067, 78.22
362.0, 0.1047, 78.57
363.0, 0.1029, 78.90
364.0, 0.1011, 79.22
365.0, 0.0995, 79.52
366.0, 0.0975, 79.89
367.0, 0.0956, 80.24
368.0, 0.0938, 80.57
369.0, 0.0925, 80.82
370.0, 0.0916, 80.98
371.0, 0.0884, 81.59
372.0, 0.0864, 81.97
373.0, 0.0848, 82.26
374.0, 0.0833, 82.54
375.0, 0.0819, 82.81
376.0, 0.0807, 83.05
377.0, 0.0788, 83.40
378.0, 0.0772, 83.71
379.0, 0.0758, 83.98
380.0, 0.0742, 84.29
381.0, 0.0729, 84.55
382.0, 0.0716, 84.80
383.0, 0.0703, 85.06
384.0, 0.0696, 85.20
385.0, 0.0673, 85.64
386.0, 0.0662, 85.87
387.0, 0.0648, 86.13
388.0, 0.0638, 86.34
389.0, 0.0623, 86.63
390.0, 0.0611, 86.87
391.0, 0.0599, 87.11
392.0, 0.0588, 87.33
393.0, 0.0576, 87.57
394.0, 0.0567, 87.76
395.0, 0.0555, 88.00
396.0, 0.0544, 88.23
397.0, 0.0533, 88.44
398.0, 0.0525, 88.61
399.0, 0.0515, 88.81
400.0, 0.0505, 89.01
401.0, 0.0498, 89.17
402.0, 0.0488, 89.36
403.0, 0.0479, 89.56
404.0, 0.0469, 89.76
405.0, 0.0462, 89.91
406.0, 0.0453, 90.10
407.0, 0.0445, 90.25
408.0, 0.0435, 90.46
409.0, 0.0428, 90.61
410.0, 0.0421, 90.77
411.0, 0.0416, 90.87
412.0, 0.0409, 91.00
413.0, 0.0403, 91.13
414.0, 0.0396, 91.28
415.0, 0.0391, 91.39
416.0, 0.0384, 91.54
417.0, 0.0379, 91.65
418.0, 0.0373, 91.77
419.0, 0.0368, 91.89
420.0, 0.0362, 91.99
421.0, 0.0356, 92.12
422.0, 0.0354, 92.18
423.0, 0.0350, 92.26
424.0, 0.0345, 92.36
425.0, 0.0342, 92.43
426.0, 0.0337, 92.52
427.0, 0.0332, 92.64
428.0, 0.0326, 92.77
429.0, 0.0322, 92.85
430.0, 0.0319, 92.91
431.0, 0.0314, 93.02
432.0, 0.0310, 93.12
433.0, 0.0306, 93.20
434.0, 0.0304, 93.25
435.0, 0.0301, 93.31
436.0, 0.0297, 93.39
437.0, 0.0295, 93.42
438.0, 0.0293, 93.47
439.0, 0.0291, 93.52
440.0, 0.0288, 93.58
441.0, 0.0285, 93.64
442.0, 0.0284, 93.68
443.0, 0.0282, 93.71
444.0, 0.0281, 93.74
445.0, 0.0278, 93.80
446.0, 0.0279, 93.78
447.0, 0.0276, 93.83
448.0, 0.0276, 93.85
449.0, 0.0277, 93.83
450.0, 0.0275, 93.87
451.0, 0.0268, 94.01
452.0, 0.0265, 94.08
453.0, 0.0260, 94.18
454.0, 0.0256, 94.28
455.0, 0.0253, 94.34
456.0, 0.0250, 94.40
457.0, 0.0246, 94.49
458.0, 0.0242, 94.57
459.0, 0.0239, 94.64
460.0, 0.0236, 94.72
461.0, 0.0233, 94.79
462.0, 0.0230, 94.84
463.0, 0.0227, 94.90
464.0, 0.0223, 94.98
465.0, 0.0220, 95.06
466.0, 0.0217, 95.12
467.0, 0.0214, 95.20
468.0, 0.0211, 95.25
469.0, 0.0209, 95.30
470.0, 0.0204, 95.40
471.0, 0.0202, 95.46
472.0, 0.0199, 95.52
473.0, 0.0195, 95.61
474.0, 0.0194, 95.63
475.0, 0.0192, 95.66
476.0, 0.0188, 95.76
477.0, 0.0185, 95.82
478.0, 0.0183, 95.87
479.0, 0.0180, 95.94
480.0, 0.0176, 96.04
481.0, 0.0171, 96.14
482.0, 0.0169, 96.18
483.0, 0.0166, 96.24
484.0, 0.0162, 96.33
485.0, 0.0158, 96.42
486.0, 0.0157, 96.44
487.0, 0.0154, 96.52
488.0, 0.0152, 96.56
489.0, 0.0147, 96.68
490.0, 0.0146, 96.69
491.0, 0.0144, 96.73
492.0, 0.0142, 96.79
493.0, 0.0137, 96.89
494.0, 0.0135, 96.94
495.0, 0.0133, 96.99
496.0, 0.0131, 97.04
497.0, 0.0129, 97.08
498.0, 0.0126, 97.14
499.0, 0.0123, 97.22
500.0, 0.0121, 97.26
501.0, 0.0119, 97.30
502.0, 0.0117, 97.35
503.0, 0.0114, 97.41
504.0, 0.0113, 97.43
505.0, 0.0111, 97.47
506.0, 0.0109, 97.52
507.0, 0.0107, 97.56
508.0, 0.0105, 97.62
509.0, 0.0103, 97.65
510.0, 0.0101, 97.70
511.0, 0.0098, 97.76
512.0, 0.0096, 97.82
513.0, 0.0096, 97.82
514.0, 0.0094, 97.86
515.0, 0.0091, 97.92
516.0, 0.0090, 97.96
517.0, 0.0089, 97.98
518.0, 0.0087, 98.03
519.0, 0.0087, 98.02
520.0, 0.0085, 98.06
521.0, 0.0084, 98.09
522.0, 0.0081, 98.16
523.0, 0.0078, 98.22
524.0, 0.0077, 98.23
525.0, 0.0076, 98.28
526.0, 0.0074, 98.32
527.0, 0.0072, 98.35
528.0, 0.0072, 98.36
529.0, 0.0070, 98.39
530.0, 0.0068, 98.44
531.0, 0.0067, 98.46
532.0, 0.0068, 98.44
533.0, 0.0067, 98.47
534.0, 0.0065, 98.51
535.0, 0.0063, 98.56
536.0, 0.0063, 98.57
537.0, 0.0061, 98.60
538.0, 0.0061, 98.61
539.0, 0.0059, 98.66
540.0, 0.0058, 98.67
541.0, 0.0057, 98.70
542.0, 0.0056, 98.72
543.0, 0.0055, 98.74
544.0, 0.0054, 98.77
545.0, 0.0052, 98.80
546.0, 0.0051, 98.82
547.0, 0.0047, 98.93
548.0, 0.0047, 98.92
549.0, 0.0046, 98.96
550.0, 0.0045, 98.97
551.0, 0.0042, 99.03
552.0, 0.0040, 99.08
553.0, 0.0039, 99.11
554.0, 0.0037, 99.15
555.0, 0.0035, 99.19
556.0, 0.0036, 99.18
557.0, 0.0034, 99.22
558.0, 0.0035, 99.19
559.0, 0.0035, 99.20
560.0, 0.0035, 99.19
561.0, 0.0035, 99.19
562.0, 0.0036, 99.17
563.0, 0.0037, 99.15
564.0, 0.0037, 99.15
565.0, 0.0037, 99.15
566.0, 0.0039, 99.11
567.0, 0.0040, 99.09
568.0, 0.0041, 99.06
569.0, 0.0041, 99.07
570.0, 0.0041, 99.06
571.0, 0.0039, 99.11
572.0, 0.0038, 99.13
573.0, 0.0038, 99.12
574.0, 0.0037, 99.15
575.0, 0.0035, 99.19
576.0, 0.0035, 99.21
577.0, 0.0033, 99.25
578.0, 0.0033, 99.25
579.0, 0.0031, 99.29
580.0, 0.0031, 99.30
581.0, 0.0029, 99.35
582.0, 0.0029, 99.33
583.0, 0.0028, 99.36
584.0, 0.0029, 99.34
585.0, 0.0029, 99.33
586.0, 0.0019, 99.57
587.0, 0.0017, 99.62
588.0, 0.0018, 99.59
589.0, 0.0019, 99.56
590.0, 0.0018, 99.58
591.0, 0.0019, 99.57
592.0, 0.0019, 99.56
593.0, 0.0019, 99.56
594.0, 0.0020, 99.55
595.0, 0.0019, 99.56
596.0, 0.0020, 99.53
597.0, 0.0022, 99.50
598.0, 0.0021, 99.51
599.0, 0.0021, 99.53
600.0, 0.0019, 99.56
601.0, 0.0019, 99.56
602.0, 0.0019, 99.56
603.0, 0.0019, 99.56
604.0, 0.0018, 99.59
605.0, 0.0016, 99.62
606.0, 0.0017, 99.61
607.0, 0.0016, 99.62
608.0, 0.0017, 99.61
609.0, 0.0017, 99.61
610.0, 0.0017, 99.61
611.0, 0.0016, 99.63
612.0, 0.0015, 99.65
613.0, 0.0015, 99.65
614.0, 0.0015, 99.66
615.0, 0.0015, 99.66
616.0, 0.0015, 99.66
617.0, 0.0014, 99.68
618.0, 0.0014, 99.67
619.0, 0.0014, 99.67
620.0, 0.0014, 99.68
621.0, 0.0013, 99.70
622.0, 0.0014, 99.68
623.0, 0.0013, 99.70
624.0, 0.0013, 99.70
625.0, 0.0013, 99.71
626.0, 0.0012, 99.72
627.0, 0.0012, 99.71
628.0, 0.0012, 99.72
629.0, 0.0012, 99.71
630.0, 0.0012, 99.73
631.0, 0.0011, 99.74
632.0, 0.0011, 99.74
633.0, 0.0011, 99.76
634.0, 0.0010, 99.76
635.0, 0.0010, 99.76
636.0, 0.0010, 99.77
637.0, 0.0010, 99.77
638.0, 0.0010, 99.77
639.0, 0.0010, 99.78
640.0, 0.0011, 99.75
641.0, 0.0009, 99.79
642.0, 0.0010, 99.78
643.0, 0.0009, 99.79
644.0, 0.0010, 99.78
645.0, 0.0010, 99.78
646.0, 0.0010, 99.76
647.0, 0.0011, 99.74
648.0, 0.0010, 99.76
649.0, 0.0010, 99.76
650.0, 0.0009, 99.80
651.0, 0.0010, 99.78
652.0, 0.0009, 99.78
653.0, 0.0010, 99.78
654.0, 0.0010, 99.78
655.0, 0.0009, 99.79
656.0, 0.0010, 99.78
657.0, 0.0009, 99.79
658.0, 0.0009, 99.79
659.0, 0.0009, 99.80
660.0, 0.0008, 99.82
661.0, 0.0009, 99.80
662.0, 0.0008, 99.81
663.0, 0.0008, 99.83
664.0, 0.0008, 99.81
665.0, 0.0008, 99.81
666.0, 0.0008, 99.82
667.0, 0.0007, 99.84
668.0, 0.0007, 99.85
669.0, 0.0007, 99.83
670.0, 0.0006, 99.86
671.0, 0.0006, 99.85
672.0, 0.0007, 99.85
673.0, 0.0004, 99.90
674.0, 0.0006, 99.86
675.0, 0.0004, 99.90
676.0, 0.0005, 99.89
677.0, 0.0005, 99.88
678.0, 0.0004, 99.90
679.0, 0.0004, 99.90
680.0, 0.0004, 99.91
681.0, 0.0004, 99.92
682.0, 0.0003, 99.94
683.0, 0.0004, 99.91
684.0, 0.0002, 99.95
685.0, 0.0002, 99.95
686.0, 0.0002, 99.95
687.0, 0.0002, 99.95
688.0, 0.0002, 99.94
689.0, 0.0001, 99.97
690.0, -0.0000, 100.00
691.0, 0.0001, 99.97
692.0, 0.0000, 99.99
693.0, 0.0000, 99.99
694.0, 0.0001, 99.98
695.0, -0.0000, 100.00
696.0, -0.0001, 100.01
697.0, -0.0001, 100.02
698.0, -0.0001, 100.03
699.0, -0.0001, 100.01
700.0, -0.0001, 100.01
