Sample Name, Sample-17
Time, February 13 16:33:33 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.4068, 3.92
231.0, 1.3917, 4.06
232.0, 1.3755, 4.21
233.0, 1.3573, 4.39
234.0, 1.3379, 4.59
235.0, 1.3190, 4.80
236.0, 1.3002, 5.01
237.0, 1.2824, 5.22
238.0, 1.2638, 5.45
239.0, 1.2446, 5.69
240.0, 1.2256, 5.95
241.0, 1.2074, 6.20
242.0, 1.1913, 6.44
243.0, 1.1757, 6.67
244.0, 1.1603, 6.91
245.0, 1.1432, 7.19
246.0, 1.1268, 7.47
247.0, 1.1109, 7.75
248.0, 1.0958, 8.02
249.0, 1.0815, 8.29
250.0, 1.0681, 8.55
251.0, 1.0545, 8.82
252.0, 1.0411, 9.10
253.0, 1.0284, 9.37
254.0, 1.0174, 9.61
255.0, 1.0066, 9.85
256.0, 0.9964, 10.08
257.0, 0.9857, 10.33
258.0, 0.9793, 10.49
259.0, 0.9613, 10.93
260.0, 0.9499, 11.22
261.0, 0.9387, 11.52
262.0, 0.9275, 11.82
263.0, 0.9158, 12.14
264.0, 0.9045, 12.46
265.0, 0.8928, 12.80
266.0, 0.8822, 13.12
267.0, 0.8719, 13.43
268.0, 0.8615, 13.76
269.0, 0.8508, 14.10
270.0, 0.8392, 14.48
271.0, 0.8279, 14.86
272.0, 0.8167, 15.25
273.0, 0.8060, 15.63
274.0, 0.7955, 16.01
275.0, 0.7848, 16.41
276.0, 0.7738, 16.83
277.0, 0.7638, 17.23
278.0, 0.7545, 17.60
279.0, 0.7455, 17.97
280.0, 0.7363, 18.35
281.0, 0.7267, 18.76
282.0, 0.7163, 19.22
283.0, 0.7062, 19.67
284.0, 0.6964, 20.12
285.0, 0.6870, 20.56
286.0, 0.6771, 21.03
287.0, 0.6676, 21.50
288.0, 0.6574, 22.01
289.0, 0.6481, 22.49
290.0, 0.6393, 22.95
291.0, 0.6310, 23.39
292.0, 0.6225, 23.85
293.0, 0.6145, 24.30
294.0, 0.6052, 24.82
295.0, 0.5968, 25.31
296.0, 0.5887, 25.78
297.0, 0.5815, 26.21
298.0, 0.5775, 26.46
299.0, 0.5660, 27.16
300.0, 0.5585, 27.64
301.0, 0.5517, 28.07
302.0, 0.5453, 28.49
303.0, 0.5394, 28.88
304.0, 0.5330, 29.31
305.0, 0.5269, 29.72
306.0, 0.5203, 30.18
307.0, 0.5142, 30.61
308.0, 0.5079, 31.05
309.0, 0.5017, 31.50
310.0, 0.4956, 31.94
311.0, 0.4890, 32.43
312.0, 0.4829, 32.89
313.0, 0.4771, 33.33
314.0, 0.4715, 33.77
315.0, 0.4662, 34.18
316.0, 0.4604, 34.64
317.0, 0.4544, 35.12
318.0, 0.4481, 35.63
319.0, 0.4418, 36.16
320.0, 0.4354, 36.69
321.0, 0.4294, 37.21
322.0, 0.4230, 37.75
323.0, 0.4170, 38.28
324.0, 0.4106, 38.85
325.0, 0.4046, 39.39
326.0, 0.3986, 39.94
327.0, 0.3933, 40.43
328.0, 0.3878, 40.95
329.0, 0.3823, 41.47
330.0, 0.3790, 41.79
331.0, 0.3690, 42.76
332.0, 0.3630, 43.35
333.0, 0.3569, 43.97
334.0, 0.3508, 44.59
335.0, 0.3448, 45.20
336.0, 0.3388, 45.83
337.0, 0.3331, 46.44
338.0, 0.3282, 46.97
339.0, 0.3251, 47.30
340.0, 0.3129, 48.65
341.0, 0.3074, 49.27
342.0, 0.3023, 49.86
343.0, 0.2970, 50.47
344.0, 0.2924, 51.00
345.0, 0.2871, 51.63
346.0, 0.2822, 52.22
347.0, 0.2776, 52.77
348.0, 0.2729, 53.35
349.0, 0.2682, 53.93
350.0, 0.2643, 54.41
351.0, 0.2606, 54.88
352.0, 0.2565, 55.39
353.0, 0.2524, 55.92
354.0, 0.2482, 56.46
355.0, 0.2436, 57.07
356.0, 0.2395, 57.61
357.0, 0.2357, 58.12
358.0, 0.2318, 58.64
359.0, 0.2282, 59.13
360.0, 0.2240, 59.70
361.0, 0.2202, 60.22
362.0, 0.2171, 60.67
363.0, 0.2138, 61.12
364.0, 0.2106, 61.58
365.0, 0.2070, 62.08
366.0, 0.2035, 62.60
367.0, 0.2001, 63.08
368.0, 0.1970, 63.53
369.0, 0.1942, 63.94
370.0, 0.1926, 64.19
371.0, 0.1881, 64.84
372.0, 0.1852, 65.28
373.0, 0.1825, 65.68
374.0, 0.1797, 66.12
375.0, 0.1772, 66.50
376.0, 0.1748, 66.86
377.0, 0.1724, 67.24
378.0, 0.1695, 67.68
379.0, 0.1668, 68.10
380.0, 0.1641, 68.53
381.0, 0.1613, 68.97
382.0, 0.1588, 69.37
383.0, 0.1566, 69.73
384.0, 0.1553, 69.93
385.0, 0.1514, 70.56
386.0, 0.1492, 70.92
387.0, 0.1472, 71.25
388.0, 0.1450, 71.62
389.0, 0.1431, 71.92
390.0, 0.1409, 72.30
391.0, 0.1388, 72.65
392.0, 0.1365, 73.03
393.0, 0.1343, 73.40
394.0, 0.1323, 73.74
395.0, 0.1302, 74.09
396.0, 0.1281, 74.45
397.0, 0.1264, 74.75
398.0, 0.1246, 75.05
399.0, 0.1228, 75.37
400.0, 0.1212, 75.65
401.0, 0.1195, 75.94
402.0, 0.1178, 76.25
403.0, 0.1159, 76.57
404.0, 0.1144, 76.84
405.0, 0.1129, 77.11
406.0, 0.1112, 77.41
407.0, 0.1096, 77.69
408.0, 0.1081, 77.96
409.0, 0.1068, 78.21
410.0, 0.1054, 78.45
411.0, 0.1041, 78.70
412.0, 0.1028, 78.91
413.0, 0.1016, 79.13
414.0, 0.1003, 79.38
415.0, 0.0990, 79.62
416.0, 0.0976, 79.87
417.0, 0.0964, 80.10
418.0, 0.0951, 80.33
419.0, 0.0939, 80.56
420.0, 0.0926, 80.79
421.0, 0.0915, 81.01
422.0, 0.0905, 81.19
423.0, 0.0895, 81.37
424.0, 0.0886, 81.54
425.0, 0.0876, 81.73
426.0, 0.0866, 81.92
427.0, 0.0857, 82.10
428.0, 0.0846, 82.30
429.0, 0.0837, 82.47
430.0, 0.0828, 82.64
431.0, 0.0818, 82.84
432.0, 0.0807, 83.04
433.0, 0.0800, 83.18
434.0, 0.0791, 83.34
435.0, 0.0785, 83.47
436.0, 0.0776, 83.63
437.0, 0.0766, 83.83
438.0, 0.0758, 83.99
439.0, 0.0748, 84.18
440.0, 0.0740, 84.34
441.0, 0.0732, 84.49
442.0, 0.0725, 84.62
443.0, 0.0716, 84.79
444.0, 0.0710, 84.92
445.0, 0.0702, 85.08
446.0, 0.0695, 85.21
447.0, 0.0689, 85.34
448.0, 0.0681, 85.48
449.0, 0.0677, 85.57
450.0, 0.0673, 85.64
451.0, 0.0660, 85.90
452.0, 0.0654, 86.03
453.0, 0.0648, 86.14
454.0, 0.0643, 86.24
455.0, 0.0635, 86.40
456.0, 0.0628, 86.53
457.0, 0.0623, 86.64
458.0, 0.0617, 86.76
459.0, 0.0611, 86.87
460.0, 0.0607, 86.97
461.0, 0.0600, 87.09
462.0, 0.0593, 87.23
463.0, 0.0587, 87.35
464.0, 0.0582, 87.46
465.0, 0.0575, 87.61
466.0, 0.0571, 87.68
467.0, 0.0565, 87.80
468.0, 0.0558, 87.94
469.0, 0.0552, 88.06
470.0, 0.0548, 88.14
471.0, 0.0544, 88.24
472.0, 0.0539, 88.32
473.0, 0.0536, 88.40
474.0, 0.0528, 88.56
475.0, 0.0525, 88.62
476.0, 0.0514, 88.84
477.0, 0.0507, 88.97
478.0, 0.0502, 89.08
479.0, 0.0497, 89.18
480.0, 0.0490, 89.32
481.0, 0.0487, 89.39
482.0, 0.0482, 89.50
483.0, 0.0477, 89.59
484.0, 0.0473, 89.69
485.0, 0.0467, 89.80
486.0, 0.0463, 89.89
487.0, 0.0459, 89.97
488.0, 0.0454, 90.07
489.0, 0.0450, 90.16
490.0, 0.0445, 90.26
491.0, 0.0439, 90.38
492.0, 0.0436, 90.44
493.0, 0.0432, 90.52
494.0, 0.0428, 90.62
495.0, 0.0423, 90.72
496.0, 0.0421, 90.77
497.0, 0.0415, 90.88
498.0, 0.0411, 90.96
499.0, 0.0407, 91.05
500.0, 0.0404, 91.11
501.0, 0.0399, 91.22
502.0, 0.0394, 91.33
503.0, 0.0392, 91.37
504.0, 0.0388, 91.45
505.0, 0.0386, 91.51
506.0, 0.0382, 91.58
507.0, 0.0379, 91.64
508.0, 0.0376, 91.70
509.0, 0.0373, 91.78
510.0, 0.0369, 91.86
511.0, 0.0365, 91.94
512.0, 0.0364, 91.97
513.0, 0.0360, 92.04
514.0, 0.0357, 92.11
515.0, 0.0353, 92.20
516.0, 0.0350, 92.26
517.0, 0.0348, 92.30
518.0, 0.0344, 92.40
519.0, 0.0341, 92.44
520.0, 0.0339, 92.50
521.0, 0.0337, 92.53
522.0, 0.0334, 92.61
523.0, 0.0331, 92.67
524.0, 0.0328, 92.73
525.0, 0.0325, 92.78
526.0, 0.0323, 92.84
527.0, 0.0320, 92.90
528.0, 0.0319, 92.92
529.0, 0.0315, 93.01
530.0, 0.0314, 93.03
531.0, 0.0311, 93.08
532.0, 0.0308, 93.15
533.0, 0.0306, 93.19
534.0, 0.0304, 93.23
535.0, 0.0301, 93.30
