Sample Name, Sample-1
Time, February 13 15:56:33 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, -0.0000, 100.01
231.0, -0.0001, 100.02
232.0, -0.0001, 100.02
233.0, -0.0000, 100.00
234.0, -0.0000, 100.00
235.0, -0.0001, 100.02
236.0, -0.0002, 100.04
237.0, -0.0001, 100.02
238.0, -0.0002, 100.04
239.0, -0.0001, 100.03
240.0, -0.0001, 100.02
241.0, -0.0000, 100.01
242.0, -0.0001, 100.02
243.0, -0.0002, 100.05
244.0, -0.0002, 100.04
245.0, -0.0000, 100.01
246.0, -0.0001, 100.02
247.0, -0.0001, 100.01
248.0, -0.0001, 100.03
249.0, -0.0000, 100.01
250.0, -0.0001, 100.02
251.0, 0.0000, 99.99
252.0, 0.0000, 100.00
253.0, 0.0001, 99.98
254.0, -0.0000, 100.01
255.0, -0.0001, 100.03
256.0, -0.0001, 100.03
257.0, -0.0000, 100.00
258.0, 0.0001, 99.99
259.0, 0.0000, 99.99
260.0, 0.0001, 99.98
261.0, 0.0000, 99.99
262.0, 0.0001, 99.99
263.0, -0.0001, 100.01
264.0, -0.0000, 100.00
265.0, -0.0001, 100.02
266.0, 0.0001, 99.97
267.0, -0.0000, 100.00
268.0, -0.0002, 100.04
269.0, -0.0001, 100.02
270.0, 0.0000, 99.99
271.0, -0.0001, 100.03
272.0, 0.0001, 99.99
273.0, -0.0001, 100.02
274.0, -0.0001, 100.03
275.0, -0.0000, 100.01
276.0, -0.0001, 100.02
277.0, 0.0000, 99.99
278.0, 0.0000, 100.00
279.0, 0.0001, 99.98
280.0, 0.0000, 100.00
281.0, 0.0001, 99.98
282.0, 0.0001, 99.97
283.0, -0.0001, 100.01
284.0, 0.0000, 100.00
285.0, -0.0000, 100.01
286.0, 0.0000, 100.00
287.0, -0.0001, 100.01
288.0, -0.0000, 100.00
289.0, 0.0001, 99.98
290.0, 0.0000, 100.00
291.0, -0.0000, 100.00
292.0, 0.0000, 100.00
293.0, 0.0001, 99.98
294.0, 0.0001, 99.97
295.0, -0.0000, 100.00
296.0, 0.0001, 99.98
297.0, 0.0002, 99.96
298.0, 0.0000, 99.99
299.0, -0.0001, 100.01
300.0, -0.0000, 100.00
301.0, 0.0001, 99.99
302.0, 0.0000, 100.00
303.0, -0.0001, 100.01
304.0, -0.0001, 100.02
305.0, -0.0000, 100.01
306.0, 0.0000, 99.99
307.0, -0.0001, 100.02
308.0, -0.0001, 100.01
309.0, 0.0001, 99.99
310.0, 0.0002, 99.96
311.0, 0.0001, 99.97
312.0, 0.0002, 99.95
313.0, 0.0002, 99.96
314.0, 0.0002, 99.96
315.0, 0.0002, 99.95
316.0, 0.0003, 99.93
317.0, 0.0002, 99.96
318.0, 0.0003, 99.93
319.0, -0.0001, 100.01
320.0, 0.0001, 99.97
321.0, 0.0001, 99.99
322.0, 0.0001, 99.97
323.0, 0.0001, 99.99
324.0, 0.0001, 99.98
325.0, 0.0001, 99.97
326.0, 0.0001, 99.98
327.0, 0.0002, 99.96
328.0, 0.0002, 99.97
329.0, -0.0000, 100.00
