Sample Name, Sample-2
Time, February 05 10:06:57 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 2.1293, 0.74
231.0, 2.1184, 0.76
232.0, 2.1002, 0.79
233.0, 2.0818, 0.83
234.0, 2.0633, 0.86
235.0, 2.0465, 0.90
236.0, 2.0271, 0.94
237.0, 2.0137, 0.97
238.0, 1.9933, 1.02
239.0, 1.9767, 1.06
240.0, 1.9608, 1.09
241.0, 1.9454, 1.13
242.0, 1.9309, 1.17
243.0, 1.9185, 1.21
244.0, 1.9038, 1.25
245.0, 1.8884, 1.29
246.0, 1.8739, 1.34
247.0, 1.8587, 1.38
248.0, 1.8457, 1.43
249.0, 1.8313, 1.47
250.0, 1.8164, 1.53
251.0, 1.8082, 1.56
252.0, 1.7952, 1.60
253.0, 1.7822, 1.65
254.0, 1.7719, 1.69
255.0, 1.7601, 1.74
256.0, 1.7509, 1.77
257.0, 1.7399, 1.82
258.0, 1.7348, 1.84
259.0, 1.7179, 1.91
260.0, 1.7072, 1.96
261.0, 1.6968, 2.01
262.0, 1.6852, 2.06
263.0, 1.6740, 2.12
264.0, 1.6623, 2.18
265.0, 1.6519, 2.23
266.0, 1.6401, 2.29
267.0, 1.6321, 2.33
268.0, 1.6209, 2.39
269.0, 1.6093, 2.46
270.0, 1.5997, 2.51
271.0, 1.5877, 2.58
272.0, 1.5762, 2.65
273.0, 1.5662, 2.72
274.0, 1.5554, 2.78
275.0, 1.5415, 2.87
276.0, 1.5307, 2.95
277.0, 1.5191, 3.03
278.0, 1.5090, 3.10
279.0, 1.4994, 3.17
280.0, 1.4888, 3.25
281.0, 1.4796, 3.31
282.0, 1.4663, 3.42
283.0, 1.4537, 3.52
284.0, 1.4415, 3.62
285.0, 1.4307, 3.71
286.0, 1.4189, 3.81
287.0, 1.4050, 3.94
288.0, 1.3918, 4.06
289.0, 1.3801, 4.17
290.0, 1.3693, 4.27
291.0, 1.3586, 4.38
292.0, 1.3475, 4.49
293.0, 1.3356, 4.62
294.0, 1.3234, 4.75
295.0, 1.3102, 4.89
296.0, 1.2984, 5.03
297.0, 1.2890, 5.14
298.0, 1.2827, 5.22
299.0, 1.2651, 5.43
300.0, 1.2539, 5.57
301.0, 1.2445, 5.69
302.0, 1.2342, 5.83
303.0, 1.2242, 5.97
304.0, 1.2155, 6.09
305.0, 1.2054, 6.23
306.0, 1.1940, 6.40
307.0, 1.1828, 6.56
308.0, 1.1728, 6.72
309.0, 1.1623, 6.88
310.0, 1.1524, 7.04
311.0, 1.1423, 7.21
312.0, 1.1326, 7.37
313.0, 1.1228, 7.54
314.0, 1.1132, 7.71
315.0, 1.1045, 7.86
316.0, 1.0960, 8.02
317.0, 1.0869, 8.19
318.0, 1.0756, 8.40
319.0, 1.0649, 8.61
320.0, 1.0543, 8.82
321.0, 1.0435, 9.05
322.0, 1.0331, 9.27
323.0, 1.0231, 9.48
324.0, 1.0128, 9.71
325.0, 1.0031, 9.93
326.0, 0.9934, 10.15
327.0, 0.9841, 10.37
328.0, 0.9750, 10.59
329.0, 0.9663, 10.81
330.0, 0.9606, 10.95
331.0, 0.9450, 11.35
332.0, 0.9347, 11.62
333.0, 0.9253, 11.88
334.0, 0.9153, 12.15
335.0, 0.9048, 12.45
336.0, 0.8954, 12.72
337.0, 0.8863, 12.99
338.0, 0.8781, 13.24
339.0, 0.8733, 13.39
340.0, 0.8534, 14.02
341.0, 0.8445, 14.30
342.0, 0.8348, 14.63
343.0, 0.8267, 14.90
344.0, 0.8178, 15.21
345.0, 0.8106, 15.47
346.0, 0.8007, 15.82
347.0, 0.7920, 16.14
348.0, 0.7850, 16.41
349.0, 0.7765, 16.73
350.0, 0.7703, 16.97
351.0, 0.7624, 17.28
352.0, 0.7558, 17.55
353.0, 0.7477, 17.88
354.0, 0.7399, 18.20
355.0, 0.7329, 18.50
356.0, 0.7254, 18.82
357.0, 0.7180, 19.14
358.0, 0.7109, 19.46
359.0, 0.7043, 19.76
360.0, 0.6976, 20.06
361.0, 0.6909, 20.38
362.0, 0.6842, 20.69
363.0, 0.6782, 20.98
364.0, 0.6718, 21.29
