Sample Name, Sample-45
Time, February 13 17:47:33 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 2.5015, 0.32
231.0, 2.5041, 0.31
232.0, 2.5143, 0.31
233.0, 2.5192, 0.30
234.0, 2.5303, 0.29
235.0, 2.5383, 0.29
236.0, 2.5301, 0.30
237.0, 2.5292, 0.30
238.0, 2.5387, 0.29
239.0, 2.5217, 0.30
240.0, 2.5111, 0.31
241.0, 2.5152, 0.31
242.0, 2.5194, 0.30
243.0, 2.5088, 0.31
244.0, 2.5041, 0.31
245.0, 2.4977, 0.32
246.0, 2.4901, 0.32
247.0, 2.4770, 0.33
248.0, 2.4696, 0.34
249.0, 2.4680, 0.34
250.0, 2.4576, 0.35
251.0, 2.4522, 0.35
252.0, 2.4396, 0.36
253.0, 2.4323, 0.37
254.0, 2.4184, 0.38
255.0, 2.4153, 0.38
256.0, 2.4035, 0.39
257.0, 2.3954, 0.40
258.0, 2.3904, 0.41
259.0, 2.3743, 0.42
260.0, 2.3641, 0.43
261.0, 2.3532, 0.44
262.0, 2.3441, 0.45
263.0, 2.3346, 0.46
264.0, 2.3269, 0.47
265.0, 2.3175, 0.48
266.0, 2.3080, 0.49
267.0, 2.3093, 0.49
268.0, 2.2933, 0.51
269.0, 2.2830, 0.52
270.0, 2.2791, 0.53
271.0, 2.2751, 0.53
272.0, 2.2648, 0.54
273.0, 2.2609, 0.55
274.0, 2.2495, 0.56
275.0, 2.2468, 0.57
276.0, 2.2422, 0.57
277.0, 2.2399, 0.58
278.0, 2.2284, 0.59
279.0, 2.2347, 0.58
280.0, 2.2237, 0.60
281.0, 2.2144, 0.61
282.0, 2.2142, 0.61
283.0, 2.2123, 0.61
284.0, 2.2105, 0.62
285.0, 2.2020, 0.63
286.0, 2.2030, 0.63
287.0, 2.1899, 0.65
288.0, 2.1886, 0.65
289.0, 2.1841, 0.65
290.0, 2.1841, 0.65
291.0, 2.1779, 0.66
292.0, 2.1806, 0.66
293.0, 2.1741, 0.67
294.0, 2.1725, 0.67
295.0, 2.1647, 0.68
296.0, 2.1594, 0.69
297.0, 2.1559, 0.70
298.0, 2.1529, 0.70
299.0, 2.1467, 0.71
300.0, 2.1445, 0.72
301.0, 2.1371, 0.73
302.0, 2.1327, 0.74
303.0, 2.1261, 0.75
304.0, 2.1156, 0.77
305.0, 2.1047, 0.79
306.0, 2.1010, 0.79
307.0, 2.0914, 0.81
308.0, 2.0858, 0.82
309.0, 2.0767, 0.84
310.0, 2.0718, 0.85
311.0, 2.0595, 0.87
312.0, 2.0518, 0.89
313.0, 2.0508, 0.89
314.0, 2.0436, 0.90
315.0, 2.0345, 0.92
316.0, 2.0202, 0.95
317.0, 2.0121, 0.97
318.0, 2.0068, 0.98
319.0, 1.9902, 1.02
320.0, 1.9897, 1.02
321.0, 1.9857, 1.03
322.0, 1.9717, 1.07
323.0, 1.9627, 1.09
324.0, 1.9529, 1.11
325.0, 1.9366, 1.16
326.0, 1.9309, 1.17
327.0, 1.9210, 1.20
328.0, 1.9143, 1.22
329.0, 1.8997, 1.26
330.0, 1.8983, 1.26
331.0, 1.8865, 1.30
332.0, 1.8763, 1.33
333.0, 1.8699, 1.35
334.0, 1.8618, 1.37
335.0, 1.8527, 1.40
336.0, 1.8419, 1.44
337.0, 1.8327, 1.47
338.0, 1.8120, 1.54
339.0, 1.7950, 1.60
340.0, 1.5646, 2.73
341.0, 1.5652, 2.72
342.0, 1.5705, 2.69
343.0, 1.5752, 2.66
344.0, 1.5789, 2.64
345.0, 1.5866, 2.59
346.0, 1.5944, 2.54
347.0, 1.5974, 2.53
348.0, 1.5968, 2.53
349.0, 1.6001, 2.51
350.0, 1.6031, 2.49
351.0, 1.6133, 2.44
352.0, 1.6129, 2.44
353.0, 1.6086, 2.46
354.0, 1.6071, 2.47
355.0, 1.6044, 2.49
356.0, 1.6015, 2.50
357.0, 1.5937, 2.55
358.0, 1.5909, 2.57
359.0, 1.5824, 2.62
360.0, 1.5808, 2.63
361.0, 1.5715, 2.68
362.0, 1.5661, 2.72
363.0, 1.5557, 2.78
364.0, 1.5434, 2.86
365.0, 1.5325, 2.93
