Sample Name, Sample-33
Time, February 05 11:52:46 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.7087, 19.55
231.0, 0.7041, 19.77
232.0, 0.6991, 19.99
233.0, 0.6941, 20.23
234.0, 0.6889, 20.47
235.0, 0.6840, 20.70
236.0, 0.6790, 20.94
237.0, 0.6742, 21.18
238.0, 0.6693, 21.41
239.0, 0.6646, 21.65
240.0, 0.6597, 21.89
241.0, 0.6548, 22.14
242.0, 0.6504, 22.36
243.0, 0.6462, 22.59
244.0, 0.6416, 22.82
245.0, 0.6372, 23.06
246.0, 0.6324, 23.31
247.0, 0.6278, 23.56
248.0, 0.6233, 23.81
249.0, 0.6188, 24.06
250.0, 0.6142, 24.31
251.0, 0.6100, 24.55
252.0, 0.6059, 24.78
253.0, 0.6015, 25.03
254.0, 0.5979, 25.24
255.0, 0.5941, 25.46
256.0, 0.5904, 25.68
257.0, 0.5871, 25.88
258.0, 0.5848, 26.01
259.0, 0.5785, 26.39
260.0, 0.5744, 26.64
261.0, 0.5707, 26.87
262.0, 0.5670, 27.10
263.0, 0.5630, 27.35
264.0, 0.5590, 27.60
265.0, 0.5552, 27.85
266.0, 0.5517, 28.07
267.0, 0.5482, 28.30
268.0, 0.5448, 28.52
269.0, 0.5415, 28.74
270.0, 0.5379, 28.98
271.0, 0.5343, 29.22
272.0, 0.5301, 29.51
273.0, 0.5268, 29.73
274.0, 0.5230, 29.99
275.0, 0.5198, 30.21
276.0, 0.5163, 30.46
277.0, 0.5126, 30.72
278.0, 0.5091, 30.96
279.0, 0.5060, 31.19
280.0, 0.5028, 31.42
281.0, 0.4991, 31.69
282.0, 0.4952, 31.98
283.0, 0.4911, 32.28
284.0, 0.4873, 32.56
285.0, 0.4830, 32.88
286.0, 0.4792, 33.17
287.0, 0.4749, 33.50
288.0, 0.4709, 33.82
289.0, 0.4672, 34.11
290.0, 0.4634, 34.40
291.0, 0.4596, 34.71
292.0, 0.4559, 35.00
293.0, 0.4521, 35.31
294.0, 0.4479, 35.65
295.0, 0.4441, 35.97
296.0, 0.4403, 36.28
297.0, 0.4369, 36.57
298.0, 0.4351, 36.72
299.0, 0.4290, 37.24
300.0, 0.4253, 37.56
301.0, 0.4217, 37.87
302.0, 0.4185, 38.15
303.0, 0.4155, 38.41
304.0, 0.4121, 38.72
305.0, 0.4084, 39.05
306.0, 0.4050, 39.35
307.0, 0.4014, 39.68
308.0, 0.3979, 40.00
309.0, 0.3944, 40.33
310.0, 0.3908, 40.67
311.0, 0.3871, 41.01
312.0, 0.3838, 41.32
313.0, 0.3802, 41.66
314.0, 0.3773, 41.94
315.0, 0.3738, 42.28
316.0, 0.3707, 42.59
317.0, 0.3672, 42.93
318.0, 0.3637, 43.28
319.0, 0.3600, 43.65
320.0, 0.3563, 44.02
321.0, 0.3528, 44.38
322.0, 0.3494, 44.73
323.0, 0.3457, 45.11
324.0, 0.3421, 45.49
325.0, 0.3388, 45.84
326.0, 0.3354, 46.19
327.0, 0.3322, 46.54
328.0, 0.3291, 46.87
329.0, 0.3262, 47.19
330.0, 0.3246, 47.36
331.0, 0.3184, 48.04
332.0, 0.3150, 48.42
333.0, 0.3118, 48.78
334.0, 0.3081, 49.19
335.0, 0.3050, 49.55
336.0, 0.3016, 49.94
337.0, 0.2987, 50.27
338.0, 0.2960, 50.58
339.0, 0.2939, 50.83
340.0, 0.2759, 52.98
341.0, 0.2740, 53.22
342.0, 0.2720, 53.46
343.0, 0.2699, 53.71
344.0, 0.2679, 53.97
345.0, 0.2664, 54.15
346.0, 0.2646, 54.38
347.0, 0.2631, 54.57
348.0, 0.2616, 54.75
349.0, 0.2596, 55.00
350.0, 0.2584, 55.16
351.0, 0.2566, 55.39
352.0, 0.2550, 55.59
353.0, 0.2531, 55.84
354.0, 0.2511, 56.09
355.0, 0.2492, 56.34
356.0, 0.2469, 56.64
357.0, 0.2448, 56.91
358.0, 0.2428, 57.18
359.0, 0.2408, 57.44
360.0, 0.2388, 57.71
361.0, 0.2367, 57.98
362.0, 0.2342, 58.32
363.0, 0.2321, 58.59
364.0, 0.2301, 58.87
365.0, 0.2284, 59.10
366.0, 0.2258, 59.46
367.0, 0.2238, 59.74
368.0, 0.2214, 60.06
369.0, 0.2190, 60.39
370.0, 0.2180, 60.53
371.0, 0.2175, 60.60
372.0, 0.2156, 60.87
373.0, 0.2139, 61.11
374.0, 0.2120, 61.37
375.0, 0.2105, 61.59
376.0, 0.2089, 61.82
377.0, 0.2069, 62.11
378.0, 0.2050, 62.37
379.0, 0.2033, 62.62
380.0, 0.2013, 62.90
381.0, 0.1997, 63.14
382.0, 0.1980, 63.39
383.0, 0.1963, 63.64
384.0, 0.1954, 63.76
385.0, 0.1927, 64.16
386.0, 0.1911, 64.40
387.0, 0.1893, 64.67
388.0, 0.1879, 64.88
389.0, 0.1862, 65.13
390.0, 0.1846, 65.37
391.0, 0.1829, 65.63
392.0, 0.1813, 65.88
393.0, 0.1796, 66.14
394.0, 0.1781, 66.35
395.0, 0.1764, 66.62
396.0, 0.1749, 66.85
397.0, 0.1735, 67.07
398.0, 0.1722, 67.26
399.0, 0.1706, 67.51
400.0, 0.1691, 67.75
401.0, 0.1678, 67.95
402.0, 0.1664, 68.18
403.0, 0.1649, 68.41
404.0, 0.1634, 68.65
405.0, 0.1623, 68.82
406.0, 0.1606, 69.08
407.0, 0.1593, 69.30
408.0, 0.1580, 69.51
409.0, 0.1566, 69.73
410.0, 0.1554, 69.92
411.0, 0.1542, 70.11
412.0, 0.1531, 70.30
413.0, 0.1517, 70.52
414.0, 0.1505, 70.72
415.0, 0.1492, 70.92
416.0, 0.1479, 71.13
417.0, 0.1467, 71.33
418.0, 0.1455, 71.53
419.0, 0.1443, 71.73
420.0, 0.1433, 71.90
421.0, 0.1422, 72.08
422.0, 0.1411, 72.27
423.0, 0.1402, 72.41
424.0, 0.1393, 72.56
425.0, 0.1382, 72.75
426.0, 0.1371, 72.93
427.0, 0.1359, 73.13
428.0, 0.1348, 73.32
429.0, 0.1337, 73.49
430.0, 0.1328, 73.66
431.0, 0.1317, 73.84
432.0, 0.1305, 74.05
433.0, 0.1295, 74.22
434.0, 0.1286, 74.37
435.0, 0.1278, 74.51
436.0, 0.1270, 74.65
437.0, 0.1261, 74.81
438.0, 0.1252, 74.96
439.0, 0.1243, 75.11
440.0, 0.1235, 75.26
441.0, 0.1226, 75.41
442.0, 0.1216, 75.58
443.0, 0.1208, 75.73
444.0, 0.1200, 75.86
445.0, 0.1192, 76.00
