Sample Name, Sample-54
Time, February 13 18:14:31 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.3427, 45.42
231.0, 0.3413, 45.57
232.0, 0.3398, 45.73
233.0, 0.3380, 45.92
234.0, 0.3362, 46.11
235.0, 0.3347, 46.27
236.0, 0.3333, 46.42
237.0, 0.3318, 46.58
238.0, 0.3306, 46.71
239.0, 0.3298, 46.79
240.0, 0.3288, 46.90
241.0, 0.3282, 46.96
242.0, 0.3275, 47.04
243.0, 0.3271, 47.09
244.0, 0.3266, 47.14
245.0, 0.3262, 47.18
246.0, 0.3261, 47.19
247.0, 0.3259, 47.21
248.0, 0.3261, 47.20
249.0, 0.3265, 47.15
250.0, 0.3267, 47.13
251.0, 0.3271, 47.09
252.0, 0.3277, 47.02
253.0, 0.3282, 46.97
254.0, 0.3289, 46.89
255.0, 0.3295, 46.82
256.0, 0.3302, 46.75
257.0, 0.3302, 46.75
258.0, 0.3306, 46.71
259.0, 0.3308, 46.69
260.0, 0.3310, 46.67
261.0, 0.3309, 46.67
262.0, 0.3306, 46.71
263.0, 0.3301, 46.77
264.0, 0.3292, 46.86
265.0, 0.3278, 47.01
266.0, 0.3263, 47.18
267.0, 0.3250, 47.32
268.0, 0.3230, 47.53
269.0, 0.3205, 47.81
270.0, 0.3178, 48.10
271.0, 0.3147, 48.45
272.0, 0.3114, 48.82
273.0, 0.3079, 49.21
274.0, 0.3040, 49.66
275.0, 0.3000, 50.12
276.0, 0.2956, 50.63
277.0, 0.2913, 51.13
278.0, 0.2872, 51.61
279.0, 0.2835, 52.06
280.0, 0.2790, 52.60
281.0, 0.2746, 53.13
282.0, 0.2699, 53.71
283.0, 0.2655, 54.26
284.0, 0.2610, 54.83
285.0, 0.2569, 55.35
286.0, 0.2527, 55.89
287.0, 0.2488, 56.39
288.0, 0.2448, 56.92
289.0, 0.2411, 57.40
290.0, 0.2379, 57.83
291.0, 0.2347, 58.25
292.0, 0.2318, 58.64
293.0, 0.2287, 59.06
294.0, 0.2258, 59.46
295.0, 0.2229, 59.85
296.0, 0.2201, 60.24
297.0, 0.2177, 60.57
298.0, 0.2163, 60.77
299.0, 0.2127, 61.28
300.0, 0.2104, 61.60
301.0, 0.2083, 61.90
302.0, 0.2065, 62.16
303.0, 0.2048, 62.40
304.0, 0.2029, 62.67
305.0, 0.2010, 62.95
306.0, 0.1992, 63.22
307.0, 0.1973, 63.49
308.0, 0.1955, 63.75
309.0, 0.1937, 64.01
310.0, 0.1921, 64.25
311.0, 0.1904, 64.51
312.0, 0.1885, 64.79
313.0, 0.1868, 65.04
314.0, 0.1852, 65.28
315.0, 0.1838, 65.49
316.0, 0.1824, 65.71
317.0, 0.1807, 65.96
318.0, 0.1789, 66.23
319.0, 0.1773, 66.48
320.0, 0.1755, 66.76
321.0, 0.1739, 67.00
322.0, 0.1723, 67.25
323.0, 0.1705, 67.53
324.0, 0.1690, 67.77
325.0, 0.1674, 68.02
326.0, 0.1657, 68.28
327.0, 0.1641, 68.53
328.0, 0.1626, 68.77
329.0, 0.1612, 68.99
330.0, 0.1601, 69.16
331.0, 0.1574, 69.61
332.0, 0.1558, 69.86
333.0, 0.1539, 70.16
334.0, 0.1524, 70.41
335.0, 0.1509, 70.65
336.0, 0.1495, 70.88
337.0, 0.1480, 71.13
338.0, 0.1466, 71.34
339.0, 0.1458, 71.48
340.0, 0.1421, 72.09
341.0, 0.1411, 72.25
342.0, 0.1398, 72.47
343.0, 0.1385, 72.70
344.0, 0.1370, 72.94
345.0, 0.1352, 73.24
346.0, 0.1341, 73.43
347.0, 0.1331, 73.60
348.0, 0.1318, 73.82
349.0, 0.1304, 74.07
350.0, 0.1296, 74.20
351.0, 0.1283, 74.43
352.0, 0.1273, 74.59
353.0, 0.1264, 74.74
354.0, 0.1252, 74.95
355.0, 0.1238, 75.20
356.0, 0.1227, 75.40
357.0, 0.1220, 75.50
358.0, 0.1204, 75.79
359.0, 0.1191, 76.01
360.0, 0.1183, 76.16
361.0, 0.1172, 76.35
362.0, 0.1160, 76.56
363.0, 0.1153, 76.69
364.0, 0.1143, 76.86
365.0, 0.1128, 77.13
366.0, 0.1118, 77.30
367.0, 0.1108, 77.49
368.0, 0.1097, 77.68
369.0, 0.1088, 77.83
370.0, 0.1081, 77.97
371.0, 0.1072, 78.12
372.0, 0.1062, 78.31
373.0, 0.1050, 78.53
374.0, 0.1042, 78.68
375.0, 0.1034, 78.81
376.0, 0.1023, 79.01
377.0, 0.1013, 79.19
378.0, 0.1003, 79.37
379.0, 0.0993, 79.56
380.0, 0.0982, 79.76
381.0, 0.0976, 79.88
382.0, 0.0967, 80.04
383.0, 0.0957, 80.22
384.0, 0.0953, 80.30
385.0, 0.0939, 80.56
386.0, 0.0929, 80.73
387.0, 0.0922, 80.88
388.0, 0.0915, 80.99
389.0, 0.0907, 81.15
390.0, 0.0898, 81.31
391.0, 0.0888, 81.51
392.0, 0.0882, 81.61
393.0, 0.0873, 81.79
394.0, 0.0866, 81.93
395.0, 0.0860, 82.04
396.0, 0.0851, 82.21
397.0, 0.0844, 82.33
398.0, 0.0838, 82.45
399.0, 0.0830, 82.60
400.0, 0.0825, 82.69
401.0, 0.0819, 82.81
402.0, 0.0810, 82.98
403.0, 0.0804, 83.10
404.0, 0.0796, 83.25
405.0, 0.0789, 83.38
406.0, 0.0783, 83.51
407.0, 0.0776, 83.64
408.0, 0.0770, 83.75
409.0, 0.0764, 83.86
410.0, 0.0757, 84.00
411.0, 0.0752, 84.09
412.0, 0.0748, 84.18
413.0, 0.0741, 84.32
414.0, 0.0734, 84.45
415.0, 0.0729, 84.55
416.0, 0.0722, 84.68
417.0, 0.0715, 84.81
418.0, 0.0710, 84.92
419.0, 0.0702, 85.08
420.0, 0.0696, 85.19
421.0, 0.0691, 85.28
422.0, 0.0687, 85.38
423.0, 0.0683, 85.46
424.0, 0.0677, 85.57
425.0, 0.0672, 85.67
426.0, 0.0666, 85.78
427.0, 0.0661, 85.88
428.0, 0.0654, 86.02
429.0, 0.0649, 86.11
430.0, 0.0644, 86.21
431.0, 0.0638, 86.33
432.0, 0.0633, 86.44
433.0, 0.0628, 86.53
434.0, 0.0624, 86.62
435.0, 0.0619, 86.72
436.0, 0.0616, 86.77
437.0, 0.0610, 86.90
438.0, 0.0604, 87.01
439.0, 0.0599, 87.11
440.0, 0.0594, 87.22
441.0, 0.0589, 87.32
442.0, 0.0585, 87.40
443.0, 0.0581, 87.48
444.0, 0.0574, 87.61
445.0, 0.0569, 87.72
446.0, 0.0566, 87.78
447.0, 0.0560, 87.89
448.0, 0.0556, 87.97
449.0, 0.0552, 88.07
450.0, 0.0551, 88.08
451.0, 0.0542, 88.27
452.0, 0.0538, 88.35
453.0, 0.0535, 88.41
454.0, 0.0530, 88.51
455.0, 0.0527, 88.57
456.0, 0.0522, 88.68
457.0, 0.0519, 88.74
458.0, 0.0515, 88.81
459.0, 0.0511, 88.89
460.0, 0.0508, 88.97
461.0, 0.0505, 89.03
462.0, 0.0501, 89.11
463.0, 0.0496, 89.20
464.0, 0.0491, 89.30
465.0, 0.0489, 89.36
466.0, 0.0485, 89.43
467.0, 0.0482, 89.49
468.0, 0.0478, 89.58
469.0, 0.0475, 89.64
470.0, 0.0472, 89.70
471.0, 0.0468, 89.77
472.0, 0.0467, 89.81
473.0, 0.0462, 89.90
474.0, 0.0457, 90.01
475.0, 0.0455, 90.05
476.0, 0.0451, 90.13
477.0, 0.0446, 90.23
478.0, 0.0442, 90.32
479.0, 0.0439, 90.38
480.0, 0.0436, 90.46
481.0, 0.0434, 90.49
482.0, 0.0429, 90.59
483.0, 0.0427, 90.64
484.0, 0.0423, 90.72
485.0, 0.0420, 90.78
486.0, 0.0417, 90.83
487.0, 0.0413, 90.93
488.0, 0.0409, 91.02
489.0, 0.0407, 91.06
490.0, 0.0401, 91.17
491.0, 0.0399, 91.22
492.0, 0.0396, 91.29
493.0, 0.0394, 91.33
494.0, 0.0391, 91.40
495.0, 0.0389, 91.44
496.0, 0.0383, 91.55
497.0, 0.0381, 91.59
498.0, 0.0378, 91.66
499.0, 0.0375, 91.72
500.0, 0.0372, 91.80
501.0, 0.0369, 91.85
502.0, 0.0367, 91.89
503.0, 0.0363, 91.98
504.0, 0.0362, 92.01
505.0, 0.0359, 92.07
506.0, 0.0355, 92.16
507.0, 0.0353, 92.19
508.0, 0.0350, 92.26
509.0, 0.0348, 92.30
510.0, 0.0343, 92.40
511.0, 0.0341, 92.46
512.0, 0.0340, 92.47
513.0, 0.0336, 92.56
514.0, 0.0333, 92.61
515.0, 0.0331, 92.66
516.0, 0.0328, 92.72
517.0, 0.0327, 92.75
518.0, 0.0324, 92.82
519.0, 0.0321, 92.87
520.0, 0.0319, 92.91
521.0, 0.0316, 92.97
522.0, 0.0315, 92.99
523.0, 0.0313, 93.04
524.0, 0.0310, 93.11
525.0, 0.0308, 93.15
526.0, 0.0305, 93.21
527.0, 0.0304, 93.23
528.0, 0.0302, 93.29
529.0, 0.0300, 93.33
530.0, 0.0297, 93.39
531.0, 0.0294, 93.45
532.0, 0.0293, 93.48
533.0, 0.0289, 93.55
534.0, 0.0286, 93.62
535.0, 0.0285, 93.65
