Sample Name, Sample-55
Time, February 13 18:16:31 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.3438, 45.31
231.0, 0.3423, 45.47
232.0, 0.3408, 45.62
233.0, 0.3391, 45.80
234.0, 0.3373, 45.99
235.0, 0.3357, 46.17
236.0, 0.3342, 46.33
237.0, 0.3329, 46.46
238.0, 0.3319, 46.57
239.0, 0.3309, 46.68
240.0, 0.3299, 46.79
241.0, 0.3291, 46.87
242.0, 0.3284, 46.95
243.0, 0.3280, 46.99
244.0, 0.3275, 47.05
245.0, 0.3271, 47.08
246.0, 0.3271, 47.09
247.0, 0.3269, 47.11
248.0, 0.3270, 47.10
249.0, 0.3273, 47.06
250.0, 0.3276, 47.04
251.0, 0.3279, 47.00
252.0, 0.3285, 46.93
253.0, 0.3290, 46.88
254.0, 0.3297, 46.81
255.0, 0.3303, 46.74
256.0, 0.3308, 46.69
257.0, 0.3310, 46.66
258.0, 0.3313, 46.63
259.0, 0.3317, 46.59
260.0, 0.3319, 46.57
261.0, 0.3319, 46.57
262.0, 0.3315, 46.61
263.0, 0.3309, 46.67
264.0, 0.3300, 46.78
265.0, 0.3286, 46.92
266.0, 0.3272, 47.07
267.0, 0.3258, 47.23
268.0, 0.3240, 47.43
269.0, 0.3214, 47.70
270.0, 0.3186, 48.01
271.0, 0.3156, 48.35
272.0, 0.3122, 48.74
273.0, 0.3087, 49.12
274.0, 0.3048, 49.56
275.0, 0.3007, 50.04
276.0, 0.2964, 50.53
277.0, 0.2922, 51.03
278.0, 0.2881, 51.51
279.0, 0.2842, 51.98
280.0, 0.2799, 52.49
281.0, 0.2754, 53.04
282.0, 0.2707, 53.62
283.0, 0.2663, 54.16
284.0, 0.2617, 54.73
285.0, 0.2575, 55.27
286.0, 0.2534, 55.79
287.0, 0.2493, 56.32
288.0, 0.2453, 56.85
289.0, 0.2416, 57.34
290.0, 0.2382, 57.78
291.0, 0.2352, 58.18
292.0, 0.2322, 58.58
293.0, 0.2292, 58.99
294.0, 0.2261, 59.42
295.0, 0.2231, 59.83
296.0, 0.2206, 60.18
297.0, 0.2181, 60.52
298.0, 0.2166, 60.72
299.0, 0.2130, 61.23
300.0, 0.2107, 61.56
301.0, 0.2087, 61.85
302.0, 0.2067, 62.14
303.0, 0.2051, 62.36
304.0, 0.2033, 62.62
305.0, 0.2015, 62.88
306.0, 0.1997, 63.14
307.0, 0.1978, 63.41
308.0, 0.1960, 63.68
309.0, 0.1942, 63.95
310.0, 0.1924, 64.21
311.0, 0.1907, 64.46
312.0, 0.1890, 64.71
313.0, 0.1872, 64.98
314.0, 0.1857, 65.21
315.0, 0.1842, 65.43
316.0, 0.1828, 65.65
317.0, 0.1812, 65.89
318.0, 0.1793, 66.18
319.0, 0.1775, 66.45
320.0, 0.1758, 66.72
321.0, 0.1740, 66.99
322.0, 0.1724, 67.24
323.0, 0.1707, 67.50
324.0, 0.1690, 67.76
325.0, 0.1674, 68.01
326.0, 0.1660, 68.23
327.0, 0.1644, 68.49
328.0, 0.1627, 68.75
329.0, 0.1613, 68.97
330.0, 0.1605, 69.11
331.0, 0.1576, 69.57
332.0, 0.1558, 69.85
333.0, 0.1540, 70.15
334.0, 0.1527, 70.35
335.0, 0.1512, 70.60
336.0, 0.1497, 70.85
337.0, 0.1482, 71.09
338.0, 0.1471, 71.28
339.0, 0.1460, 71.44
340.0, 0.1420, 72.11
341.0, 0.1411, 72.26
342.0, 0.1396, 72.51
343.0, 0.1383, 72.72
344.0, 0.1370, 72.94
345.0, 0.1351, 73.26
346.0, 0.1340, 73.45
347.0, 0.1324, 73.73
348.0, 0.1315, 73.87
349.0, 0.1306, 74.04
350.0, 0.1294, 74.23
351.0, 0.1279, 74.50
352.0, 0.1269, 74.66
353.0, 0.1260, 74.81
354.0, 0.1247, 75.05
355.0, 0.1231, 75.32
356.0, 0.1220, 75.51
357.0, 0.1213, 75.63
358.0, 0.1197, 75.91
359.0, 0.1184, 76.13
360.0, 0.1176, 76.29
361.0, 0.1166, 76.46
362.0, 0.1155, 76.64
363.0, 0.1147, 76.79
364.0, 0.1135, 77.01
365.0, 0.1120, 77.27
366.0, 0.1112, 77.42
367.0, 0.1102, 77.59
368.0, 0.1092, 77.77
369.0, 0.1080, 77.99
370.0, 0.1072, 78.12
371.0, 0.1059, 78.35
372.0, 0.1050, 78.52
373.0, 0.1040, 78.71
374.0, 0.1033, 78.83
375.0, 0.1027, 78.94
376.0, 0.1017, 79.12
377.0, 0.1009, 79.27
378.0, 0.0998, 79.47
379.0, 0.0988, 79.64
380.0, 0.0979, 79.83
381.0, 0.0969, 80.00
382.0, 0.0959, 80.18
383.0, 0.0952, 80.31
384.0, 0.0948, 80.40
385.0, 0.0935, 80.63
386.0, 0.0925, 80.81
387.0, 0.0918, 80.94
388.0, 0.0910, 81.10
389.0, 0.0902, 81.25
390.0, 0.0893, 81.41
391.0, 0.0884, 81.59
392.0, 0.0878, 81.70
393.0, 0.0870, 81.85
394.0, 0.0862, 82.00
395.0, 0.0855, 82.12
396.0, 0.0848, 82.27
397.0, 0.0839, 82.43
398.0, 0.0832, 82.56
399.0, 0.0827, 82.67
