Sample Name, Sample-51
Time, February 13 18:02:52 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 2.4974, 0.32
231.0, 2.5021, 0.31
232.0, 2.5117, 0.31
233.0, 2.5170, 0.30
234.0, 2.5107, 0.31
235.0, 2.5261, 0.30
236.0, 2.5210, 0.30
237.0, 2.5165, 0.30
238.0, 2.5224, 0.30
239.0, 2.5188, 0.30
240.0, 2.5120, 0.31
241.0, 2.5130, 0.31
242.0, 2.5034, 0.31
243.0, 2.4942, 0.32
244.0, 2.4963, 0.32
245.0, 2.4781, 0.33
246.0, 2.4700, 0.34
247.0, 2.4600, 0.35
248.0, 2.4508, 0.35
249.0, 2.4437, 0.36
250.0, 2.4374, 0.37
251.0, 2.4200, 0.38
252.0, 2.4037, 0.39
253.0, 2.4037, 0.39
254.0, 2.3907, 0.41
255.0, 2.3716, 0.43
256.0, 2.3796, 0.42
257.0, 2.3648, 0.43
258.0, 2.3609, 0.44
259.0, 2.3427, 0.45
260.0, 2.3310, 0.47
261.0, 2.3245, 0.47
262.0, 2.3141, 0.49
263.0, 2.2994, 0.50
264.0, 2.2892, 0.51
265.0, 2.2722, 0.53
266.0, 2.2640, 0.54
267.0, 2.2587, 0.55
268.0, 2.2482, 0.56
269.0, 2.2396, 0.58
270.0, 2.2248, 0.60
271.0, 2.2197, 0.60
272.0, 2.2157, 0.61
273.0, 2.2050, 0.62
274.0, 2.1948, 0.64
275.0, 2.1899, 0.65
276.0, 2.1779, 0.66
277.0, 2.1758, 0.67
278.0, 2.1634, 0.69
279.0, 2.1637, 0.69
280.0, 2.1579, 0.70
281.0, 2.1475, 0.71
282.0, 2.1365, 0.73
283.0, 2.1314, 0.74
284.0, 2.1202, 0.76
285.0, 2.1155, 0.77
286.0, 2.1107, 0.78
287.0, 2.1058, 0.78
288.0, 2.0941, 0.81
289.0, 2.0911, 0.81
290.0, 2.0832, 0.83
291.0, 2.0770, 0.84
292.0, 2.0686, 0.85
293.0, 2.0584, 0.87
294.0, 2.0500, 0.89
295.0, 2.0381, 0.92
296.0, 2.0259, 0.94
297.0, 2.0197, 0.96
298.0, 2.0129, 0.97
299.0, 2.0062, 0.99
300.0, 1.9969, 1.01
301.0, 1.9828, 1.04
302.0, 1.9762, 1.06
303.0, 1.9662, 1.08
304.0, 1.9511, 1.12
305.0, 1.9443, 1.14
306.0, 1.9317, 1.17
307.0, 1.9222, 1.20
308.0, 1.9093, 1.23
309.0, 1.8973, 1.27
310.0, 1.8890, 1.29
311.0, 1.8761, 1.33
312.0, 1.8654, 1.36
313.0, 1.8555, 1.39
314.0, 1.8432, 1.43
315.0, 1.8287, 1.48
316.0, 1.8198, 1.51
317.0, 1.8047, 1.57
318.0, 1.7939, 1.61
319.0, 1.7792, 1.66
320.0, 1.7678, 1.71
321.0, 1.7581, 1.75
322.0, 1.7432, 1.81
323.0, 1.7294, 1.86
324.0, 1.7170, 1.92
325.0, 1.7058, 1.97
326.0, 1.6933, 2.03
327.0, 1.6814, 2.08
328.0, 1.6691, 2.14
329.0, 1.6611, 2.18
330.0, 1.6502, 2.24
331.0, 1.6292, 2.35
332.0, 1.6154, 2.42
333.0, 1.5998, 2.51
334.0, 1.5877, 2.58
335.0, 1.5753, 2.66
336.0, 1.5617, 2.74
337.0, 1.5494, 2.82
338.0, 1.5351, 2.92
339.0, 1.5211, 3.01
340.0, 1.3706, 4.26
341.0, 1.3710, 4.26
342.0, 1.3674, 4.29
343.0, 1.3661, 4.30
344.0, 1.3646, 4.32
345.0, 1.3622, 4.34
346.0, 1.3583, 4.38
347.0, 1.3555, 4.41
348.0, 1.3526, 4.44
349.0, 1.3472, 4.50
350.0, 1.3433, 4.54
351.0, 1.3415, 4.56
352.0, 1.3359, 4.61
353.0, 1.3281, 4.70
354.0, 1.3203, 4.78
355.0, 1.3149, 4.84
356.0, 1.3042, 4.96
357.0, 1.2939, 5.08
358.0, 1.2875, 5.16
359.0, 1.2784, 5.27
360.0, 1.2692, 5.38
361.0, 1.2600, 5.50
362.0, 1.2525, 5.59
363.0, 1.2430, 5.72
364.0, 1.2323, 5.86
365.0, 1.2206, 6.02
366.0, 1.2082, 6.19
367.0, 1.1958, 6.37
368.0, 1.1831, 6.56
369.0, 1.1733, 6.71
370.0, 1.1660, 6.82
371.0, 1.1888, 6.47
372.0, 1.1813, 6.59
373.0, 1.1727, 6.72
374.0, 1.1653, 6.83
375.0, 1.1577, 6.96
376.0, 1.1522, 7.04
377.0, 1.1446, 7.17
378.0, 1.1350, 7.33
379.0, 1.1270, 7.46
380.0, 1.1177, 7.63
381.0, 1.1101, 7.76
382.0, 1.1022, 7.90
383.0, 1.0957, 8.02
384.0, 1.0902, 8.13
385.0, 1.0772, 8.37
386.0, 1.0691, 8.53
387.0, 1.0619, 8.67
388.0, 1.0552, 8.81
389.0, 1.0474, 8.97
390.0, 1.0386, 9.15
391.0, 1.0308, 9.32
392.0, 1.0226, 9.49
393.0, 1.0147, 9.67
394.0, 1.0059, 9.86
395.0, 0.9980, 10.05
396.0, 0.9897, 10.24
397.0, 0.9823, 10.42
398.0, 0.9754, 10.58
399.0, 0.9678, 10.77
400.0, 0.9612, 10.94
401.0, 0.9541, 11.11
402.0, 0.9456, 11.33
403.0, 0.9385, 11.52
404.0, 0.9305, 11.74
405.0, 0.9234, 11.93
406.0, 0.9166, 12.12
407.0, 0.9087, 12.34
408.0, 0.9012, 12.55
409.0, 0.8944, 12.75
410.0, 0.8880, 12.94
411.0, 0.8819, 13.13
412.0, 0.8754, 13.32
413.0, 0.8690, 13.52
414.0, 0.8621, 13.74
415.0, 0.8553, 13.95
416.0, 0.8485, 14.17
417.0, 0.8421, 14.38
418.0, 0.8353, 14.61
419.0, 0.8288, 14.83
420.0, 0.8225, 15.05
421.0, 0.8161, 15.27
422.0, 0.8098, 15.50
423.0, 0.8047, 15.68
424.0, 0.7993, 15.87
425.0, 0.7926, 16.12
426.0, 0.7862, 16.36
427.0, 0.7801, 16.59
428.0, 0.7740, 16.83
429.0, 0.7683, 17.05
430.0, 0.7623, 17.29
431.0, 0.7562, 17.53
432.0, 0.7504, 17.77
433.0, 0.7447, 18.00
434.0, 0.7394, 18.22
435.0, 0.7346, 18.43
436.0, 0.7295, 18.64
437.0, 0.7238, 18.89
438.0, 0.7178, 19.15
439.0, 0.7125, 19.38
440.0, 0.7067, 19.65
441.0, 0.7014, 19.89
442.0, 0.6960, 20.14
443.0, 0.6908, 20.38
444.0, 0.6851, 20.65
