Sample Name, Sample-15
Time, February 05 11:06:12 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.7406, 18.17
231.0, 0.7331, 18.49
232.0, 0.7259, 18.80
233.0, 0.7185, 19.12
234.0, 0.7102, 19.49
235.0, 0.7023, 19.85
236.0, 0.6944, 20.21
237.0, 0.6873, 20.54
238.0, 0.6800, 20.89
239.0, 0.6728, 21.24
240.0, 0.6657, 21.59
241.0, 0.6588, 21.94
242.0, 0.6525, 22.26
243.0, 0.6463, 22.58
244.0, 0.6405, 22.88
245.0, 0.6342, 23.21
246.0, 0.6279, 23.56
247.0, 0.6219, 23.88
248.0, 0.6157, 24.23
249.0, 0.6099, 24.55
250.0, 0.6044, 24.87
251.0, 0.5993, 25.16
252.0, 0.5942, 25.46
253.0, 0.5893, 25.74
254.0, 0.5853, 25.98
255.0, 0.5812, 26.23
256.0, 0.5775, 26.46
257.0, 0.5737, 26.69
258.0, 0.5714, 26.83
259.0, 0.5649, 27.23
260.0, 0.5611, 27.48
261.0, 0.5574, 27.71
262.0, 0.5537, 27.95
263.0, 0.5498, 28.20
264.0, 0.5461, 28.44
265.0, 0.5428, 28.65
266.0, 0.5396, 28.87
267.0, 0.5368, 29.05
268.0, 0.5340, 29.24
269.0, 0.5308, 29.46
270.0, 0.5276, 29.67
271.0, 0.5245, 29.89
272.0, 0.5214, 30.10
273.0, 0.5188, 30.28
274.0, 0.5161, 30.47
275.0, 0.5130, 30.69
276.0, 0.5103, 30.88
277.0, 0.5075, 31.08
278.0, 0.5046, 31.29
279.0, 0.5019, 31.49
280.0, 0.4992, 31.68
281.0, 0.4961, 31.91
282.0, 0.4926, 32.17
283.0, 0.4888, 32.45
284.0, 0.4852, 32.72
285.0, 0.4813, 33.02
286.0, 0.4775, 33.31
287.0, 0.4733, 33.63
288.0, 0.4690, 33.96
289.0, 0.4650, 34.28
290.0, 0.4609, 34.60
291.0, 0.4571, 34.90
292.0, 0.4534, 35.21
293.0, 0.4495, 35.52
294.0, 0.4451, 35.88
295.0, 0.4414, 36.19
296.0, 0.4374, 36.52
297.0, 0.4339, 36.82
298.0, 0.4320, 36.98
299.0, 0.4259, 37.51
300.0, 0.4221, 37.84
301.0, 0.4185, 38.15
302.0, 0.4151, 38.45
303.0, 0.4119, 38.74
304.0, 0.4089, 39.01
305.0, 0.4054, 39.32
306.0, 0.4016, 39.66
307.0, 0.3980, 40.00
308.0, 0.3945, 40.32
309.0, 0.3910, 40.64
310.0, 0.3875, 40.97
311.0, 0.3838, 41.32
312.0, 0.3804, 41.65
313.0, 0.3770, 41.98
314.0, 0.3737, 42.30
315.0, 0.3706, 42.60
316.0, 0.3675, 42.90
317.0, 0.3640, 43.25
318.0, 0.3603, 43.62
319.0, 0.3567, 43.99
320.0, 0.3528, 44.38
321.0, 0.3494, 44.73
322.0, 0.3457, 45.12
323.0, 0.3417, 45.53
324.0, 0.3381, 45.91
325.0, 0.3345, 46.29
326.0, 0.3308, 46.69
327.0, 0.3277, 47.02
328.0, 0.3242, 47.40
329.0, 0.3212, 47.73
330.0, 0.3190, 47.98
331.0, 0.3129, 48.65
332.0, 0.3094, 49.05
333.0, 0.3060, 49.44
334.0, 0.3024, 49.85
335.0, 0.2988, 50.26
336.0, 0.2953, 50.66
337.0, 0.2923, 51.02
338.0, 0.2890, 51.41
339.0, 0.2868, 51.66
340.0, 0.2686, 53.88
341.0, 0.2659, 54.21
342.0, 0.2641, 54.43
343.0, 0.2622, 54.68
344.0, 0.2598, 54.98
345.0, 0.2579, 55.22
346.0, 0.2558, 55.49
347.0, 0.2542, 55.70
348.0, 0.2523, 55.94
349.0, 0.2498, 56.26
350.0, 0.2483, 56.45
351.0, 0.2467, 56.67
352.0, 0.2453, 56.84
353.0, 0.2430, 57.15
354.0, 0.2404, 57.49
355.0, 0.2382, 57.78
356.0, 0.2361, 58.07
357.0, 0.2339, 58.36
358.0, 0.2315, 58.68
359.0, 0.2295, 58.95
360.0, 0.2275, 59.23
361.0, 0.2252, 59.53
362.0, 0.2230, 59.84
363.0, 0.2211, 60.10
364.0, 0.2188, 60.43
365.0, 0.2167, 60.72
366.0, 0.2143, 61.05
367.0, 0.2118, 61.41
368.0, 0.2096, 61.71
369.0, 0.2075, 62.02
370.0, 0.2062, 62.20
371.0, 0.2057, 62.27
372.0, 0.2038, 62.55
373.0, 0.2019, 62.82
374.0, 0.2002, 63.07
375.0, 0.1981, 63.37
376.0, 0.1965, 63.60
377.0, 0.1946, 63.89
378.0, 0.1928, 64.15
379.0, 0.1907, 64.45
380.0, 0.1886, 64.77
381.0, 0.1869, 65.02
382.0, 0.1851, 65.30
383.0, 0.1835, 65.54
384.0, 0.1825, 65.69
385.0, 0.1798, 66.10
386.0, 0.1781, 66.35
387.0, 0.1764, 66.61
388.0, 0.1749, 66.85
389.0, 0.1732, 67.11
390.0, 0.1715, 67.38
391.0, 0.1695, 67.68
392.0, 0.1679, 67.93
393.0, 0.1662, 68.20
394.0, 0.1648, 68.42
395.0, 0.1628, 68.74
396.0, 0.1612, 68.99
