Sample Name, Sample-16
Time, February 05 11:09:20 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.6396, 22.93
231.0, 0.6340, 23.23
232.0, 0.6293, 23.48
233.0, 0.6241, 23.76
234.0, 0.6186, 24.07
235.0, 0.6131, 24.37
236.0, 0.6080, 24.66
237.0, 0.6030, 24.95
238.0, 0.5980, 25.24
239.0, 0.5931, 25.52
240.0, 0.5882, 25.81
241.0, 0.5836, 26.09
242.0, 0.5793, 26.34
243.0, 0.5750, 26.61
244.0, 0.5709, 26.86
245.0, 0.5665, 27.13
246.0, 0.5620, 27.42
247.0, 0.5576, 27.69
248.0, 0.5534, 27.96
249.0, 0.5493, 28.23
250.0, 0.5452, 28.50
251.0, 0.5412, 28.76
252.0, 0.5376, 29.00
253.0, 0.5338, 29.26
254.0, 0.5304, 29.49
255.0, 0.5273, 29.69
256.0, 0.5243, 29.90
257.0, 0.5213, 30.11
258.0, 0.5194, 30.24
259.0, 0.5141, 30.61
260.0, 0.5108, 30.84
261.0, 0.5076, 31.07
262.0, 0.5045, 31.30
263.0, 0.5011, 31.54
264.0, 0.4979, 31.77
265.0, 0.4950, 31.99
266.0, 0.4924, 32.18
267.0, 0.4898, 32.37
268.0, 0.4872, 32.57
269.0, 0.4842, 32.79
270.0, 0.4813, 33.02
271.0, 0.4783, 33.24
272.0, 0.4752, 33.48
273.0, 0.4725, 33.69
274.0, 0.4698, 33.90
275.0, 0.4669, 34.13
276.0, 0.4641, 34.34
277.0, 0.4612, 34.58
278.0, 0.4586, 34.79
279.0, 0.4559, 35.00
280.0, 0.4531, 35.23
281.0, 0.4501, 35.48
282.0, 0.4468, 35.74
283.0, 0.4435, 36.02
284.0, 0.4402, 36.29
285.0, 0.4367, 36.58
286.0, 0.4333, 36.87
287.0, 0.4298, 37.17
288.0, 0.4262, 37.48
289.0, 0.4227, 37.78
290.0, 0.4193, 38.08
291.0, 0.4161, 38.36
292.0, 0.4129, 38.64
293.0, 0.4096, 38.94
294.0, 0.4059, 39.27
295.0, 0.4029, 39.55
296.0, 0.3993, 39.87
297.0, 0.3964, 40.14
298.0, 0.3948, 40.29
299.0, 0.3895, 40.78
300.0, 0.3862, 41.09
301.0, 0.3832, 41.38
302.0, 0.3803, 41.66
303.0, 0.3773, 41.95
304.0, 0.3748, 42.19
305.0, 0.3717, 42.49
306.0, 0.3684, 42.82
307.0, 0.3652, 43.14
308.0, 0.3621, 43.44
309.0, 0.3590, 43.76
310.0, 0.3560, 44.06
311.0, 0.3528, 44.38
312.0, 0.3500, 44.67
313.0, 0.3467, 45.01
314.0, 0.3440, 45.29
315.0, 0.3410, 45.60
316.0, 0.3381, 45.90
317.0, 0.3352, 46.22
318.0, 0.3319, 46.57
319.0, 0.3287, 46.92
320.0, 0.3256, 47.25
321.0, 0.3225, 47.59
322.0, 0.3193, 47.94
323.0, 0.3160, 48.30
324.0, 0.3125, 48.70
325.0, 0.3096, 49.03
326.0, 0.3068, 49.34
327.0, 0.3040, 49.66
328.0, 0.3012, 49.98
329.0, 0.2983, 50.31
330.0, 0.2965, 50.53
331.0, 0.2917, 51.09
332.0, 0.2883, 51.49
333.0, 0.2854, 51.83
334.0, 0.2825, 52.18
335.0, 0.2795, 52.54
336.0, 0.2763, 52.93
337.0, 0.2736, 53.26
338.0, 0.2710, 53.58
339.0, 0.2694, 53.78
340.0, 0.2544, 55.67
341.0, 0.2525, 55.91
342.0, 0.2510, 56.11
343.0, 0.2484, 56.44
344.0, 0.2467, 56.67
345.0, 0.2448, 56.91
346.0, 0.2431, 57.14
347.0, 0.2417, 57.32
348.0, 0.2402, 57.52
349.0, 0.2382, 57.79
350.0, 0.2368, 57.97
351.0, 0.2352, 58.18
352.0, 0.2340, 58.35
353.0, 0.2322, 58.58
354.0, 0.2303, 58.85
355.0, 0.2284, 59.11
356.0, 0.2263, 59.39
357.0, 0.2244, 59.65
358.0, 0.2222, 59.96
359.0, 0.2203, 60.21
360.0, 0.2186, 60.45
