Sample Name, Sample-50
Time, February 13 18:00:40 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.8711, 13.46
231.0, 0.8629, 13.71
232.0, 0.8546, 13.98
233.0, 0.8452, 14.28
234.0, 0.8353, 14.61
235.0, 0.8255, 14.94
236.0, 0.8165, 15.26
237.0, 0.8076, 15.58
238.0, 0.7990, 15.89
239.0, 0.7905, 16.20
240.0, 0.7824, 16.50
241.0, 0.7752, 16.78
242.0, 0.7684, 17.05
243.0, 0.7618, 17.31
244.0, 0.7554, 17.56
245.0, 0.7489, 17.83
246.0, 0.7425, 18.09
247.0, 0.7365, 18.34
248.0, 0.7304, 18.60
249.0, 0.7254, 18.82
250.0, 0.7200, 19.05
251.0, 0.7152, 19.27
252.0, 0.7107, 19.47
253.0, 0.7065, 19.66
254.0, 0.7025, 19.84
255.0, 0.6990, 20.00
256.0, 0.6957, 20.15
257.0, 0.6922, 20.32
258.0, 0.6900, 20.42
259.0, 0.6844, 20.68
260.0, 0.6809, 20.85
261.0, 0.6775, 21.01
262.0, 0.6739, 21.19
263.0, 0.6703, 21.36
264.0, 0.6667, 21.54
265.0, 0.6632, 21.72
266.0, 0.6597, 21.89
267.0, 0.6567, 22.04
268.0, 0.6532, 22.22
269.0, 0.6496, 22.41
270.0, 0.6457, 22.61
271.0, 0.6418, 22.81
272.0, 0.6379, 23.02
273.0, 0.6339, 23.23
274.0, 0.6300, 23.44
275.0, 0.6256, 23.68
276.0, 0.6215, 23.90
277.0, 0.6172, 24.14
278.0, 0.6132, 24.36
279.0, 0.6094, 24.58
280.0, 0.6054, 24.81
281.0, 0.6011, 25.06
282.0, 0.5962, 25.34
283.0, 0.5919, 25.59
284.0, 0.5868, 25.89
285.0, 0.5824, 26.16
286.0, 0.5775, 26.45
287.0, 0.5728, 26.74
288.0, 0.5678, 27.05
289.0, 0.5630, 27.35
290.0, 0.5586, 27.63
291.0, 0.5545, 27.90
292.0, 0.5497, 28.20
293.0, 0.5453, 28.49
294.0, 0.5405, 28.81
295.0, 0.5356, 29.13
296.0, 0.5311, 29.44
297.0, 0.5271, 29.71
298.0, 0.5245, 29.89
299.0, 0.5173, 30.39
300.0, 0.5128, 30.71
301.0, 0.5085, 31.01
302.0, 0.5045, 31.29
303.0, 0.5007, 31.57
304.0, 0.4966, 31.87
305.0, 0.4923, 32.19
306.0, 0.4883, 32.49
307.0, 0.4839, 32.82
308.0, 0.4796, 33.14
309.0, 0.4754, 33.47
310.0, 0.4711, 33.80
311.0, 0.4669, 34.13
312.0, 0.4626, 34.47
313.0, 0.4584, 34.80
314.0, 0.4547, 35.10
315.0, 0.4510, 35.40
316.0, 0.4472, 35.71
317.0, 0.4431, 36.05
318.0, 0.4385, 36.43
319.0, 0.4341, 36.80
320.0, 0.4299, 37.16
321.0, 0.4256, 37.54
322.0, 0.4215, 37.89
323.0, 0.4173, 38.26
324.0, 0.4125, 38.68
325.0, 0.4081, 39.07
326.0, 0.4044, 39.41
327.0, 0.4004, 39.77
328.0, 0.3964, 40.14
329.0, 0.3926, 40.50
330.0, 0.3904, 40.71
331.0, 0.3833, 41.37
332.0, 0.3788, 41.80
333.0, 0.3741, 42.25
334.0, 0.3700, 42.65
335.0, 0.3659, 43.06
336.0, 0.3617, 43.48
337.0, 0.3577, 43.88
338.0, 0.3541, 44.25
339.0, 0.3515, 44.52
340.0, 0.3394, 45.77
341.0, 0.3364, 46.09
342.0, 0.3326, 46.49
343.0, 0.3286, 46.93
344.0, 0.3249, 47.33
345.0, 0.3211, 47.74
346.0, 0.3178, 48.11
347.0, 0.3148, 48.44
348.0, 0.3114, 48.82
349.0, 0.3082, 49.18
350.0, 0.3052, 49.52
351.0, 0.3020, 49.89
352.0, 0.2989, 50.25
353.0, 0.2959, 50.59
354.0, 0.2925, 50.99
355.0, 0.2892, 51.38
356.0, 0.2860, 51.76
357.0, 0.2829, 52.13
358.0, 0.2794, 52.55
359.0, 0.2764, 52.92
360.0, 0.2733, 53.30
361.0, 0.2702, 53.67
362.0, 0.2676, 54.00
363.0, 0.2646, 54.37
364.0, 0.2617, 54.74
365.0, 0.2586, 55.13
366.0, 0.2556, 55.51
367.0, 0.2529, 55.87
368.0, 0.2496, 56.28
369.0, 0.2468, 56.65
370.0, 0.2451, 56.87
371.0, 0.2424, 57.23
372.0, 0.2398, 57.57
373.0, 0.2369, 57.96
374.0, 0.2346, 58.26
375.0, 0.2324, 58.56
376.0, 0.2299, 58.89
377.0, 0.2276, 59.22
378.0, 0.2249, 59.58
379.0, 0.2221, 59.96
380.0, 0.2196, 60.31
381.0, 0.2173, 60.64
382.0, 0.2148, 60.98
383.0, 0.2126, 61.29
384.0, 0.2113, 61.48
385.0, 0.2080, 61.94
386.0, 0.2056, 62.29
387.0, 0.2035, 62.59
388.0, 0.2017, 62.85
389.0, 0.1994, 63.19
390.0, 0.1970, 63.53
391.0, 0.1946, 63.89
392.0, 0.1925, 64.19
393.0, 0.1903, 64.52
394.0, 0.1883, 64.82
395.0, 0.1862, 65.14
396.0, 0.1840, 65.47
397.0, 0.1820, 65.77
398.0, 0.1800, 66.07
399.0, 0.1783, 66.33
400.0, 0.1766, 66.59
401.0, 0.1747, 66.88
402.0, 0.1727, 67.19
403.0, 0.1708, 67.49
404.0, 0.1686, 67.82
405.0, 0.1671, 68.07
406.0, 0.1653, 68.35
407.0, 0.1633, 68.66
408.0, 0.1616, 68.94
409.0, 0.1598, 69.22
410.0, 0.1582, 69.48
411.0, 0.1567, 69.71
412.0, 0.1552, 69.95
413.0, 0.1536, 70.20
414.0, 0.1518, 70.50
415.0, 0.1503, 70.75
416.0, 0.1488, 71.00
417.0, 0.1471, 71.27
418.0, 0.1455, 71.53
419.0, 0.1439, 71.80
420.0, 0.1422, 72.08
