Sample Name, Sample-41
Time, February 05 12:13:27 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.6923, 20.31
231.0, 0.6879, 20.51
232.0, 0.6836, 20.72
233.0, 0.6793, 20.92
234.0, 0.6743, 21.17
235.0, 0.6697, 21.40
236.0, 0.6651, 21.62
237.0, 0.6606, 21.85
238.0, 0.6560, 22.08
239.0, 0.6516, 22.31
240.0, 0.6471, 22.53
241.0, 0.6425, 22.77
242.0, 0.6384, 23.00
243.0, 0.6342, 23.22
244.0, 0.6303, 23.42
245.0, 0.6259, 23.66
246.0, 0.6213, 23.91
247.0, 0.6172, 24.14
248.0, 0.6130, 24.38
249.0, 0.6089, 24.61
250.0, 0.6048, 24.84
251.0, 0.6005, 25.09
252.0, 0.5967, 25.31
253.0, 0.5929, 25.53
254.0, 0.5894, 25.74
255.0, 0.5859, 25.94
256.0, 0.5828, 26.14
257.0, 0.5794, 26.34
258.0, 0.5775, 26.45
259.0, 0.5717, 26.81
260.0, 0.5681, 27.03
261.0, 0.5645, 27.26
262.0, 0.5610, 27.48
263.0, 0.5573, 27.71
264.0, 0.5537, 27.94
265.0, 0.5502, 28.17
266.0, 0.5467, 28.40
267.0, 0.5437, 28.60
268.0, 0.5405, 28.81
269.0, 0.5370, 29.04
270.0, 0.5336, 29.27
271.0, 0.5302, 29.50
272.0, 0.5264, 29.76
273.0, 0.5228, 30.00
274.0, 0.5196, 30.23
275.0, 0.5164, 30.45
276.0, 0.5128, 30.70
277.0, 0.5094, 30.94
278.0, 0.5063, 31.17
279.0, 0.5033, 31.38
280.0, 0.5003, 31.60
281.0, 0.4967, 31.87
282.0, 0.4929, 32.14
283.0, 0.4892, 32.42
284.0, 0.4854, 32.70
285.0, 0.4814, 33.01
286.0, 0.4774, 33.31
287.0, 0.4732, 33.63
288.0, 0.4696, 33.92
289.0, 0.4655, 34.24
290.0, 0.4616, 34.54
291.0, 0.4581, 34.83
292.0, 0.4545, 35.11
293.0, 0.4508, 35.41
294.0, 0.4471, 35.72
295.0, 0.4434, 36.03
296.0, 0.4395, 36.35
297.0, 0.4363, 36.62
298.0, 0.4344, 36.78
299.0, 0.4288, 37.26
300.0, 0.4251, 37.57
301.0, 0.4220, 37.85
302.0, 0.4187, 38.14
303.0, 0.4157, 38.40
304.0, 0.4125, 38.69
305.0, 0.4090, 38.99
306.0, 0.4055, 39.31
307.0, 0.4018, 39.64
308.0, 0.3984, 39.96
309.0, 0.3949, 40.28
310.0, 0.3912, 40.63
311.0, 0.3877, 40.95
312.0, 0.3842, 41.29
313.0, 0.3806, 41.63
314.0, 0.3772, 41.95
315.0, 0.3741, 42.26
316.0, 0.3708, 42.58
317.0, 0.3675, 42.90
318.0, 0.3640, 43.25
319.0, 0.3601, 43.64
320.0, 0.3563, 44.03
321.0, 0.3528, 44.38
322.0, 0.3494, 44.73
323.0, 0.3458, 45.10
324.0, 0.3420, 45.50
325.0, 0.3384, 45.88
326.0, 0.3354, 46.20
327.0, 0.3318, 46.57
328.0, 0.3288, 46.90
329.0, 0.3259, 47.21
330.0, 0.3244, 47.38
331.0, 0.3184, 48.04
332.0, 0.3150, 48.42
333.0, 0.3116, 48.79
334.0, 0.3084, 49.15
335.0, 0.3050, 49.54
336.0, 0.3020, 49.89
337.0, 0.2995, 50.18
338.0, 0.2966, 50.51
339.0, 0.2942, 50.79
340.0, 0.2741, 53.20
341.0, 0.2726, 53.38
342.0, 0.2713, 53.54
343.0, 0.2695, 53.76
344.0, 0.2682, 53.93
345.0, 0.2667, 54.12
346.0, 0.2650, 54.32
347.0, 0.2636, 54.50
348.0, 0.2625, 54.64
349.0, 0.2604, 54.91
350.0, 0.2595, 55.02
351.0, 0.2582, 55.19
352.0, 0.2572, 55.31
353.0, 0.2555, 55.53
354.0, 0.2533, 55.81
355.0, 0.2514, 56.05
356.0, 0.2495, 56.30
357.0, 0.2477, 56.53
358.0, 0.2455, 56.81
359.0, 0.2436, 57.07
360.0, 0.2417, 57.32
361.0, 0.2399, 57.56
362.0, 0.2377, 57.84
363.0, 0.2359, 58.10
364.0, 0.2338, 58.37
365.0, 0.2322, 58.59
366.0, 0.2297, 58.92
367.0, 0.2276, 59.21
368.0, 0.2251, 59.56
369.0, 0.2229, 59.86
370.0, 0.2217, 60.02
371.0, 0.2228, 59.86
372.0, 0.2210, 60.12
373.0, 0.2194, 60.34
374.0, 0.2177, 60.58
375.0, 0.2156, 60.88
376.0, 0.2140, 61.09
377.0, 0.2124, 61.31
378.0, 0.2103, 61.62
379.0, 0.2084, 61.89
380.0, 0.2064, 62.17
381.0, 0.2048, 62.40
382.0, 0.2031, 62.65
383.0, 0.2012, 62.92
384.0, 0.2004, 63.04
385.0, 0.1976, 63.44
386.0, 0.1960, 63.68
387.0, 0.1943, 63.92
388.0, 0.1926, 64.18
389.0, 0.1911, 64.41
390.0, 0.1893, 64.67
391.0, 0.1877, 64.91
392.0, 0.1862, 65.14
393.0, 0.1844, 65.40
394.0, 0.1828, 65.64
395.0, 0.1810, 65.91
396.0, 0.1796, 66.14
397.0, 0.1781, 66.36
398.0, 0.1768, 66.56
399.0, 0.1754, 66.77
400.0, 0.1740, 66.99
401.0, 0.1726, 67.21
402.0, 0.1711, 67.44
403.0, 0.1698, 67.64
404.0, 0.1682, 67.89
405.0, 0.1670, 68.08
406.0, 0.1653, 68.35
407.0, 0.1639, 68.56
408.0, 0.1626, 68.77
409.0, 0.1614, 68.95
410.0, 0.1603, 69.14
411.0, 0.1592, 69.31
412.0, 0.1581, 69.48
413.0, 0.1568, 69.69
414.0, 0.1555, 69.91
415.0, 0.1543, 70.10
416.0, 0.1530, 70.31
417.0, 0.1518, 70.50
418.0, 0.1507, 70.69
419.0, 0.1495, 70.87
420.0, 0.1485, 71.05
421.0, 0.1473, 71.23
422.0, 0.1463, 71.40
423.0, 0.1453, 71.56
424.0, 0.1444, 71.71
425.0, 0.1434, 71.88
426.0, 0.1423, 72.06
427.0, 0.1413, 72.23
428.0, 0.1402, 72.41
429.0, 0.1391, 72.60
430.0, 0.1380, 72.78
431.0, 0.1370, 72.94
432.0, 0.1361, 73.10
433.0, 0.1352, 73.25
434.0, 0.1342, 73.42
435.0, 0.1333, 73.57
436.0, 0.1324, 73.73
437.0, 0.1315, 73.87
438.0, 0.1307, 74.01
439.0, 0.1299, 74.15
440.0, 0.1290, 74.30
441.0, 0.1281, 74.45
442.0, 0.1272, 74.61
443.0, 0.1262, 74.78
444.0, 0.1257, 74.88
445.0, 0.1248, 75.03
446.0, 0.1243, 75.11
447.0, 0.1235, 75.25
448.0, 0.1229, 75.36
449.0, 0.1224, 75.43
450.0, 0.1222, 75.48
451.0, 0.1202, 75.82
452.0, 0.1194, 75.96
453.0, 0.1186, 76.09
454.0, 0.1178, 76.25
455.0, 0.1170, 76.38
456.0, 0.1163, 76.50
457.0, 0.1155, 76.64
458.0, 0.1147, 76.80
459.0, 0.1141, 76.90
460.0, 0.1133, 77.04
461.0, 0.1126, 77.16
462.0, 0.1118, 77.30
463.0, 0.1112, 77.41
464.0, 0.1104, 77.56
465.0, 0.1098, 77.66
466.0, 0.1090, 77.80
