Sample Name, Sample-42
Time, February 05 12:15:26 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.6264, 23.64
231.0, 0.6222, 23.87
232.0, 0.6176, 24.12
233.0, 0.6134, 24.36
234.0, 0.6083, 24.64
235.0, 0.6039, 24.90
236.0, 0.5994, 25.15
237.0, 0.5949, 25.41
238.0, 0.5906, 25.67
239.0, 0.5862, 25.93
240.0, 0.5817, 26.20
241.0, 0.5774, 26.46
242.0, 0.5734, 26.71
243.0, 0.5696, 26.94
244.0, 0.5657, 27.18
245.0, 0.5618, 27.43
246.0, 0.5576, 27.70
247.0, 0.5537, 27.95
248.0, 0.5500, 28.19
249.0, 0.5460, 28.44
250.0, 0.5423, 28.69
251.0, 0.5386, 28.93
252.0, 0.5351, 29.17
253.0, 0.5316, 29.41
254.0, 0.5286, 29.61
255.0, 0.5257, 29.81
256.0, 0.5228, 30.01
257.0, 0.5199, 30.20
258.0, 0.5182, 30.33
259.0, 0.5132, 30.67
260.0, 0.5100, 30.90
261.0, 0.5071, 31.11
262.0, 0.5042, 31.32
263.0, 0.5010, 31.55
264.0, 0.4978, 31.79
265.0, 0.4948, 32.00
266.0, 0.4920, 32.21
267.0, 0.4894, 32.40
268.0, 0.4865, 32.62
269.0, 0.4835, 32.85
270.0, 0.4806, 33.07
271.0, 0.4774, 33.31
272.0, 0.4742, 33.56
273.0, 0.4714, 33.78
274.0, 0.4684, 34.01
275.0, 0.4652, 34.26
276.0, 0.4623, 34.49
277.0, 0.4592, 34.74
278.0, 0.4565, 34.95
279.0, 0.4536, 35.19
280.0, 0.4509, 35.41
281.0, 0.4476, 35.68
282.0, 0.4443, 35.95
283.0, 0.4409, 36.24
284.0, 0.4374, 36.52
285.0, 0.4335, 36.85
286.0, 0.4302, 37.14
287.0, 0.4265, 37.45
288.0, 0.4227, 37.78
289.0, 0.4191, 38.10
290.0, 0.4156, 38.40
291.0, 0.4122, 38.71
292.0, 0.4090, 38.99
293.0, 0.4056, 39.30
294.0, 0.4022, 39.61
295.0, 0.3990, 39.90
296.0, 0.3956, 40.22
297.0, 0.3926, 40.50
298.0, 0.3908, 40.66
299.0, 0.3856, 41.16
300.0, 0.3823, 41.46
301.0, 0.3794, 41.75
302.0, 0.3763, 42.04
303.0, 0.3736, 42.31
304.0, 0.3709, 42.56
305.0, 0.3679, 42.86
306.0, 0.3647, 43.18
307.0, 0.3615, 43.50
308.0, 0.3583, 43.82
309.0, 0.3554, 44.12
310.0, 0.3521, 44.45
311.0, 0.3489, 44.78
312.0, 0.3457, 45.11
313.0, 0.3429, 45.41
314.0, 0.3399, 45.72
315.0, 0.3368, 46.04
316.0, 0.3340, 46.34
317.0, 0.3312, 46.64
318.0, 0.3279, 47.00
319.0, 0.3245, 47.37
320.0, 0.3211, 47.74
321.0, 0.3180, 48.09
322.0, 0.3148, 48.44
323.0, 0.3115, 48.80
324.0, 0.3082, 49.18
325.0, 0.3049, 49.55
326.0, 0.3018, 49.92
327.0, 0.2990, 50.24
328.0, 0.2964, 50.54
329.0, 0.2936, 50.87
330.0, 0.2919, 51.06
331.0, 0.2865, 51.70
332.0, 0.2835, 52.06
333.0, 0.2803, 52.45
334.0, 0.2774, 52.80
335.0, 0.2743, 53.18
336.0, 0.2714, 53.53
337.0, 0.2689, 53.84
338.0, 0.2663, 54.16
339.0, 0.2643, 54.41
340.0, 0.2490, 56.36
341.0, 0.2471, 56.62
342.0, 0.2453, 56.85
343.0, 0.2436, 57.06
344.0, 0.2420, 57.28
345.0, 0.2402, 57.52
346.0, 0.2387, 57.72
347.0, 0.2375, 57.88
348.0, 0.2362, 58.05
349.0, 0.2341, 58.33
350.0, 0.2329, 58.49
351.0, 0.2321, 58.59
352.0, 0.2308, 58.78
353.0, 0.2286, 59.07
354.0, 0.2270, 59.30
355.0, 0.2253, 59.53
356.0, 0.2234, 59.78
357.0, 0.2213, 60.08
358.0, 0.2195, 60.32
359.0, 0.2177, 60.57
360.0, 0.2159, 60.82
361.0, 0.2141, 61.08
362.0, 0.2121, 61.36
363.0, 0.2107, 61.56
364.0, 0.2089, 61.81
365.0, 0.2076, 62.01
366.0, 0.2055, 62.30
367.0, 0.2034, 62.60
368.0, 0.2014, 62.89
369.0, 0.1993, 63.19
370.0, 0.1987, 63.29
371.0, 0.1976, 63.45
372.0, 0.1960, 63.68
373.0, 0.1942, 63.94
374.0, 0.1926, 64.17
375.0, 0.1907, 64.46
376.0, 0.1894, 64.66
377.0, 0.1876, 64.93
378.0, 0.1858, 65.19
379.0, 0.1844, 65.41
380.0, 0.1824, 65.70
381.0, 0.1810, 65.92
382.0, 0.1794, 66.16
383.0, 0.1776, 66.43
384.0, 0.1769, 66.54
385.0, 0.1742, 66.96
386.0, 0.1728, 67.17
387.0, 0.1714, 67.40
388.0, 0.1699, 67.62
389.0, 0.1683, 67.88
390.0, 0.1666, 68.13
391.0, 0.1651, 68.38
392.0, 0.1635, 68.63
393.0, 0.1619, 68.88
394.0, 0.1606, 69.08
395.0, 0.1592, 69.31
396.0, 0.1578, 69.54
397.0, 0.1565, 69.74
398.0, 0.1553, 69.94
399.0, 0.1538, 70.17
400.0, 0.1525, 70.39
401.0, 0.1514, 70.57
402.0, 0.1500, 70.80
403.0, 0.1486, 71.02
404.0, 0.1471, 71.26
405.0, 0.1462, 71.42
406.0, 0.1448, 71.64
407.0, 0.1436, 71.85
408.0, 0.1424, 72.04
409.0, 0.1412, 72.25
410.0, 0.1401, 72.43
411.0, 0.1389, 72.62
412.0, 0.1380, 72.78
413.0, 0.1368, 72.99
414.0, 0.1357, 73.17
415.0, 0.1346, 73.35
416.0, 0.1336, 73.52
417.0, 0.1326, 73.69
418.0, 0.1314, 73.90
419.0, 0.1304, 74.07
420.0, 0.1295, 74.22
421.0, 0.1286, 74.37
422.0, 0.1277, 74.53
423.0, 0.1268, 74.68
424.0, 0.1260, 74.82
425.0, 0.1251, 74.96
426.0, 0.1240, 75.16
427.0, 0.1231, 75.32
428.0, 0.1223, 75.46
429.0, 0.1214, 75.61
430.0, 0.1205, 75.77
431.0, 0.1195, 75.95
432.0, 0.1188, 76.07
433.0, 0.1178, 76.25
434.0, 0.1170, 76.38
435.0, 0.1163, 76.50
436.0, 0.1156, 76.62
437.0, 0.1149, 76.75
438.0, 0.1140, 76.90
439.0, 0.1134, 77.02
440.0, 0.1128, 77.13
441.0, 0.1120, 77.27
442.0, 0.1111, 77.43
443.0, 0.1105, 77.53
444.0, 0.1099, 77.64
445.0, 0.1092, 77.77
446.0, 0.1087, 77.85
447.0, 0.1083, 77.93
448.0, 0.1077, 78.05
449.0, 0.1071, 78.14
450.0, 0.1066, 78.23
451.0, 0.1055, 78.43
452.0, 0.1047, 78.58
453.0, 0.1041, 78.68
454.0, 0.1034, 78.82
455.0, 0.1027, 78.94
456.0, 0.1019, 79.09
457.0, 0.1012, 79.21
458.0, 0.1004, 79.35
459.0, 0.0999, 79.45
460.0, 0.0994, 79.55
461.0, 0.0987, 79.67
462.0, 0.0980, 79.80
463.0, 0.0974, 79.91
464.0, 0.0966, 80.06
465.0, 0.0960, 80.18
466.0, 0.0953, 80.30
467.0, 0.0946, 80.42
468.0, 0.0940, 80.55
469.0, 0.0935, 80.64
470.0, 0.0927, 80.78
471.0, 0.0923, 80.85
472.0, 0.0916, 80.98
473.0, 0.0909, 81.12
474.0, 0.0904, 81.21
475.0, 0.0901, 81.27
476.0, 0.0890, 81.47
477.0, 0.0884, 81.59
478.0, 0.0878, 81.70
479.0, 0.0871, 81.82
480.0, 0.0863, 81.98
481.0, 0.0857, 82.10
482.0, 0.0852, 82.18
483.0, 0.0844, 82.33
484.0, 0.0838, 82.46
485.0, 0.0831, 82.59
486.0, 0.0828, 82.64
487.0, 0.0819, 82.81
488.0, 0.0814, 82.91
489.0, 0.0806, 83.05
490.0, 0.0800, 83.17
491.0, 0.0795, 83.27
492.0, 0.0788, 83.40
493.0, 0.0780, 83.56
494.0, 0.0775, 83.65
495.0, 0.0769, 83.76
496.0, 0.0764, 83.87
497.0, 0.0759, 83.97
498.0, 0.0752, 84.10
499.0, 0.0743, 84.28
500.0, 0.0736, 84.41
501.0, 0.0732, 84.49
502.0, 0.0725, 84.62
503.0, 0.0720, 84.72
504.0, 0.0715, 84.82
505.0, 0.0709, 84.94
506.0, 0.0704, 85.04
507.0, 0.0700, 85.12
508.0, 0.0693, 85.25
509.0, 0.0688, 85.35
510.0, 0.0683, 85.45
511.0, 0.0677, 85.57
512.0, 0.0670, 85.70
513.0, 0.0666, 85.79
514.0, 0.0662, 85.87
515.0, 0.0656, 85.98
516.0, 0.0651, 86.09
517.0, 0.0646, 86.17
518.0, 0.0640, 86.29
519.0, 0.0637, 86.35
520.0, 0.0633, 86.44
521.0, 0.0629, 86.52
522.0, 0.0622, 86.65
523.0, 0.0618, 86.74
524.0, 0.0613, 86.83
525.0, 0.0608, 86.94
526.0, 0.0603, 87.04
527.0, 0.0597, 87.15
528.0, 0.0593, 87.23
529.0, 0.0588, 87.34
530.0, 0.0585, 87.41
531.0, 0.0581, 87.48
532.0, 0.0578, 87.55
533.0, 0.0573, 87.63
534.0, 0.0569, 87.72
535.0, 0.0563, 87.84
536.0, 0.0560, 87.91
537.0, 0.0555, 88.00
538.0, 0.0552, 88.07
539.0, 0.0547, 88.16
540.0, 0.0542, 88.26
541.0, 0.0539, 88.33
542.0, 0.0536, 88.40
543.0, 0.0533, 88.45
544.0, 0.0529, 88.52
545.0, 0.0527, 88.58
546.0, 0.0524, 88.64
547.0, 0.0515, 88.83
548.0, 0.0511, 88.90
549.0, 0.0506, 89.00
550.0, 0.0502, 89.08
551.0, 0.0498, 89.18
552.0, 0.0492, 89.29
553.0, 0.0488, 89.38
554.0, 0.0485, 89.43
555.0, 0.0481, 89.51
556.0, 0.0478, 89.57
557.0, 0.0476, 89.62
558.0, 0.0474, 89.67
559.0, 0.0472, 89.71
560.0, 0.0466, 89.83
561.0, 0.0464, 89.86
562.0, 0.0463, 89.89
563.0, 0.0462, 89.91
564.0, 0.0459, 89.97
565.0, 0.0457, 90.01
566.0, 0.0456, 90.04
567.0, 0.0454, 90.08
568.0, 0.0451, 90.13
569.0, 0.0449, 90.17
570.0, 0.0447, 90.22
571.0, 0.0444, 90.28
572.0, 0.0440, 90.37
573.0, 0.0439, 90.39
574.0, 0.0435, 90.47
575.0, 0.0432, 90.53
576.0, 0.0426, 90.66
577.0, 0.0423, 90.71
578.0, 0.0418, 90.82
579.0, 0.0415, 90.89
580.0, 0.0413, 90.94
581.0, 0.0410, 91.00
582.0, 0.0407, 91.06
583.0, 0.0403, 91.14
584.0, 0.0402, 91.17
585.0, 0.0401, 91.17
586.0, 0.0386, 91.50
587.0, 0.0383, 91.55
588.0, 0.0382, 91.57
589.0, 0.0382, 91.58
590.0, 0.0378, 91.66
591.0, 0.0377, 91.69
592.0, 0.0376, 91.71
593.0, 0.0373, 91.76
594.0, 0.0372, 91.79
595.0, 0.0370, 91.83
596.0, 0.0369, 91.86
597.0, 0.0367, 91.90
598.0, 0.0364, 91.96
599.0, 0.0362, 92.01
600.0, 0.0358, 92.08
601.0, 0.0356, 92.13
602.0, 0.0354, 92.17
603.0, 0.0353, 92.19
604.0, 0.0351, 92.25
605.0, 0.0348, 92.30
606.0, 0.0346, 92.34
607.0, 0.0344, 92.39
608.0, 0.0343, 92.41
609.0, 0.0341, 92.45
610.0, 0.0339, 92.50
611.0, 0.0337, 92.54
612.0, 0.0334, 92.61
613.0, 0.0332, 92.65
614.0, 0.0329, 92.70
615.0, 0.0327, 92.75
616.0, 0.0326, 92.77
617.0, 0.0323, 92.83
618.0, 0.0321, 92.87
619.0, 0.0319, 92.91
620.0, 0.0317, 92.97
621.0, 0.0314, 93.03
622.0, 0.0312, 93.08
623.0, 0.0311, 93.10
624.0, 0.0308, 93.16
625.0, 0.0305, 93.21
626.0, 0.0303, 93.26
627.0, 0.0301, 93.30
628.0, 0.0300, 93.33
629.0, 0.0298, 93.38
630.0, 0.0295, 93.43
631.0, 0.0292, 93.50
632.0, 0.0291, 93.51
633.0, 0.0288, 93.59
634.0, 0.0287, 93.61
635.0, 0.0284, 93.67
636.0, 0.0280, 93.75
637.0, 0.0279, 93.79
638.0, 0.0278, 93.79
639.0, 0.0276, 93.85
640.0, 0.0274, 93.88
641.0, 0.0273, 93.91
642.0, 0.0270, 93.97
643.0, 0.0267, 94.03
644.0, 0.0267, 94.05
