Sample Name, Sample-33
Time, February 13 17:07:49 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 2.5627, 0.27
231.0, 2.5672, 0.27
232.0, 2.5809, 0.26
233.0, 2.5784, 0.26
234.0, 2.5904, 0.26
235.0, 2.5921, 0.26
236.0, 2.5942, 0.25
237.0, 2.5950, 0.25
238.0, 2.5895, 0.26
239.0, 2.5821, 0.26
240.0, 2.5839, 0.26
241.0, 2.5757, 0.27
242.0, 2.5700, 0.27
243.0, 2.5625, 0.27
244.0, 2.5597, 0.28
245.0, 2.5578, 0.28
246.0, 2.5420, 0.29
247.0, 2.5409, 0.29
248.0, 2.5215, 0.30
249.0, 2.5133, 0.31
250.0, 2.5136, 0.31
251.0, 2.5091, 0.31
252.0, 2.5033, 0.31
253.0, 2.4801, 0.33
254.0, 2.4821, 0.33
255.0, 2.4754, 0.33
256.0, 2.4653, 0.34
257.0, 2.4696, 0.34
258.0, 2.4497, 0.36
259.0, 2.4380, 0.36
260.0, 2.4293, 0.37
261.0, 2.4237, 0.38
262.0, 2.4147, 0.38
263.0, 2.3996, 0.40
264.0, 2.3923, 0.41
265.0, 2.3804, 0.42
266.0, 2.3698, 0.43
267.0, 2.3545, 0.44
268.0, 2.3427, 0.45
269.0, 2.3407, 0.46
270.0, 2.3332, 0.46
271.0, 2.3293, 0.47
272.0, 2.3146, 0.48
273.0, 2.3089, 0.49
274.0, 2.3003, 0.50
275.0, 2.3013, 0.50
276.0, 2.3002, 0.50
277.0, 2.2931, 0.51
278.0, 2.2786, 0.53
279.0, 2.2865, 0.52
280.0, 2.2771, 0.53
281.0, 2.2857, 0.52
282.0, 2.2746, 0.53
283.0, 2.2642, 0.54
284.0, 2.2506, 0.56
285.0, 2.2527, 0.56
286.0, 2.2472, 0.57
287.0, 2.2326, 0.59
288.0, 2.2334, 0.58
289.0, 2.2274, 0.59
290.0, 2.2127, 0.61
291.0, 2.2200, 0.60
292.0, 2.2177, 0.61
293.0, 2.2077, 0.62
294.0, 2.2060, 0.62
295.0, 2.2042, 0.62
296.0, 2.1924, 0.64
297.0, 2.1889, 0.65
298.0, 2.1910, 0.64
299.0, 2.1786, 0.66
300.0, 2.1729, 0.67
301.0, 2.1672, 0.68
302.0, 2.1583, 0.69
303.0, 2.1474, 0.71
304.0, 2.1431, 0.72
305.0, 2.1364, 0.73
306.0, 2.1254, 0.75
307.0, 2.1153, 0.77
308.0, 2.1075, 0.78
309.0, 2.0913, 0.81
310.0, 2.0815, 0.83
311.0, 2.0767, 0.84
312.0, 2.0600, 0.87
313.0, 2.0540, 0.88
314.0, 2.0431, 0.91
315.0, 2.0400, 0.91
316.0, 2.0311, 0.93
317.0, 2.0173, 0.96
318.0, 2.0097, 0.98
319.0, 1.9938, 1.01
320.0, 1.9812, 1.04
321.0, 1.9724, 1.07
322.0, 1.9574, 1.10
323.0, 1.9456, 1.13
324.0, 1.9348, 1.16
325.0, 1.9213, 1.20
326.0, 1.9104, 1.23
327.0, 1.9057, 1.24
328.0, 1.8958, 1.27
329.0, 1.8843, 1.31
330.0, 1.8756, 1.33
331.0, 1.8551, 1.40
332.0, 1.8491, 1.42
333.0, 1.8340, 1.47
334.0, 1.8207, 1.51
335.0, 1.8072, 1.56
336.0, 1.7987, 1.59
337.0, 1.7910, 1.62
338.0, 1.7786, 1.67
339.0, 1.7611, 1.73
340.0, 1.5432, 2.86
341.0, 1.5502, 2.82
342.0, 1.5476, 2.83
343.0, 1.5499, 2.82
344.0, 1.5560, 2.78
345.0, 1.5551, 2.79
346.0, 1.5544, 2.79
347.0, 1.5614, 2.75
348.0, 1.5661, 2.72
349.0, 1.5689, 2.70
350.0, 1.5701, 2.69
351.0, 1.5676, 2.71
352.0, 1.5679, 2.70
353.0, 1.5653, 2.72
354.0, 1.5597, 2.76
355.0, 1.5542, 2.79
356.0, 1.5517, 2.81
357.0, 1.5478, 2.83
358.0, 1.5413, 2.88
359.0, 1.5338, 2.93
360.0, 1.5262, 2.98
361.0, 1.5180, 3.03
362.0, 1.5129, 3.07
363.0, 1.5030, 3.14
364.0, 1.4926, 3.22
365.0, 1.4815, 3.30
366.0, 1.4669, 3.41
367.0, 1.4494, 3.55
368.0, 1.4350, 3.67
369.0, 1.4181, 3.82
370.0, 1.4090, 3.90
371.0, 1.4637, 3.44
372.0, 1.4547, 3.51
373.0, 1.4452, 3.59
374.0, 1.4375, 3.65
375.0, 1.4283, 3.73
376.0, 1.4189, 3.81
377.0, 1.4104, 3.89
378.0, 1.3982, 4.00
379.0, 1.3880, 4.09
380.0, 1.3789, 4.18
381.0, 1.3656, 4.31
382.0, 1.3551, 4.41
383.0, 1.3461, 4.51
384.0, 1.3396, 4.57
385.0, 1.3212, 4.77
386.0, 1.3108, 4.89
387.0, 1.3021, 4.99
388.0, 1.2924, 5.10
