Sample Name, Sample-58
Time, February 05 12:58:36 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.6855, 20.63
231.0, 0.6795, 20.92
232.0, 0.6738, 21.19
233.0, 0.6677, 21.49
234.0, 0.6610, 21.83
235.0, 0.6547, 22.15
236.0, 0.6491, 22.43
237.0, 0.6435, 22.73
238.0, 0.6371, 23.06
239.0, 0.6315, 23.36
240.0, 0.6257, 23.68
241.0, 0.6199, 24.00
242.0, 0.6146, 24.29
243.0, 0.6100, 24.55
244.0, 0.6047, 24.85
245.0, 0.5996, 25.14
246.0, 0.5943, 25.45
247.0, 0.5892, 25.75
248.0, 0.5841, 26.05
249.0, 0.5789, 26.37
250.0, 0.5744, 26.64
251.0, 0.5696, 26.94
252.0, 0.5651, 27.22
253.0, 0.5608, 27.49
254.0, 0.5570, 27.73
255.0, 0.5536, 27.95
256.0, 0.5500, 28.18
257.0, 0.5468, 28.40
258.0, 0.5447, 28.53
259.0, 0.5385, 28.94
260.0, 0.5348, 29.19
261.0, 0.5315, 29.41
262.0, 0.5279, 29.66
263.0, 0.5244, 29.89
264.0, 0.5209, 30.14
265.0, 0.5177, 30.36
266.0, 0.5147, 30.57
267.0, 0.5118, 30.78
268.0, 0.5088, 30.99
269.0, 0.5059, 31.20
270.0, 0.5027, 31.43
271.0, 0.4998, 31.64
272.0, 0.4966, 31.87
273.0, 0.4937, 32.08
274.0, 0.4908, 32.30
275.0, 0.4878, 32.52
276.0, 0.4852, 32.72
277.0, 0.4821, 32.95
278.0, 0.4794, 33.16
279.0, 0.4769, 33.35
280.0, 0.4743, 33.55
281.0, 0.4710, 33.80
282.0, 0.4679, 34.05
283.0, 0.4641, 34.35
284.0, 0.4608, 34.61
285.0, 0.4571, 34.91
286.0, 0.4534, 35.21
287.0, 0.4497, 35.51
288.0, 0.4459, 35.82
289.0, 0.4423, 36.11
290.0, 0.4386, 36.42
291.0, 0.4351, 36.72
292.0, 0.4317, 37.01
293.0, 0.4279, 37.33
294.0, 0.4242, 37.65
295.0, 0.4203, 38.00
296.0, 0.4166, 38.32
297.0, 0.4131, 38.63
298.0, 0.4113, 38.78
299.0, 0.4056, 39.30
300.0, 0.4020, 39.62
301.0, 0.3987, 39.93
302.0, 0.3956, 40.21
303.0, 0.3924, 40.51
304.0, 0.3895, 40.78
305.0, 0.3862, 41.10
306.0, 0.3828, 41.42
307.0, 0.3792, 41.76
308.0, 0.3758, 42.09
309.0, 0.3725, 42.42
310.0, 0.3690, 42.75
311.0, 0.3655, 43.10
312.0, 0.3623, 43.42
313.0, 0.3590, 43.75
314.0, 0.3559, 44.06
315.0, 0.3527, 44.40
316.0, 0.3496, 44.71
317.0, 0.3466, 45.02
318.0, 0.3428, 45.42
319.0, 0.3393, 45.78
