Sample Name, Sample-57
Time, February 05 12:55:07 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 1.2391, 5.77
231.0, 1.2327, 5.85
232.0, 1.2250, 5.96
233.0, 1.2173, 6.06
234.0, 1.2085, 6.19
235.0, 1.2000, 6.31
236.0, 1.1913, 6.44
237.0, 1.1819, 6.58
238.0, 1.1726, 6.72
239.0, 1.1631, 6.87
240.0, 1.1534, 7.03
241.0, 1.1437, 7.18
242.0, 1.1348, 7.33
243.0, 1.1262, 7.48
244.0, 1.1171, 7.64
245.0, 1.1078, 7.80
246.0, 1.0983, 7.97
247.0, 1.0891, 8.15
248.0, 1.0801, 8.31
249.0, 1.0713, 8.49
250.0, 1.0625, 8.66
251.0, 1.0547, 8.82
252.0, 1.0466, 8.98
253.0, 1.0390, 9.14
254.0, 1.0318, 9.29
255.0, 1.0251, 9.44
256.0, 1.0186, 9.58
257.0, 1.0122, 9.72
258.0, 1.0080, 9.82
259.0, 0.9964, 10.08
260.0, 0.9890, 10.26
261.0, 0.9819, 10.43
262.0, 0.9752, 10.59
263.0, 0.9676, 10.78
264.0, 0.9606, 10.95
265.0, 0.9538, 11.12
266.0, 0.9470, 11.30
267.0, 0.9414, 11.44
268.0, 0.9351, 11.61
269.0, 0.9288, 11.78
270.0, 0.9221, 11.96
271.0, 0.9158, 12.14
272.0, 0.9091, 12.33
273.0, 0.9029, 12.51
274.0, 0.8970, 12.68
275.0, 0.8909, 12.85
276.0, 0.8847, 13.04
277.0, 0.8788, 13.22
278.0, 0.8733, 13.39
279.0, 0.8679, 13.55
280.0, 0.8622, 13.73
281.0, 0.8561, 13.93
282.0, 0.8499, 14.13
283.0, 0.8427, 14.37
284.0, 0.8357, 14.60
285.0, 0.8288, 14.83
286.0, 0.8218, 15.07
287.0, 0.8143, 15.34
288.0, 0.8072, 15.59
289.0, 0.7999, 15.85
290.0, 0.7932, 16.10
291.0, 0.7870, 16.33
292.0, 0.7809, 16.56
293.0, 0.7742, 16.82
294.0, 0.7670, 17.10
295.0, 0.7599, 17.38
296.0, 0.7527, 17.67
297.0, 0.7467, 17.92
298.0, 0.7434, 18.05
299.0, 0.7329, 18.50
300.0, 0.7263, 18.78
301.0, 0.7204, 19.04
302.0, 0.7146, 19.29
303.0, 0.7086, 19.56
304.0, 0.7031, 19.81
305.0, 0.6970, 20.09
306.0, 0.6903, 20.41
307.0, 0.6834, 20.73
308.0, 0.6773, 21.02
