Sample Name, Sample-46
Time, February 05 12:25:09 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.7044, 19.75
231.0, 0.6991, 19.99
232.0, 0.6936, 20.25
233.0, 0.6882, 20.50
234.0, 0.6826, 20.77
235.0, 0.6768, 21.05
236.0, 0.6718, 21.29
237.0, 0.6666, 21.55
238.0, 0.6614, 21.81
239.0, 0.6561, 22.08
240.0, 0.6509, 22.34
241.0, 0.6459, 22.60
242.0, 0.6411, 22.85
243.0, 0.6366, 23.09
244.0, 0.6322, 23.32
245.0, 0.6274, 23.58
246.0, 0.6226, 23.85
247.0, 0.6180, 24.10
248.0, 0.6134, 24.35
249.0, 0.6090, 24.60
250.0, 0.6046, 24.85
251.0, 0.6007, 25.08
252.0, 0.5966, 25.32
253.0, 0.5924, 25.56
254.0, 0.5889, 25.77
255.0, 0.5854, 25.98
256.0, 0.5823, 26.16
257.0, 0.5791, 26.36
258.0, 0.5772, 26.48
259.0, 0.5711, 26.85
260.0, 0.5675, 27.07
261.0, 0.5640, 27.29
262.0, 0.5603, 27.52
263.0, 0.5567, 27.75
264.0, 0.5532, 27.98
265.0, 0.5496, 28.21
266.0, 0.5464, 28.42
267.0, 0.5433, 28.62
268.0, 0.5404, 28.82
269.0, 0.5370, 29.04
270.0, 0.5337, 29.26
271.0, 0.5303, 29.49
272.0, 0.5266, 29.74
273.0, 0.5232, 29.98
274.0, 0.5200, 30.20
275.0, 0.5169, 30.42
276.0, 0.5134, 30.66
277.0, 0.5101, 30.89
278.0, 0.5072, 31.10
279.0, 0.5041, 31.32
280.0, 0.5009, 31.56
281.0, 0.4974, 31.82
282.0, 0.4937, 32.09
283.0, 0.4898, 32.37
284.0, 0.4860, 32.66
285.0, 0.4819, 32.97
286.0, 0.4780, 33.27
287.0, 0.4741, 33.56
288.0, 0.4701, 33.88
289.0, 0.4662, 34.18
290.0, 0.4621, 34.50
291.0, 0.4587, 34.78
292.0, 0.4550, 35.08
293.0, 0.4512, 35.38
294.0, 0.4472, 35.71
295.0, 0.4434, 36.02
296.0, 0.4397, 36.33
297.0, 0.4362, 36.62
298.0, 0.4343, 36.79
299.0, 0.4284, 37.29
300.0, 0.4249, 37.60
301.0, 0.4215, 37.89
302.0, 0.4183, 38.16
303.0, 0.4153, 38.44
304.0, 0.4123, 38.70
305.0, 0.4088, 39.01
306.0, 0.4052, 39.34
307.0, 0.4015, 39.67
308.0, 0.3981, 39.99
309.0, 0.3946, 40.31
310.0, 0.3909, 40.66
311.0, 0.3874, 40.99
312.0, 0.3839, 41.31
313.0, 0.3805, 41.64
314.0, 0.3774, 41.94
315.0, 0.3743, 42.24
316.0, 0.3711, 42.55
317.0, 0.3677, 42.88
318.0, 0.3641, 43.24
319.0, 0.3604, 43.62
320.0, 0.3567, 43.99
321.0, 0.3533, 44.33
322.0, 0.3497, 44.70
323.0, 0.3457, 45.11
324.0, 0.3421, 45.49
325.0, 0.3388, 45.84
326.0, 0.3354, 46.20
327.0, 0.3321, 46.55
328.0, 0.3287, 46.91
329.0, 0.3256, 47.25
330.0, 0.3238, 47.44
331.0, 0.3177, 48.11
332.0, 0.3145, 48.47
333.0, 0.3109, 48.88
334.0, 0.3073, 49.28
335.0, 0.3040, 49.66
336.0, 0.3005, 50.06
337.0, 0.2977, 50.38
338.0, 0.2946, 50.74
339.0, 0.2926, 50.98
340.0, 0.2722, 53.43
341.0, 0.2705, 53.64
342.0, 0.2686, 53.87
343.0, 0.2669, 54.09
344.0, 0.2649, 54.33
345.0, 0.2632, 54.56
346.0, 0.2617, 54.74
347.0, 0.2603, 54.91
348.0, 0.2586, 55.13
349.0, 0.2568, 55.36
350.0, 0.2555, 55.53
351.0, 0.2540, 55.72
352.0, 0.2525, 55.92
353.0, 0.2506, 56.16
354.0, 0.2484, 56.45
355.0, 0.2466, 56.67
356.0, 0.2445, 56.96
357.0, 0.2423, 57.24
358.0, 0.2400, 57.54
359.0, 0.2383, 57.77
360.0, 0.2361, 58.07
361.0, 0.2343, 58.31
362.0, 0.2322, 58.59
363.0, 0.2304, 58.82
364.0, 0.2283, 59.12
365.0, 0.2264, 59.37
366.0, 0.2241, 59.69
367.0, 0.2217, 60.02
368.0, 0.2193, 60.35
369.0, 0.2171, 60.65
370.0, 0.2158, 60.85
371.0, 0.2159, 60.83
372.0, 0.2139, 61.11
373.0, 0.2120, 61.37
