Sample Name, Sample-54
Time, February 05 12:47:22 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.5363, 29.08
231.0, 0.5325, 29.34
232.0, 0.5288, 29.59
233.0, 0.5249, 29.86
234.0, 0.5206, 30.16
235.0, 0.5169, 30.41
236.0, 0.5132, 30.67
237.0, 0.5094, 30.95
238.0, 0.5057, 31.21
239.0, 0.5022, 31.47
240.0, 0.4984, 31.74
241.0, 0.4947, 32.01
242.0, 0.4913, 32.26
243.0, 0.4882, 32.49
244.0, 0.4851, 32.73
245.0, 0.4819, 32.97
246.0, 0.4784, 33.24
247.0, 0.4751, 33.49
248.0, 0.4718, 33.75
249.0, 0.4686, 33.99
250.0, 0.4654, 34.25
251.0, 0.4625, 34.47
252.0, 0.4597, 34.70
253.0, 0.4570, 34.92
254.0, 0.4547, 35.10
255.0, 0.4521, 35.31
256.0, 0.4498, 35.50
257.0, 0.4475, 35.69
258.0, 0.4462, 35.80
259.0, 0.4421, 36.13
260.0, 0.4396, 36.34
261.0, 0.4370, 36.56
262.0, 0.4346, 36.76
263.0, 0.4320, 36.98
264.0, 0.4294, 37.21
265.0, 0.4270, 37.41
266.0, 0.4248, 37.60
267.0, 0.4224, 37.81
268.0, 0.4200, 38.02
269.0, 0.4176, 38.23
270.0, 0.4150, 38.46
271.0, 0.4124, 38.69
272.0, 0.4097, 38.93
273.0, 0.4070, 39.18
274.0, 0.4044, 39.41
275.0, 0.4018, 39.65
276.0, 0.3991, 39.90
277.0, 0.3963, 40.15
278.0, 0.3939, 40.38
279.0, 0.3913, 40.61
280.0, 0.3889, 40.84
281.0, 0.3859, 41.12
282.0, 0.3829, 41.41
283.0, 0.3798, 41.71
284.0, 0.3765, 42.02
285.0, 0.3731, 42.36
286.0, 0.3700, 42.66
287.0, 0.3665, 43.00
288.0, 0.3632, 43.33
289.0, 0.3600, 43.65
290.0, 0.3568, 43.97
291.0, 0.3539, 44.27
292.0, 0.3511, 44.56
293.0, 0.3479, 44.89
294.0, 0.3447, 45.21
295.0, 0.3416, 45.54
296.0, 0.3389, 45.82
297.0, 0.3361, 46.12
298.0, 0.3346, 46.28
299.0, 0.3299, 46.78
