Sample Name, Sample-68
Time, February 05 13:24:58 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, -0.0350, 108.39
231.0, -0.0345, 108.28
232.0, -0.0341, 108.17
233.0, -0.0336, 108.05
234.0, -0.0330, 107.89
235.0, -0.0324, 107.74
236.0, -0.0316, 107.55
237.0, -0.0309, 107.36
238.0, -0.0301, 107.19
239.0, -0.0295, 107.04
240.0, -0.0290, 106.90
241.0, -0.0283, 106.74
242.0, -0.0277, 106.58
243.0, -0.0271, 106.44
244.0, -0.0264, 106.27
245.0, -0.0259, 106.15
246.0, -0.0253, 105.99
247.0, -0.0246, 105.84
248.0, -0.0241, 105.71
249.0, -0.0237, 105.61
250.0, -0.0232, 105.48
251.0, -0.0227, 105.36
252.0, -0.0222, 105.24
253.0, -0.0220, 105.19
254.0, -0.0215, 105.07
255.0, -0.0212, 104.99
256.0, -0.0208, 104.92
257.0, -0.0205, 104.84
258.0, -0.0204, 104.80
259.0, -0.0199, 104.68
260.0, -0.0195, 104.60
261.0, -0.0191, 104.49
262.0, -0.0187, 104.40
263.0, -0.0184, 104.33
264.0, -0.0180, 104.23
265.0, -0.0177, 104.15
266.0, -0.0173, 104.07
267.0, -0.0170, 103.99
268.0, -0.0167, 103.92
269.0, -0.0162, 103.80
270.0, -0.0157, 103.68
271.0, -0.0153, 103.59
272.0, -0.0151, 103.53
273.0, -0.0147, 103.45
274.0, -0.0144, 103.37
275.0, -0.0139, 103.25
276.0, -0.0136, 103.19
277.0, -0.0135, 103.15
278.0, -0.0131, 103.06
279.0, -0.0128, 102.99
280.0, -0.0123, 102.87
281.0, -0.0121, 102.81
282.0, -0.0118, 102.75
283.0, -0.0114, 102.67
284.0, -0.0112, 102.62
285.0, -0.0111, 102.59
286.0, -0.0108, 102.51
287.0, -0.0104, 102.43
288.0, -0.0101, 102.35
289.0, -0.0097, 102.27
290.0, -0.0096, 102.23
291.0, -0.0094, 102.18
292.0, -0.0091, 102.12
293.0, -0.0089, 102.06
294.0, -0.0088, 102.04
295.0, -0.0085, 101.97
296.0, -0.0083, 101.93
297.0, -0.0080, 101.85
298.0, -0.0078, 101.82
299.0, -0.0077, 101.78
300.0, -0.0073, 101.69
301.0, -0.0070, 101.63
302.0, -0.0067, 101.55
303.0, -0.0065, 101.51
304.0, -0.0063, 101.47
305.0, -0.0062, 101.43
306.0, -0.0058, 101.35
307.0, -0.0055, 101.27
308.0, -0.0055, 101.27
309.0, -0.0052, 101.20
310.0, -0.0048, 101.11
311.0, -0.0046, 101.07
312.0, -0.0043, 101.00
313.0, -0.0041, 100.94
314.0, -0.0038, 100.88
315.0, -0.0036, 100.82
316.0, -0.0035, 100.80
317.0, -0.0031, 100.71
318.0, -0.0026, 100.60
319.0, -0.0024, 100.56
320.0, -0.0022, 100.51
321.0, -0.0018, 100.41
322.0, -0.0014, 100.33
323.0, -0.0012, 100.28
324.0, -0.0010, 100.24
325.0, -0.0009, 100.21
326.0, -0.0005, 100.11
327.0, -0.0001, 100.02
328.0, -0.0002, 100.05
329.0, -0.0000, 100.01
330.0, 0.0002, 99.95
331.0, 0.0007, 99.84
332.0, 0.0008, 99.81
333.0, 0.0012, 99.72
334.0, 0.0015, 99.66
335.0, 0.0017, 99.60
336.0, 0.0020, 99.53
337.0, 0.0024, 99.45
338.0, 0.0027, 99.37
339.0, 0.0031, 99.29
340.0, 0.0176, 96.03
341.0, 0.0172, 96.11
342.0, 0.0167, 96.23
343.0, 0.0167, 96.24
344.0, 0.0164, 96.29
345.0, 0.0155, 96.49
346.0, 0.0149, 96.62
347.0, 0.0146, 96.68
348.0, 0.0147, 96.66
349.0, 0.0140, 96.84
350.0, 0.0138, 96.88
351.0, 0.0135, 96.94
352.0, 0.0136, 96.93
353.0, 0.0129, 97.07
354.0, 0.0126, 97.14
355.0, 0.0127, 97.12
356.0, 0.0125, 97.17
357.0, 0.0125, 97.16
358.0, 0.0123, 97.21
359.0, 0.0127, 97.13
360.0, 0.0130, 97.05
361.0, 0.0128, 97.10
