Sample Name, Sample-1
Time, February 05 10:00:13 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 0.0003, 99.94
231.0, 0.0002, 99.96
232.0, 0.0001, 99.97
233.0, 0.0002, 99.95
234.0, 0.0002, 99.95
235.0, 0.0002, 99.95
236.0, 0.0002, 99.96
237.0, 0.0000, 99.99
238.0, 0.0001, 99.98
239.0, -0.0000, 100.01
240.0, -0.0003, 100.07
241.0, -0.0004, 100.10
242.0, -0.0003, 100.08
243.0, -0.0003, 100.08
244.0, -0.0003, 100.07
245.0, -0.0002, 100.06
246.0, -0.0001, 100.02
247.0, 0.0000, 100.00
248.0, 0.0000, 100.00
249.0, -0.0001, 100.01
250.0, -0.0001, 100.03
251.0, -0.0001, 100.03
252.0, 0.0000, 100.00
253.0, -0.0001, 100.02
254.0, -0.0000, 100.01
255.0, -0.0001, 100.01
256.0, -0.0001, 100.01
257.0, -0.0001, 100.01
258.0, -0.0001, 100.02
259.0, -0.0000, 100.00
260.0, -0.0001, 100.02
261.0, 0.0000, 99.99
262.0, 0.0000, 99.99
263.0, 0.0000, 99.99
264.0, 0.0001, 99.99
265.0, -0.0000, 100.00
266.0, 0.0001, 99.99
267.0, 0.0001, 99.98
268.0, 0.0001, 99.99
269.0, 0.0000, 99.99
270.0, 0.0000, 100.00
271.0, 0.0000, 99.99
272.0, -0.0000, 100.01
273.0, 0.0001, 99.99
274.0, 0.0000, 99.99
275.0, 0.0002, 99.96
276.0, 0.0002, 99.95
277.0, 0.0000, 100.00
278.0, 0.0001, 99.98
279.0, -0.0000, 100.00
280.0, 0.0002, 99.96
281.0, 0.0001, 99.97
282.0, 0.0002, 99.95
283.0, 0.0002, 99.95
284.0, 0.0002, 99.95
285.0, 0.0001, 99.98
286.0, 0.0001, 99.98
287.0, 0.0001, 99.98
288.0, 0.0003, 99.93
289.0, 0.0003, 99.92
290.0, 0.0002, 99.95
291.0, 0.0001, 99.97
292.0, 0.0001, 99.97
293.0, 0.0001, 99.98
294.0, 0.0000, 100.00
295.0, 0.0001, 99.98
296.0, 0.0001, 99.98
297.0, 0.0001, 99.98
298.0, 0.0002, 99.96
299.0, 0.0002, 99.96
300.0, 0.0001, 99.97
301.0, 0.0001, 99.97
302.0, 0.0002, 99.95
303.0, 0.0002, 99.95
304.0, 0.0003, 99.93
305.0, 0.0003, 99.94
306.0, 0.0004, 99.92
307.0, 0.0003, 99.93
308.0, 0.0003, 99.94
309.0, 0.0003, 99.92
310.0, 0.0003, 99.92
311.0, 0.0003, 99.92
312.0, 0.0003, 99.92
313.0, 0.0003, 99.93
314.0, 0.0002, 99.94
315.0, 0.0003, 99.93
316.0, 0.0003, 99.92
317.0, 0.0005, 99.89
318.0, 0.0004, 99.90
319.0, 0.0003, 99.92
320.0, 0.0002, 99.95
321.0, 0.0003, 99.93
322.0, 0.0004, 99.91
323.0, 0.0002, 99.95
324.0, 0.0001, 99.98
325.0, 0.0003, 99.93
326.0, 0.0003, 99.94
