Sample Name, Sample-71
Time, February 13 18:47:02 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, -0.0005, 100.11
231.0, -0.0003, 100.06
232.0, -0.0003, 100.06
233.0, -0.0003, 100.07
234.0, -0.0003, 100.07
235.0, -0.0002, 100.05
236.0, -0.0001, 100.03
237.0, -0.0001, 100.03
238.0, -0.0001, 100.02
239.0, 0.0001, 99.98
240.0, 0.0001, 99.98
241.0, 0.0003, 99.93
242.0, 0.0003, 99.94
243.0, 0.0004, 99.91
244.0, 0.0004, 99.90
245.0, 0.0006, 99.86
246.0, 0.0006, 99.86
247.0, 0.0006, 99.87
248.0, 0.0007, 99.83
249.0, 0.0009, 99.80
250.0, 0.0010, 99.77
251.0, 0.0011, 99.74
252.0, 0.0014, 99.68
253.0, 0.0015, 99.64
254.0, 0.0018, 99.59
255.0, 0.0020, 99.54
256.0, 0.0022, 99.49
257.0, 0.0022, 99.50
258.0, 0.0022, 99.48
259.0, 0.0023, 99.48
260.0, 0.0025, 99.42
261.0, 0.0027, 99.39
262.0, 0.0027, 99.39
263.0, 0.0029, 99.34
264.0, 0.0031, 99.30
265.0, 0.0030, 99.31
266.0, 0.0029, 99.34
267.0, 0.0030, 99.30
268.0, 0.0031, 99.28
269.0, 0.0031, 99.29
270.0, 0.0031, 99.28
271.0, 0.0030, 99.32
272.0, 0.0029, 99.33
273.0, 0.0029, 99.34
274.0, 0.0028, 99.36
275.0, 0.0026, 99.41
276.0, 0.0025, 99.43
277.0, 0.0023, 99.47
278.0, 0.0024, 99.44
279.0, 0.0023, 99.47
280.0, 0.0021, 99.51
281.0, 0.0020, 99.54
282.0, 0.0017, 99.61
283.0, 0.0018, 99.59
284.0, 0.0014, 99.69
285.0, 0.0012, 99.72
286.0, 0.0011, 99.75
287.0, 0.0010, 99.78
288.0, 0.0007, 99.83
289.0, 0.0006, 99.87
290.0, 0.0006, 99.86
291.0, 0.0005, 99.89
292.0, 0.0004, 99.90
293.0, 0.0003, 99.92
294.0, 0.0004, 99.92
295.0, 0.0002, 99.96
296.0, 0.0002, 99.95
297.0, -0.0000, 100.01
298.0, -0.0002, 100.04
299.0, -0.0001, 100.03
300.0, -0.0002, 100.05
301.0, -0.0002, 100.06
302.0, -0.0002, 100.05
303.0, -0.0002, 100.05
304.0, -0.0003, 100.06
305.0, -0.0003, 100.08
306.0, -0.0003, 100.06
307.0, -0.0004, 100.09
308.0, -0.0005, 100.12
309.0, -0.0005, 100.13
310.0, -0.0006, 100.13
311.0, -0.0006, 100.13
312.0, -0.0005, 100.12
313.0, -0.0005, 100.11
314.0, -0.0004, 100.09
315.0, -0.0005, 100.11
316.0, -0.0006, 100.13
317.0, -0.0007, 100.17
318.0, -0.0008, 100.18
319.0, -0.0007, 100.16
320.0, -0.0008, 100.18
321.0, -0.0007, 100.15
322.0, -0.0007, 100.15
323.0, -0.0006, 100.15
324.0, -0.0007, 100.16
325.0, -0.0005, 100.12
326.0, -0.0006, 100.13
327.0, -0.0007, 100.16
328.0, -0.0008, 100.18
329.0, -0.0008, 100.19
330.0, -0.0009, 100.20
331.0, -0.0010, 100.24
332.0, -0.0011, 100.24
333.0, -0.0012, 100.28
334.0, -0.0011, 100.25
