Sample Name, Sample-100
Time, February 06 14:40:40 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.2502, 5.62
301.0, 1.2455, 5.68
302.0, 1.2377, 5.79
303.0, 1.2267, 5.93
304.0, 1.2093, 6.18
305.0, 1.1804, 6.60
306.0, 1.1332, 7.36
307.0, 1.0724, 8.46
308.0, 1.0048, 9.89
309.0, 0.9377, 11.54
310.0, 0.8740, 13.37
311.0, 0.8149, 15.31
312.0, 0.7657, 17.15
313.0, 0.7253, 18.82
314.0, 0.6923, 20.31
315.0, 0.6648, 21.64
316.0, 0.6418, 22.82
317.0, 0.6202, 23.98
318.0, 0.5999, 25.12
319.0, 0.5825, 26.15
320.0, 0.5675, 27.07
321.0, 0.5538, 27.94
322.0, 0.5416, 28.73
323.0, 0.5298, 29.52
324.0, 0.5186, 30.30
325.0, 0.5088, 30.99
326.0, 0.4994, 31.67
327.0, 0.4905, 32.32
328.0, 0.4818, 32.98
329.0, 0.4732, 33.63
330.0, 0.4680, 34.04
331.0, 0.4532, 35.22
332.0, 0.4433, 36.03
333.0, 0.4345, 36.77
334.0, 0.4256, 37.53
335.0, 0.4167, 38.31
336.0, 0.4082, 39.06
337.0, 0.3998, 39.82
338.0, 0.3917, 40.58
339.0, 0.3861, 41.11
340.0, 0.3219, 47.65
341.0, 0.3183, 48.05
342.0, 0.3143, 48.50
343.0, 0.3094, 49.05
344.0, 0.3056, 49.47
345.0, 0.3015, 49.95
346.0, 0.2971, 50.45
347.0, 0.2928, 50.95
348.0, 0.2894, 51.36
349.0, 0.2852, 51.86
350.0, 0.2818, 52.27
351.0, 0.2782, 52.70
352.0, 0.2741, 53.20
353.0, 0.2695, 53.77
354.0, 0.2646, 54.37
355.0, 0.2598, 54.98
356.0, 0.2545, 55.66
357.0, 0.2497, 56.27
358.0, 0.2444, 56.96
359.0, 0.2391, 57.67
360.0, 0.2341, 58.33
361.0, 0.2296, 58.94
362.0, 0.2250, 59.57
363.0, 0.2207, 60.15
364.0, 0.2162, 60.79
365.0, 0.2117, 61.42
366.0, 0.2060, 62.23
367.0, 0.2006, 63.01
368.0, 0.1953, 63.78
369.0, 0.1899, 64.58
370.0, 0.1870, 65.01
371.0, 0.1939, 63.99
372.0, 0.1905, 64.49
373.0, 0.1872, 64.99
374.0, 0.1842, 65.44
375.0, 0.1812, 65.89
376.0, 0.1780, 66.38
377.0, 0.1748, 66.87
378.0, 0.1714, 67.39
379.0, 0.1682, 67.89
380.0, 0.1650, 68.39
381.0, 0.1620, 68.87
382.0, 0.1592, 69.31
383.0, 0.1564, 69.76
384.0, 0.1548, 70.02
385.0, 0.1507, 70.68
386.0, 0.1478, 71.15
387.0, 0.1453, 71.56
388.0, 0.1430, 71.95
389.0, 0.1403, 72.39
390.0, 0.1374, 72.88
391.0, 0.1351, 73.27
392.0, 0.1325, 73.71
393.0, 0.1302, 74.10
394.0, 0.1277, 74.52
395.0, 0.1253, 74.93
396.0, 0.1228, 75.37
397.0, 0.1206, 75.75
398.0, 0.1186, 76.11
399.0, 0.1165, 76.46
400.0, 0.1146, 76.80
401.0, 0.1128, 77.13
402.0, 0.1106, 77.51
403.0, 0.1087, 77.86
404.0, 0.1065, 78.26
405.0, 0.1046, 78.59
406.0, 0.1028, 78.93
407.0, 0.1009, 79.26
408.0, 0.0991, 79.60
409.0, 0.0973, 79.93
410.0, 0.0959, 80.19
411.0, 0.0944, 80.46
412.0, 0.0930, 80.72
413.0, 0.0915, 81.00
414.0, 0.0899, 81.30
415.0, 0.0883, 81.61
416.0, 0.0868, 81.89
417.0, 0.0853, 82.16
418.0, 0.0841, 82.39
419.0, 0.0827, 82.66
420.0, 0.0812, 82.95
421.0, 0.0797, 83.23
422.0, 0.0786, 83.45
423.0, 0.0775, 83.65
424.0, 0.0764, 83.87
425.0, 0.0752, 84.10
426.0, 0.0740, 84.33
427.0, 0.0729, 84.55
428.0, 0.0718, 84.77
429.0, 0.0706, 85.00
430.0, 0.0695, 85.21
431.0, 0.0682, 85.46
432.0, 0.0672, 85.66
433.0, 0.0663, 85.84
434.0, 0.0653, 86.04
435.0, 0.0644, 86.22
436.0, 0.0636, 86.39
437.0, 0.0625, 86.61
438.0, 0.0615, 86.79
439.0, 0.0605, 86.99
440.0, 0.0594, 87.22
441.0, 0.0587, 87.36
442.0, 0.0578, 87.54
443.0, 0.0567, 87.76
444.0, 0.0560, 87.91
445.0, 0.0549, 88.13
446.0, 0.0541, 88.29
447.0, 0.0534, 88.43
448.0, 0.0527, 88.56
449.0, 0.0522, 88.68
450.0, 0.0516, 88.80
