Sample Name, Sample-120
Time, February 06 15:09:16 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.2289, 5.90
301.0, 1.2168, 6.07
302.0, 1.1990, 6.32
303.0, 1.1732, 6.71
304.0, 1.1375, 7.29
305.0, 1.0916, 8.10
306.0, 1.0344, 9.24
307.0, 0.9744, 10.61
308.0, 0.9177, 12.09
309.0, 0.8675, 13.57
310.0, 0.8216, 15.08
311.0, 0.7807, 16.57
312.0, 0.7480, 17.86
313.0, 0.7214, 18.99
314.0, 0.6977, 20.06
315.0, 0.6785, 20.97
316.0, 0.6624, 21.76
317.0, 0.6468, 22.55
318.0, 0.6310, 23.39
319.0, 0.6172, 24.14
320.0, 0.6047, 24.85
321.0, 0.5932, 25.51
322.0, 0.5828, 26.13
323.0, 0.5724, 26.77
324.0, 0.5624, 27.39
325.0, 0.5534, 27.96
326.0, 0.5443, 28.55
327.0, 0.5354, 29.15
328.0, 0.5273, 29.70
329.0, 0.5189, 30.28
330.0, 0.5140, 30.62
331.0, 0.4987, 31.72
332.0, 0.4889, 32.44
333.0, 0.4796, 33.15
334.0, 0.4704, 33.85
335.0, 0.4614, 34.56
336.0, 0.4524, 35.29
337.0, 0.4445, 35.93
338.0, 0.4362, 36.63
339.0, 0.4298, 37.17
340.0, 0.3530, 44.36
341.0, 0.3495, 44.72
342.0, 0.3456, 45.12
343.0, 0.3416, 45.54
344.0, 0.3385, 45.87
345.0, 0.3348, 46.26
346.0, 0.3313, 46.63
347.0, 0.3276, 47.04
348.0, 0.3243, 47.40
349.0, 0.3207, 47.78
350.0, 0.3172, 48.17
351.0, 0.3135, 48.58
352.0, 0.3100, 48.98
353.0, 0.3057, 49.47
354.0, 0.3010, 50.00
355.0, 0.2962, 50.56
356.0, 0.2910, 51.17
357.0, 0.2861, 51.75
358.0, 0.2807, 52.40
359.0, 0.2755, 53.03
360.0, 0.2704, 53.66
361.0, 0.2656, 54.25
362.0, 0.2611, 54.82
363.0, 0.2570, 55.34
364.0, 0.2524, 55.93
365.0, 0.2474, 56.58
366.0, 0.2411, 57.40
367.0, 0.2352, 58.19
368.0, 0.2295, 58.95
369.0, 0.2236, 59.76
370.0, 0.2200, 60.26
371.0, 0.2305, 58.82
372.0, 0.2271, 59.29
373.0, 0.2236, 59.76
374.0, 0.2201, 60.24
375.0, 0.2173, 60.64
376.0, 0.2141, 61.08
377.0, 0.2110, 61.51
378.0, 0.2074, 62.02
379.0, 0.2043, 62.47
380.0, 0.2009, 62.96
381.0, 0.1981, 63.38
382.0, 0.1950, 63.83
383.0, 0.1921, 64.25
384.0, 0.1902, 64.54
385.0, 0.1856, 65.23
386.0, 0.1829, 65.63
387.0, 0.1801, 66.05
388.0, 0.1776, 66.43
389.0, 0.1748, 66.87
390.0, 0.1717, 67.35
391.0, 0.1689, 67.78
392.0, 0.1662, 68.20
393.0, 0.1637, 68.59
394.0, 0.1612, 69.00
395.0, 0.1586, 69.41
396.0, 0.1560, 69.83
397.0, 0.1535, 70.22
398.0, 0.1513, 70.59
399.0, 0.1490, 70.95
400.0, 0.1470, 71.29
401.0, 0.1447, 71.67
402.0, 0.1424, 72.04
403.0, 0.1401, 72.43
404.0, 0.1378, 72.80
405.0, 0.1356, 73.18
406.0, 0.1335, 73.53
407.0, 0.1313, 73.91
408.0, 0.1293, 74.25
409.0, 0.1274, 74.57
410.0, 0.1259, 74.84
411.0, 0.1242, 75.13
412.0, 0.1227, 75.39
413.0, 0.1209, 75.70
414.0, 0.1191, 76.02
415.0, 0.1171, 76.37
416.0, 0.1155, 76.66
417.0, 0.1137, 76.97
418.0, 0.1123, 77.22
419.0, 0.1106, 77.52
420.0, 0.1088, 77.83
421.0, 0.1072, 78.12
422.0, 0.1058, 78.38
423.0, 0.1046, 78.60
424.0, 0.1033, 78.83
425.0, 0.1020, 79.06
426.0, 0.1006, 79.32
427.0, 0.0992, 79.58
428.0, 0.0978, 79.84
429.0, 0.0964, 80.10
430.0, 0.0951, 80.34
431.0, 0.0937, 80.59
432.0, 0.0924, 80.83
433.0, 0.0912, 81.06
434.0, 0.0899, 81.30
435.0, 0.0889, 81.49
436.0, 0.0878, 81.70
437.0, 0.0867, 81.90
438.0, 0.0854, 82.15
439.0, 0.0843, 82.35
440.0, 0.0830, 82.59
441.0, 0.0820, 82.80
442.0, 0.0809, 83.00
443.0, 0.0797, 83.24
444.0, 0.0787, 83.42
445.0, 0.0775, 83.66
446.0, 0.0765, 83.85
447.0, 0.0756, 84.02
448.0, 0.0749, 84.16
449.0, 0.0741, 84.31
450.0, 0.0733, 84.47
