Sample Name, Sample-121
Time, February 06 15:10:14 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.2278, 5.92
301.0, 1.2168, 6.07
302.0, 1.2002, 6.31
303.0, 1.1742, 6.70
304.0, 1.1398, 7.25
305.0, 1.0940, 8.05
306.0, 1.0362, 9.20
307.0, 0.9769, 10.55
308.0, 0.9189, 12.05
309.0, 0.8678, 13.56
310.0, 0.8218, 15.07
311.0, 0.7818, 16.53
312.0, 0.7481, 17.86
313.0, 0.7208, 19.02
314.0, 0.6975, 20.07
315.0, 0.6784, 20.97
316.0, 0.6626, 21.75
317.0, 0.6466, 22.56
318.0, 0.6306, 23.41
319.0, 0.6167, 24.17
320.0, 0.6040, 24.89
321.0, 0.5929, 25.53
322.0, 0.5822, 26.17
323.0, 0.5717, 26.81
324.0, 0.5615, 27.45
325.0, 0.5524, 28.03
326.0, 0.5431, 28.63
327.0, 0.5347, 29.20
328.0, 0.5265, 29.75
329.0, 0.5184, 30.31
330.0, 0.5134, 30.66
331.0, 0.4986, 31.73
332.0, 0.4887, 32.46
333.0, 0.4797, 33.14
334.0, 0.4704, 33.86
335.0, 0.4610, 34.59
336.0, 0.4519, 35.33
337.0, 0.4433, 36.03
338.0, 0.4352, 36.71
339.0, 0.4289, 37.25
340.0, 0.3532, 44.34
341.0, 0.3496, 44.71
342.0, 0.3457, 45.11
343.0, 0.3424, 45.46
344.0, 0.3389, 45.83
345.0, 0.3349, 46.25
346.0, 0.3318, 46.58
347.0, 0.3281, 46.98
348.0, 0.3242, 47.40
349.0, 0.3205, 47.81
350.0, 0.3173, 48.16
351.0, 0.3135, 48.58
352.0, 0.3100, 48.98
353.0, 0.3054, 49.50
354.0, 0.3010, 50.00
355.0, 0.2961, 50.57
356.0, 0.2904, 51.24
357.0, 0.2857, 51.79
358.0, 0.2804, 52.44
359.0, 0.2749, 53.10
360.0, 0.2696, 53.75
361.0, 0.2651, 54.31
362.0, 0.2606, 54.88
363.0, 0.2562, 55.44
364.0, 0.2515, 56.04
365.0, 0.2465, 56.69
366.0, 0.2406, 57.47
367.0, 0.2348, 58.23
368.0, 0.2289, 59.04
369.0, 0.2227, 59.88
370.0, 0.2193, 60.35
371.0, 0.2304, 58.83
372.0, 0.2269, 59.30
373.0, 0.2232, 59.81
374.0, 0.2198, 60.29
375.0, 0.2168, 60.70
376.0, 0.2136, 61.15
377.0, 0.2105, 61.60
378.0, 0.2070, 62.08
379.0, 0.2038, 62.55
380.0, 0.2004, 63.04
381.0, 0.1974, 63.47
382.0, 0.1943, 63.93
383.0, 0.1912, 64.39
384.0, 0.1895, 64.64
385.0, 0.1853, 65.28
386.0, 0.1826, 65.68
387.0, 0.1797, 66.11
388.0, 0.1772, 66.50
389.0, 0.1742, 66.96
390.0, 0.1714, 67.39
391.0, 0.1687, 67.81
392.0, 0.1660, 68.23
393.0, 0.1634, 68.65
394.0, 0.1607, 69.07
395.0, 0.1581, 69.48
396.0, 0.1555, 69.90
397.0, 0.1531, 70.30
398.0, 0.1510, 70.63
399.0, 0.1488, 70.99
400.0, 0.1466, 71.35
401.0, 0.1443, 71.73
402.0, 0.1419, 72.13
403.0, 0.1397, 72.49
404.0, 0.1373, 72.89
405.0, 0.1352, 73.25
406.0, 0.1330, 73.61
407.0, 0.1311, 73.94
408.0, 0.1290, 74.30
409.0, 0.1270, 74.64
410.0, 0.1253, 74.93
411.0, 0.1236, 75.23
412.0, 0.1220, 75.52
413.0, 0.1202, 75.82
414.0, 0.1184, 76.14
415.0, 0.1166, 76.46
416.0, 0.1148, 76.77
417.0, 0.1131, 77.08
418.0, 0.1116, 77.33
419.0, 0.1099, 77.64
420.0, 0.1084, 77.92
421.0, 0.1065, 78.25
422.0, 0.1052, 78.48
423.0, 0.1039, 78.72
424.0, 0.1027, 78.94
425.0, 0.1013, 79.20
426.0, 0.0998, 79.47
427.0, 0.0985, 79.71
428.0, 0.0972, 79.94
429.0, 0.0958, 80.20
430.0, 0.0945, 80.45
431.0, 0.0930, 80.72
432.0, 0.0917, 80.96
433.0, 0.0906, 81.18
434.0, 0.0894, 81.40
435.0, 0.0883, 81.60
436.0, 0.0872, 81.80
437.0, 0.0861, 82.01
438.0, 0.0848, 82.26
439.0, 0.0836, 82.49
440.0, 0.0824, 82.72
441.0, 0.0813, 82.93
442.0, 0.0801, 83.15
443.0, 0.0789, 83.38
444.0, 0.0779, 83.57
445.0, 0.0770, 83.75
446.0, 0.0760, 83.95
447.0, 0.0751, 84.11
448.0, 0.0743, 84.28
449.0, 0.0734, 84.45
450.0, 0.0730, 84.53
