Sample Name, Sample-102
Time, February 06 14:43:34 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.2322, 5.86
301.0, 1.2124, 6.13
302.0, 1.1870, 6.50
303.0, 1.1556, 6.99
304.0, 1.1214, 7.56
305.0, 1.0805, 8.31
306.0, 1.0341, 9.24
307.0, 0.9905, 10.22
308.0, 0.9499, 11.22
309.0, 0.9151, 12.16
310.0, 0.8838, 13.07
311.0, 0.8558, 13.94
312.0, 0.8324, 14.71
313.0, 0.8136, 15.36
314.0, 0.7965, 15.98
315.0, 0.7816, 16.54
316.0, 0.7691, 17.02
317.0, 0.7562, 17.53
318.0, 0.7424, 18.10
319.0, 0.7308, 18.59
320.0, 0.7188, 19.11
321.0, 0.7082, 19.58
322.0, 0.6979, 20.05
323.0, 0.6873, 20.54
324.0, 0.6768, 21.05
325.0, 0.6671, 21.53
326.0, 0.6576, 22.00
327.0, 0.6486, 22.46
328.0, 0.6400, 22.91
329.0, 0.6316, 23.36
330.0, 0.6261, 23.65
331.0, 0.6099, 24.55
332.0, 0.6000, 25.12
333.0, 0.5898, 25.72
334.0, 0.5793, 26.35
335.0, 0.5697, 26.94
336.0, 0.5604, 27.52
337.0, 0.5511, 28.11
338.0, 0.5417, 28.73
339.0, 0.5350, 29.18
340.0, 0.4350, 36.73
341.0, 0.4319, 36.99
342.0, 0.4287, 37.27
343.0, 0.4251, 37.57
344.0, 0.4225, 37.80
345.0, 0.4195, 38.06
346.0, 0.4173, 38.26
347.0, 0.4142, 38.53
348.0, 0.4116, 38.76
349.0, 0.4088, 39.02
350.0, 0.4064, 39.23
351.0, 0.4031, 39.53
352.0, 0.3997, 39.83
353.0, 0.3963, 40.15
354.0, 0.3918, 40.57
355.0, 0.3871, 41.01
356.0, 0.3828, 41.42
357.0, 0.3778, 41.90
358.0, 0.3726, 42.41
359.0, 0.3671, 42.94
360.0, 0.3617, 43.48
361.0, 0.3571, 43.94
362.0, 0.3527, 44.40
363.0, 0.3483, 44.84
364.0, 0.3428, 45.41
365.0, 0.3376, 45.97
366.0, 0.3308, 46.68
367.0, 0.3242, 47.40
368.0, 0.3178, 48.10
369.0, 0.3107, 48.90
370.0, 0.3067, 49.36
371.0, 0.3267, 47.13
372.0, 0.3235, 47.48
373.0, 0.3206, 47.80
374.0, 0.3175, 48.14
375.0, 0.3149, 48.43
376.0, 0.3120, 48.76
377.0, 0.3087, 49.12
378.0, 0.3055, 49.49
379.0, 0.3024, 49.84
380.0, 0.2994, 50.19
381.0, 0.2964, 50.54
382.0, 0.2934, 50.88
383.0, 0.2905, 51.22
384.0, 0.2890, 51.41
385.0, 0.2844, 51.95
386.0, 0.2816, 52.28
387.0, 0.2791, 52.59
388.0, 0.2766, 52.89
389.0, 0.2737, 53.24
390.0, 0.2708, 53.61
391.0, 0.2679, 53.96
392.0, 0.2654, 54.28
393.0, 0.2626, 54.63
394.0, 0.2596, 55.00
395.0, 0.2570, 55.34
396.0, 0.2539, 55.73
397.0, 0.2511, 56.09
398.0, 0.2488, 56.39
399.0, 0.2464, 56.71
400.0, 0.2439, 57.03
401.0, 0.2414, 57.36
402.0, 0.2389, 57.69
403.0, 0.2365, 58.01
404.0, 0.2337, 58.38
405.0, 0.2312, 58.72
406.0, 0.2286, 59.07
407.0, 0.2263, 59.39
408.0, 0.2238, 59.74
409.0, 0.2215, 60.05
410.0, 0.2194, 60.34
411.0, 0.2173, 60.64
412.0, 0.2154, 60.90
413.0, 0.2133, 61.20
414.0, 0.2109, 61.53
415.0, 0.2087, 61.85
416.0, 0.2065, 62.16
417.0, 0.2046, 62.43
418.0, 0.2026, 62.71
419.0, 0.2006, 63.01
420.0, 0.1986, 63.30
421.0, 0.1965, 63.61
422.0, 0.1948, 63.86
423.0, 0.1930, 64.12
424.0, 0.1912, 64.39
425.0, 0.1894, 64.65
426.0, 0.1874, 64.95
427.0, 0.1856, 65.22
428.0, 0.1839, 65.48
429.0, 0.1821, 65.76
430.0, 0.1803, 66.03
431.0, 0.1785, 66.29
432.0, 0.1768, 66.56
433.0, 0.1751, 66.81
434.0, 0.1735, 67.07
435.0, 0.1720, 67.29
436.0, 0.1707, 67.51
437.0, 0.1690, 67.76
438.0, 0.1673, 68.03
439.0, 0.1656, 68.30
440.0, 0.1640, 68.55
441.0, 0.1625, 68.79
442.0, 0.1609, 69.04
443.0, 0.1592, 69.30
444.0, 0.1577, 69.55
445.0, 0.1562, 69.79
446.0, 0.1548, 70.02
447.0, 0.1534, 70.24
448.0, 0.1521, 70.45
449.0, 0.1509, 70.65
450.0, 0.1501, 70.77
