Sample Name, Sample-107
Time, February 06 14:50:20 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.2128, 6.13
301.0, 1.1780, 6.64
302.0, 1.1301, 7.41
303.0, 1.0741, 8.43
304.0, 1.0125, 9.72
305.0, 0.9425, 11.42
306.0, 0.8668, 13.59
307.0, 0.8011, 15.81
308.0, 0.7422, 18.10
309.0, 0.6933, 20.26
310.0, 0.6513, 22.32
311.0, 0.6162, 24.20
312.0, 0.5879, 25.83
313.0, 0.5650, 27.22
314.0, 0.5463, 28.43
315.0, 0.5310, 29.44
316.0, 0.5184, 30.31
317.0, 0.5059, 31.20
318.0, 0.4938, 32.08
319.0, 0.4829, 32.89
320.0, 0.4730, 33.65
321.0, 0.4645, 34.32
322.0, 0.4563, 34.97
323.0, 0.4480, 35.64
324.0, 0.4404, 36.28
325.0, 0.4330, 36.90
326.0, 0.4263, 37.47
327.0, 0.4195, 38.06
328.0, 0.4131, 38.62
329.0, 0.4069, 39.19
330.0, 0.4030, 39.53
331.0, 0.3914, 40.61
332.0, 0.3841, 41.30
333.0, 0.3772, 41.96
334.0, 0.3698, 42.67
335.0, 0.3627, 43.38
336.0, 0.3561, 44.05
337.0, 0.3497, 44.70
338.0, 0.3429, 45.41
339.0, 0.3385, 45.87
340.0, 0.2841, 51.99
341.0, 0.2807, 52.40
342.0, 0.2775, 52.78
343.0, 0.2745, 53.15
344.0, 0.2712, 53.55
345.0, 0.2679, 53.97
346.0, 0.2649, 54.34
347.0, 0.2616, 54.76
348.0, 0.2585, 55.15
349.0, 0.2557, 55.51
350.0, 0.2531, 55.83
351.0, 0.2500, 56.24
352.0, 0.2472, 56.59
353.0, 0.2435, 57.08
354.0, 0.2398, 57.57
355.0, 0.2362, 58.06
356.0, 0.2319, 58.62
357.0, 0.2281, 59.14
358.0, 0.2243, 59.66
359.0, 0.2206, 60.17
360.0, 0.2166, 60.73
361.0, 0.2131, 61.23
362.0, 0.2098, 61.69
363.0, 0.2068, 62.12
364.0, 0.2034, 62.60
365.0, 0.2002, 63.06
366.0, 0.1958, 63.71
367.0, 0.1913, 64.37
368.0, 0.1870, 65.01
369.0, 0.1825, 65.69
370.0, 0.1800, 66.07
371.0, 0.1882, 64.84
372.0, 0.1858, 65.19
373.0, 0.1834, 65.55
374.0, 0.1811, 65.90
375.0, 0.1792, 66.19
376.0, 0.1771, 66.52
377.0, 0.1747, 66.88
378.0, 0.1721, 67.28
379.0, 0.1698, 67.64
380.0, 0.1672, 68.04
381.0, 0.1652, 68.36
382.0, 0.1629, 68.72
383.0, 0.1609, 69.05
384.0, 0.1595, 69.26
385.0, 0.1565, 69.74
386.0, 0.1545, 70.07
387.0, 0.1525, 70.38
388.0, 0.1508, 70.66
389.0, 0.1484, 71.05
390.0, 0.1464, 71.38
391.0, 0.1443, 71.72
392.0, 0.1426, 72.01
393.0, 0.1407, 72.32
394.0, 0.1387, 72.66
395.0, 0.1369, 72.97
396.0, 0.1349, 73.30
397.0, 0.1332, 73.59
398.0, 0.1315, 73.87
399.0, 0.1298, 74.17
400.0, 0.1283, 74.43
401.0, 0.1266, 74.72
402.0, 0.1250, 74.99
403.0, 0.1235, 75.25
404.0, 0.1216, 75.58
405.0, 0.1199, 75.88
406.0, 0.1184, 76.14
407.0, 0.1168, 76.42
408.0, 0.1152, 76.69
409.0, 0.1137, 76.96
410.0, 0.1125, 77.18
411.0, 0.1114, 77.38
412.0, 0.1101, 77.60
413.0, 0.1089, 77.83
414.0, 0.1073, 78.10
415.0, 0.1058, 78.37
416.0, 0.1045, 78.61
417.0, 0.1032, 78.84
418.0, 0.1021, 79.04
419.0, 0.1010, 79.25
420.0, 0.0997, 79.49
421.0, 0.0983, 79.75
422.0, 0.0973, 79.92
423.0, 0.0964, 80.10
424.0, 0.0953, 80.30
425.0, 0.0941, 80.51
426.0, 0.0930, 80.72
427.0, 0.0920, 80.91
428.0, 0.0910, 81.10
429.0, 0.0900, 81.29
430.0, 0.0889, 81.48
431.0, 0.0878, 81.69
432.0, 0.0869, 81.87
433.0, 0.0858, 82.08
434.0, 0.0848, 82.27
435.0, 0.0840, 82.41
436.0, 0.0832, 82.57
437.0, 0.0823, 82.75
438.0, 0.0813, 82.92
439.0, 0.0803, 83.11
440.0, 0.0793, 83.31
441.0, 0.0785, 83.47
442.0, 0.0776, 83.63
443.0, 0.0766, 83.84
444.0, 0.0757, 84.00
445.0, 0.0748, 84.19
446.0, 0.0741, 84.32
447.0, 0.0732, 84.48
448.0, 0.0727, 84.59
449.0, 0.0720, 84.72
450.0, 0.0716, 84.81
