Sample Name, Sample-128
Time, February 06 15:19:09 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.0770, 8.38
301.0, 1.0092, 9.79
302.0, 0.9357, 11.60
303.0, 0.8656, 13.63
304.0, 0.8027, 15.75
305.0, 0.7393, 18.23
306.0, 0.6748, 21.15
307.0, 0.6223, 23.86
308.0, 0.5782, 26.41
309.0, 0.5420, 28.71
310.0, 0.5122, 30.74
311.0, 0.4869, 32.59
312.0, 0.4667, 34.15
313.0, 0.4507, 35.42
314.0, 0.4375, 36.52
315.0, 0.4261, 37.49
316.0, 0.4171, 38.27
317.0, 0.4082, 39.06
318.0, 0.3995, 39.86
319.0, 0.3916, 40.59
320.0, 0.3841, 41.29
321.0, 0.3777, 41.91
322.0, 0.3715, 42.51
323.0, 0.3652, 43.13
324.0, 0.3589, 43.76
325.0, 0.3536, 44.30
326.0, 0.3484, 44.83
327.0, 0.3433, 45.36
328.0, 0.3385, 45.87
329.0, 0.3335, 46.40
330.0, 0.3304, 46.73
331.0, 0.3208, 47.78
332.0, 0.3148, 48.44
333.0, 0.3093, 49.06
334.0, 0.3035, 49.71
335.0, 0.2981, 50.34
336.0, 0.2925, 51.00
337.0, 0.2872, 51.61
338.0, 0.2821, 52.23
339.0, 0.2784, 52.67
340.0, 0.2352, 58.18
341.0, 0.2323, 58.57
342.0, 0.2297, 58.93
343.0, 0.2269, 59.31
344.0, 0.2246, 59.63
345.0, 0.2219, 59.99
346.0, 0.2195, 60.32
347.0, 0.2167, 60.71
348.0, 0.2142, 61.06
349.0, 0.2117, 61.42
350.0, 0.2100, 61.66
351.0, 0.2074, 62.03
352.0, 0.2051, 62.37
353.0, 0.2023, 62.76
354.0, 0.1993, 63.20
355.0, 0.1960, 63.67
356.0, 0.1928, 64.15
357.0, 0.1894, 64.65
358.0, 0.1866, 65.07
359.0, 0.1833, 65.57
360.0, 0.1802, 66.05
361.0, 0.1774, 66.46
362.0, 0.1747, 66.88
363.0, 0.1723, 67.25
364.0, 0.1697, 67.66
365.0, 0.1671, 68.05
366.0, 0.1632, 68.67
367.0, 0.1600, 69.19
368.0, 0.1562, 69.79
369.0, 0.1526, 70.37
370.0, 0.1505, 70.72
371.0, 0.1573, 69.62
372.0, 0.1553, 69.94
373.0, 0.1533, 70.25
374.0, 0.1514, 70.57
375.0, 0.1496, 70.85
376.0, 0.1480, 71.13
377.0, 0.1461, 71.43
378.0, 0.1442, 71.75
379.0, 0.1423, 72.06
380.0, 0.1402, 72.42
381.0, 0.1385, 72.69
382.0, 0.1369, 72.97
383.0, 0.1350, 73.28
384.0, 0.1341, 73.43
385.0, 0.1317, 73.84
386.0, 0.1300, 74.14
387.0, 0.1285, 74.38
388.0, 0.1271, 74.62
389.0, 0.1252, 74.95
390.0, 0.1236, 75.24
391.0, 0.1222, 75.48
392.0, 0.1206, 75.75
393.0, 0.1192, 76.00
394.0, 0.1176, 76.28
395.0, 0.1161, 76.55
396.0, 0.1147, 76.80
397.0, 0.1131, 77.07
398.0, 0.1118, 77.31
399.0, 0.1105, 77.54
400.0, 0.1092, 77.78
401.0, 0.1078, 78.03
402.0, 0.1064, 78.26
403.0, 0.1051, 78.50
404.0, 0.1038, 78.75
405.0, 0.1023, 79.01
406.0, 0.1010, 79.24
407.0, 0.0998, 79.48
408.0, 0.0986, 79.69
409.0, 0.0972, 79.95
410.0, 0.0962, 80.13
411.0, 0.0953, 80.30
412.0, 0.0943, 80.48
413.0, 0.0933, 80.67
414.0, 0.0921, 80.89
415.0, 0.0910, 81.10
416.0, 0.0898, 81.31
417.0, 0.0889, 81.50
418.0, 0.0879, 81.67
419.0, 0.0870, 81.84
420.0, 0.0860, 82.03
421.0, 0.0849, 82.24
422.0, 0.0841, 82.40
423.0, 0.0833, 82.55
424.0, 0.0824, 82.71
425.0, 0.0817, 82.86
426.0, 0.0808, 83.03
427.0, 0.0798, 83.21
428.0, 0.0791, 83.35
429.0, 0.0781, 83.53
430.0, 0.0774, 83.68
431.0, 0.0765, 83.85
432.0, 0.0757, 84.00
433.0, 0.0750, 84.14
434.0, 0.0743, 84.27
435.0, 0.0736, 84.41
436.0, 0.0731, 84.52
437.0, 0.0722, 84.69
438.0, 0.0713, 84.85
439.0, 0.0706, 84.99
440.0, 0.0697, 85.17
441.0, 0.0690, 85.30
442.0, 0.0684, 85.44
443.0, 0.0675, 85.61
444.0, 0.0669, 85.73
445.0, 0.0662, 85.86
446.0, 0.0656, 85.99
447.0, 0.0651, 86.08
448.0, 0.0645, 86.19
449.0, 0.0641, 86.28
450.0, 0.0637, 86.35
