Sample Name, Sample-129
Time, February 06 15:19:58 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.0798, 8.32
301.0, 1.0110, 9.75
302.0, 0.9381, 11.53
303.0, 0.8684, 13.54
304.0, 0.8045, 15.69
305.0, 0.7409, 18.16
306.0, 0.6761, 21.08
307.0, 0.6223, 23.86
308.0, 0.5782, 26.41
309.0, 0.5421, 28.70
310.0, 0.5120, 30.76
311.0, 0.4863, 32.64
312.0, 0.4656, 34.23
313.0, 0.4496, 35.51
314.0, 0.4364, 36.61
315.0, 0.4251, 37.57
316.0, 0.4159, 38.38
317.0, 0.4071, 39.17
318.0, 0.3983, 39.97
319.0, 0.3903, 40.71
320.0, 0.3831, 41.39
321.0, 0.3763, 42.05
322.0, 0.3699, 42.67
323.0, 0.3635, 43.30
324.0, 0.3574, 43.91
325.0, 0.3521, 44.45
326.0, 0.3470, 44.98
327.0, 0.3417, 45.53
328.0, 0.3369, 46.03
329.0, 0.3318, 46.58
330.0, 0.3286, 46.93
331.0, 0.3196, 47.91
332.0, 0.3135, 48.58
333.0, 0.3081, 49.20
334.0, 0.3026, 49.82
335.0, 0.2968, 50.48
336.0, 0.2911, 51.15
337.0, 0.2861, 51.75
338.0, 0.2809, 52.38
339.0, 0.2772, 52.82
340.0, 0.2348, 58.23
341.0, 0.2321, 58.60
342.0, 0.2293, 58.98
343.0, 0.2264, 59.38
344.0, 0.2237, 59.75
345.0, 0.2208, 60.14
346.0, 0.2188, 60.42
347.0, 0.2162, 60.79
348.0, 0.2138, 61.12
349.0, 0.2113, 61.48
350.0, 0.2092, 61.77
351.0, 0.2067, 62.13
352.0, 0.2045, 62.45
353.0, 0.2012, 62.92
354.0, 0.1986, 63.30
355.0, 0.1954, 63.77
356.0, 0.1921, 64.26
357.0, 0.1892, 64.69
358.0, 0.1861, 65.15
359.0, 0.1829, 65.62
360.0, 0.1799, 66.09
361.0, 0.1772, 66.50
362.0, 0.1745, 66.91
363.0, 0.1723, 67.25
364.0, 0.1696, 67.68
365.0, 0.1669, 68.09
366.0, 0.1632, 68.67
367.0, 0.1597, 69.23
368.0, 0.1564, 69.76
369.0, 0.1527, 70.36
370.0, 0.1508, 70.66
371.0, 0.1572, 69.63
372.0, 0.1554, 69.92
373.0, 0.1535, 70.22
374.0, 0.1516, 70.54
375.0, 0.1497, 70.84
376.0, 0.1477, 71.17
377.0, 0.1460, 71.45
378.0, 0.1440, 71.79
379.0, 0.1421, 72.09
380.0, 0.1401, 72.43
381.0, 0.1386, 72.68
382.0, 0.1369, 72.96
383.0, 0.1350, 73.28
384.0, 0.1340, 73.45
385.0, 0.1319, 73.82
386.0, 0.1301, 74.11
387.0, 0.1284, 74.40
388.0, 0.1271, 74.63
389.0, 0.1254, 74.91
390.0, 0.1238, 75.20
391.0, 0.1222, 75.48
392.0, 0.1206, 75.75
393.0, 0.1191, 76.01
394.0, 0.1177, 76.27
395.0, 0.1162, 76.52
396.0, 0.1147, 76.80
397.0, 0.1133, 77.04
398.0, 0.1119, 77.28
399.0, 0.1106, 77.53
400.0, 0.1093, 77.74
401.0, 0.1080, 77.98
402.0, 0.1067, 78.22
403.0, 0.1053, 78.47
404.0, 0.1040, 78.70
405.0, 0.1025, 78.97
406.0, 0.1011, 79.23
407.0, 0.0998, 79.46
408.0, 0.0985, 79.70
409.0, 0.0973, 79.93
410.0, 0.0963, 80.11
411.0, 0.0954, 80.28
412.0, 0.0944, 80.47
413.0, 0.0932, 80.68
414.0, 0.0922, 80.88
415.0, 0.0911, 81.07
416.0, 0.0899, 81.30
417.0, 0.0890, 81.47
418.0, 0.0881, 81.64
419.0, 0.0872, 81.81
420.0, 0.0861, 82.01
421.0, 0.0851, 82.21
422.0, 0.0843, 82.36
423.0, 0.0835, 82.51
424.0, 0.0826, 82.68
425.0, 0.0819, 82.82
426.0, 0.0809, 83.00
427.0, 0.0800, 83.17
428.0, 0.0793, 83.32
429.0, 0.0784, 83.48
430.0, 0.0776, 83.64
431.0, 0.0767, 83.81
432.0, 0.0759, 83.97
433.0, 0.0753, 84.09
434.0, 0.0744, 84.26
435.0, 0.0737, 84.39
436.0, 0.0730, 84.52
437.0, 0.0722, 84.69
438.0, 0.0715, 84.83
439.0, 0.0708, 84.96
440.0, 0.0700, 85.12
441.0, 0.0692, 85.27
442.0, 0.0685, 85.40
443.0, 0.0677, 85.57
444.0, 0.0671, 85.69
445.0, 0.0665, 85.81
446.0, 0.0659, 85.93
447.0, 0.0652, 86.05
448.0, 0.0649, 86.12
449.0, 0.0643, 86.23
450.0, 0.0640, 86.31
