Sample Name, Sample-131
Time, February 06 15:22:53 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.2281, 5.91
301.0, 1.2232, 5.98
302.0, 1.2187, 6.04
303.0, 1.2112, 6.15
304.0, 1.2030, 6.27
305.0, 1.1908, 6.44
306.0, 1.1741, 6.70
307.0, 1.1523, 7.04
308.0, 1.1277, 7.45
309.0, 1.1034, 7.88
310.0, 1.0771, 8.37
311.0, 1.0517, 8.88
312.0, 1.0285, 9.36
313.0, 1.0076, 9.83
314.0, 0.9900, 10.23
315.0, 0.9735, 10.63
316.0, 0.9593, 10.98
317.0, 0.9452, 11.34
318.0, 0.9306, 11.73
319.0, 0.9165, 12.12
320.0, 0.9043, 12.46
321.0, 0.8925, 12.81
322.0, 0.8812, 13.15
323.0, 0.8696, 13.50
324.0, 0.8591, 13.83
325.0, 0.8489, 14.16
326.0, 0.8383, 14.51
327.0, 0.8280, 14.86
328.0, 0.8185, 15.19
329.0, 0.8095, 15.51
330.0, 0.8031, 15.74
331.0, 0.7864, 16.35
332.0, 0.7745, 16.81
333.0, 0.7630, 17.26
334.0, 0.7515, 17.72
335.0, 0.7400, 18.20
336.0, 0.7288, 18.67
337.0, 0.7177, 19.16
338.0, 0.7071, 19.63
339.0, 0.6969, 20.09
340.0, 0.5402, 28.82
341.0, 0.5394, 28.88
342.0, 0.5386, 28.93
343.0, 0.5378, 28.99
344.0, 0.5366, 29.07
345.0, 0.5345, 29.21
346.0, 0.5331, 29.30
347.0, 0.5307, 29.46
348.0, 0.5292, 29.57
349.0, 0.5277, 29.67
350.0, 0.5258, 29.80
351.0, 0.5225, 30.02
352.0, 0.5195, 30.23
353.0, 0.5152, 30.54
354.0, 0.5107, 30.85
355.0, 0.5054, 31.23
356.0, 0.4991, 31.69
357.0, 0.4933, 32.11
358.0, 0.4872, 32.57
359.0, 0.4799, 33.12
360.0, 0.4731, 33.65
361.0, 0.4672, 34.10
362.0, 0.4611, 34.59
363.0, 0.4543, 35.13
364.0, 0.4475, 35.69
365.0, 0.4406, 36.26
366.0, 0.4308, 37.08
367.0, 0.4210, 37.93
368.0, 0.4116, 38.76
369.0, 0.4024, 39.59
370.0, 0.3970, 40.08
371.0, 0.4289, 37.25
372.0, 0.4244, 37.63
373.0, 0.4199, 38.03
374.0, 0.4158, 38.39
375.0, 0.4123, 38.69
376.0, 0.4081, 39.07
377.0, 0.4041, 39.43
378.0, 0.3999, 39.82
379.0, 0.3958, 40.20
380.0, 0.3915, 40.60
381.0, 0.3874, 40.99
382.0, 0.3834, 41.36
383.0, 0.3795, 41.74
384.0, 0.3770, 41.98
385.0, 0.3715, 42.51
386.0, 0.3677, 42.88
387.0, 0.3638, 43.27
388.0, 0.3603, 43.62
389.0, 0.3564, 44.02
390.0, 0.3522, 44.45
391.0, 0.3482, 44.85
392.0, 0.3443, 45.26
393.0, 0.3406, 45.64
394.0, 0.3368, 46.04
395.0, 0.3328, 46.47
396.0, 0.3290, 46.88
397.0, 0.3252, 47.29
398.0, 0.3217, 47.67
399.0, 0.3186, 48.02
400.0, 0.3151, 48.40
401.0, 0.3116, 48.79
402.0, 0.3078, 49.22
403.0, 0.3041, 49.65
404.0, 0.3005, 50.06
405.0, 0.2972, 50.45
406.0, 0.2937, 50.85
407.0, 0.2902, 51.26
408.0, 0.2870, 51.64
409.0, 0.2840, 52.00
410.0, 0.2810, 52.36
411.0, 0.2784, 52.67
412.0, 0.2757, 53.00
413.0, 0.2728, 53.35
414.0, 0.2697, 53.74
415.0, 0.2667, 54.12
416.0, 0.2638, 54.48
417.0, 0.2610, 54.83
418.0, 0.2585, 55.14
419.0, 0.2559, 55.47
420.0, 0.2532, 55.82
421.0, 0.2506, 56.15
422.0, 0.2484, 56.44
423.0, 0.2462, 56.73
424.0, 0.2440, 57.01
425.0, 0.2417, 57.32
426.0, 0.2393, 57.63
427.0, 0.2371, 57.94
428.0, 0.2347, 58.25
429.0, 0.2324, 58.56
430.0, 0.2302, 58.86
431.0, 0.2279, 59.17
432.0, 0.2258, 59.46
433.0, 0.2236, 59.75
434.0, 0.2216, 60.03
435.0, 0.2198, 60.28
436.0, 0.2180, 60.54
437.0, 0.2160, 60.82
438.0, 0.2139, 61.11
439.0, 0.2119, 61.39
440.0, 0.2098, 61.69
441.0, 0.2077, 61.98
442.0, 0.2058, 62.26
443.0, 0.2037, 62.56
444.0, 0.2016, 62.86
445.0, 0.1997, 63.14
446.0, 0.1979, 63.40
447.0, 0.1961, 63.66
448.0, 0.1945, 63.90
449.0, 0.1929, 64.14
450.0, 0.1919, 64.28
