Sample Name, Sample-27
Time, February 13 16:55:36 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 2.5900, 0.26
231.0, 2.5958, 0.25
232.0, 2.5980, 0.25
233.0, 2.6150, 0.24
234.0, 2.6130, 0.24
235.0, 2.6192, 0.24
236.0, 2.6117, 0.24
237.0, 2.6119, 0.24
238.0, 2.6128, 0.24
239.0, 2.6249, 0.24
240.0, 2.5998, 0.25
241.0, 2.5979, 0.25
242.0, 2.5990, 0.25
243.0, 2.6013, 0.25
244.0, 2.5910, 0.26
245.0, 2.5971, 0.25
246.0, 2.5799, 0.26
247.0, 2.5750, 0.27
248.0, 2.5586, 0.28
249.0, 2.5591, 0.28
250.0, 2.5498, 0.28
251.0, 2.5468, 0.28
252.0, 2.5357, 0.29
253.0, 2.5187, 0.30
254.0, 2.5105, 0.31
255.0, 2.4991, 0.32
256.0, 2.4913, 0.32
257.0, 2.4881, 0.33
258.0, 2.4676, 0.34
259.0, 2.4695, 0.34
260.0, 2.4540, 0.35
261.0, 2.4457, 0.36
262.0, 2.4335, 0.37
263.0, 2.4206, 0.38
264.0, 2.4139, 0.39
265.0, 2.4022, 0.40
266.0, 2.3992, 0.40
267.0, 2.3903, 0.41
268.0, 2.3753, 0.42
269.0, 2.3616, 0.43
270.0, 2.3604, 0.44
271.0, 2.3578, 0.44
272.0, 2.3434, 0.45
273.0, 2.3329, 0.46
274.0, 2.3349, 0.46
275.0, 2.3298, 0.47
276.0, 2.3139, 0.49
277.0, 2.3205, 0.48
278.0, 2.3119, 0.49
279.0, 2.3186, 0.48
280.0, 2.3072, 0.49
281.0, 2.3088, 0.49
282.0, 2.2969, 0.50
283.0, 2.2959, 0.51
284.0, 2.2864, 0.52
285.0, 2.2878, 0.52
286.0, 2.2817, 0.52
287.0, 2.2777, 0.53
288.0, 2.2724, 0.53
289.0, 2.2717, 0.53
290.0, 2.2699, 0.54
291.0, 2.2627, 0.55
292.0, 2.2613, 0.55
293.0, 2.2627, 0.55
294.0, 2.2607, 0.55
295.0, 2.2469, 0.57
296.0, 2.2463, 0.57
297.0, 2.2420, 0.57
298.0, 2.2400, 0.58
299.0, 2.2048, 0.62
300.0, 2.1498, 0.71
301.0, 2.0427, 0.91
302.0, 1.8776, 1.33
303.0, 1.6761, 2.11
304.0, 1.4587, 3.48
305.0, 1.2552, 5.56
306.0, 1.0705, 8.50
307.0, 0.9203, 12.01
308.0, 0.7954, 16.02
309.0, 0.6940, 20.23
310.0, 0.6108, 24.50
311.0, 0.5444, 28.55
312.0, 0.4949, 32.00
313.0, 0.4545, 35.12
314.0, 0.4249, 37.59
315.0, 0.4024, 39.59
316.0, 0.3822, 41.47
317.0, 0.3655, 43.10
318.0, 0.3510, 44.56
319.0, 0.3394, 45.77
320.0, 0.3295, 46.83
321.0, 0.3212, 47.73
322.0, 0.3139, 48.54
323.0, 0.3075, 49.26
324.0, 0.3015, 49.95
325.0, 0.2960, 50.58
326.0, 0.2911, 51.16
327.0, 0.2867, 51.68
328.0, 0.2823, 52.20
329.0, 0.2781, 52.71
330.0, 0.2756, 53.01
331.0, 0.2683, 53.92
332.0, 0.2639, 54.47
333.0, 0.2595, 55.02
334.0, 0.2552, 55.57
