Sample Name, Sample-142
Time, February 06 15:38:53 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.1019, 7.91
301.0, 1.0353, 9.22
302.0, 0.9624, 10.91
303.0, 0.8891, 12.91
304.0, 0.8211, 15.10
305.0, 0.7518, 17.71
306.0, 0.6811, 20.84
307.0, 0.6221, 23.87
308.0, 0.5728, 26.74
309.0, 0.5332, 29.30
310.0, 0.4998, 31.64
311.0, 0.4718, 33.75
312.0, 0.4495, 35.52
313.0, 0.4318, 37.00
314.0, 0.4175, 38.24
315.0, 0.4056, 39.30
316.0, 0.3957, 40.21
317.0, 0.3861, 41.11
318.0, 0.3767, 42.00
319.0, 0.3690, 42.76
320.0, 0.3616, 43.49
321.0, 0.3551, 44.15
322.0, 0.3489, 44.78
323.0, 0.3428, 45.42
324.0, 0.3370, 46.03
325.0, 0.3316, 46.60
326.0, 0.3266, 47.15
327.0, 0.3213, 47.72
328.0, 0.3165, 48.25
329.0, 0.3117, 48.78
330.0, 0.3089, 49.10
331.0, 0.2999, 50.13
332.0, 0.2943, 50.78
333.0, 0.2890, 51.41
334.0, 0.2837, 52.03
335.0, 0.2783, 52.69
336.0, 0.2732, 53.31
337.0, 0.2682, 53.93
338.0, 0.2632, 54.55
339.0, 0.2597, 54.99
340.0, 0.2193, 60.36
341.0, 0.2162, 60.79
342.0, 0.2135, 61.17
343.0, 0.2109, 61.53
344.0, 0.2082, 61.91
345.0, 0.2057, 62.28
346.0, 0.2033, 62.61
347.0, 0.2009, 62.97
348.0, 0.1987, 63.28
349.0, 0.1966, 63.60
350.0, 0.1945, 63.90
351.0, 0.1923, 64.22
352.0, 0.1901, 64.55
353.0, 0.1871, 64.99
354.0, 0.1843, 65.42
355.0, 0.1812, 65.88
356.0, 0.1784, 66.31
357.0, 0.1758, 66.72
358.0, 0.1727, 67.19
359.0, 0.1698, 67.64
360.0, 0.1666, 68.14
361.0, 0.1640, 68.55
362.0, 0.1616, 68.92
363.0, 0.1593, 69.30
364.0, 0.1568, 69.69
365.0, 0.1545, 70.07
366.0, 0.1511, 70.61
367.0, 0.1480, 71.12
368.0, 0.1448, 71.65
369.0, 0.1414, 72.21
370.0, 0.1395, 72.52
371.0, 0.1455, 71.52
372.0, 0.1438, 71.82
373.0, 0.1418, 72.15
374.0, 0.1401, 72.43
375.0, 0.1385, 72.70
376.0, 0.1369, 72.96
377.0, 0.1350, 73.27
378.0, 0.1330, 73.63
379.0, 0.1313, 73.91
380.0, 0.1295, 74.21
381.0, 0.1280, 74.47
382.0, 0.1265, 74.73
383.0, 0.1249, 75.00
384.0, 0.1240, 75.16
385.0, 0.1219, 75.53
386.0, 0.1204, 75.79
387.0, 0.1188, 76.07
388.0, 0.1178, 76.25
389.0, 0.1162, 76.52
390.0, 0.1148, 76.78
391.0, 0.1133, 77.03
392.0, 0.1119, 77.28
393.0, 0.1108, 77.49
394.0, 0.1094, 77.73
395.0, 0.1080, 77.98
396.0, 0.1065, 78.25
397.0, 0.1052, 78.49
398.0, 0.1040, 78.70
399.0, 0.1029, 78.90
400.0, 0.1016, 79.14
401.0, 0.1005, 79.33
402.0, 0.0994, 79.55
403.0, 0.0982, 79.76
404.0, 0.0970, 79.98
405.0, 0.0958, 80.20
406.0, 0.0947, 80.40
407.0, 0.0936, 80.62
408.0, 0.0924, 80.84
409.0, 0.0913, 81.03
410.0, 0.0905, 81.18
411.0, 0.0897, 81.34
412.0, 0.0889, 81.49
413.0, 0.0880, 81.66
414.0, 0.0869, 81.87
415.0, 0.0859, 82.06
416.0, 0.0849, 82.25
417.0, 0.0840, 82.42
418.0, 0.0832, 82.56
419.0, 0.0823, 82.74
420.0, 0.0813, 82.93
421.0, 0.0803, 83.11
422.0, 0.0796, 83.25
423.0, 0.0789, 83.38
424.0, 0.0783, 83.51
425.0, 0.0775, 83.66
426.0, 0.0768, 83.80
427.0, 0.0760, 83.94
428.0, 0.0754, 84.07
429.0, 0.0746, 84.22
430.0, 0.0738, 84.37
431.0, 0.0730, 84.53
432.0, 0.0722, 84.67
433.0, 0.0716, 84.80
434.0, 0.0709, 84.93
435.0, 0.0704, 85.03
436.0, 0.0697, 85.16
437.0, 0.0691, 85.28
438.0, 0.0684, 85.42
439.0, 0.0677, 85.57
440.0, 0.0670, 85.71
441.0, 0.0663, 85.84
442.0, 0.0657, 85.96
443.0, 0.0647, 86.16
444.0, 0.0643, 86.23
445.0, 0.0636, 86.37
446.0, 0.0631, 86.47
447.0, 0.0627, 86.56
448.0, 0.0623, 86.64
449.0, 0.0617, 86.75
450.0, 0.0615, 86.80
