Sample Name, Sample-132
Time, February 06 15:24:42 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.0268, 9.40
301.0, 0.9520, 11.17
302.0, 0.8785, 13.23
303.0, 0.8080, 15.56
304.0, 0.7452, 17.98
305.0, 0.6833, 20.73
306.0, 0.6234, 23.80
307.0, 0.5741, 26.66
308.0, 0.5324, 29.35
309.0, 0.4987, 31.72
310.0, 0.4708, 33.82
311.0, 0.4471, 35.72
312.0, 0.4285, 37.28
313.0, 0.4135, 38.59
314.0, 0.4013, 39.70
315.0, 0.3908, 40.66
316.0, 0.3821, 41.48
317.0, 0.3735, 42.31
318.0, 0.3651, 43.14
319.0, 0.3576, 43.89
320.0, 0.3509, 44.57
321.0, 0.3447, 45.22
322.0, 0.3386, 45.86
323.0, 0.3328, 46.47
324.0, 0.3272, 47.07
325.0, 0.3220, 47.65
326.0, 0.3170, 48.19
327.0, 0.3123, 48.72
328.0, 0.3076, 49.25
329.0, 0.3028, 49.80
330.0, 0.3000, 50.12
331.0, 0.2914, 51.12
332.0, 0.2858, 51.79
333.0, 0.2808, 52.38
334.0, 0.2754, 53.04
335.0, 0.2704, 53.66
336.0, 0.2650, 54.32
337.0, 0.2598, 54.98
338.0, 0.2550, 55.59
339.0, 0.2520, 55.98
340.0, 0.2141, 61.08
341.0, 0.2111, 61.50
342.0, 0.2088, 61.83
343.0, 0.2059, 62.24
344.0, 0.2035, 62.59
345.0, 0.2009, 62.96
346.0, 0.1986, 63.30
347.0, 0.1961, 63.67
348.0, 0.1941, 63.96
349.0, 0.1915, 64.34
350.0, 0.1893, 64.68
351.0, 0.1867, 65.06
352.0, 0.1843, 65.41
353.0, 0.1818, 65.80
354.0, 0.1789, 66.23
355.0, 0.1759, 66.69
356.0, 0.1729, 67.16
357.0, 0.1704, 67.55
358.0, 0.1671, 68.06
359.0, 0.1639, 68.57
360.0, 0.1605, 69.10
361.0, 0.1581, 69.48
362.0, 0.1555, 69.90
363.0, 0.1535, 70.22
364.0, 0.1510, 70.64
365.0, 0.1485, 71.04
366.0, 0.1452, 71.59
367.0, 0.1419, 72.12
368.0, 0.1387, 72.67
369.0, 0.1355, 73.20
370.0, 0.1338, 73.49
371.0, 0.1391, 72.60
372.0, 0.1370, 72.95
373.0, 0.1352, 73.25
374.0, 0.1335, 73.53
375.0, 0.1319, 73.81
376.0, 0.1301, 74.11
377.0, 0.1283, 74.42
378.0, 0.1265, 74.74
379.0, 0.1247, 75.04
380.0, 0.1230, 75.34
381.0, 0.1216, 75.57
382.0, 0.1199, 75.88
383.0, 0.1181, 76.19
384.0, 0.1171, 76.37
385.0, 0.1149, 76.75
386.0, 0.1135, 77.00
387.0, 0.1121, 77.26
388.0, 0.1109, 77.46
389.0, 0.1094, 77.74
390.0, 0.1078, 78.03
391.0, 0.1063, 78.29
392.0, 0.1049, 78.54
393.0, 0.1036, 78.77
394.0, 0.1022, 79.03
395.0, 0.1006, 79.32
396.0, 0.0993, 79.56
397.0, 0.0979, 79.82
398.0, 0.0969, 80.00
399.0, 0.0956, 80.23
400.0, 0.0945, 80.44
401.0, 0.0934, 80.66
402.0, 0.0920, 80.90
403.0, 0.0909, 81.12
404.0, 0.0895, 81.37
405.0, 0.0884, 81.58
406.0, 0.0873, 81.79
407.0, 0.0862, 82.00
408.0, 0.0852, 82.19
409.0, 0.0841, 82.40
410.0, 0.0833, 82.55
411.0, 0.0824, 82.72
412.0, 0.0815, 82.88
413.0, 0.0806, 83.06
414.0, 0.0795, 83.27
415.0, 0.0784, 83.48
416.0, 0.0774, 83.68
417.0, 0.0765, 83.84
418.0, 0.0758, 83.98
419.0, 0.0750, 84.14
420.0, 0.0740, 84.33
421.0, 0.0731, 84.52
422.0, 0.0724, 84.64
423.0, 0.0717, 84.78
424.0, 0.0710, 84.91
425.0, 0.0703, 85.05
426.0, 0.0695, 85.20
427.0, 0.0688, 85.35
428.0, 0.0681, 85.48
429.0, 0.0674, 85.62
430.0, 0.0667, 85.76
431.0, 0.0658, 85.94
432.0, 0.0651, 86.07
433.0, 0.0645, 86.20
434.0, 0.0639, 86.32
435.0, 0.0634, 86.42
436.0, 0.0627, 86.55
437.0, 0.0621, 86.67
438.0, 0.0615, 86.80
439.0, 0.0607, 86.95
440.0, 0.0601, 87.07
441.0, 0.0595, 87.19
442.0, 0.0590, 87.30
443.0, 0.0581, 87.47
444.0, 0.0577, 87.56
445.0, 0.0570, 87.71
446.0, 0.0563, 87.85
447.0, 0.0558, 87.93
448.0, 0.0555, 88.00
449.0, 0.0551, 88.08
450.0, 0.0549, 88.13
