Sample Name, Sample-135
Time, February 06 15:29:27 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 1.0991, 7.96
301.0, 1.0385, 9.15
302.0, 0.9725, 10.65
303.0, 0.9073, 12.38
304.0, 0.8464, 14.24
305.0, 0.7845, 16.42
306.0, 0.7230, 18.93
307.0, 0.6711, 21.32
308.0, 0.6274, 23.58
309.0, 0.5911, 25.64
310.0, 0.5604, 27.52
311.0, 0.5342, 29.23
312.0, 0.5134, 30.66
313.0, 0.4967, 31.87
314.0, 0.4827, 32.91
315.0, 0.4706, 33.84
316.0, 0.4606, 34.63
317.0, 0.4510, 35.40
318.0, 0.4414, 36.19
319.0, 0.4326, 36.93
320.0, 0.4247, 37.61
321.0, 0.4172, 38.27
322.0, 0.4101, 38.90
323.0, 0.4027, 39.56
324.0, 0.3960, 40.18
325.0, 0.3898, 40.76
326.0, 0.3838, 41.32
327.0, 0.3779, 41.89
328.0, 0.3723, 42.44
329.0, 0.3665, 43.01
330.0, 0.3629, 43.36
331.0, 0.3525, 44.42
332.0, 0.3457, 45.11
333.0, 0.3395, 45.76
334.0, 0.3333, 46.42
335.0, 0.3269, 47.10
336.0, 0.3205, 47.81
337.0, 0.3147, 48.45
338.0, 0.3090, 49.09
339.0, 0.3049, 49.56
340.0, 0.2560, 55.46
341.0, 0.2532, 55.82
342.0, 0.2499, 56.25
343.0, 0.2465, 56.69
344.0, 0.2444, 56.97
345.0, 0.2410, 57.41
346.0, 0.2380, 57.80
347.0, 0.2352, 58.18
348.0, 0.2329, 58.49
349.0, 0.2300, 58.89
350.0, 0.2276, 59.22
351.0, 0.2247, 59.60
352.0, 0.2217, 60.02
353.0, 0.2188, 60.42
354.0, 0.2155, 60.89
355.0, 0.2120, 61.38
356.0, 0.2086, 61.85
357.0, 0.2056, 62.29
358.0, 0.2022, 62.78
359.0, 0.1984, 63.33
360.0, 0.1946, 63.89
361.0, 0.1918, 64.30
362.0, 0.1887, 64.76
363.0, 0.1861, 65.14
364.0, 0.1829, 65.63
365.0, 0.1803, 66.02
366.0, 0.1764, 66.62
367.0, 0.1723, 67.25
368.0, 0.1687, 67.81
369.0, 0.1649, 68.41
370.0, 0.1623, 68.81
371.0, 0.1697, 67.65
372.0, 0.1677, 67.97
373.0, 0.1655, 68.31
374.0, 0.1635, 68.63
375.0, 0.1617, 68.92
376.0, 0.1599, 69.20
377.0, 0.1578, 69.53
378.0, 0.1557, 69.87
379.0, 0.1537, 70.19
380.0, 0.1515, 70.55
381.0, 0.1497, 70.85
382.0, 0.1479, 71.15
383.0, 0.1461, 71.43
384.0, 0.1451, 71.60
385.0, 0.1425, 72.03
386.0, 0.1409, 72.29
387.0, 0.1393, 72.56
388.0, 0.1377, 72.83
389.0, 0.1359, 73.13
390.0, 0.1341, 73.43
391.0, 0.1325, 73.70
392.0, 0.1310, 73.96
393.0, 0.1296, 74.20
394.0, 0.1281, 74.45
395.0, 0.1267, 74.70
396.0, 0.1251, 74.97
397.0, 0.1235, 75.25
398.0, 0.1224, 75.44
399.0, 0.1211, 75.67
400.0, 0.1198, 75.90
401.0, 0.1185, 76.13
402.0, 0.1172, 76.35
403.0, 0.1158, 76.60
404.0, 0.1144, 76.85
405.0, 0.1130, 77.09
406.0, 0.1119, 77.29
407.0, 0.1107, 77.50
408.0, 0.1094, 77.73
409.0, 0.1081, 77.97
410.0, 0.1071, 78.14
411.0, 0.1063, 78.28
412.0, 0.1053, 78.47
413.0, 0.1042, 78.66
414.0, 0.1030, 78.88
415.0, 0.1020, 79.07
416.0, 0.1010, 79.25
417.0, 0.0999, 79.46
418.0, 0.0991, 79.61
419.0, 0.0981, 79.78
420.0, 0.0972, 79.95
421.0, 0.0963, 80.11
422.0, 0.0955, 80.27
423.0, 0.0947, 80.41
424.0, 0.0939, 80.55
425.0, 0.0931, 80.70
426.0, 0.0924, 80.84
427.0, 0.0915, 80.99
428.0, 0.0907, 81.16
429.0, 0.0898, 81.32
430.0, 0.0891, 81.46
431.0, 0.0882, 81.61
432.0, 0.0875, 81.75
433.0, 0.0867, 81.90
434.0, 0.0859, 82.06
435.0, 0.0853, 82.17
436.0, 0.0847, 82.29
437.0, 0.0839, 82.43
438.0, 0.0832, 82.57
439.0, 0.0824, 82.73
440.0, 0.0816, 82.87
441.0, 0.0809, 83.00
442.0, 0.0804, 83.11
443.0, 0.0794, 83.29
444.0, 0.0788, 83.41
445.0, 0.0779, 83.57
446.0, 0.0773, 83.70
447.0, 0.0768, 83.80
448.0, 0.0762, 83.91
449.0, 0.0756, 84.03
450.0, 0.0753, 84.08
