Sample Name, Sample-140
Time, February 06 15:36:06 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 0.9858, 10.33
301.0, 0.9058, 12.42
302.0, 0.8272, 14.89
303.0, 0.7541, 17.61
304.0, 0.6898, 20.43
305.0, 0.6279, 23.56
306.0, 0.5676, 27.06
307.0, 0.5181, 30.34
308.0, 0.4772, 33.32
309.0, 0.4442, 35.96
310.0, 0.4171, 38.28
311.0, 0.3942, 40.34
312.0, 0.3760, 42.07
313.0, 0.3618, 43.47
314.0, 0.3501, 44.65
315.0, 0.3405, 45.65
316.0, 0.3325, 46.51
317.0, 0.3247, 47.34
318.0, 0.3175, 48.14
319.0, 0.3109, 48.87
320.0, 0.3049, 49.55
321.0, 0.2994, 50.19
322.0, 0.2945, 50.76
323.0, 0.2894, 51.36
324.0, 0.2845, 51.94
325.0, 0.2801, 52.47
326.0, 0.2759, 52.98
327.0, 0.2717, 53.49
328.0, 0.2678, 53.98
329.0, 0.2638, 54.48
330.0, 0.2615, 54.76
331.0, 0.2542, 55.70
332.0, 0.2498, 56.26
333.0, 0.2454, 56.83
334.0, 0.2410, 57.41
335.0, 0.2368, 57.97
336.0, 0.2326, 58.53
337.0, 0.2284, 59.11
338.0, 0.2242, 59.67
339.0, 0.2216, 60.04
340.0, 0.1886, 64.78
341.0, 0.1865, 65.08
342.0, 0.1842, 65.44
343.0, 0.1816, 65.83
344.0, 0.1798, 66.10
345.0, 0.1777, 66.42
346.0, 0.1760, 66.68
347.0, 0.1740, 67.00
348.0, 0.1721, 67.28
349.0, 0.1701, 67.59
350.0, 0.1685, 67.84
351.0, 0.1665, 68.16
352.0, 0.1645, 68.48
353.0, 0.1622, 68.83
354.0, 0.1599, 69.20
355.0, 0.1572, 69.63
356.0, 0.1549, 70.00
357.0, 0.1526, 70.37
358.0, 0.1501, 70.77
359.0, 0.1477, 71.18
360.0, 0.1448, 71.64
361.0, 0.1426, 72.00
362.0, 0.1408, 72.31
363.0, 0.1389, 72.63
364.0, 0.1367, 73.00
365.0, 0.1349, 73.30
366.0, 0.1318, 73.82
367.0, 0.1293, 74.24
368.0, 0.1265, 74.73
369.0, 0.1236, 75.24
370.0, 0.1218, 75.54
371.0, 0.1272, 74.61
372.0, 0.1257, 74.86
373.0, 0.1242, 75.12
374.0, 0.1229, 75.35
375.0, 0.1217, 75.56
376.0, 0.1203, 75.81
377.0, 0.1187, 76.09
378.0, 0.1173, 76.33
379.0, 0.1161, 76.54
380.0, 0.1146, 76.81
381.0, 0.1135, 77.01
382.0, 0.1121, 77.25
383.0, 0.1107, 77.50
384.0, 0.1098, 77.66
385.0, 0.1082, 77.94
386.0, 0.1069, 78.17
387.0, 0.1056, 78.41
388.0, 0.1046, 78.59
389.0, 0.1035, 78.80
390.0, 0.1022, 79.03
391.0, 0.1012, 79.22
392.0, 0.0999, 79.45
393.0, 0.0988, 79.65
394.0, 0.0977, 79.86
395.0, 0.0964, 80.09
396.0, 0.0952, 80.31
397.0, 0.0942, 80.50
398.0, 0.0933, 80.66
399.0, 0.0922, 80.87
400.0, 0.0913, 81.04
401.0, 0.0903, 81.22
402.0, 0.0893, 81.41
403.0, 0.0884, 81.59
404.0, 0.0872, 81.81
405.0, 0.0861, 82.02
406.0, 0.0851, 82.21
407.0, 0.0841, 82.40
408.0, 0.0831, 82.58
409.0, 0.0823, 82.73
410.0, 0.0817, 82.85
411.0, 0.0810, 82.99
412.0, 0.0802, 83.13
413.0, 0.0794, 83.29
414.0, 0.0786, 83.45
415.0, 0.0777, 83.62
416.0, 0.0769, 83.77
417.0, 0.0761, 83.92
418.0, 0.0756, 84.01
419.0, 0.0749, 84.17
420.0, 0.0742, 84.30
421.0, 0.0733, 84.47
422.0, 0.0727, 84.59
423.0, 0.0722, 84.69
424.0, 0.0715, 84.83
425.0, 0.0709, 84.94
426.0, 0.0703, 85.06
427.0, 0.0698, 85.16
428.0, 0.0691, 85.29
429.0, 0.0684, 85.43
430.0, 0.0678, 85.55
431.0, 0.0672, 85.67
432.0, 0.0667, 85.76
433.0, 0.0661, 85.89
434.0, 0.0655, 86.00
435.0, 0.0650, 86.10
436.0, 0.0645, 86.19
437.0, 0.0641, 86.28
438.0, 0.0633, 86.43
439.0, 0.0628, 86.54
440.0, 0.0622, 86.66
441.0, 0.0617, 86.77
442.0, 0.0612, 86.85
443.0, 0.0605, 86.99
444.0, 0.0600, 87.10
445.0, 0.0595, 87.20
446.0, 0.0590, 87.30
447.0, 0.0587, 87.36
448.0, 0.0583, 87.45
449.0, 0.0578, 87.53
450.0, 0.0575, 87.60
