Sample Name, Sample-141
Time, February 06 15:37:09 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 0.9946, 10.13
301.0, 0.9144, 12.18
302.0, 0.8353, 14.61
303.0, 0.7622, 17.29
304.0, 0.6982, 20.04
305.0, 0.6351, 23.17
306.0, 0.5739, 26.68
307.0, 0.5231, 29.98
308.0, 0.4816, 32.99
309.0, 0.4485, 35.60
310.0, 0.4207, 37.96
311.0, 0.3977, 40.02
312.0, 0.3797, 41.72
313.0, 0.3651, 43.14
314.0, 0.3535, 44.31
315.0, 0.3435, 45.34
316.0, 0.3351, 46.22
317.0, 0.3275, 47.05
318.0, 0.3198, 47.89
319.0, 0.3132, 48.62
320.0, 0.3070, 49.31
321.0, 0.3015, 49.95
322.0, 0.2964, 50.53
323.0, 0.2915, 51.11
324.0, 0.2868, 51.67
325.0, 0.2824, 52.19
326.0, 0.2782, 52.70
327.0, 0.2737, 53.25
328.0, 0.2697, 53.75
329.0, 0.2659, 54.22
330.0, 0.2637, 54.49
331.0, 0.2566, 55.39
332.0, 0.2517, 56.01
333.0, 0.2474, 56.57
334.0, 0.2428, 57.17
335.0, 0.2384, 57.75
336.0, 0.2341, 58.33
337.0, 0.2299, 58.89
338.0, 0.2261, 59.42
339.0, 0.2230, 59.84
340.0, 0.1901, 64.55
341.0, 0.1876, 64.93
342.0, 0.1852, 65.29
343.0, 0.1826, 65.68
344.0, 0.1810, 65.92
345.0, 0.1790, 66.22
346.0, 0.1769, 66.54
347.0, 0.1744, 66.93
348.0, 0.1727, 67.18
349.0, 0.1706, 67.51
350.0, 0.1693, 67.71
351.0, 0.1673, 68.03
352.0, 0.1655, 68.31
353.0, 0.1628, 68.74
354.0, 0.1607, 69.07
355.0, 0.1580, 69.51
356.0, 0.1555, 69.91
357.0, 0.1531, 70.30
358.0, 0.1507, 70.69
359.0, 0.1479, 71.14
360.0, 0.1454, 71.55
361.0, 0.1433, 71.89
362.0, 0.1411, 72.26
363.0, 0.1390, 72.61
364.0, 0.1371, 72.93
365.0, 0.1354, 73.22
366.0, 0.1324, 73.73
367.0, 0.1295, 74.21
368.0, 0.1270, 74.64
369.0, 0.1242, 75.13
370.0, 0.1225, 75.42
371.0, 0.1276, 74.53
372.0, 0.1263, 74.76
373.0, 0.1248, 75.03
374.0, 0.1235, 75.26
375.0, 0.1222, 75.48
376.0, 0.1206, 75.76
377.0, 0.1191, 76.01
378.0, 0.1176, 76.27
379.0, 0.1164, 76.49
380.0, 0.1148, 76.77
381.0, 0.1137, 76.97
382.0, 0.1126, 77.16
383.0, 0.1110, 77.44
384.0, 0.1101, 77.60
385.0, 0.1086, 77.87
386.0, 0.1074, 78.10
387.0, 0.1061, 78.32
388.0, 0.1050, 78.52
389.0, 0.1037, 78.76
390.0, 0.1024, 79.00
391.0, 0.1013, 79.20
392.0, 0.1002, 79.40
393.0, 0.0994, 79.55
394.0, 0.0981, 79.78
395.0, 0.0969, 79.99
396.0, 0.0957, 80.23
397.0, 0.0947, 80.41
398.0, 0.0939, 80.56
399.0, 0.0926, 80.80
400.0, 0.0917, 80.96
401.0, 0.0907, 81.15
402.0, 0.0898, 81.33
403.0, 0.0888, 81.50
404.0, 0.0878, 81.70
405.0, 0.0868, 81.89
406.0, 0.0859, 82.05
407.0, 0.0850, 82.23
408.0, 0.0841, 82.40
409.0, 0.0832, 82.56
410.0, 0.0825, 82.69
411.0, 0.0819, 82.81
412.0, 0.0812, 82.94
413.0, 0.0804, 83.10
414.0, 0.0796, 83.26
415.0, 0.0787, 83.42
416.0, 0.0779, 83.57
417.0, 0.0773, 83.69
418.0, 0.0766, 83.82
419.0, 0.0759, 83.96
420.0, 0.0752, 84.10
421.0, 0.0742, 84.29
422.0, 0.0736, 84.42
423.0, 0.0731, 84.50
424.0, 0.0725, 84.63
425.0, 0.0719, 84.74
426.0, 0.0714, 84.85
427.0, 0.0708, 84.95
428.0, 0.0702, 85.07
429.0, 0.0696, 85.20
430.0, 0.0690, 85.32
431.0, 0.0683, 85.45
432.0, 0.0676, 85.58
433.0, 0.0670, 85.70
434.0, 0.0665, 85.80
435.0, 0.0660, 85.90
436.0, 0.0656, 85.98
437.0, 0.0650, 86.09
438.0, 0.0645, 86.21
439.0, 0.0639, 86.32
440.0, 0.0632, 86.45
441.0, 0.0628, 86.54
442.0, 0.0622, 86.65
443.0, 0.0615, 86.80
444.0, 0.0610, 86.90
445.0, 0.0604, 87.01
446.0, 0.0600, 87.09
447.0, 0.0595, 87.20
448.0, 0.0591, 87.27
449.0, 0.0589, 87.32
450.0, 0.0585, 87.41
