Sample Name, Sample-29
Time, February 13 17:00:07 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 2.5704, 0.27
231.0, 2.5693, 0.27
232.0, 2.5824, 0.26
233.0, 2.5859, 0.26
234.0, 2.5957, 0.25
235.0, 2.6018, 0.25
236.0, 2.5905, 0.26
237.0, 2.5893, 0.26
238.0, 2.6068, 0.25
239.0, 2.6049, 0.25
240.0, 2.5936, 0.25
241.0, 2.6028, 0.25
242.0, 2.5873, 0.26
243.0, 2.5872, 0.26
244.0, 2.5722, 0.27
245.0, 2.5598, 0.28
246.0, 2.5578, 0.28
247.0, 2.5525, 0.28
248.0, 2.5381, 0.29
249.0, 2.5354, 0.29
250.0, 2.5238, 0.30
251.0, 2.5051, 0.31
252.0, 2.5075, 0.31
253.0, 2.4911, 0.32
254.0, 2.4854, 0.33
255.0, 2.4796, 0.33
256.0, 2.4733, 0.34
257.0, 2.4602, 0.35
258.0, 2.4560, 0.35
259.0, 2.4434, 0.36
260.0, 2.4286, 0.37
261.0, 2.4211, 0.38
262.0, 2.4202, 0.38
263.0, 2.4099, 0.39
264.0, 2.4026, 0.40
265.0, 2.3903, 0.41
266.0, 2.3753, 0.42
267.0, 2.3719, 0.42
268.0, 2.3614, 0.44
269.0, 2.3520, 0.44
270.0, 2.3421, 0.45
271.0, 2.3318, 0.47
272.0, 2.3298, 0.47
273.0, 2.3109, 0.49
274.0, 2.3155, 0.48
275.0, 2.3107, 0.49
276.0, 2.2994, 0.50
277.0, 2.2997, 0.50
278.0, 2.2908, 0.51
279.0, 2.2890, 0.51
280.0, 2.2840, 0.52
281.0, 2.2761, 0.53
282.0, 2.2711, 0.54
283.0, 2.2657, 0.54
284.0, 2.2718, 0.53
285.0, 2.2620, 0.55
286.0, 2.2693, 0.54
287.0, 2.2605, 0.55
288.0, 2.2571, 0.55
289.0, 2.2533, 0.56
290.0, 2.2534, 0.56
291.0, 2.2482, 0.56
292.0, 2.2387, 0.58
293.0, 2.2461, 0.57
294.0, 2.2361, 0.58
295.0, 2.2290, 0.59
296.0, 2.2286, 0.59
297.0, 2.2128, 0.61
298.0, 2.2162, 0.61
299.0, 2.1946, 0.64
300.0, 2.1511, 0.71
301.0, 2.0561, 0.88
302.0, 1.9111, 1.23
303.0, 1.7340, 1.85
304.0, 1.5349, 2.92
305.0, 1.3347, 4.63
306.0, 1.1499, 7.08
307.0, 0.9986, 10.03
308.0, 0.8732, 13.39
309.0, 0.7719, 16.91
310.0, 0.6901, 20.41
311.0, 0.6220, 23.88
312.0, 0.5693, 26.96
313.0, 0.5281, 29.64
314.0, 0.4973, 31.82
315.0, 0.4740, 33.57
316.0, 0.4530, 35.24
317.0, 0.4353, 36.70
318.0, 0.4200, 38.02
319.0, 0.4075, 39.13
320.0, 0.3964, 40.14
321.0, 0.3870, 41.02
322.0, 0.3791, 41.77
323.0, 0.3714, 42.52
324.0, 0.3643, 43.22
325.0, 0.3579, 43.86
326.0, 0.3521, 44.45
327.0, 0.3470, 44.98
328.0, 0.3415, 45.55
329.0, 0.3364, 46.09
330.0, 0.3332, 46.43
331.0, 0.3245, 47.37
332.0, 0.3189, 47.98
333.0, 0.3135, 48.58
334.0, 0.3082, 49.18
335.0, 0.3027, 49.80
336.0, 0.2972, 50.45
337.0, 0.2921, 51.04
338.0, 0.2875, 51.59
339.0, 0.2850, 51.88
340.0, 0.2721, 53.44
341.0, 0.2672, 54.05
342.0, 0.2624, 54.65
343.0, 0.2581, 55.19
344.0, 0.2534, 55.80
345.0, 0.2486, 56.41
346.0, 0.2440, 57.02
347.0, 0.2398, 57.57
348.0, 0.2355, 58.15
349.0, 0.2315, 58.68
350.0, 0.2274, 59.23
351.0, 0.2236, 59.76
352.0, 0.2195, 60.32
353.0, 0.2161, 60.80
354.0, 0.2120, 61.38
355.0, 0.2082, 61.91
356.0, 0.2042, 62.49
357.0, 0.2004, 63.04
358.0, 0.1968, 63.56
359.0, 0.1935, 64.05
360.0, 0.1897, 64.61
361.0, 0.1862, 65.13
362.0, 0.1831, 65.60
363.0, 0.1804, 66.01
364.0, 0.1774, 66.46
365.0, 0.1740, 66.99
366.0, 0.1707, 67.49
367.0, 0.1678, 67.95
368.0, 0.1649, 68.41
369.0, 0.1620, 68.86
370.0, 0.1605, 69.11
371.0, 0.1572, 69.62
372.0, 0.1542, 70.12
373.0, 0.1516, 70.53
374.0, 0.1491, 70.94
375.0, 0.1469, 71.30
376.0, 0.1447, 71.66
377.0, 0.1424, 72.04
378.0, 0.1399, 72.46
379.0, 0.1375, 72.87
380.0, 0.1351, 73.27
381.0, 0.1327, 73.67
382.0, 0.1304, 74.06
383.0, 0.1282, 74.44
384.0, 0.1272, 74.62
385.0, 0.1236, 75.23
386.0, 0.1218, 75.54
387.0, 0.1199, 75.87
388.0, 0.1179, 76.23
389.0, 0.1162, 76.52
390.0, 0.1142, 76.88
391.0, 0.1125, 77.18
392.0, 0.1106, 77.53
393.0, 0.1087, 77.86
394.0, 0.1069, 78.19
395.0, 0.1050, 78.52
396.0, 0.1032, 78.84
397.0, 0.1018, 79.11
398.0, 0.1002, 79.41
399.0, 0.0988, 79.65
400.0, 0.0973, 79.92
401.0, 0.0958, 80.21
402.0, 0.0943, 80.48
403.0, 0.0927, 80.77
404.0, 0.0914, 81.03
405.0, 0.0899, 81.30
406.0, 0.0886, 81.54
407.0, 0.0873, 81.79
408.0, 0.0860, 82.04
409.0, 0.0847, 82.28
410.0, 0.0836, 82.48
411.0, 0.0824, 82.71
412.0, 0.0814, 82.91
413.0, 0.0805, 83.08
