Sample Name, Sample-30
Time, February 13 17:01:37 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, 2.5587, 0.28
231.0, 2.5663, 0.27
232.0, 2.5686, 0.27
233.0, 2.5838, 0.26
234.0, 2.5875, 0.26
235.0, 2.5892, 0.26
236.0, 2.5980, 0.25
237.0, 2.5871, 0.26
238.0, 2.6022, 0.25
239.0, 2.5872, 0.26
240.0, 2.5860, 0.26
241.0, 2.5802, 0.26
242.0, 2.5709, 0.27
243.0, 2.5793, 0.26
244.0, 2.5736, 0.27
245.0, 2.5648, 0.27
246.0, 2.5573, 0.28
247.0, 2.5434, 0.29
248.0, 2.5390, 0.29
249.0, 2.5371, 0.29
250.0, 2.5268, 0.30
251.0, 2.5212, 0.30
252.0, 2.5029, 0.31
253.0, 2.4957, 0.32
254.0, 2.4932, 0.32
255.0, 2.4757, 0.33
256.0, 2.4845, 0.33
257.0, 2.4646, 0.34
258.0, 2.4523, 0.35
259.0, 2.4386, 0.36
260.0, 2.4306, 0.37
261.0, 2.4214, 0.38
262.0, 2.4053, 0.39
263.0, 2.3905, 0.41
264.0, 2.3837, 0.41
265.0, 2.3820, 0.41
266.0, 2.3753, 0.42
267.0, 2.3669, 0.43
268.0, 2.3674, 0.43
269.0, 2.3534, 0.44
270.0, 2.3468, 0.45
271.0, 2.3395, 0.46
272.0, 2.3302, 0.47
273.0, 2.3185, 0.48
274.0, 2.3149, 0.48
275.0, 2.3163, 0.48
276.0, 2.3044, 0.50
277.0, 2.3002, 0.50
278.0, 2.3009, 0.50
279.0, 2.2980, 0.50
280.0, 2.2897, 0.51
281.0, 2.2870, 0.52
282.0, 2.2833, 0.52
283.0, 2.2788, 0.53
284.0, 2.2734, 0.53
285.0, 2.2688, 0.54
286.0, 2.2669, 0.54
287.0, 2.2558, 0.55
288.0, 2.2511, 0.56
289.0, 2.2473, 0.57
290.0, 2.2483, 0.56
291.0, 2.2475, 0.57
292.0, 2.2357, 0.58
293.0, 2.2393, 0.58
294.0, 2.2413, 0.57
295.0, 2.2332, 0.58
296.0, 2.2312, 0.59
297.0, 2.2189, 0.60
298.0, 2.2207, 0.60
299.0, 2.2040, 0.63
300.0, 2.1594, 0.69
301.0, 2.0691, 0.85
302.0, 1.9244, 1.19
303.0, 1.7424, 1.81
304.0, 1.5446, 2.85
305.0, 1.3460, 4.51
306.0, 1.1600, 6.92
307.0, 1.0050, 9.88
308.0, 0.8793, 13.20
309.0, 0.7773, 16.70
310.0, 0.6924, 20.30
311.0, 0.6240, 23.77
312.0, 0.5706, 26.88
313.0, 0.5295, 29.55
314.0, 0.4987, 31.72
315.0, 0.4746, 33.53
316.0, 0.4529, 35.24
317.0, 0.4351, 36.72
318.0, 0.4195, 38.06
319.0, 0.4065, 39.22
320.0, 0.3955, 40.23
321.0, 0.3860, 41.11
322.0, 0.3778, 41.90
323.0, 0.3702, 42.64
324.0, 0.3632, 43.33
325.0, 0.3567, 43.98
326.0, 0.3508, 44.58
327.0, 0.3457, 45.11
328.0, 0.3401, 45.69
329.0, 0.3351, 46.23
330.0, 0.3319, 46.57
331.0, 0.3231, 47.53
332.0, 0.3176, 48.13
333.0, 0.3123, 48.72
334.0, 0.3069, 49.33
335.0, 0.3013, 49.97
336.0, 0.2959, 50.59
337.0, 0.2905, 51.22
338.0, 0.2861, 51.75
339.0, 0.2835, 52.06
340.0, 0.2712, 53.55
341.0, 0.2661, 54.19
342.0, 0.2614, 54.78
343.0, 0.2566, 55.38
344.0, 0.2523, 55.94
345.0, 0.2475, 56.55
346.0, 0.2431, 57.14
347.0, 0.2388, 57.70
348.0, 0.2342, 58.32
349.0, 0.2299, 58.90
350.0, 0.2265, 59.37
351.0, 0.2228, 59.87
352.0, 0.2190, 60.40
353.0, 0.2150, 60.95
354.0, 0.2110, 61.52
355.0, 0.2072, 62.05
356.0, 0.2034, 62.60
357.0, 0.1996, 63.16
358.0, 0.1960, 63.68
359.0, 0.1924, 64.21
360.0, 0.1888, 64.74
361.0, 0.1855, 65.24
362.0, 0.1824, 65.71
363.0, 0.1798, 66.10
364.0, 0.1765, 66.61
365.0, 0.1735, 67.07
366.0, 0.1702, 67.57
367.0, 0.1673, 68.03
368.0, 0.1640, 68.54
369.0, 0.1612, 68.99
370.0, 0.1599, 69.20
371.0, 0.1568, 69.69
372.0, 0.1541, 70.12
373.0, 0.1516, 70.53
374.0, 0.1491, 70.95
375.0, 0.1468, 71.33
376.0, 0.1447, 71.66
377.0, 0.1423, 72.06
378.0, 0.1396, 72.51
379.0, 0.1372, 72.90
380.0, 0.1347, 73.34
381.0, 0.1325, 73.70
382.0, 0.1303, 74.08
383.0, 0.1283, 74.42
384.0, 0.1270, 74.64
385.0, 0.1237, 75.22
386.0, 0.1219, 75.52
387.0, 0.1201, 75.84
388.0, 0.1181, 76.20
389.0, 0.1164, 76.49
390.0, 0.1144, 76.84
391.0, 0.1125, 77.19
392.0, 0.1106, 77.52
393.0, 0.1088, 77.84
394.0, 0.1071, 78.15
395.0, 0.1052, 78.48
396.0, 0.1035, 78.80
397.0, 0.1019, 79.08
398.0, 0.1004, 79.36
399.0, 0.0989, 79.64
400.0, 0.0976, 79.87
401.0, 0.0961, 80.15
402.0, 0.0947, 80.42
403.0, 0.0930, 80.73
404.0, 0.0916, 80.99
405.0, 0.0902, 81.25
406.0, 0.0889, 81.49
407.0, 0.0877, 81.71
408.0, 0.0863, 81.99
409.0, 0.0849, 82.24
410.0, 0.0839, 82.43
411.0, 0.0827, 82.66
412.0, 0.0816, 82.86
413.0, 0.0808, 83.02
414.0, 0.0794, 83.29
415.0, 0.0785, 83.46
416.0, 0.0773, 83.70
417.0, 0.0762, 83.90
418.0, 0.0753, 84.09
419.0, 0.0742, 84.29
420.0, 0.0733, 84.47
421.0, 0.0724, 84.65
422.0, 0.0714, 84.83
423.0, 0.0707, 84.98
424.0, 0.0698, 85.15
425.0, 0.0690, 85.31
426.0, 0.0681, 85.49
427.0, 0.0673, 85.64
428.0, 0.0665, 85.81
429.0, 0.0657, 85.96
430.0, 0.0648, 86.14
431.0, 0.0640, 86.30
432.0, 0.0632, 86.46
433.0, 0.0625, 86.60
434.0, 0.0618, 86.73
435.0, 0.0613, 86.84
436.0, 0.0606, 86.99
437.0, 0.0598, 87.14
