Sample Name, Sample-152
Time, February 06 15:51:00 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 0.0064, 98.54
301.0, 0.0056, 98.71
302.0, 0.0050, 98.85
303.0, 0.0044, 98.99
304.0, 0.0038, 99.12
305.0, 0.0037, 99.16
306.0, 0.0031, 99.29
307.0, 0.0028, 99.36
308.0, 0.0025, 99.42
309.0, 0.0025, 99.43
310.0, 0.0025, 99.43
311.0, 0.0023, 99.48
312.0, 0.0022, 99.49
313.0, 0.0022, 99.49
314.0, 0.0021, 99.52
315.0, 0.0020, 99.53
316.0, 0.0021, 99.52
317.0, 0.0018, 99.59
318.0, 0.0019, 99.56
319.0, 0.0019, 99.56
320.0, 0.0020, 99.54
321.0, 0.0019, 99.55
322.0, 0.0020, 99.54
323.0, 0.0019, 99.56
324.0, 0.0021, 99.52
325.0, 0.0022, 99.49
326.0, 0.0022, 99.50
327.0, 0.0022, 99.50
328.0, 0.0023, 99.48
329.0, 0.0020, 99.54
330.0, 0.0022, 99.49
331.0, 0.0020, 99.54
332.0, 0.0019, 99.56
333.0, 0.0019, 99.56
334.0, 0.0018, 99.58
335.0, 0.0020, 99.54
336.0, 0.0021, 99.53
337.0, 0.0022, 99.49
338.0, 0.0020, 99.54
339.0, 0.0021, 99.52
340.0, 0.0037, 99.16
341.0, 0.0037, 99.16
342.0, 0.0031, 99.28
343.0, 0.0028, 99.36
344.0, 0.0026, 99.41
345.0, 0.0029, 99.32
346.0, 0.0034, 99.22
347.0, 0.0032, 99.26
348.0, 0.0030, 99.32
349.0, 0.0026, 99.40
350.0, 0.0026, 99.41
351.0, 0.0025, 99.43
352.0, 0.0026, 99.40
353.0, 0.0024, 99.45
354.0, 0.0025, 99.42
355.0, 0.0024, 99.45
356.0, 0.0021, 99.51
357.0, 0.0023, 99.48
358.0, 0.0022, 99.49
359.0, 0.0020, 99.55
360.0, 0.0018, 99.59
361.0, 0.0021, 99.51
362.0, 0.0022, 99.50
363.0, 0.0023, 99.48
364.0, 0.0024, 99.45
365.0, 0.0030, 99.32
366.0, 0.0029, 99.33
367.0, 0.0029, 99.33
368.0, 0.0032, 99.26
369.0, 0.0029, 99.32
370.0, 0.0027, 99.37
371.0, 0.0020, 99.55
372.0, 0.0020, 99.53
373.0, 0.0020, 99.55
374.0, 0.0020, 99.55
375.0, 0.0021, 99.52
376.0, 0.0019, 99.57
377.0, 0.0017, 99.61
378.0, 0.0015, 99.66
379.0, 0.0014, 99.67
380.0, 0.0012, 99.73
381.0, 0.0014, 99.67
382.0, 0.0014, 99.67
383.0, 0.0012, 99.73
384.0, 0.0011, 99.74
385.0, 0.0016, 99.62
386.0, 0.0014, 99.68
387.0, 0.0013, 99.71
388.0, 0.0012, 99.72
389.0, 0.0012, 99.71
390.0, 0.0010, 99.77
391.0, 0.0011, 99.75
392.0, 0.0009, 99.80
393.0, 0.0013, 99.71
394.0, 0.0011, 99.75
395.0, 0.0010, 99.76
396.0, 0.0010, 99.77
397.0, 0.0009, 99.80
398.0, 0.0010, 99.76
399.0, 0.0009, 99.79
400.0, 0.0010, 99.76
401.0, 0.0009, 99.78
402.0, 0.0009, 99.79
403.0, 0.0010, 99.76
404.0, 0.0008, 99.81
405.0, 0.0007, 99.84
406.0, 0.0008, 99.82
407.0, 0.0008, 99.82
408.0, 0.0007, 99.83
409.0, 0.0007, 99.85
410.0, 0.0006, 99.86
411.0, 0.0006, 99.86
412.0, 0.0008, 99.82
413.0, 0.0008, 99.80
414.0, 0.0008, 99.82
415.0, 0.0007, 99.83
416.0, 0.0007, 99.84
417.0, 0.0007, 99.83
418.0, 0.0008, 99.81
419.0, 0.0008, 99.81
420.0, 0.0009, 99.80
421.0, 0.0007, 99.83
422.0, 0.0007, 99.83
423.0, 0.0007, 99.85
424.0, 0.0007, 99.84
425.0, 0.0007, 99.85
426.0, 0.0007, 99.84
427.0, 0.0007, 99.83
428.0, 0.0009, 99.80
429.0, 0.0008, 99.81
430.0, 0.0008, 99.82
431.0, 0.0008, 99.81
432.0, 0.0007, 99.83
433.0, 0.0008, 99.82
434.0, 0.0007, 99.83
435.0, 0.0007, 99.85
436.0, 0.0008, 99.82
437.0, 0.0008, 99.81
438.0, 0.0008, 99.82
439.0, 0.0009, 99.80
440.0, 0.0008, 99.83
441.0, 0.0009, 99.79
442.0, 0.0008, 99.82
443.0, 0.0007, 99.84
444.0, 0.0008, 99.82
445.0, 0.0008, 99.82
446.0, 0.0008, 99.81
447.0, 0.0010, 99.78
448.0, 0.0011, 99.75
449.0, 0.0012, 99.73
450.0, 0.0010, 99.76
