Sample Name, Sample-32
Time, February 06 10:46:56 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 450.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 0.9418, 11.44
301.0, 0.8496, 14.14
302.0, 0.7677, 17.07
303.0, 0.6958, 20.15
304.0, 0.6364, 23.10
305.0, 0.5807, 26.26
306.0, 0.5279, 29.65
307.0, 0.4862, 32.64
308.0, 0.4520, 35.32
309.0, 0.4247, 37.61
310.0, 0.4025, 39.58
311.0, 0.3841, 41.30
312.0, 0.3692, 42.73
313.0, 0.3577, 43.89
314.0, 0.3485, 44.82
315.0, 0.3407, 45.63
316.0, 0.3344, 46.30
317.0, 0.3283, 46.96
318.0, 0.3227, 47.57
319.0, 0.3176, 48.12
320.0, 0.3129, 48.65
321.0, 0.3088, 49.11
322.0, 0.3052, 49.52
323.0, 0.3015, 49.95
324.0, 0.2981, 50.34
325.0, 0.2948, 50.72
326.0, 0.2918, 51.07
327.0, 0.2891, 51.39
328.0, 0.2862, 51.73
329.0, 0.2833, 52.08
330.0, 0.2817, 52.28
331.0, 0.2770, 52.84
332.0, 0.2740, 53.21
333.0, 0.2710, 53.58
334.0, 0.2681, 53.93
335.0, 0.2653, 54.29
336.0, 0.2623, 54.67
337.0, 0.2599, 54.97
338.0, 0.2574, 55.28
339.0, 0.2558, 55.49
340.0, 0.2369, 57.95
341.0, 0.2351, 58.19
342.0, 0.2334, 58.42
343.0, 0.2317, 58.66
344.0, 0.2300, 58.88
345.0, 0.2281, 59.14
346.0, 0.2270, 59.30
347.0, 0.2255, 59.49
348.0, 0.2235, 59.77
349.0, 0.2224, 59.93
350.0, 0.2209, 60.13
351.0, 0.2198, 60.29
352.0, 0.2183, 60.49
353.0, 0.2165, 60.74
354.0, 0.2144, 61.04
355.0, 0.2126, 61.29
356.0, 0.2107, 61.56
357.0, 0.2089, 61.82
358.0, 0.2066, 62.14
359.0, 0.2045, 62.45
360.0, 0.2027, 62.71
361.0, 0.2008, 62.99
362.0, 0.1989, 63.25
363.0, 0.1971, 63.52
364.0, 0.1955, 63.75
365.0, 0.1936, 64.03
366.0, 0.1913, 64.37
367.0, 0.1892, 64.68
368.0, 0.1870, 65.01
369.0, 0.1848, 65.34
370.0, 0.1836, 65.53
371.0, 0.1851, 65.30
372.0, 0.1833, 65.56
373.0, 0.1818, 65.79
374.0, 0.1804, 66.00
375.0, 0.1791, 66.21
376.0, 0.1778, 66.41
377.0, 0.1763, 66.63
378.0, 0.1749, 66.85
379.0, 0.1734, 67.08
380.0, 0.1718, 67.32
381.0, 0.1702, 67.58
382.0, 0.1688, 67.80
383.0, 0.1674, 68.01
384.0, 0.1669, 68.09
385.0, 0.1646, 68.45
386.0, 0.1636, 68.61
387.0, 0.1622, 68.84
388.0, 0.1609, 69.04
389.0, 0.1597, 69.24
390.0, 0.1584, 69.44
391.0, 0.1569, 69.69
392.0, 0.1557, 69.87
393.0, 0.1543, 70.10
394.0, 0.1530, 70.31
395.0, 0.1517, 70.52
396.0, 0.1504, 70.73
397.0, 0.1491, 70.94
398.0, 0.1478, 71.15
399.0, 0.1470, 71.29
400.0, 0.1458, 71.49
401.0, 0.1445, 71.70
402.0, 0.1431, 71.92
403.0, 0.1421, 72.09
404.0, 0.1409, 72.29
405.0, 0.1398, 72.47
406.0, 0.1387, 72.66
407.0, 0.1376, 72.85
408.0, 0.1365, 73.04
409.0, 0.1355, 73.20
410.0, 0.1344, 73.38
411.0, 0.1336, 73.52
412.0, 0.1326, 73.69
413.0, 0.1316, 73.86
414.0, 0.1305, 74.04
415.0, 0.1296, 74.20
416.0, 0.1286, 74.38
417.0, 0.1276, 74.55
418.0, 0.1266, 74.71
419.0, 0.1257, 74.87
420.0, 0.1249, 75.00
421.0, 0.1238, 75.19
422.0, 0.1229, 75.35
423.0, 0.1222, 75.48
424.0, 0.1213, 75.62
425.0, 0.1205, 75.77
426.0, 0.1196, 75.93
427.0, 0.1189, 76.06
428.0, 0.1180, 76.20
429.0, 0.1173, 76.33
430.0, 0.1164, 76.49
431.0, 0.1155, 76.64
432.0, 0.1147, 76.79
433.0, 0.1139, 76.94
434.0, 0.1131, 77.08
435.0, 0.1124, 77.19
436.0, 0.1117, 77.33
437.0, 0.1108, 77.48
438.0, 0.1100, 77.62
439.0, 0.1092, 77.76
440.0, 0.1086, 77.87
441.0, 0.1078, 78.02
442.0, 0.1072, 78.13
443.0, 0.1064, 78.27
444.0, 0.1056, 78.42
445.0, 0.1048, 78.56
446.0, 0.1042, 78.68
447.0, 0.1035, 78.80
448.0, 0.1028, 78.91
449.0, 0.1024, 79.00
450.0, 0.1020, 79.06
